Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Martin Brundle,2:11.102,1:55.934,1:54.072,1:53.203,1:52.839,1:53.928,1:54.160,1:52.760,1:51.559,1:52.023,1:51.140,1:52.003,1:50.740,1:50.646,1:50.137,1:49.264,1:49.220,1:50.452,1:48.560,1:45.994,1:45.572,1:45.660,1:44.333,1:43.408,1:42.857,1:42.740,1:43.536,2:00.872,1:38.900,1:35.477
Ukyo Katayama,2:13.301,1:55.722
Gerhard Berger,2:02.527,1:52.532,1:52.098,1:51.288,1:51.639,1:51.018,1:50.425,1:49.966,1:54.822
Ricardo Rosset,2:19.667,1:59.342,1:58.465
Damon Hill,1:56.036,1:50.246,1:49.608,1:49.603,1:49.430,1:50.420,1:48.752,1:49.036,1:48.377,1:49.315,1:48.159,1:48.590,1:48.685,1:49.658,1:48.072,1:48.007,1:46.772,1:47.124,1:45.789,1:45.786,1:45.296,1:44.590,1:44.530,1:43.625,1:41.684,1:41.536,1:42.508,2:04.659,1:39.880,1:33.955,1:32.803,1:34.938,1:31.561,1:31.818,1:30.157,1:28.830,1:29.658,1:28.571,1:28.624,1:28.523
Luca Badoer (BAD),2:15.844,1:56.505,1:58.114,1:55.559,1:55.065,1:56.186,1:55.708,1:55.123,1:55.608,1:54.772,1:55.519,1:55.708,1:54.706,1:53.823,1:55.427,1:52.373,1:52.533,1:53.057,1:53.859,1:51.297,1:51.084,1:50.519,1:50.307,1:48.551,1:54.640,1:49.466,1:45.647,1:45.994,1:47.827,4:51.438,1:42.442,1:36.149,1:39.204,1:35.215,1:36.920,1:39.215,1:37.699,1:41.009,1:35.253,1:34.370,1:34.173,1:34.162,1:35.365,1:33.718,1:33.305,1:35.022,1:36.206,1:35.569,1:39.741,1:34.640,1:33.910,1:34.198,1:34.626,1:33.935,1:34.988,1:35.361,1:33.885,1:35.646,1:37.811,1:33.606
Johnny Herbert,2:09.079,1:54.897,1:53.852,1:53.926,1:53.271,1:53.790,1:53.305,1:52.116,1:52.164,1:51.167,1:51.692,1:50.685,1:50.955,1:49.751,1:50.317,1:48.946,1:48.935,1:49.897,1:47.238,1:46.479,1:46.061,1:45.802,1:44.478,1:43.690,1:44.676,1:41.949,1:41.607,1:42.387,1:38.769,2:00.124,1:36.751,1:31.851,1:30.329,1:29.426,1:29.041,1:29.075,1:28.109,1:28.028,1:28.456,1:28.372,1:28.360,1:27.597,1:27.196,1:27.653,1:27.708,1:28.666,1:27.732,1:26.891,1:27.384,1:27.219,1:27.481,1:27.231,1:27.939,1:28.001,1:27.317,1:28.021,1:27.733,1:27.239,1:27.325,1:28.289,1:30.431,1:28.430,1:27.289,1:27.018,1:26.970,1:27.293,1:27.422,1:26.852,1:27.708,1:28.952,1:31.812,1:31.234,1:31.234,1:34.013,1:32.049
Pedro Diniz,2:23.785,1:55.496,2:04.479,1:56.412,1:53.469
Mika Salo,2:08.621,1:54.675,1:53.844,1:53.803,1:53.215,1:54.044,1:53.252,1:52.203,1:52.188,1:50.843,1:51.592,1:51.122,1:51.004,1:49.566,1:49.834,1:49.368,1:48.991,1:49.645,1:47.331,1:46.159,1:46.652,1:45.628,1:43.958,1:44.003,1:43.267,1:42.836,1:41.662,1:40.095,2:09.144,1:36.718,1:34.516,1:32.028,1:30.513,1:30.052,1:29.041,1:28.868,1:28.300,1:27.868,1:27.907,1:28.190,1:28.504,1:27.684,1:27.722,1:27.182,1:27.825,1:28.085,1:28.547,1:27.633,1:27.682,1:27.709,1:27.031,1:26.903,1:27.396,1:28.679,1:27.706,1:27.633,1:27.977,1:27.076,1:27.933,1:28.910,1:30.779,1:27.422,1:27.148,1:26.648,1:26.627,1:27.171,1:31.034,1:26.461,1:26.604,1:28.589
Mika Häkkinen,2:09.943,1:54.883,1:53.772,1:53.697,1:53.520,1:53.544,1:53.509,1:52.469,1:51.849,1:51.689,1:51.500,1:51.269,1:50.531,1:50.616,1:49.824,1:50.440,1:48.977,1:49.372,1:47.684,1:47.038,1:45.952,1:45.304,1:44.330,1:43.738,1:44.165,1:43.196,1:42.988,1:42.372,2:04.001,1:38.158,1:30.760,1:31.272,1:30.497,1:30.184,1:28.982,1:28.953,1:28.319,1:27.864,1:27.883,1:28.083,1:28.528,1:27.672,1:27.487,1:27.573,1:27.580,1:28.016,1:28.637,1:27.679,1:27.764,1:27.582,1:27.219,1:26.826,1:27.281,1:28.701,1:27.875,1:28.528,1:26.893,1:27.105,1:27.990,1:28.842,1:29.474,1:26.814,1:26.645,1:27.030,1:26.693,1:27.120,1:33.074,1:26.755,1:26.482,1:28.455
Eddie Irvine,2:03.471,1:56.331,1:54.183,1:53.776,1:53.654,1:53.987,1:52.454,1:51.729,1:51.514,1:51.919,1:50.546,1:50.433,1:50.343,1:49.616,1:50.686,1:49.664,1:49.594,1:49.328,1:47.726,1:47.301,1:45.233,1:45.265,1:44.089,1:43.219,1:42.701,1:43.431,1:41.294,2:00.281,1:38.094,1:32.972,1:32.291,1:32.824,1:32.171,1:31.123,1:30.115,4:20.908,1:35.155,1:28.893,1:28.820,1:27.489,1:27.828,1:28.365,1:30.079,1:27.261,1:26.829,1:26.551,1:26.514,1:26.120,1:26.268,1:27.873,1:26.863,1:27.193,1:26.998,1:27.424,1:27.798,1:26.443,1:26.673,1:27.196,1:29.751,1:28.944,1:27.281,1:27.079,1:26.450,1:26.548,1:26.272,1:26.539,1:44.933,1:30.680
Jean Alesi,2:00.359,1:52.031,1:53.036,1:51.669,1:51.172,1:49.952,1:49.906,1:49.867,1:49.462,1:49.279,1:49.433,1:49.298,1:49.294,1:48.881,1:48.955,1:48.778,1:48.100,1:46.789,1:46.574,1:47.937,1:46.150,1:44.618,1:43.144,1:42.676,1:42.106,1:42.549,1:41.466,1:41.664,1:40.413,2:00.398,1:37.568,1:34.042,1:30.362,1:29.442,1:29.089,1:28.260,1:33.335,1:28.712,1:27.630,1:27.118,1:27.854,1:27.029,1:26.793,1:26.666,1:27.217,1:26.310,1:27.435,1:29.118,1:26.775,1:26.059,1:25.418,1:25.489,1:25.366,1:45.991,1:29.984,1:26.097,1:26.406,1:25.305,1:25.205,2:11.763
Heinz-Harald Frentzen,2:06.123,1:53.853,1:54.330,1:53.870,1:53.477,1:54.120,1:52.691,1:51.741,1:51.355,1:51.970,1:50.629,1:50.289,1:50.487,1:49.734,1:50.575,1:49.491,1:49.350,2:30.567,1:48.973,1:44.862,1:45.299,1:43.871,1:43.723,1:42.500,1:44.443,2:04.679,1:40.567,1:31.689,1:31.456,1:33.992,1:31.146,1:31.163,1:30.867,1:30.939,1:29.575,1:28.565,1:28.692,1:28.578,1:27.646,1:26.807,1:27.831,1:28.962,1:27.071,1:26.804,1:27.496,1:28.885,1:28.038,1:28.127,1:27.548,1:27.659,1:28.181,1:27.374,1:27.418,1:29.099,1:47.626,1:32.765,1:27.717,1:27.899,1:27.288,1:28.698,1:28.321,1:26.924,1:26.594,1:26.493,1:26.708,1:25.608,1:28.267,1:27.654,1:27.512,1:28.349,1:33.982,1:31.643,1:31.323,1:34.725
Olivier Panis,2:11.654,1:56.057,1:54.180,1:53.464,1:52.369,1:53.814,1:53.303,1:51.503,1:51.693,1:51.994,1:51.721,1:51.321,1:50.568,1:49.893,1:49.675,1:48.821,1:47.903,1:49.651,1:47.387,1:46.353,1:46.002,1:45.790,1:44.719,1:43.291,1:43.179,1:42.128,1:41.427,2:04.922,1:38.290,1:33.235,1:30.418,1:29.195,1:28.540,1:29.214,1:29.900,1:30.241,1:27.603,1:26.787,1:27.848,1:27.667,1:37.575,1:26.931,1:26.182,1:26.812,1:28.824,1:26.305,1:26.514,1:26.403,1:25.995,1:26.215,1:26.121,1:27.908,1:27.093,1:26.836,1:26.766,1:28.598,1:27.356,1:26.894,1:27.717,1:26.416,1:30.706,1:28.497,1:26.915,1:27.973,1:25.581,1:25.957,1:26.081,1:27.604,1:26.593,1:26.667,1:31.697,1:31.273,1:27.830,1:29.186,1:29.888
Jacques Villeneuve (VIL),2:07.787,1:54.275,1:54.005,1:53.969,1:53.395,1:53.694,1:53.349,1:52.009,1:52.149,1:51.409,1:51.064,1:51.105,1:50.442,1:50.007,1:50.195,1:49.036,1:49.053,1:49.850,1:47.496,1:46.381,1:46.578,1:45.713,1:44.296,1:43.975,1:43.356,1:42.812,1:41.313,1:40.478,2:05.077,1:40.331,1:34.821,1:31.981,1:30.618,1:29.724,1:28.508,1:29.060,1:28.049,1:28.024,1:28.463,1:28.006,1:28.661,1:27.442,1:27.519,1:27.375,1:28.116,1:28.205,1:28.480,1:27.382,1:27.379,1:28.345,1:26.822,1:26.829,1:27.593,1:28.488,1:27.482,1:27.846,1:27.927,1:27.185,1:28.054,1:27.937,1:29.575,1:27.982,1:26.746,1:27.084,1:26.682,1:27.242
David Coulthard (COU),2:07.317,1:53.786,1:54.235,1:53.794,1:53.172,1:54.258,1:52.863,1:51.476,1:51.671,1:51.712,1:50.722,1:50.336,1:50.607,1:49.819,1:50.111,1:49.565,1:49.910,1:49.886,1:47.160,1:47.572,1:46.166,1:45.379,1:44.215,1:42.952,1:43.358,1:42.923,1:41.046,1:40.520,1:40.289,2:00.209,1:35.801,1:30.126,1:30.363,1:29.162,1:29.494,1:28.377,1:27.914,1:28.140,1:27.952,1:27.250,1:30.003,1:28.375,1:26.900,1:27.791,1:27.705,1:27.068,1:27.262,1:26.935,1:26.711,1:26.572,1:26.674,1:28.413,1:27.133,1:27.074,1:26.818,1:26.968,1:27.268,1:26.943,1:26.735,1:27.180,1:28.822,1:28.302,1:26.601,1:26.957,1:26.908,1:26.521,1:26.274,1:26.238,1:26.711,1:27.461,1:30.492,1:30.971,1:28.509,1:30.348,1:31.206
