Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Ukyo Katayama,1:48.977,2:29.210,2:42.242,2:29.708,1:34.573,1:32.864,1:33.066,1:33.305,1:34.325,1:32.814,1:33.996,1:36.744,1:34.846,1:34.469,1:35.449,1:34.284,1:38.012,1:34.753,1:33.583,1:34.686,1:33.830,1:32.944,1:32.353,1:32.418,1:33.285,1:32.481,1:32.254,1:36.330,1:31.869,1:32.247,1:31.881,1:33.489,1:32.214,1:33.748,1:34.516,1:33.022,1:35.086
Nicola Larini,1:53.181,2:28.042,2:42.845,2:28.378,1:36.536,1:33.143,1:32.048,1:32.605,1:36.001,1:33.325,1:33.265,1:35.048,1:33.670,1:33.484,1:35.264,1:31.062,1:30.476,1:33.189,1:30.949,1:30.219,1:30.486,1:32.305,1:31.173,1:30.650,1:30.442,2:20.542,1:30.217,1:30.747,1:30.396,1:30.624,1:30.626,1:30.632,1:30.309,1:31.648,1:29.913,1:30.824,1:29.680,1:29.492,1:29.694,1:29.198,1:31.027,1:29.191,1:30.234,1:30.722,1:29.065,1:28.410,1:28.700,3:18.402,1:33.034,1:32.341,1:34.391,1:33.129,1:32.210,1:30.158,1:30.275,1:31.833,1:29.652,1:29.540,1:29.232,1:29.230,1:29.287,1:29.137,1:29.506
Gerhard Berger,1:51.852,2:28.492,2:42.882,2:28.217,1:34.490,1:32.883,1:33.013,1:33.464,1:34.876,1:33.138,1:32.896,1:32.642,1:32.086,1:31.433,1:31.410,1:31.798,1:31.829,1:32.307,1:32.026,1:31.512,1:33.295,1:33.969,1:31.270,1:30.991,1:30.797,1:31.221,1:31.643,1:31.087,1:31.355,1:30.162,1:29.731,1:29.468,1:29.194,1:29.261,1:29.161,1:29.203,1:54.584,1:29.318,1:29.950,1:29.872,1:30.023,1:29.232,1:29.737,1:29.639,1:29.314,1:29.355,1:29.847,1:31.476,1:30.329,1:29.071,1:28.643,1:28.610,1:28.455,1:28.328,1:28.832,1:29.235,1:29.427,1:30.205,1:29.251,1:28.250,1:28.191,1:28.000,1:27.981,1:29.166,1:29.416,1:30.361,1:30.176,1:29.987,1:30.787,1:31.442,1:30.532,1:31.032
Jan Magnussen (MAG),1:54.031,2:19.064,2:53.539,2:26.768,1:36.487,1:33.348,1:32.103,1:32.410,1:34.497,1:32.330,1:34.572,1:33.278,1:34.169,1:31.413,1:31.473,1:31.215,1:31.316,1:31.562,1:31.414,1:31.171,1:32.137,1:32.548,1:31.953,1:30.786,1:52.420,1:30.107,1:30.668,1:30.711,1:30.944,1:30.998,1:31.326,1:30.669,1:31.069,1:30.840,1:30.814,1:30.771,1:31.124,1:31.212,1:30.809,1:30.549,1:30.736,1:30.274,1:30.809,1:30.805,1:30.970,1:30.067,1:51.812,1:29.834,1:30.367,1:30.199,1:30.575,1:33.515,1:31.053,1:30.740,1:30.200,1:30.915,1:30.635,1:31.905,1:31.065,1:31.672,1:35.653,1:33.972,1:31.914,1:32.316,1:33.214,1:31.567
Shinji Nakano,1:53.727,2:28.182,2:43.136,2:27.769,1:36.798,1:33.220,1:32.078,1:32.628,1:35.925,1:34.719,1:33.331,1:33.865,1:34.573,1:34.061,1:34.304,1:33.717,1:34.421,1:33.245,1:33.082,1:33.002,1:32.749,1:32.665,1:32.645,1:32.561,1:33.807,1:32.890,1:53.344,1:30.312,1:30.332,1:29.989,1:30.363,1:30.875,1:31.644,1:37.715,1:31.957,1:32.774,1:34.086,1:47.293,1:30.362,1:29.865,1:30.472,1:30.059,1:30.068,1:30.236,1:30.120,1:30.352,1:30.436,1:30.575,1:52.204
Damon Hill,1:40.436,2:32.041,2:41.998,2:30.106,1:34.035,1:32.601,1:33.998,1:34.466,1:31.868,1:31.953,1:32.620,1:32.870,1:32.317,1:31.858,1:31.663,1:31.468,1:31.618,1:39.444,1:31.799,1:31.500,1:35.570,1:33.021,1:30.649,1:30.820,1:31.391,1:31.784,1:34.520,1:31.424,1:31.892,1:31.947,1:32.410,1:31.318,1:33.227
Johnny Herbert,1:40.768,2:32.414,2:42.226,2:29.623,1:34.113,1:32.487,1:34.711,1:31.953,1:30.657,1:30.563,1:30.749,1:30.614,1:30.123,1:29.998,1:30.802,1:30.884,1:30.219,1:30.463,1:30.674,1:30.101,1:29.607,1:49.261,1:29.949,1:31.012,1:30.422,1:30.647,1:30.490,1:31.141,1:30.697,1:30.024,1:29.957,1:29.970,1:29.471,1:29.374,1:29.444,1:29.489,1:29.745,1:31.751,1:30.098,1:50.611,1:29.866,1:30.099,1:30.688,1:31.024,1:30.690,1:30.079,1:30.026,1:30.146,1:30.070,1:29.873,1:29.840,1:29.820,1:29.697,1:29.905,1:30.781,1:30.608,1:30.241,1:29.771,1:29.763,1:29.556,1:30.111,1:29.296,1:29.339,1:29.567,1:29.666,1:30.386,1:29.613,1:30.867,1:29.938,1:31.786,1:30.313,1:30.907
Pedro Diniz,1:45.174,2:30.895,2:41.822,2:29.632,1:34.632,1:33.294,1:32.394,1:33.389,1:32.422,1:32.386,1:32.606,1:32.237,1:32.448,1:31.730,1:32.038,1:32.175,1:31.760,1:32.743,1:32.188,1:31.963,1:31.673,1:31.689,1:31.317,1:32.024,1:33.475,1:32.660,1:34.252,1:32.175,1:34.107,1:32.009,1:35.789,1:32.029,1:31.360,2:41.217,1:31.605,1:31.759,1:31.557,1:32.103,1:31.485,1:31.732,1:31.157,1:31.111,1:33.552,1:31.489,1:31.127,1:32.920,1:31.782,1:32.432,1:32.950,1:31.158
Mika Salo,1:50.154,2:29.588,2:42.638,2:28.841,1:36.443,1:32.868,1:32.926,1:32.944,1:34.355,1:33.176,1:34.161,1:33.987,1:35.025,1:34.138,1:32.679,1:31.415,1:31.624,1:31.779,1:31.177,1:31.268,1:31.485,1:31.758,1:31.976,1:32.616,1:31.643,1:31.292,1:29.961,2:02.136,1:30.887,1:31.468,1:30.621,1:30.881,1:31.142,1:32.101,1:32.015,1:31.924,1:31.986,1:31.695,1:31.310,1:31.472,1:31.542,1:32.093,1:30.961,1:31.143,1:50.658,1:32.266,1:32.547,1:30.865,1:31.436,1:31.458,1:30.901,1:31.185,1:32.808,1:30.966,1:33.853,1:30.969,1:32.526,1:34.041,1:30.792,1:30.524,1:30.164,1:29.931,1:30.278,1:30.804,1:31.528,1:31.596,1:31.117,1:31.859,1:31.128,1:31.919,1:33.108
Mika Häkkinen,1:49.094,2:28.289,2:42.174,2:29.071,1:34.805,1:33.030,1:32.550,1:33.163,1:32.655,1:32.554,1:32.494,1:32.518,1:32.188,1:31.894,1:31.985,1:31.994,1:31.714,1:32.847,1:31.875,1:32.275,1:32.007,1:31.621,1:31.300,1:30.939,1:31.232,1:30.089,1:29.632,1:30.192,1:29.586,1:29.769,1:29.498,1:29.676,1:29.329,1:29.573,1:29.486,1:29.584,1:29.429,1:29.989,1:30.559,1:30.104,1:51.661,1:31.549,1:30.950,1:30.822,1:29.864,1:29.848,1:29.433,1:29.787,1:29.800,1:29.382,1:29.158,1:29.581,1:29.299,1:29.410,1:29.670,1:29.949,1:29.937,1:29.076,1:29.559,1:29.225,1:29.801,1:29.514,1:29.263,1:29.310,1:29.728,1:30.341,1:29.849,1:30.523,1:30.310,1:31.493,1:30.285,1:30.926
