Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Johnny Herbert,2:12.970
Pedro Diniz,1:54.242,1:38.987,1:37.596,1:36.657,1:36.354,1:36.681,1:37.908,1:51.105,2:28.015,2:34.955,1:37.242,1:36.958,1:37.797,1:35.549,1:35.491,1:35.801,1:35.468,1:36.207,2:20.777,1:42.102,1:35.621,1:34.997,1:33.719,1:35.709,1:33.989,1:34.165,1:33.312,1:33.689,1:33.597,1:34.352,1:34.352,1:33.315,1:33.081,1:32.997,1:34.688,1:34.236,1:33.572,1:32.977,1:32.996,2:26.322,2:32.051
Mika Salo,1:47.177,1:37.505,1:37.317,1:36.837,1:36.057,1:35.957,1:36.654,1:55.452,2:27.394,2:38.037,1:37.815,1:36.207,1:36.322,1:35.813,1:35.440,1:35.229,1:35.057,1:35.056,1:35.230,1:34.983,1:34.857,1:34.564,1:34.736,1:34.368,1:34.122,1:34.064,1:34.410,1:34.338,1:34.184,2:00.632,1:40.179,1:34.348,1:34.416,1:34.339,1:34.277,1:35.438,1:35.812,1:36.610,1:35.118,1:34.521,1:34.585,1:35.041,1:34.066,1:33.906,1:34.480,1:34.366,1:34.936,1:34.628,1:34.428,1:35.087,1:33.471,1:34.090,1:34.007,1:34.025,1:34.312,1:33.656,1:33.698,1:33.957
Gastón Mazzacane,1:56.653,1:38.974,1:37.526,1:38.619,1:40.631,1:36.845,1:41.505,1:43.008,2:39.968,2:22.342,1:38.728,1:37.463,1:37.572,1:37.344,1:37.212,1:36.976,1:37.085,1:36.594,1:37.227,1:36.384,1:37.024,1:36.765,1:35.732,1:36.386,1:36.830,1:35.752,1:35.977,1:35.517,1:35.530,1:35.914,1:35.851,1:35.380,1:35.241,1:35.636,1:35.594,2:05.958,1:43.305,1:36.285,1:42.018,2:34.757
Mika Häkkinen,1:40.366,1:34.181,1:34.105,1:33.886,1:34.201,1:33.759,1:33.583,2:07.485,2:27.852,2:44.270,1:35.170,1:33.340,1:33.435,1:32.670,1:32.773,1:32.723,1:32.544,1:32.433
Eddie Irvine,1:48.028,1:38.299,1:37.874,1:36.409,1:36.401,1:35.789
Jean Alesi,1:56.846,1:37.157,1:37.203,1:36.671,1:45.029,1:37.065,1:41.284,1:42.990,2:26.383,2:33.574,1:35.969,1:36.848,1:36.068,1:35.504,1:35.889,1:35.610,1:35.923,1:35.088,1:35.277,1:35.117,2:00.708,1:40.469,1:35.546,1:35.313,1:35.787,1:35.832,1:35.603
Jos Verstappen,1:48.410,1:37.163,1:36.709,1:36.844,1:36.127,1:35.960,6:21.969,2:21.774,1:37.926,1:36.561,1:36.583,1:37.370,1:37.295,1:36.920,1:35.461,1:34.834
Heinz-Harald Frentzen,1:43.598,1:36.649,1:36.203,1:35.852,1:36.062,1:35.847,1:36.137,1:56.829,2:26.546,2:42.249,1:36.643,1:35.381,1:35.392,1:34.700,1:34.521,1:34.446,1:34.273,1:34.384,1:35.474,1:34.421,1:34.118,1:34.182,1:33.819,1:33.637,1:33.513,1:32.999,1:32.733,1:32.664,1:33.166,1:33.150,1:32.962,1:32.702,1:33.424,1:32.110,1:32.258,2:10.993,1:38.932,1:50.196,1:38.104
Marc Gené,4:30.954,1:42.399,1:36.270,1:35.823,1:35.774,1:37.325,1:37.178,1:46.746,2:32.235,1:37.570,1:36.664,1:38.116,1:37.020,1:38.400,1:36.880,1:35.702,1:35.596,1:36.254,1:35.328,1:34.942,1:34.901,1:35.648,1:34.503,1:34.488,1:34.414,1:34.235,1:34.145,1:34.127,1:33.656,2:01.453,1:40.939,1:35.885,1:35.845,1:37.905,1:35.862,1:35.301,1:34.657,1:34.746,1:36.107,1:35.042,1:34.875,1:35.343,1:34.976,1:33.954,1:34.504,1:35.229,1:34.226,1:34.660,1:34.117,1:33.651,1:33.489,1:33.924,1:33.474,1:33.231,1:34.513,1:33.379,1:34.442
Ricardo Zonta (ZON),1:50.702,1:37.941,1:37.528,1:36.621,1:37.079,1:35.985,1:40.257,1:49.755,2:28.118,2:36.100,1:37.791,1:36.513,1:36.474,1:35.839,1:35.612,1:35.781,1:35.459,1:35.208,1:35.189,1:34.776,1:35.297,1:34.729,1:34.358,1:34.383,1:34.568,1:34.714,1:34.116,1:34.084,1:33.981,1:33.933,1:34.206,1:33.785,1:33.750,1:33.435,1:58.777,1:41.304,1:36.482,1:36.036,1:35.059,1:34.499,1:34.806,1:34.092,1:34.231,1:34.513,1:34.641,1:34.360,1:34.727,1:34.924,1:34.430,1:36.071,1:33.816,1:34.034,1:33.933,1:33.937,1:34.047,1:33.941,1:33.860,1:33.868
Pedro de la Rosa (DLR),1:49.440,1:37.073,1:36.570,1:36.534,1:36.520,1:35.663
Jacques Villeneuve (VIL),1:46.488,1:37.563,1:37.113,1:36.564,1:36.309,1:36.109,1:36.142,1:55.243,2:27.649,2:38.726,1:37.501,1:36.476,1:36.252,1:35.814,1:35.343,1:35.303,1:35.154,1:34.765,1:35.459,1:34.851,1:35.038,1:34.579,1:34.608,1:34.332,1:34.076,1:34.268,1:34.281,1:34.506,1:34.023,1:34.571,1:34.120,1:33.795,1:33.809,1:33.314,1:33.185,1:33.943,2:01.840,1:40.890,1:36.486,1:35.257,1:34.681,1:35.500,1:35.278,1:34.685,1:34.554,1:34.486,1:35.150,1:34.936,1:34.796,1:34.489,1:34.408,1:34.071,1:34.076,1:34.135,1:34.121,1:33.663,1:33.309,1:34.351
Michael Schumacher (MSC),1:41.838,1:34.954,1:34.273,1:34.343,1:34.155,1:33.723,1:34.096,2:07.580,2:28.149,2:42.050,1:36.358,1:32.964,1:34.066,1:33.227,1:32.763,1:32.471,1:32.329,1:32.121,1:33.202,1:33.939,1:33.907,1:33.599,1:32.822,1:32.319,1:33.224,1:31.846,1:32.011,1:31.752,1:31.795,2:00.020,1:39.493,1:34.223,1:33.702,1:34.038,1:33.845,1:33.821,1:34.141,1:34.434,1:34.171,1:34.306,1:35.396,1:34.141,1:34.552,1:33.899,1:34.055,1:34.231,1:33.951,1:34.887,1:33.455,1:33.185,1:32.858,1:32.638,1:34.244,1:33.932,1:34.243,1:35.372,1:36.258,1:42.620
Alexander Wurz (WUR),1:51.649,1:37.888,1:37.559,1:36.602,1:36.899,1:36.304,1:39.860,1:50.063,2:28.035,2:35.855,1:37.666,1:36.527,1:36.613,1:35.846,1:35.616,1:35.835,1:35.867,1:34.880,1:35.356,1:34.849,1:35.046,1:34.844,1:34.640,1:34.401,1:34.949,1:34.254,1:34.201,1:33.853,1:33.880,1:34.314,1:34.303,1:33.635,1:33.459,1:33.943,2:00.382,1:40.147,1:34.998,1:36.948,1:35.003,1:34.930,1:34.725,1:34.811,1:34.169,1:34.382,1:34.049,1:34.992,1:34.340,1:34.341,1:34.331,1:35.370,1:34.368,1:33.895,1:33.667,1:34.075,1:33.959,1:33.995,1:33.812,1:33.722
Ralf Schumacher (SCH),1:50.129,1:37.706,1:37.504,1:36.736,1:36.523,1:36.458,1:39.619,1:50.323,2:26.772,2:37.712,1:37.880,1:36.409,1:36.541,1:35.753,1:35.630,1:35.535,1:35.003,1:35.368,1:35.390,1:34.800,1:35.033,1:34.509,1:34.692,1:34.734,1:34.611,1:34.107,1:34.084,1:34.186,1:34.056,1:33.769,1:33.957,1:33.874,1:33.603,1:33.477,1:33.413,1:33.846,1:32.779,2:01.256,1:38.108,1:33.210,1:34.106,1:33.899,1:33.441,1:33.365,1:33.535,1:33.052,1:33.444,1:33.486,1:33.103,1:32.525,1:32.653,1:32.677,1:33.268,1:32.762,1:33.223,1:33.348,1:34.056,1:36.958
Rubens Barrichello (BAR),1:44.620,1:36.427,1:35.929,1:35.745,1:35.997,1:35.752,1:36.275,1:56.974,2:28.179,2:40.402,1:36.565,1:35.954,1:35.155,1:34.537,1:34.548,1:34.524,1:34.192,1:34.308,1:35.554,1:34.582,1:34.151,1:34.093,1:33.962,1:34.037,1:33.328,1:33.266,1:32.747,1:32.790,1:32.783,1:32.964,1:32.993,1:32.636,1:58.585,1:38.018,1:33.663,1:33.628,1:33.233,1:31.811,1:31.863,1:32.117,1:31.481,1:32.133,1:32.151,1:32.430,1:32.800,1:54.761,1:39.331,1:34.315,1:32.691,1:32.659,1:32.745,1:32.751,1:33.420,1:33.606,1:33.702,1:34.000,1:34.183,1:35.356
Giancarlo Fisichella (FIS),1:49.187,1:37.988,1:37.532,1:36.542,1:36.527,1:36.265,1:39.598,1:49.913,2:27.287,2:38.088,1:37.843,1:36.511,1:36.340,1:35.899,1:35.288,1:35.786,1:35.013,1:35.429,1:35.064,1:34.829,1:34.890,1:34.942,1:34.727,1:34.572,1:34.635,1:33.963,1:34.306,1:34.112,1:33.848,1:33.956,1:33.964,1:33.896,1:33.603,1:33.449,1:33.488,1:59.089,1:39.111,1:37.199,1:37.069,1:34.982,1:35.063,1:35.068,1:35.032,1:34.794,1:34.391,1:34.480,1:35.179,1:35.028,1:34.661,1:34.636,1:34.464,1:33.890,1:34.192,1:34.042,1:34.190,1:33.727,1:33.519,1:34.066
Jenson Button (BUT),1:51.008,1:37.921,1:38.510,1:37.032,1:36.816,1:36.373,1:40.136,1:50.228,2:28.247,2:35.473,1:37.054,1:36.679,1:36.558,1:36.085,1:35.507,1:35.746,1:35.735,1:35.051,1:35.267,1:35.197,1:34.932,1:34.875,1:34.798,1:34.445,1:34.540,1:34.566,1:34.221,1:34.300,1:33.921,1:34.583,1:34.507,1:34.006,1:33.566,1:34.010,1:33.841,1:33.351,1:59.751,1:38.954,1:35.025,1:35.066,1:34.592,1:34.999,1:34.873,1:34.806,1:34.554,1:34.452
Jarno Trulli (TRU),1:45.579,1:37.019,1:36.252,1:35.731,1:35.586,1:35.548,1:35.765,1:57.938,2:28.155,2:39.389,1:36.785,1:36.141,1:35.337,1:34.750,1:34.719,1:34.538,1:34.580,1:34.431,1:34.804,1:34.528,1:34.288,1:34.302,1:34.273,1:34.228,1:33.824,1:33.644,1:33.730,1:33.223,1:33.810,1:33.567,1:35.955,1:34.561,1:34.184,1:34.412,1:34.368
David Coulthard (COU),1:40.944,1:34.700,1:34.410,1:34.274,1:34.066,1:33.950,1:33.653,2:06.527,2:28.436,2:43.395,2:40.194
Nick Heidfeld (HEI),1:54.664,1:38.934,1:38.513,1:37.353,1:37.467,1:36.465,1:45.349,1:43.291,2:26.814,2:34.955,1:38.009,1:36.549,1:36.904,1:38.198,1:38.159,1:36.762,1:35.711,1:35.561,1:36.523,1:34.749,1:34.974,1:35.298,3:26.686,1:40.936,1:38.557,1:36.755,1:37.403,1:39.140,1:40.867,1:40.607,1:37.987,1:35.977,1:35.720,1:35.619,1:36.058,1:35.523,1:37.748,1:35.574,1:35.279,1:36.303,1:36.150,1:35.121,1:35.017,1:35.172,1:34.544,1:35.470,1:35.047,1:34.231,1:34.387,1:34.488,1:34.649,1:34.206,1:34.111,1:34.192,1:34.660,1:34.714
