Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Johnny Herbert,3:35.529,2:11.212,2:08.966,2:08.155,2:09.658,2:15.645,2:21.252,2:02.211,2:01.754,2:00.407,1:58.907,1:58.842,1:59.550,1:58.576,1:58.096,1:58.199,1:58.017,1:57.903,1:57.776,1:57.565,1:57.774,1:57.538,1:57.898,1:56.982,1:57.092,1:56.598,1:57.147,1:57.086,2:04.002,2:15.992,1:55.603,1:56.122,1:56.443,1:56.296,1:56.470,1:56.352,1:56.290,1:56.119,1:55.967,1:56.157,1:55.771,1:56.183,1:56.329,1:55.871
Pedro Diniz,3:42.133,2:24.411,2:15.299,2:09.606,2:09.341,2:04.766,2:04.345,2:01.680,2:01.839,1:59.129,1:59.676,1:58.685,1:57.694,1:57.854,1:57.758,1:57.564,1:56.828,1:56.922,1:57.222,1:57.012,2:03.558,2:16.839,1:55.994,1:55.663,1:55.717,1:56.634,1:57.143,1:55.881,1:55.946,1:56.678,1:55.955,2:03.347,2:12.402,1:55.777,1:55.847,1:55.676,1:56.320,1:56.111,1:56.013,1:56.371,1:55.778,1:55.153,1:56.480,1:57.570
Mika Salo,3:42.454,2:11.418,2:10.386,2:07.949,2:07.515,2:08.915,2:12.704,2:22.099,2:01.217,1:59.267,1:58.047,1:57.481,1:57.364,1:57.085,1:57.636,1:58.368,1:57.878,1:57.977,1:58.445,1:56.578,1:57.304,2:03.698,2:13.508,1:55.715,1:55.590,1:55.190,1:55.471,1:55.190,1:55.451,1:55.110,1:55.306,1:55.267,2:01.195,2:09.196,1:55.483,1:55.404,1:55.683,1:56.037,1:56.131,1:56.188,1:56.088,1:55.661,1:56.614,1:55.901
Gastón Mazzacane,3:44.570,2:18.567,2:10.322,2:11.810,2:17.982,2:14.283,2:22.910,2:19.867,2:03.216,2:01.805,2:00.248,1:59.515,1:59.504,1:58.676,2:00.281,1:58.765,1:58.521,1:58.489,1:59.476,1:58.620,1:58.690,1:59.840,1:58.082,1:58.240,1:59.207,1:58.070,2:00.681,2:09.207,3:14.899,1:57.642,1:57.792,1:57.601,1:57.572,1:57.263,1:57.963,1:57.710,1:58.044,2:17.077,2:16.172,2:10.868,2:06.061,2:05.713
Mika Häkkinen,3:29.931,2:06.058,2:05.425,2:05.052,2:05.388,2:05.983,2:10.139,2:15.940,1:59.311,1:58.301,1:56.300,1:55.626,2:05.357,1:55.732,1:55.530,1:56.043,1:55.746,1:55.388,1:55.179,1:55.268,1:55.535,1:55.572,1:56.163,1:55.182,1:55.492,1:55.274,2:02.331,2:11.797,1:54.936,1:54.515,1:54.488,1:54.469,1:54.983,1:54.614,1:54.517,1:54.588,1:54.997,1:55.043,1:55.685,1:55.763,1:54.707,1:54.947,1:55.071,1:56.128
Eddie Irvine,3:37.379,2:11.163,2:09.180,2:08.374,2:08.929,2:09.332,2:11.149,2:20.063,2:02.022,1:59.626,1:58.616,1:58.336,1:59.249,1:58.736,1:58.613,1:58.321,1:58.153,1:58.059,2:00.401,1:58.373,1:58.439,1:57.693,1:57.154,1:57.376,1:57.430,1:57.394,1:57.425,1:57.297,1:57.253,2:03.485,2:12.510,1:55.803,1:55.907,1:56.156,1:56.063,1:56.033,1:56.245,1:56.357,1:56.193,1:56.214,1:55.900,1:55.603,1:55.957,1:56.088
Jean Alesi,3:42.399,2:10.622,2:07.715,2:14.506,2:24.502,2:02.231,2:00.889,2:00.192,1:58.782,1:58.124,1:57.663,1:56.669,1:56.351,1:56.166,1:55.954,1:56.529,1:55.979,2:02.532,2:15.551,1:56.864,1:57.084,1:56.290,1:56.031,1:56.166,1:56.483,1:56.852,1:56.592,1:57.744,1:56.477,1:56.165,2:02.238,2:12.500
Jos Verstappen,3:43.233,2:11.598,2:11.409,2:14.459,2:20.283,2:19.361,2:03.999,2:02.844,2:03.048,2:13.989,2:17.777,1:58.630,1:58.462,1:58.546,1:58.379,1:58.243,1:58.206,1:58.766,1:58.147,1:58.045,1:58.441,1:58.420,1:58.251,2:04.354,2:18.160,1:57.432,1:57.974,2:07.233,2:17.382,1:58.445,1:59.371,1:57.994,1:58.393,1:59.770,1:58.315,1:58.587,1:58.469,1:58.317,1:58.126,1:58.500,1:58.423,2:00.909,2:02.428
Heinz-Harald Frentzen,3:34.757,2:10.254,2:08.358,2:07.986,2:10.540,2:15.993,2:19.627,2:02.802,2:00.954,1:59.200,1:58.048,1:57.630,1:57.231,1:57.336,1:57.163,1:57.163,1:56.800,1:56.944,1:57.039,1:56.882,1:56.398,1:56.468,1:56.373,1:57.577,1:56.163,1:56.417,1:56.181,2:02.664,2:13.445,1:55.418,1:55.447,1:56.010,1:54.966,1:55.399,1:55.635,1:55.515,1:55.709,1:55.412,1:55.313,1:55.734,1:55.826,1:55.962,1:56.609,1:57.130
Marc Gené,3:43.979,2:14.585,2:09.735,2:12.962,2:20.439,2:17.993,2:04.002,2:01.854,2:00.535,2:00.107,1:59.510,1:58.793,1:58.343,1:58.367,1:57.683,1:57.369,1:57.965,1:58.169,1:57.261,1:57.608,2:03.547,2:20.155,1:58.663,2:04.420,2:13.622,1:58.282,1:58.595,1:58.022,1:59.807,2:00.000,1:58.734,1:58.584,2:00.221,1:58.535,1:59.152,2:01.114,1:59.224,1:58.534,1:58.393,1:59.823,2:00.632,2:00.174,1:58.689
Ricardo Zonta (ZON),3:37.940,2:11.515,2:09.366,2:09.335,2:11.006,2:16.906,2:22.389,2:02.520,2:00.760,1:59.686,1:59.037,1:58.309,1:59.648,1:58.474,1:59.476,1:58.320,1:57.857,1:57.319,1:57.444,1:57.955,1:57.928,2:05.185,2:16.052,2:00.953,1:58.107,1:57.654,1:58.409,1:57.728,1:57.696,1:57.457,1:57.422,1:57.608,1:57.627,1:57.649,1:58.054,1:58.040,1:57.716,1:57.498,1:57.663,2:00.724,1:57.600,1:57.269,1:58.687
Pedro de la Rosa (DLR),3:41.998,2:10.675,2:13.164,2:12.205,2:11.906,2:15.195,2:20.626,2:02.557,2:02.329,2:02.223,1:59.208,1:58.634,2:05.287,2:20.380,1:58.609,1:57.893,1:58.012,1:58.065,1:57.709,1:58.149,1:57.999,1:58.142,1:58.050,1:58.931,1:57.720,2:05.146,2:24.411,2:57.739,1:56.770,1:59.122,1:57.838,1:57.837,1:58.254,1:57.788,1:58.515,1:57.735,2:00.653,1:57.594,1:57.182,1:57.756,1:57.316,2:00.949
Jacques Villeneuve (VIL),3:34.308,2:09.773,2:08.066,2:08.178,2:09.883,2:16.921,2:19.624,2:02.650,2:00.473,1:58.757,1:57.836,1:57.395,1:57.590,1:57.401,1:57.113,1:56.802,1:56.868,1:56.781,1:56.370,1:56.600,1:56.335,1:56.662,1:56.369,2:03.689,2:15.786,1:56.640,1:57.027,1:56.699,1:57.131,1:57.079,1:57.153,1:57.264,1:56.505,1:56.629,1:57.491,1:56.961,1:56.444,1:55.923,1:55.937,1:55.839,1:55.511,1:55.608,1:55.725,2:01.078
Michael Schumacher (MSC),3:32.177,2:07.691,2:07.384,2:08.682,2:06.788,2:12.014,2:16.064,2:00.182,1:58.473,1:57.252,1:56.117,1:55.254,1:55.097,1:55.227,1:55.085,1:55.016,1:54.503,1:54.252,1:54.837,1:55.231,1:54.355,2:01.651,2:15.393,1:55.666,1:55.642,1:55.567,1:56.349,1:57.240,1:55.763,1:55.687,1:55.148,1:55.258,1:55.166,1:55.200,1:54.843,1:54.829,1:55.226,1:55.174,1:55.809,1:55.816,1:56.675,1:55.310,1:55.454,1:55.051
Alexander Wurz (WUR),3:43.160,2:13.844,2:10.332,2:13.487,2:11.694,2:14.186,2:36.285,2:02.493,2:02.344,2:00.511,1:59.842,1:59.091,1:58.861,1:58.016,1:58.592,1:58.792,1:57.985,1:58.258,1:57.798,1:58.243,1:58.230,2:00.083,1:58.666,1:59.657,2:04.371,2:15.362,2:00.167,1:58.193,1:58.943,1:57.863,1:57.284,1:57.510,1:57.483,1:57.128,1:57.099,1:57.118,1:57.472,1:57.227,1:57.037,1:57.373,1:57.393,1:56.726,1:56.988
Ralf Schumacher (SCH),3:33.396,2:08.101,2:07.301,2:08.057,2:09.486,2:14.586,2:16.856,2:00.344,1:58.568,1:57.998,1:56.982,1:57.445,1:56.270,1:56.346,1:57.321,1:56.232,1:55.615,1:55.656,1:55.769,1:55.768,1:55.486,1:55.660,1:55.733,1:55.473,2:02.941,2:13.952,1:55.818,1:56.215,1:56.018,1:55.773,1:56.002,1:55.679,1:55.828,1:56.316,1:57.092,1:56.599,1:56.087,1:56.308,1:56.308,2:00.275,1:55.913,1:55.535,1:55.953,1:57.529
Rubens Barrichello (BAR),3:35.849,2:09.655,2:08.550,2:08.321,2:11.010,2:15.019,2:19.962,2:02.298,1:59.695,1:58.872,1:57.889,1:57.418,1:57.407,1:57.389,1:57.156,1:56.893,1:56.857,1:56.741,1:56.266,2:03.588,2:09.641,1:57.397,1:54.651,1:54.341,1:54.321,1:54.470,1:55.093,1:55.630,1:54.071,1:53.803,1:53.935,1:54.332
Giancarlo Fisichella (FIS),3:36.537,2:11.323,2:08.691,2:08.680,2:09.030,2:15.263,2:34.599,2:02.148
Jenson Button (BUT),3:31.546,2:07.274,2:06.788,2:10.487,2:10.618,2:09.025,2:14.506,2:17.395,2:00.570,1:58.396,1:57.604,1:57.194,1:56.760,1:57.059,1:57.168,1:57.022,1:56.595,1:56.360,1:56.311,1:55.880,1:55.861,1:55.913,1:55.825,1:56.132,1:55.766,2:02.447,2:14.176,1:55.937,1:55.803,1:56.061,1:56.105,1:55.596,1:55.425,1:55.630,1:55.941,1:56.505,1:57.296,1:56.089,1:56.049,1:56.048,1:56.403,1:55.892,1:56.012,1:56.938
Jarno Trulli (TRU),3:30.752,2:07.367,2:07.154,2:10.300
David Coulthard (COU),3:32.856,2:07.703,2:07.274,2:08.871,2:09.135,2:09.481,2:08.669,2:12.210,2:16.103,1:59.047,1:57.971,1:57.443,1:57.094,1:57.541,1:56.931,1:57.164,1:56.812,1:57.152,1:57.066,1:56.697,1:56.409,1:56.685,1:56.396,1:57.224,1:56.344,1:56.164,1:56.520,2:02.549,2:08.866,1:54.870,1:54.303,1:54.131,1:54.230,1:54.266,1:55.455,1:56.298,1:55.220,1:56.155,1:55.085,1:55.491,1:55.712,1:55.236,1:55.194,1:55.752
Nick Heidfeld (HEI),3:38.816,2:11.431,2:08.958,2:09.557,2:16.446,2:37.307,2:04.176,2:02.216,2:02.029,2:02.309,1:59.525,1:58.831
