Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Johnny Herbert,1:32.930,1:21.508,1:20.556,1:20.343,1:20.269,1:19.973,1:19.462,1:20.360,1:20.147,1:19.647,1:20.251,1:19.267,1:18.866,1:18.882,1:20.709,1:18.615,1:18.578,1:18.730,1:18.681,1:18.391,1:18.582,1:18.122,1:18.030,1:17.919,1:17.870,1:17.838,1:17.905,1:17.947,1:17.790,1:18.147,1:18.224,1:18.145,1:17.857,1:17.993,1:18.280,1:17.845,1:19.855,1:18.184,1:18.371,1:19.381,1:18.116,1:18.632,1:18.629,1:23.388,1:43.012,1:18.023,1:18.144,1:17.979,1:17.846,1:17.696,1:35.587
Gastón Mazzacane,1:35.023,1:22.153,1:21.634,1:21.815,1:20.848,1:20.580,1:19.838,1:20.032,1:21.196,1:20.393,1:20.129,1:19.848,1:19.829,1:19.697,1:20.907,1:21.492,1:19.351,1:19.518,1:19.101,1:19.192,1:19.778,1:20.052,1:18.662,1:20.832,1:18.882,1:18.646,1:20.480,1:19.001,1:18.936,1:18.989,1:18.573,1:18.135,1:18.353,1:18.125,1:18.255,1:18.468,1:17.394,1:23.824,1:47.376,1:19.944,1:20.771,1:19.028,1:18.983,1:19.369,1:19.095,1:18.894,1:18.401,1:18.858,1:18.925,1:18.715,1:20.490,1:19.737,1:19.839,1:18.552,1:18.912,1:18.311,1:18.058,1:18.633,1:17.936,1:19.474,1:18.407,1:18.878,1:19.863,1:17.863,1:17.380,1:18.608,1:17.940,1:18.050,1:18.339
Mika Häkkinen,1:24.530,1:19.203,1:18.201,1:17.422,1:17.478,1:17.355,1:17.726,1:18.191,1:17.129,1:16.991,1:17.197,1:16.562,1:16.502,1:17.647,1:17.509,1:16.459,1:16.207,1:16.248,1:16.010,1:15.920,1:16.216,1:16.056,1:16.551,1:15.745,1:15.466,1:15.610,1:15.545,1:15.456,1:15.691,1:31.921
Eddie Irvine,1:27.294,1:20.268,1:19.591,1:19.049,1:19.187,1:19.231,1:19.006,1:18.996,1:18.899,1:18.638,1:18.938,1:18.210,1:18.237,1:18.407,1:18.238,1:19.088,1:18.082,1:17.943,1:18.179,1:17.792
Jean Alesi,1:32.052,1:21.080,1:19.768,1:19.375,1:19.302,1:19.281,1:20.236,1:19.453,1:18.694,1:18.745,1:18.381
Jos Verstappen,1:30.838,1:21.000,1:19.307,1:19.241,1:18.975,1:19.194,1:19.698,1:19.357,1:19.490,1:19.538,1:18.646,1:18.099,1:17.908,1:17.984,1:18.141,1:18.294,1:17.703,1:17.527,1:17.654,1:17.766,1:17.646,1:18.004,1:17.966,1:17.713,1:17.720,1:17.603,1:17.374,1:17.187,1:17.629,1:17.059,1:16.975,1:17.002,1:17.480,1:17.178,1:20.885,1:46.237,1:19.089,1:18.826,1:18.832,1:19.586,1:18.901,1:18.915,1:18.201,1:18.500,1:18.680,1:18.778,1:18.827,1:18.457,1:18.367,1:18.548,1:18.826,1:18.352,1:18.373,1:18.581,1:18.262,1:20.608,1:19.020,1:19.765,1:18.959,1:18.632,1:18.789,1:19.097,1:18.094,1:18.340,1:18.465,1:18.184,1:17.809,1:17.574,1:17.816,1:18.391
Heinz-Harald Frentzen,1:28.595,1:21.140,1:20.055,1:19.824,1:19.320,1:19.357,1:20.004,1:20.454,1:19.785,1:19.354,1:19.668,1:19.261,1:18.478,1:18.549,1:18.490,1:18.218,1:18.392,1:17.986,1:17.836,1:18.149,1:18.070,1:17.958,1:17.509,1:17.451,1:17.671,1:17.154,1:17.121,1:17.045,1:17.391,1:16.953,1:16.754,1:17.014,1:17.454,1:16.547,1:16.918,1:16.560,1:16.643,1:16.461,1:16.806,1:17.009,1:21.186,1:40.594,1:17.939,1:16.994,1:16.653,1:17.728,1:17.878,1:17.576,1:17.297,1:17.211,1:17.871,1:17.165,1:17.249,1:16.892,1:16.573,1:16.670,1:16.555,1:16.617,1:16.331,1:16.233,1:16.183,1:15.711,1:15.977,1:15.798,1:15.528,1:15.727,1:15.831,1:16.005,1:15.593,1:15.378,1:15.192
Marc Gené,1:34.462,1:22.340,1:21.326,1:20.197,1:19.664,1:20.237,1:20.493,1:19.671,1:19.928,1:20.892,1:19.113,1:18.428,1:18.768,1:19.265,1:19.198,1:18.840,1:18.459,1:18.611,1:18.581,1:18.978,1:18.615,1:18.219,1:18.385,1:17.782,1:18.468,1:18.133,1:18.722,1:18.805,1:17.944,1:17.246,1:17.174
Ricardo Zonta (ZON),1:29.266,1:21.686,1:20.123,1:20.755,1:19.347,1:19.337,1:20.503,1:19.264,1:20.292,1:19.285,1:18.996,1:19.124,1:18.467,1:18.662,1:18.395,1:18.435,1:18.564,1:18.457,1:18.105,1:18.353,1:18.040,1:18.873,1:17.983,1:18.440,1:18.485,1:18.224,1:36.753,2:14.259,1:19.220,1:23.466,1:18.670,1:18.357,1:18.647,1:18.084,1:18.794,1:18.106,1:18.282,1:19.899,1:19.471,1:20.002,1:18.303,1:18.582,1:18.128,1:18.283,1:18.121,1:18.015,1:18.554,1:17.603,1:18.021,1:17.565,1:18.178,1:17.710,1:17.493,1:17.225,1:17.808,1:17.470,1:17.383,1:17.663,1:17.101,1:16.900,1:16.658,1:17.222,1:16.752,1:16.864,1:16.889,1:16.915,1:16.874,1:16.726,1:17.005
Pedro de la Rosa (DLR),1:33.473,1:21.753,1:20.211,1:20.289,1:20.496,1:20.544,1:19.468,1:20.129,1:19.749,1:19.793,1:20.132,1:19.346,1:19.195,1:18.681,1:19.018,1:18.153,1:17.848,1:18.252,1:17.593,1:17.294,1:17.653,1:17.258,1:18.475,1:17.120,1:17.891,1:17.484,1:18.279,1:17.130,1:18.726,1:17.381,1:17.926,1:17.705,1:17.225,1:17.619,1:17.645,1:17.627,1:23.896,1:45.780,1:18.278,1:19.111,1:18.655,1:18.932,1:18.798,1:18.953,1:18.598,1:18.580,1:18.074,1:19.259,1:18.098,1:17.995,1:17.649,1:17.767,1:18.079,1:18.122,1:28.643,1:17.990,1:17.593,1:17.799,1:17.630,1:17.098,1:17.027,1:16.967,1:18.420,1:18.345,1:19.492,1:17.538,1:19.101,1:17.916,1:18.153,1:17.608
Jacques Villeneuve (VIL),1:30.627,1:21.172,1:21.066,1:20.918,1:19.340,1:19.313,1:19.812,1:19.685,1:23.066,1:19.359,1:19.124,1:18.707,1:18.934,1:18.678,1:18.505,1:18.379
Michael Schumacher (MSC),1:24.604,1:17.226,1:16.611,1:16.874,1:16.325,1:16.454,1:15.978,1:16.196,1:16.685,1:16.327,1:16.075,1:15.763,1:15.687,1:15.378,1:15.337,1:15.346,1:15.726,1:15.441,1:15.413,1:19.420,1:40.535,1:16.401,1:16.279,1:16.164,1:16.922,1:16.246,1:17.390,1:16.398,1:16.355,1:16.500,1:16.978,1:16.331,1:16.898,1:16.150,1:16.153,1:15.961,1:16.502,1:16.351,1:15.641,1:16.089,1:15.612,1:15.399,1:16.022,1:15.588,1:15.868,1:16.116,1:16.811,1:14.755,1:15.548,1:15.575,1:18.908,1:38.427,1:16.705,1:16.668,1:17.570,1:18.241,1:18.550,1:18.719,1:18.310,1:18.743,1:20.472,1:17.537,1:17.438,1:17.169,1:16.456,1:17.711,1:16.867,1:17.238,1:16.794,1:16.767,1:17.577
Alexander Wurz (WUR),2:19.655,1:22.417,1:21.905,1:22.134,1:21.821,1:22.315
Ralf Schumacher (SCH),1:31.713,1:21.400,1:21.024,1:20.185,1:19.914,1:19.508,1:19.528,1:19.732,1:19.487,1:19.051,1:19.485,1:18.917,1:18.824,1:19.103,1:18.311,1:18.372,1:18.408,1:18.255,1:18.000,1:18.083,1:18.290,1:18.158,1:17.984,1:17.905,1:18.151,1:18.341,1:18.711,1:17.328,1:17.589,1:17.437,1:17.945,1:17.795,1:18.005,1:17.706,1:17.536,1:17.257,1:17.218,1:17.277,1:17.310,1:17.425,1:17.691,1:17.588,1:17.467,1:17.086,1:20.592,1:41.665,1:16.825,1:17.525,1:17.231,1:17.357,1:17.458,1:18.141,1:17.649,1:18.065,1:17.190,1:17.216,1:17.273,1:17.331,1:17.092,1:17.877,1:16.732,1:16.938,1:16.792,1:16.703,1:16.550,1:16.707,1:16.398,1:16.794,1:16.817,1:16.905
Rubens Barrichello (BAR),1:25.840,1:19.612,1:17.575,1:17.295,1:16.858,1:17.438,1:17.569,1:18.245,1:17.198,1:16.848,1:17.259,1:16.672,1:16.404,1:17.351,1:16.198,1:15.801,1:15.672,1:15.885,1:15.632,1:15.868,1:15.658,1:19.516,1:41.492,1:16.868,1:16.983,1:16.812,1:46.109
Giancarlo Fisichella (FIS),1:28.494,1:20.683,1:19.580,1:19.441,1:19.192,1:19.412,1:20.792,1:19.862,1:19.418,1:19.192,1:19.229,1:19.989,1:19.070,1:18.645,1:18.504,1:18.461,1:18.271,1:17.997,1:18.194,1:17.933,1:18.159,1:17.867,1:17.637,1:17.366,1:17.350,1:17.080,1:17.185,1:17.102,1:17.124,1:17.009,1:16.932,1:16.902,1:17.101,1:16.682,1:16.556,1:16.263,1:16.310,1:16.400,1:16.402,1:16.355,1:16.224,1:16.199,1:16.259,1:16.213,1:16.184,1:16.479,1:16.609,1:16.965,1:17.231,1:16.425,1:19.910,1:38.057,1:16.733,1:16.764,1:17.230,1:17.047,1:17.148,1:17.194,1:17.215,1:17.364,1:16.623,1:16.752,1:16.976,1:16.785,1:18.252,1:16.520,1:16.335,1:16.002,1:16.171,1:16.363,1:16.799
Jenson Button (BUT),1:32.042,1:22.063,1:20.442,1:20.002,1:20.346,1:19.484,1:20.282,1:19.309,1:19.293,1:19.166,1:19.046,1:19.296,1:18.785,1:18.955,1:18.396,1:18.384,1:18.402,1:18.311,1:18.283,1:17.900,1:18.416,1:18.002,1:18.415,1:17.784,1:17.792,1:18.157,1:18.769,1:18.388,1:18.346,1:17.806,1:17.757,1:17.567,1:17.976,1:17.584,1:17.194,1:17.359,1:18.945,1:17.142,1:16.533,1:17.192,1:16.379,1:16.788,1:17.400,1:21.141,1:41.132,1:18.458,1:19.133,1:18.445,1:18.610,1:18.672,1:18.951,1:18.278,1:18.527,1:17.991,1:19.980,1:17.666,1:16.677,1:16.688,1:18.264,1:16.849,1:17.458,1:17.224,1:17.872,1:17.891,1:17.343,1:17.235,1:16.718,1:17.785,1:16.525,1:17.640
Jarno Trulli (TRU),1:29.366,1:20.677,1:19.892,1:18.791,1:19.048,1:19.216,1:18.630,1:18.781,1:18.331,1:18.236,1:18.658,1:18.651,1:18.213,1:17.819,1:18.050,1:17.039,1:16.975,1:17.232,1:16.863,1:16.594,1:16.750,1:17.120,1:16.733,1:16.559,1:16.432,1:16.527,1:16.997,1:21.237,1:41.470,1:19.071,1:18.275,1:18.190,1:17.995,1:17.563,1:17.596,1:17.156,1:17.239,1:17.231,1:17.267,1:17.626,1:17.805,1:17.476,1:17.333,1:17.168,1:17.025,1:18.463,1:16.784,1:16.792,1:16.563,1:16.375,1:16.664,1:16.834,1:16.853,1:16.852,1:16.727,1:21.888,1:38.358,1:17.520,1:17.783,1:16.789,1:16.457,1:16.893,1:17.026,1:16.832,1:16.589,1:16.494,1:16.814,1:16.672,1:16.900,1:17.795,1:19.431
