Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Johnny Herbert,1:57.436,2:43.523,1:45.096,1:45.021,1:44.281,1:43.621,1:43.588,1:43.473,1:44.345,1:42.804,1:42.683,1:42.538,1:42.669,1:42.415,1:42.010,1:42.330,1:42.039,1:41.672,1:41.848,1:41.466,1:41.577,1:41.489,1:41.168,1:41.023,1:40.915,1:41.132,1:40.764,1:44.845,2:22.855,1:43.007,1:43.025,1:43.207,1:44.041,1:43.509,1:43.221,1:43.195,1:43.466,1:45.180,1:43.536,1:42.831,1:42.689,1:42.231,1:42.766,1:42.421,1:42.133,1:42.236,1:42.468,1:41.992
Mika Salo,1:58.584,2:43.571,1:45.474,1:43.805,1:44.243,1:43.560,1:43.583,1:43.457,1:42.400,1:41.423,1:41.488,1:41.415,1:41.665,1:40.896,1:40.951,1:45.168,2:07.678,1:41.651,1:42.184,1:42.342,1:41.957,1:42.122,1:41.907,1:42.258,1:42.759,1:42.446,1:42.052,1:42.523,1:41.763,1:41.711,1:41.546,1:41.926,1:41.582,1:41.071,1:40.970,1:44.941,2:08.419,1:42.380,1:42.112,1:42.787,1:41.894,1:42.342,1:42.404,1:42.577,1:42.116,1:41.911,1:42.112,1:42.232,1:43.784,1:41.809,1:41.676,1:42.172,1:44.200,1:42.357,1:42.349
Gastón Mazzacane,2:01.769,2:43.398,1:46.083,1:45.727,1:46.104,1:46.145,1:46.276,1:47.186,1:45.221,1:45.547,1:44.261,1:45.041,1:44.218,1:44.437,1:44.302,1:43.925,1:43.862,1:43.817,1:43.424,1:43.873,1:43.511,1:43.249,1:43.207,1:43.147,1:43.176,1:43.518,1:47.067,2:13.086,1:44.515,1:45.481,1:45.170,1:44.973,1:45.632,1:45.843,1:44.660,1:45.407,1:45.839,1:44.535,1:44.430,1:44.239,1:45.756,1:45.235,1:49.773,1:43.819,1:50.836,2:08.788,1:43.761,1:44.709,1:45.239,1:43.802
Mika Häkkinen,1:49.538,2:46.981,1:46.362,1:43.088,1:46.854,2:10.143,1:41.832,1:41.500,1:42.054,1:43.543,1:40.896,1:41.982,1:42.953,1:43.439,1:42.806,1:40.728,1:40.303,1:40.018,1:40.365,1:41.416,1:42.053,1:40.033,1:40.031,1:39.621,1:39.400,1:40.549,1:40.834,1:41.741,1:41.179,1:41.555,1:39.679,1:38.556,1:39.681,1:38.543,1:42.694,2:05.918,1:40.658,1:41.881,1:40.154,1:40.369,1:40.278,1:40.206,1:40.419,1:40.184,1:40.558,1:40.647,1:40.195,1:40.039,1:39.967,1:40.876,1:40.019,1:40.080,1:41.003,1:39.948,1:40.076,1:43.079
Eddie Irvine,1:55.675,2:43.919,1:44.537,1:43.983,1:43.144,1:42.600,1:42.783,1:42.782,1:41.747,1:41.757,1:42.134,1:41.600,1:41.180,1:41.023,1:40.827,1:41.228,1:41.127,1:40.292,1:44.178,2:07.155,1:41.228,1:41.861,1:42.035,1:42.918,1:42.159,1:42.236,1:42.071,1:42.029,1:41.712,1:41.613,1:42.024,1:41.538,1:41.648,1:41.061,1:41.033,1:41.088,1:41.164,1:40.927,1:40.626,1:43.810,2:06.478,1:41.128,1:41.802,1:42.310,1:41.836,1:41.995,1:41.691,1:41.582,1:41.682,1:41.897,1:41.121,1:41.048,1:41.165,1:40.930,1:40.961,1:40.725
Jean Alesi,2:05.331,2:40.439,1:45.787,1:45.912,1:45.823,1:43.910,1:44.275,1:44.413,1:44.618,1:44.229,1:42.119,1:42.575,1:42.119,1:42.215,1:41.919,1:45.903,2:08.252,1:43.812,1:42.881,1:43.161,1:42.837,1:42.805,1:42.813,1:42.561,1:42.667,1:42.665,1:42.947,1:42.737,1:42.477,1:42.376,1:42.070,1:42.305,1:41.730,1:41.634,1:45.488,2:09.750,1:43.640,1:43.313,1:43.347,1:43.482,1:43.392,1:43.348,1:43.669,1:43.271,1:43.988,1:46.635,1:43.688,1:43.585,1:43.156,1:43.149,1:42.907,1:43.897,1:43.165,1:42.781,1:43.504
Jos Verstappen,2:02.126,2:43.208,1:44.609,1:44.504,1:45.017,1:42.957,1:43.120,1:43.859,1:44.052,1:43.142,1:43.171,1:42.577,1:42.165,1:41.809,1:41.791,1:41.912,1:41.412,1:41.286,1:41.365,1:41.597,1:41.530,1:41.434,1:41.289,1:41.326,1:41.177,1:41.574,1:41.104,1:41.157,1:44.997,2:09.751,1:42.637,1:42.818,1:42.713,1:43.512,1:42.815,1:43.039,1:43.077,1:43.058,1:42.384,1:42.519,1:42.945,1:42.705,1:42.405,1:42.780,1:42.095,1:43.176,1:42.431,1:42.695,1:42.701,1:43.247,1:42.050,1:43.127,1:43.983,1:48.041,1:57.415
Heinz-Harald Frentzen,1:56.265,2:44.459,1:44.557,1:44.644,1:50.168,2:02.942,2:22.297
Marc Gené,2:01.175,2:43.353,1:45.244,1:45.987,1:45.522,1:45.389,1:44.462,1:44.174,1:44.922,1:44.690,1:44.431,1:44.197,1:43.809,1:43.438,1:44.418,1:43.499,1:43.232,1:42.853,1:42.561,1:42.714,1:42.509,1:42.244,1:41.973,1:42.127,1:42.030,1:42.158,1:41.928,1:46.384,2:12.890,1:45.088,1:46.520,1:45.143,1:44.260,1:44.729,1:44.074,1:45.651
Ricardo Zonta (ZON),1:59.395,2:42.912,1:44.754,1:43.541,1:42.485,1:42.406,1:42.268,1:42.951,1:42.548,1:41.757,1:41.731,1:42.422,1:42.099,1:41.801,1:41.300,1:41.232,1:41.842,1:41.393,1:41.019,1:41.018,1:40.498,1:40.777,1:44.364,2:05.540,1:42.168,1:42.243,1:53.465,1:41.786,1:41.761,1:41.691,1:41.840,1:41.514,1:41.372,1:41.107,1:40.891,1:41.019,1:44.823,2:06.472,1:42.421,1:41.937,1:41.817,1:42.176,1:42.408,1:42.298,1:41.755,1:42.251
Jacques Villeneuve (VIL),1:54.448,2:44.434,1:44.703,1:43.664,1:42.604,1:42.211,1:43.736,1:42.588,1:41.815,1:41.579,1:41.978,1:41.227,1:41.083,1:41.130,1:40.925,1:41.148,1:40.578,1:40.870,1:40.222,1:40.160,1:40.242,1:45.240,2:06.134,1:41.192,1:42.089,1:41.604,1:41.269,1:41.726,1:41.134,1:42.824,1:41.859,1:40.794,1:40.808,1:41.612,1:40.778,1:40.628,1:40.160,1:45.453,2:06.925,1:41.288,1:42.063,1:42.705,1:41.503,1:41.345,1:41.233,1:41.766,1:42.114,1:41.880,1:41.396,1:42.215,1:41.221,1:40.944,1:42.639,1:42.208,1:41.939,1:42.894
Michael Schumacher (MSC),1:51.227,2:46.182,1:43.751,1:41.607,1:41.710,1:41.529,1:41.574,1:41.214,1:41.615,1:40.940,1:40.843,1:40.755,1:40.398,1:40.593,1:40.189,1:40.176,1:40.319,1:39.571,1:39.369,1:39.344,1:39.064,1:39.171,1:39.276,1:42.564,2:04.963,1:39.831,1:40.139,1:40.194,1:40.755,1:40.767,1:41.094,1:41.077,1:40.278,1:39.842,1:39.825,1:39.921,1:39.543,1:39.649,1:44.492,2:03.988,1:40.535,1:40.196,1:40.318,1:40.690,1:40.693,1:40.430,1:40.636,1:40.432,1:40.268,1:41.314,1:40.371,1:39.649,1:39.577,1:40.389,1:39.823,1:39.575
Alexander Wurz (WUR),1:53.330,2:45.056,1:44.823,1:43.450,1:42.648,1:42.743,1:42.385,1:41.988,1:41.953,1:41.496,1:41.489,1:41.475,1:41.355,1:41.341,1:41.005,1:40.913,1:40.686,1:40.383,1:40.312,1:43.883,2:05.260,1:41.388,1:41.877,1:41.750,1:42.311,1:43.412,1:43.156,1:42.228,1:42.298,1:41.937,1:41.463,1:41.256,1:41.336,1:41.172,1:45.049,2:07.222,1:42.140,1:42.217,1:42.739,1:45.640,1:43.238,1:42.358,1:42.286,1:42.432,1:42.316,1:42.553,1:41.883,1:42.279,1:41.952,1:42.412,1:41.516,1:41.671,1:42.193,1:41.762,1:41.901,1:42.232
Ralf Schumacher (SCH),2:00.663,2:42.996,1:45.356,1:45.239,1:46.531,1:44.845,1:43.645,1:43.901,1:49.319,1:43.867,1:43.958,1:44.026,1:44.539,1:43.455,1:43.635,1:43.485,1:43.612,1:42.809,1:42.410,1:43.083,1:42.700,1:42.442,1:42.155,1:42.824,1:42.145,1:42.323,1:42.876,1:46.562,2:10.718,1:43.057,1:44.056,1:44.020,1:42.786,1:44.335,1:42.853,1:42.985,1:42.675,1:42.598,1:42.354,1:45.627,1:42.153,1:41.729,1:54.289
Rubens Barrichello (BAR),1:52.071,2:46.012,1:44.239,1:42.258,1:41.938,1:41.919,1:41.745,1:41.535,1:41.696,1:41.132,1:41.023,1:40.934,1:40.739,1:41.014,1:40.609,1:40.190,1:40.458,1:40.875,1:40.052,1:39.744,1:39.862,1:39.944,1:39.302,1:39.490,1:43.265,2:04.526,1:40.263,1:40.257,1:40.667,1:40.282,1:40.838,1:40.852,1:40.628,1:40.618,1:39.970,1:39.815,1:39.957,1:39.940,1:39.835,1:40.074,1:44.080,2:08.047,1:40.214,1:40.527,1:40.580,1:40.573,1:40.622,1:41.170,1:40.790,1:41.028,1:41.106,1:40.518,1:40.649,1:40.278,1:40.679,1:41.250
Giancarlo Fisichella (FIS),2:00.071,2:43.027,1:45.330,1:44.914,1:44.437,1:43.981,1:45.706,1:43.743,1:43.882,1:43.338,1:43.116,1:43.321,1:43.176,1:42.954,1:42.957,1:42.634,1:42.129,1:42.534,1:42.707,1:42.327,1:43.132,1:42.037,1:41.819,1:42.065,1:41.768,1:41.807,1:42.273,1:41.741,1:41.772,1:41.880,1:41.671,1:45.062,2:08.710,1:41.523,1:41.870,1:42.195,1:42.179,1:42.406,1:54.324,1:43.144,1:43.349,1:42.604,1:42.319,1:42.346,1:42.401,1:42.156,1:42.263,1:42.051,1:43.648,1:43.272,1:42.784,1:41.351,1:40.925,1:41.129,1:42.495
Jenson Button (BUT),1:57.881,2:43.706,1:45.417,1:45.729,1:44.297,1:44.020,1:43.820,1:44.192,1:43.916,1:43.094,1:43.504,1:44.270,1:42.934,1:42.715,1:42.661,1:42.568,1:42.226,1:42.287
Jarno Trulli (TRU),2:01.384,2:44.759,1:46.286,1:46.368,1:45.506,1:45.796,1:45.725,1:45.955,1:43.864,2:01.015,2:10.675,1:44.036,1:43.800,1:43.730,1:43.547,1:44.647,1:44.154,1:43.242,1:42.988,1:42.978,1:44.112,1:42.971,1:42.754,1:45.123,1:44.517,1:42.822,1:42.491,1:42.602,1:42.644,1:43.649,1:42.101,1:41.854,1:41.262,1:43.995,1:41.674,1:41.923,1:42.132,1:42.616,1:48.834,2:09.117,1:42.863,1:43.369,1:42.772,1:42.148,1:45.228,1:42.413,1:42.878,1:41.872,1:41.847,1:41.357,1:41.363,1:41.479,1:42.279,1:41.990,1:42.787
David Coulthard (COU),1:50.682,2:46.237,1:42.544,1:41.477,1:41.013,1:41.249,1:40.679,1:40.729,1:40.490,1:41.382,1:40.101,1:40.865,1:40.257,1:40.023,1:40.666,1:39.897,1:43.858,2:04.395,1:41.257,1:41.027,1:40.360,1:40.968,1:40.576,1:40.728,1:40.758,1:40.508,1:40.345,1:40.369,1:40.217,1:40.212,1:40.255,1:40.516,1:39.931,1:39.658,1:39.843,1:39.529,1:39.560,1:43.509,2:04.011,1:40.393,1:40.530,1:40.387,1:40.075,1:40.108,1:40.413,1:40.457,1:40.452,1:40.424,1:40.218,1:41.125,1:40.782,1:39.880,1:39.633,1:39.906,1:39.837,1:39.666
