Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Johnny Herbert,1:36.906,1:27.875,1:27.247,1:27.623,1:26.165,1:26.199,1:25.793,1:25.741,1:25.697,1:25.417,1:24.913,1:25.162,1:24.907,1:25.056,1:24.900,1:24.949,1:24.636,1:24.750,1:27.753,1:24.278,1:24.362,1:24.981,1:25.261,1:25.106,1:25.079,1:25.041,2:26.031,1:42.148,1:25.240,1:25.943,1:24.858,1:23.245,1:29.283,1:26.260,1:25.844,1:26.658,1:27.089,1:28.302,1:26.528,1:50.000,1:32.025,1:28.153,1:24.643,1:32.816,1:27.334,1:25.194,1:24.773,1:26.034,1:25.672,1:25.929,1:26.601,1:27.661,1:25.451,1:26.543,1:27.199,1:24.947,1:26.075,1:24.554,1:25.113,1:24.857,1:24.787,1:25.991,1:24.215,1:24.384,1:24.779,1:24.362,1:28.542,1:24.388,1:25.440,1:27.659,1:24.717,1:24.101,1:24.293,1:24.401,1:25.359,1:30.929
Pedro Diniz,1:40.266,1:28.490,1:27.902,1:27.521,1:27.583,1:26.673,1:26.484,1:26.437,1:26.945,1:26.416,1:26.062,1:25.965,1:26.734,1:26.853,1:26.433,1:25.838,1:25.651,1:25.538,1:25.623,1:25.615,1:26.088,1:25.493,1:26.338,1:25.649,1:25.193,1:24.957,1:24.896,1:25.445,1:25.769,1:24.590
Mika Salo,1:39.112,1:28.746,1:27.751,1:27.152,1:26.387,1:26.361,1:25.838,1:25.882,1:26.242,1:25.430,1:25.326,1:25.665,1:25.336,1:24.861,1:25.031,1:25.541,1:25.496,1:25.684,1:26.319,1:25.056,1:24.957,1:25.333,1:25.484,1:25.110,1:24.445,1:24.328,1:24.174,1:24.974,1:25.289,1:24.444,1:24.414,1:26.321,1:24.190,1:24.456,1:25.514,1:24.731,1:24.434,1:24.543,1:23.974,1:24.550,1:23.767,1:23.624,1:23.743,1:23.872,1:24.069,1:27.968,1:23.971,1:23.437,1:24.487,1:25.102,1:23.532,1:24.174,1:46.940,1:27.875,1:24.338,1:23.959,1:23.102,1:22.634,1:22.821,1:23.171,1:24.101,1:24.397,1:23.993,1:23.946,1:22.840,1:23.346,1:23.052,1:24.449,1:23.298,1:23.210,1:23.303,1:23.160,1:23.492,1:24.049,1:24.118,1:24.015,1:25.358,1:29.394
Gastón Mazzacane,1:42.668,1:28.767,1:28.308,1:28.211,1:27.206,1:27.027,1:26.712,1:26.713,1:26.429,1:26.657,1:29.118,1:26.325,1:26.151,1:25.394,1:25.422,1:26.327,1:25.992,1:26.156,1:25.444,1:25.134,1:25.039,1:25.086
Mika Häkkinen,1:33.472,1:27.290,1:26.714,1:26.693,1:26.040,1:25.584,1:25.383,1:24.866,1:25.202,1:25.422,1:24.638,1:24.784,1:24.356,1:24.576,1:24.110,1:24.416,1:24.125,1:24.528,1:24.707,1:24.743,1:24.137,1:23.901,1:24.967,1:25.349,1:23.852,1:24.555,1:24.662,1:24.297,1:24.904,1:23.116,1:23.238,1:25.014,1:24.282,1:23.726,1:23.963,2:45.302,1:29.941,1:23.048,1:23.218,1:22.123,1:22.721,1:23.449,1:22.933,1:23.188,1:23.646,1:23.167,1:26.335,1:23.866,1:22.841,1:23.250,1:23.556,1:23.703,1:22.203,1:22.176,1:25.298,1:22.113,1:21.571,1:21.759,1:21.891,1:22.137,1:22.182,1:23.506,1:22.138,1:23.761,1:22.760,1:23.639,1:23.256,1:24.067,1:23.420,1:23.551,1:22.961,1:22.875,1:23.288,1:27.511,1:27.695,1:25.095,1:30.067
Eddie Irvine,1:38.177,1:29.102,1:27.684,1:27.095,1:25.603,1:26.472,1:26.155,1:26.241,1:26.279,1:24.393,1:25.044,1:24.545,1:24.662,1:25.240,1:24.678,1:24.476,1:25.697,1:24.257,1:24.625,1:23.842,1:23.699,1:23.945,1:24.214,1:25.350,1:24.374,1:24.037,1:24.138,1:24.034,1:24.721,1:24.554,1:23.916,1:25.006,1:23.638,1:23.170,1:23.166,1:24.575,1:24.187,1:23.745,1:23.481,1:23.493,1:23.715,1:23.605,1:24.226,1:24.261,1:24.022,1:24.829,1:27.171,1:25.202,1:24.297,1:47.303,1:29.841,1:23.529,1:23.928,1:23.406,1:23.603,1:23.667,1:23.918,1:23.990,1:23.575,1:23.757,1:24.453,1:24.894,1:23.760,1:23.734,1:23.316,1:22.764,1:22.424,1:22.572,1:24.302,1:24.084,1:25.426,1:24.208,1:23.448,1:24.379,1:24.853,1:25.499,1:25.180,1:27.286
Jean Alesi,1:35.163,1:27.627,1:26.934,1:26.549,1:25.944,1:25.898,1:25.358,1:25.083,1:24.983,1:25.559,1:24.821,1:24.975,1:24.583,1:24.253,1:24.615,1:24.529,1:24.565,1:24.441,1:24.017,1:24.594,1:24.031,1:23.986,1:24.853,1:24.969,1:23.970,1:24.419,1:23.949,1:24.638,1:24.641
Jos Verstappen,1:39.509,1:28.669,1:27.764,1:27.281,1:27.298,1:26.724,1:27.253,1:26.439,1:25.188,1:27.029,1:27.211,1:26.082,1:26.709,1:26.715,1:26.416,1:25.778,1:25.707,1:25.319,1:25.795,1:25.778,1:25.908,1:25.376,1:26.362,1:25.610,1:25.170,1:25.047,1:25.076,1:25.299,1:25.588,1:24.486,1:24.878,1:25.068,1:24.923,1:27.504,1:25.139,1:25.121,1:25.285,1:25.346,1:25.637,1:24.991,1:48.484,1:30.309,1:27.474,1:25.288,1:27.846,1:27.692,1:26.813,1:25.250,1:26.366,1:25.402,1:25.964,1:25.352,1:26.927,1:24.961,1:25.542,1:25.102,1:25.286,1:25.286,1:25.458,1:24.800
Heinz-Harald Frentzen,1:33.106,1:27.462,1:26.378,1:26.230,1:26.345,1:25.508,1:25.262,1:25.174,1:24.972,1:25.129,1:25.112,1:24.926,1:24.232,1:24.204,1:24.443,1:24.057,1:24.307,1:24.494,1:24.761,1:25.028,1:23.987,1:24.025,1:24.745,1:25.092,1:24.138,1:24.740,1:24.729,1:24.213,1:24.804,1:23.184,1:23.173,1:25.298,1:24.142,1:23.683,1:23.957,1:23.837,1:24.771,1:23.376,1:23.434,1:23.037,1:24.061,1:23.545,1:22.911,1:23.143,1:23.210,1:23.567,1:23.254,1:23.897,1:24.067,1:24.026,1:23.380,1:23.429,1:44.025,1:26.666,1:22.426,1:24.388,1:23.712,1:22.913,1:22.221,1:22.344,1:22.444,1:22.513,1:24.505,1:22.501,1:22.292,1:22.335,1:22.405,1:22.123,1:22.191,1:22.246
Marc Gené,1:45.539,1:29.004,1:28.378,1:28.212,1:27.453,1:26.827,1:26.936,1:26.489,1:26.491,1:26.346,1:27.859,1:26.169,1:26.180,1:25.591,1:25.819,1:26.186,1:28.351,1:24.351,1:25.013,1:24.553,1:24.599
Ricardo Zonta (ZON),1:41.870,1:28.736,1:28.459,1:27.514,1:27.277,1:27.025,1:26.985,1:26.605,1:26.490,1:26.718,1:26.182,1:25.891,1:26.157,1:26.060,1:26.406,1:25.966,1:25.652,1:25.721,1:25.858,1:25.384,1:25.864,1:25.399,1:25.954,1:26.268,1:26.085,1:24.898,1:24.707,1:25.295,1:24.908,1:25.405,1:25.705,1:27.474,1:25.009,1:24.345,1:24.668,1:25.724,1:24.454,1:25.362,1:24.940,1:25.530,1:24.753,1:25.761,1:24.681,1:25.870,1:49.049,1:29.885,1:24.037,1:23.514
Jacques Villeneuve (VIL),1:41.225,1:28.832,1:28.259,1:27.525,1:27.387,1:27.069,1:26.933,1:26.773,1:26.480,1:26.412,1:26.423,1:26.119,1:25.870,1:26.238,1:26.238,1:26.199,1:25.303,1:25.508,1:25.812,1:25.581,1:25.836,1:25.682,1:25.940,1:26.489,1:25.357,1:25.191,1:24.533,1:25.633,1:24.972,1:25.110,1:25.920,1:27.283,1:24.395,1:24.901,1:24.718,1:24.752,1:24.741,1:25.363,1:25.305,1:25.337,1:24.630,1:24.421,1:23.647,1:23.809,1:24.458,1:24.080,1:24.408,1:23.885,1:24.485,1:24.706,1:26.979,1:24.632,1:24.681,1:46.845,1:29.958,1:24.979,1:25.416,1:27.560,1:23.921,1:24.337,1:26.326,1:25.669,1:24.234,1:23.723,1:23.542,1:23.736,1:23.915,1:24.414,1:23.964,1:25.975,1:24.231,1:23.490,1:23.393,1:24.687,1:24.032,1:23.829,1:23.433
Michael Schumacher (MSC),1:29.297,1:26.000,1:25.192,1:24.799,1:24.336,1:24.632,1:24.299,1:24.261,1:24.220,1:23.968,1:23.734,1:23.863,1:23.627,1:23.626,1:23.196,1:23.488,1:23.287,1:23.506,1:23.346,1:24.237,1:23.474,1:23.006,1:24.152,1:24.372,1:23.061,1:23.025,1:23.025,1:23.471,1:23.164,1:23.939,1:22.948,1:23.934,1:24.567,1:22.832,1:22.821,1:22.762,1:23.454,1:23.234,1:24.119,1:23.335,1:22.730,1:22.287,1:22.262,1:22.802,1:21.912,1:22.984,1:22.532,1:22.655,1:44.347,1:26.243,1:24.347,1:23.015,1:22.858,1:22.776,1:24.832
Alexander Wurz (WUR),1:43.591,1:28.615,1:28.364,1:28.079,1:27.448,1:27.177,1:26.762,1:26.457,1:26.730,1:26.572,1:26.316,1:25.580,1:26.019,1:25.718,1:25.959,1:26.300,1:25.629,1:25.484
Ralf Schumacher (SCH),1:34.465,1:27.242,1:26.814,1:26.631,1:26.007,1:25.810,1:25.321,1:24.924,1:25.202,1:25.546,1:24.628,1:24.645,1:24.510,1:24.309,1:24.317,1:24.263,1:24.205,1:24.412,1:24.539,1:24.787,1:24.298,1:23.948,1:24.803,1:25.242,1:24.065,1:24.313,1:24.627,1:24.356,1:24.772,1:24.005,1:24.295,1:23.973,1:23.835,1:23.979,1:23.769,1:23.897,1:24.171
Rubens Barrichello (BAR),1:35.695,1:27.933,1:26.891,1:26.427,1:26.336,1:26.709,1:25.375,1:25.404,1:25.246,1:25.326,1:25.052,1:24.961,1:24.353,1:24.597,1:24.416,1:24.440,1:24.299,1:24.458,1:24.431,1:24.611,1:24.205,1:24.184,1:24.407,1:25.379,1:24.093,1:23.551,1:24.208,1:24.220,1:24.331,1:25.434,1:23.682,1:24.413,1:23.678,1:23.670,1:24.858,1:23.801,1:23.708,1:24.231,1:23.236,1:23.114,1:22.711,1:23.008,1:23.915,1:22.872,1:22.411,1:22.845,1:22.687,1:23.647,1:22.958,1:23.668,1:23.087,1:23.409,1:44.153,1:26.962,1:23.878,1:23.614,1:22.856,1:23.181,1:22.660,1:22.655,1:22.375,1:24.570,1:24.214,1:22.151,1:22.621,1:22.791,1:22.051,1:22.380,1:23.951,1:22.535,1:24.796,1:22.909,1:21.910,1:22.250,1:22.937,1:23.713,1:24.023,1:25.385
Giancarlo Fisichella (FIS),1:36.411,1:27.645,1:27.244,1:27.458,1:25.385,1:26.387,1:25.700,1:25.655,1:24.883,1:25.469,1:24.889,1:25.187,1:25.113,1:23.890,1:24.495,1:24.169,1:25.398,1:23.784,1:24.147,1:24.484,1:24.309,1:24.211,1:24.392,1:25.028,1:24.403,1:24.550,1:23.746,1:23.754,1:24.320,1:26.359,1:23.417,1:23.876,1:23.374,1:23.827,1:24.639,1:24.725,1:23.577,1:23.906,1:23.975,1:23.172,1:23.239,1:24.097,1:23.551,1:24.102,1:23.147,1:23.393,1:23.872,1:24.093,1:24.278,1:24.755,1:45.527,1:26.642,1:23.853,1:22.245,1:21.996,1:23.563,1:22.479,1:21.905,1:22.768,1:22.739,1:22.733,1:23.267,1:23.375,1:22.600,1:22.551,1:22.441,1:22.586,1:22.242,1:22.624,1:22.320,1:22.892,1:22.637,1:22.427,1:23.093,1:23.327,1:23.408,1:23.875,1:24.740
Jenson Button (BUT),1:44.689,1:28.501,1:28.014,1:28.363,1:27.003,1:27.367,1:26.736,1:26.412,1:26.668,1:26.451,1:28.119,1:26.220,1:26.095,1:25.740,1:25.807,1:26.535
Jarno Trulli (TRU),1:31.651,1:26.422,1:25.933,1:25.629,1:25.828,1:25.392,1:25.372,1:25.034,1:25.479,1:25.125,1:24.253,1:24.277,1:24.215,1:24.805,1:24.831,1:25.087,1:24.945,1:24.885,1:24.072,1:24.567,1:23.944,1:24.214,1:24.794,1:25.639,1:24.077,1:23.804,1:23.879,1:23.814,1:23.882,1:23.811,1:24.555,1:25.521,1:24.447,1:23.946,1:23.466,1:24.085
David Coulthard (COU),1:32.165,1:26.572,1:25.854,1:25.597,1:25.706,1:25.373,1:25.432,1:25.180,1:25.331,1:25.124,1:24.432,1:24.340,1:24.169,1:24.685,1:24.749,1:25.073,1:24.958,1:24.934,1:24.310,1:24.611,1:23.914,1:24.026,1:24.774,1:25.574,1:24.501,1:23.876,1:23.590,1:23.791,1:23.830,1:23.899,1:24.378,1:25.492,1:24.939,1:23.670,1:23.761,1:23.281,1:26.301,1:22.361,1:22.303,1:22.869,1:22.271,1:22.104,1:22.309,1:21.977,1:21.799,1:24.670,1:22.165,1:22.259,1:21.978,1:22.713,1:23.073,1:22.830,1:21.966,1:21.787,1:22.126,1:43.947,1:28.252,1:23.675,1:22.941,1:22.226,1:23.135,1:22.582,1:24.226,1:22.673,1:22.738,1:22.724,1:21.839,1:22.147,1:22.267,1:22.930,1:22.731,1:23.980,1:23.405,1:23.340,1:24.141,1:24.672,1:24.949,1:26.941
