Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Johnny Herbert,1:49.204,1:34.062,1:31.595,1:29.207,1:28.550,1:27.574,1:26.023,1:27.898,1:26.379,1:26.159,1:25.324,1:23.931,1:23.708,1:24.427,1:22.982,1:21.212,1:20.767,1:21.455,1:19.091,1:18.397,1:17.863,1:17.857,1:17.900,1:17.697,1:17.743,1:17.492,2:02.721,1:22.730,1:18.253,1:18.202,1:18.236,1:19.818,1:18.056,1:18.133,1:18.223,1:17.988,1:18.108,1:18.907,1:17.775,1:17.811,1:17.902,1:17.708,1:19.570,1:18.473,1:18.068,1:18.176,1:17.486,1:17.507,1:17.393,1:17.463,1:17.438,1:17.141,1:16.801,1:17.041,1:16.723,1:16.833,1:16.516,1:16.561,1:16.252,1:16.365,1:16.535,1:16.009,1:16.094,1:15.999,1:16.536,1:16.085,1:15.850,1:16.075,1:15.812,1:15.865,1:15.819,1:16.377
Pedro Diniz,1:37.771,1:27.833,1:26.344,1:25.569,1:26.053,1:26.577,1:26.442,1:25.457,1:25.007,1:24.972,1:24.928,1:48.829,1:30.740,1:24.745,1:22.820,1:22.130,1:22.668,1:24.454,1:21.018,1:19.733,1:19.789,1:18.945,1:17.698,1:18.721,1:17.581,1:16.865,1:17.117,1:17.464,1:16.994,1:16.903,1:16.843,1:17.062,1:16.773,1:16.402,1:16.746,1:16.502,1:16.384,1:16.853,1:17.608,1:16.504,1:16.121,1:15.721,1:15.923,1:15.687,1:15.481,1:15.745,1:18.552,1:16.979,1:15.483,1:41.487,1:21.699,1:16.732,1:16.438,1:16.447,1:16.765,1:18.912,1:17.401,1:48.686,1:22.156,1:17.240,1:16.972,1:16.204,1:16.338,1:15.794,1:16.328,1:16.268,1:16.413,1:15.892,1:15.305,1:15.585,1:15.497,1:15.409
Mika Salo,1:40.108,1:29.524,1:27.866,1:28.155,1:26.896,1:50.693,1:32.227,1:28.497,1:26.461,1:28.311,1:27.521,1:25.319,1:24.771,1:24.620,1:23.892,1:22.062,1:22.107,1:20.244
Gastón Mazzacane,1:43.213,1:28.840,1:28.120,1:27.897,1:27.321,1:26.948,1:26.467,1:27.460,1:25.919,1:25.731,1:25.650,1:25.762,1:25.637,1:49.829,1:29.924,1:24.944,1:23.770,1:22.753,1:20.761,1:21.065,1:20.606,1:19.911,1:18.953,1:19.336,1:18.979,1:18.705,1:18.270,1:17.943,1:17.519,1:19.883,1:17.239,1:17.194,1:17.714,1:17.224,1:17.586,1:17.207,1:17.103,1:17.220,1:16.872,1:16.730,1:16.711,1:16.951,1:22.628,1:17.262,1:17.131,1:17.799,1:17.643,1:17.908,1:55.647,1:21.853,1:17.522,1:17.314,1:17.283,1:19.171,1:17.193,1:16.948,1:17.378,1:16.912,1:16.770
Mika Häkkinen,1:30.772,1:24.392,1:24.554,1:24.577,1:25.137,1:27.182,1:49.034,1:32.250,1:27.156,1:24.957,1:24.419,1:25.412,1:25.605,1:25.988,1:21.061,1:20.153,1:20.157,1:18.754,1:17.931,1:17.789,1:17.929,1:16.496,1:16.431,1:16.314,1:15.773
Eddie Irvine,1:39.006,1:27.461,1:26.302,1:26.730,1:26.742,1:27.649,1:51.396,1:32.557,1:27.352,1:26.978,1:25.801,1:24.981,1:24.030,1:22.361,1:21.771,1:21.305,1:21.484,1:20.669,1:20.344,1:19.670,1:20.387,1:18.816,1:18.652,1:18.009,1:18.003,1:17.586,1:17.440,1:18.044,1:16.983,1:16.904,1:17.178,1:16.932,1:17.043,1:16.512,1:16.894,1:16.589,1:16.959,1:16.624,1:16.415,1:16.773,1:45.120,1:22.376,1:18.451,1:18.045,1:18.132,1:18.181,1:17.842,1:17.765,1:18.046,1:17.619,1:17.685,1:17.159,1:17.428,1:17.693,1:17.390,1:17.193,1:17.301,1:17.045,1:16.747,1:17.030,1:16.824,1:16.574,1:16.532,1:16.657,1:16.484,1:16.741,1:16.869,1:16.780,1:16.466,1:16.039,1:16.303,1:15.675,1:16.474
Jean Alesi,1:40.745,1:29.270,1:27.623,1:51.732,1:33.583,1:31.843,1:30.169,1:27.566,1:25.720,1:25.873,1:25.182,1:24.534,1:23.136,1:24.045,1:23.428,1:20.235,1:20.588,1:19.768,1:19.600,1:18.979,1:18.636,1:18.459,1:18.429,1:18.417,1:18.491,1:18.004,1:19.747,1:18.475,1:17.302,1:17.456,1:17.694,1:17.449,1:17.738,1:16.980,1:17.376,1:17.293,1:16.980,1:17.098,1:17.210,1:16.637,1:16.389,1:16.568,1:16.730,1:16.124,1:18.230,1:16.167,1:42.728,1:21.697,1:17.926,1:18.074,1:17.968,1:18.064,1:17.660,1:17.239,1:17.686,1:17.276,1:17.210,1:16.977,1:17.047,1:16.917,1:17.092,1:17.055,1:16.680,1:16.579
Jos Verstappen,1:39.058,1:27.098,1:26.547,1:26.140,1:26.720,1:26.472,1:50.563,1:30.558,1:26.552,1:26.317,1:25.261,1:24.138,1:23.197,1:23.358,1:22.714,1:21.669,1:20.862,1:20.264,1:19.915,1:19.190,1:18.235,1:18.269,1:17.823,1:17.922,1:17.753,1:17.483,1:17.289,1:17.050,1:16.895,1:17.084,1:16.553,1:16.482,1:16.306,1:16.252
Heinz-Harald Frentzen,1:36.214,1:25.299,1:25.021,1:24.925,1:25.931,1:26.797,1:26.932,1:25.492,1:24.854,1:24.910,1:24.391,1:24.221,1:24.176,1:49.710,1:30.601,1:22.693,1:20.887,1:19.502,1:19.333,1:19.156,1:18.775,1:18.810,1:18.557,1:18.027,1:17.885,1:17.719,1:17.482,1:17.249,1:17.006,1:16.870,1:16.933,1:17.139,1:16.563,1:16.601,1:16.657,1:16.945,1:16.524,1:16.480,1:16.354,1:16.275,1:16.640,1:16.378,1:16.464,1:16.411,1:16.149,1:15.923,1:15.913,1:15.717,1:15.862,1:41.021,1:19.945,1:16.030,1:16.748,1:17.054,1:16.674,1:16.236,1:16.442,1:16.348,1:16.410,1:16.134,1:16.023,1:16.441,1:16.060,1:16.395,1:16.706,1:16.026,1:16.090,1:15.840,1:15.521,1:15.672,1:15.790,1:15.719,1:15.573
Marc Gené,1:42.155,1:29.309,1:27.602,1:27.442,1:27.051,1:26.957,1:26.708,1:50.615,1:31.955,1:28.288,1:25.959,1:24.569,1:23.342,1:22.714,1:22.006,1:21.676,1:20.953,1:20.589,1:20.372,1:19.548,1:20.282,1:18.603,1:18.890,1:18.164,1:17.844,1:18.157,1:17.620,1:17.665,1:17.402,1:16.888,1:17.513,1:17.408,1:17.888,1:16.709,1:18.351,1:16.918,1:18.077,1:16.980,1:16.777,1:16.474,1:16.791,1:16.271,1:16.342,1:16.363,2:09.567,1:22.884,1:20.651,1:18.559,1:18.315,1:18.256,1:17.960,1:17.536,1:17.692,1:19.622,1:17.889,1:17.400,1:17.132,1:16.936,1:17.131,1:16.638,1:17.507,1:18.520,1:17.078,1:17.003,1:16.598,1:16.525,1:16.228,1:16.060,1:16.354,1:16.216,1:16.157,1:16.044
Ricardo Zonta (ZON),1:38.234,1:26.502,1:25.326,1:25.731,1:26.547,1:27.383,1:53.698,1:32.388,1:26.420,1:27.937,1:27.182,1:24.854,1:23.508,1:22.797,1:21.794,1:21.881,1:22.642,1:20.651,1:21.706,1:20.162,1:18.819,1:18.746,1:18.715,1:19.471,1:17.737,1:17.426,1:17.527,1:17.700,1:17.351,1:17.134,1:16.948,1:16.862,1:16.728,1:16.686,1:16.894,1:16.758,1:18.024,1:16.809,1:16.637,1:16.367,1:16.203,1:16.377,1:16.384,1:16.230,1:16.030,1:16.063,1:15.956,1:15.812,1:42.727,1:20.922,1:16.768,1:16.439,1:16.512,1:16.514,1:16.465,1:16.569,1:16.565,1:16.734,1:16.691,1:16.814,1:16.895,1:16.406,1:16.595,1:16.671,1:16.378,1:16.522,1:16.666,1:16.492,1:16.506,1:16.916,1:17.222,1:16.838,1:17.013
Pedro de la Rosa (DLR),1:40.375,1:28.517,1:26.283,1:25.063,1:26.282,1:26.494,1:25.724,1:47.558,1:35.522,1:28.543,1:25.629,1:24.495,1:23.504,1:23.138,1:22.311,1:21.645,1:21.226,1:21.728,1:21.841,1:20.055,1:18.814,1:18.447,1:18.130,1:18.549,1:17.599,1:17.344,1:16.793,1:17.149,1:17.162,1:17.325,1:16.626,1:16.563,1:16.919,1:16.552,1:16.883,1:16.276,1:17.240,1:16.497,1:17.094,1:47.124,1:23.340,1:17.841,1:18.182,1:18.147,1:27.067
Jacques Villeneuve (VIL),1:34.870,1:25.509,1:24.806,1:25.558,1:26.026,1:27.117,1:26.394,1:49.710,1:33.286,1:27.631,1:25.632,1:26.246,1:24.936,1:24.014,1:24.792,1:21.697,1:22.651,1:20.983,1:19.785,1:19.059,1:18.856,1:18.298,1:18.561,1:17.359,1:17.385,1:16.924,1:16.407,1:16.724,1:16.847,1:16.788,1:16.439,1:16.007,1:16.026,1:16.526,1:16.345,1:16.063,1:16.089,1:15.983,1:16.061,1:23.237,1:15.540,1:15.364,1:15.330,1:15.478,1:16.186,1:15.516,1:15.348,1:15.423,1:15.438,1:15.542,1:40.845,1:20.616,1:16.240,1:16.273,1:17.233,1:15.797,1:16.166,1:16.382,1:16.390,1:16.126,1:16.237,1:16.321,1:15.949,1:16.156,1:19.653,1:15.462,1:15.362,1:15.117,1:15.411,1:15.337,1:15.468,1:15.852,1:15.634
Michael Schumacher (MSC),1:29.934,1:23.860,1:24.096,1:24.079,1:26.452,1:27.248,1:25.286,1:23.856,1:23.723,1:23.347,1:23.642,1:23.296,1:23.607,1:22.980,1:23.492,1:47.379,1:25.537,1:20.040,1:19.534,1:18.666,1:17.581,1:17.680,1:17.293,1:16.820,1:16.642,1:16.565,1:17.275,1:16.480,1:16.505,1:16.108,1:17.021,1:15.803,1:15.784,1:15.978,1:15.547,1:16.212,1:15.980,1:15.229,1:15.791,1:15.983,1:15.783,1:15.559,1:15.946,1:15.407,1:15.138,1:15.031,1:15.086,1:14.901,1:40.734,1:20.187,1:16.261,1:16.221,1:15.849,1:16.309,1:16.573,1:16.156,1:16.668,1:16.753,1:16.958,1:17.267,1:17.751,1:16.835,1:17.026,1:17.448,1:17.496,1:17.035,1:18.996,1:16.799,1:26.063,1:17.190,1:16.461,1:16.932,1:17.733
Alexander Wurz (WUR),1:38.935,1:29.522,1:26.491,1:27.495,1:26.201,1:26.544,1:55.197,1:37.229,1:30.042,1:28.711,1:27.018,1:25.435,1:23.811,1:22.909,1:22.581,1:22.699,1:22.655,1:20.376,1:20.097,1:20.049,1:19.306,1:18.434,1:19.048,1:18.192,1:17.689,1:17.753,1:17.767,1:17.057,1:16.694,1:16.411,1:17.214,1:16.762,1:16.524,1:16.395,1:16.838,1:45.517,1:22.042,1:18.502,1:17.657,1:17.734,1:17.849,1:17.810,1:18.540,1:19.528,1:19.539,1:17.165,1:17.126,1:17.357,1:18.660,1:17.522,1:17.124,1:16.911,1:17.008,1:16.836,1:16.708,1:16.644,1:16.714,1:16.221,1:16.299,1:16.309,1:16.684,1:16.623,1:16.161,1:16.063,1:16.062,1:15.956,1:15.906,1:16.151,1:15.637,1:15.560,1:16.736,1:15.796
Ralf Schumacher (SCH),1:36.096,1:26.628,1:24.913,1:25.246,1:25.059,1:27.132,1:52.932,1:31.890,1:27.336,1:24.444,1:24.977,1:23.185,1:23.368,1:21.665,1:20.802,1:19.909,1:19.045,1:18.790,1:18.327,1:18.259,1:18.174,1:17.695,1:17.374,1:17.368,1:17.300,1:17.455,1:17.008,1:16.596,1:16.309,1:16.516,1:16.637,1:16.832,1:16.816,1:16.262,1:16.198,1:16.589,1:17.064,1:17.323,1:45.180,1:21.194,1:16.588,1:59.522,1:21.118,1:16.844,1:16.867,1:16.904,1:18.717,1:17.132,1:17.546,1:18.538,1:17.892,1:18.400,1:51.272,1:20.306,1:15.598,1:16.855,1:16.076,1:16.023
Rubens Barrichello (BAR),1:31.518,1:24.467,1:24.669,1:24.948,1:27.069,1:52.164,1:33.677,1:28.295,1:27.777,1:26.953,1:27.247,1:25.325,1:24.527,1:24.698,1:23.502,1:23.286,1:21.090,1:22.170,1:20.603,1:18.788,1:18.433,1:17.799,1:18.118,1:17.414,1:17.374,1:17.357,1:16.782,1:16.166,1:17.083,1:17.037,1:16.707,1:15.974,1:15.827,1:15.966,1:16.382,1:16.046,1:15.809,1:16.014,1:15.835,1:18.355,1:16.837,1:15.624,1:15.190,1:15.872,1:15.622,1:15.691,1:16.030,1:15.991,1:15.562,1:16.448,1:14.822,1:15.066,1:39.409,1:20.192,1:16.351,1:16.340,1:16.466,1:16.104,1:15.709,1:15.971,1:15.514,1:16.040,1:15.841,1:15.824,1:15.462,1:16.552,1:16.547,1:16.233,1:15.824,1:15.614,1:16.010,1:15.947,1:17.045
Giancarlo Fisichella (FIS),1:42.096,1:29.097,1:28.505,1:27.799,1:27.429,1:59.728,1:34.991,1:58.266,1:33.726,1:27.189,1:25.858,1:25.229,1:24.110,1:23.174,1:23.119,1:24.247,1:21.880,1:21.076,1:20.589,1:19.824,1:19.714,1:20.904,1:18.931,1:18.218,1:17.458,1:17.618,1:18.998,1:17.379,1:20.285,1:17.071,1:17.063,1:16.976,1:17.344,1:32.665,1:16.725,1:16.541,1:16.895,1:16.632,1:16.814,1:16.631,1:16.574,1:16.234,1:16.237,1:16.934
Jenson Button (BUT),1:32.717,2:01.455,1:35.258,1:28.316,1:26.386,1:25.607,1:26.078,1:24.831,1:24.358,1:25.053,1:23.459,1:22.977,1:23.215,1:23.618
Jarno Trulli (TRU),1:32.373,2:15.023,1:28.410,1:24.770,1:25.671,1:28.760,1:26.984,1:26.586,1:27.411,1:25.957,1:25.942,2:12.279
