Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Gastón Mazzacane,1:51.537,1:55.777,1:22.333,1:20.607,1:20.858,1:19.621,1:19.072,1:19.181,1:19.318,1:19.519,1:20.269,1:19.667,1:19.645,1:19.399,1:21.005,1:19.106,1:18.562,1:19.573,1:19.181,1:18.635,1:18.358,1:18.684,1:18.176,1:19.688,1:23.831,1:43.969,1:18.501,1:18.517,1:21.581,1:18.895,1:19.091,1:20.013,1:19.972,1:20.996,1:19.597,1:20.955,1:20.976,1:20.710,1:19.432,1:19.236,1:18.717,1:18.563,1:19.034,1:22.597,1:45.962,1:57.237,1:31.119,1:32.061,1:43.044,1:34.137,1:34.118,1:33.080,1:32.978,1:44.779
Enrique Bernoldi,1:50.819,1:55.526,1:22.280,1:20.300,1:19.758,1:19.837,1:19.646,1:19.452,1:20.053,1:19.785,1:20.357,1:19.449,1:19.606,1:19.729,1:28.858
Tarso Marques,1:52.126,1:56.106,1:22.731,1:20.666,1:20.567,1:20.755,1:20.382,1:20.208,1:20.039,1:20.174,1:20.356,1:19.848,1:20.059,1:20.028,1:19.942,1:20.195,1:20.238,1:19.937,1:20.197,1:20.131,1:19.953,1:20.191,1:20.280,1:20.577,1:20.709,1:20.023,1:20.708,1:20.917,1:20.917,1:20.861,1:21.615,1:20.227,1:19.953,1:19.734,1:20.103,1:20.759,1:22.092,1:26.732,1:47.964,1:20.361,1:21.720,1:20.852,1:22.531,1:43.869,2:01.877,1:34.727,1:37.349,1:38.447,1:37.654,1:36.245,1:36.389,1:38.059,1:37.314,1:36.380,1:34.738,1:34.026,1:33.851,1:34.872,1:34.004,1:34.030,1:33.518,1:35.409,1:34.218,1:32.643,1:34.096,1:34.614,1:34.996,1:36.749
Eddie Irvine,1:45.969,1:56.787,1:20.726,1:19.693,1:19.650,1:24.280,1:42.499,1:19.123,1:19.364,1:19.774,1:19.368,1:18.958,1:19.322,1:19.375,1:20.466,1:19.989,1:19.346,1:19.303,1:20.173,1:20.838,1:19.587,1:19.540,1:19.694,1:19.057,1:19.505,1:19.543,1:19.810,1:18.493,1:18.975,1:18.274,1:18.158,1:18.077,1:18.415,1:18.363,1:18.075,1:18.325,1:18.797,1:18.861,1:18.230,1:17.405,1:17.455,1:17.576,1:17.132,1:17.572,1:31.029,1:49.934,1:57.664,1:32.012,1:35.762,1:34.650,1:34.953,1:37.780
Jean Alesi,1:46.642,1:56.780,1:20.411,1:19.952,1:19.403,1:20.166,1:18.709,1:18.926,1:19.592,1:19.290,1:19.457,1:19.328,1:19.725,1:18.885,1:19.215,1:19.521,1:18.740,1:18.478,1:18.777,1:18.853,1:18.476,1:18.703,1:18.060,1:23.561,1:57.720,1:18.971,1:18.654,1:18.964,1:18.588,1:18.030,1:19.174,1:18.359,1:18.348,1:18.460,1:18.183,1:19.031,1:18.788,1:19.258,1:18.750,1:18.491,1:18.558,1:17.986,1:17.609,1:29.155,1:55.421,1:31.444,1:33.755,1:34.635,1:33.329,1:34.218,1:34.215,1:36.425,1:35.283,1:33.424,1:34.961,1:31.988,1:31.695,1:31.247,1:31.533,1:30.680,1:30.884,1:31.094,1:29.952,1:30.028,1:31.610,1:30.204,1:31.963,1:31.292,1:30.630,1:31.489
Luciano Burti,1:48.666,1:56.588,1:21.807,1:19.960,1:19.114,1:19.276,1:19.111,1:19.117,1:19.327,1:19.531,1:20.564,1:19.555,1:20.821,1:19.334,1:19.051,1:19.195,1:19.034,1:19.048,1:19.153,1:19.028,1:19.676,1:19.222,1:19.496,1:19.077,1:19.120,1:18.821,1:18.897,1:18.857,1:18.759,1:26.203
Jos Verstappen,1:47.907,1:56.208,1:21.870,1:19.498,1:19.414,1:19.447,1:19.229,1:19.323,1:19.303,1:19.690,1:20.528,1:19.403,1:19.184,1:19.647,1:19.613,1:19.385,1:19.277,1:19.286,1:19.180,1:19.143,1:20.005,1:19.212,1:19.490,1:19.130,1:18.963,1:18.875,1:18.987,1:19.018,1:20.385,1:19.142,1:18.997,1:18.996,1:18.894,1:19.037,1:19.215,1:19.047,1:19.856
Heinz-Harald Frentzen,1:40.286,1:59.414,1:21.213,1:19.688,1:19.263,1:19.081,1:19.747,1:18.911,1:18.988,1:19.065,1:19.052,1:18.893,1:18.888,1:19.061,1:19.841,1:18.903,1:18.853,1:19.775,1:18.747,1:18.513,1:18.503,1:18.378,1:18.193,1:18.243,1:18.219,1:18.188,1:18.380,1:18.423,1:18.114,1:18.379,1:18.028,1:18.046,1:18.031,1:17.832,1:18.040,1:18.139,1:19.586,1:18.851,1:18.731,1:17.851,1:17.522,1:17.859,1:22.385,1:41.335,1:35.144,2:00.640,1:30.251,1:30.111,1:32.759,1:33.577,1:34.170,1:34.466,1:33.489,1:33.114,1:31.866,1:31.798,1:30.825,1:28.952,1:28.719,1:30.593,1:28.793,1:30.550,1:35.070
Olivier Panis,1:47.471,1:56.244,1:20.645,1:19.593,1:19.315,1:19.123,1:18.611,1:18.265,1:18.208,1:18.931,1:18.958,1:20.258,1:18.023,1:17.980,1:17.892,1:17.688,1:17.898,1:17.735,1:17.599,1:18.440,1:17.235,1:17.408,1:17.193,1:17.285,1:17.152,1:17.364,1:17.269,1:23.450,1:39.270,1:17.123,1:17.496,1:17.636,1:17.543,1:17.897,1:18.083,1:17.934,1:18.158,1:18.355,1:18.917,1:17.550,1:17.577,1:16.947,1:16.802,1:16.732,1:30.579,3:11.106,1:31.665,1:33.685,1:32.316,1:31.497,1:30.900,1:35.809,1:34.987,1:33.855,1:30.643,1:29.831,1:31.039,1:29.533,1:31.057,1:29.880,1:30.155,1:30.032,1:29.135,1:29.190,1:28.934,1:31.149,1:28.657,1:28.644,1:29.600,1:29.605
Jacques Villeneuve (VIL),1:42.892,1:57.642,1:20.837,1:20.054,1:18.894,1:18.788,1:19.905,1:19.217,1:18.927,1:18.937,1:18.970,1:28.155,1:43.585,1:18.139,1:18.832,1:19.367,1:18.776,1:19.258,1:19.919,1:19.142,1:18.546,1:19.126,1:19.256,1:18.600,1:18.119,1:18.009,1:18.201,1:18.271,1:17.756,1:17.809,1:18.195,1:20.536,1:17.856,1:22.606,1:18.498,1:18.340,1:18.804,1:19.432,1:18.428,1:17.515,1:17.106,1:23.342,1:40.737,1:27.652,2:40.182,1:33.087,1:32.491,1:34.302,1:35.058,1:35.709,1:34.676,1:37.254,1:34.392,1:31.847,1:30.901,1:29.861,1:28.725,1:28.333,1:29.858,1:27.923,1:28.568,1:29.023,1:28.666,1:26.122,1:26.463,1:25.310,1:25.106,1:24.767,1:24.142,1:25.231
Juan Pablo Montoya (MON),1:36.632,2:01.001,1:19.025,1:18.315,1:17.906,1:18.521,1:17.756,1:17.756,1:17.934,1:17.804,1:17.899,1:17.937,1:17.875,1:17.661,1:17.836,1:17.757,1:17.778,1:17.502,1:17.229,1:17.222,1:17.132,1:16.770,1:17.484,1:17.137,1:17.165,1:17.535,1:16.751,1:17.836,1:16.809,1:16.629,1:16.593,1:16.651,1:16.732,1:16.652,1:16.696,1:16.680,1:16.819,1:17.214
Michael Schumacher (MSC),1:35.339,2:02.030,1:19.786,1:18.195,1:17.992,1:18.579,1:17.839,1:17.789,1:17.963,1:17.924,1:17.909,1:17.797,1:17.929,1:17.776,1:17.762,1:17.757,1:17.702,1:17.755,1:17.194,1:17.208,1:17.622,1:16.824,1:16.963,1:17.380,1:21.899,1:40.016,1:18.584,1:16.981,1:17.216,1:17.008,1:17.123,1:17.041,1:17.249,1:17.290,1:17.330,1:17.308,1:18.645,1:18.368,1:18.093,1:17.398,1:17.013,1:17.093,1:16.910,1:16.545,1:17.636,1:39.106,1:52.607,1:39.004,1:30.387,1:33.034,1:33.876,1:34.848,1:41.956,1:35.513,1:34.016,1:30.102,1:28.449,1:28.623,1:27.984,1:29.004,1:29.155,1:27.790,1:31.338,1:27.458,1:26.285,1:26.215,1:26.378,1:25.142,1:25.815,1:24.766,1:26.387
Ralf Schumacher (SCH),1:39.681,1:59.058,1:49.721,6:19.267,1:17.274,1:17.618,1:17.838,1:18.377,1:17.863,1:17.858,1:18.823,1:17.571,1:18.391,1:18.028,1:17.470,1:17.688,1:17.471,1:17.575,1:17.832,1:18.402,1:18.691,1:20.172,1:17.833,1:18.488,1:18.313,1:18.571,1:18.514,1:18.098,1:17.254,1:17.314,1:16.934,1:17.416,1:17.516,1:17.748,1:18.806,1:16.934,1:16.703,1:15.693,1:15.716,1:16.710,1:24.598,2:08.236,1:58.277,1:29.851,1:30.616,1:32.641,1:31.377,1:44.342,2:12.617,1:31.428,1:30.762,1:30.878,1:30.833,1:32.678
Rubens Barrichello (BAR),1:41.286,1:58.705
Giancarlo Fisichella (FIS),1:49.202,1:56.434,1:22.294,1:20.014,1:19.725,1:19.398,1:19.272,1:19.461,1:19.301,1:19.699,1:19.316,1:19.546,1:20.455,1:19.562,1:19.562,1:19.130,1:19.024,1:18.949,1:18.900,1:19.094,1:19.320,1:19.325,1:19.338,1:19.248,1:19.219,1:18.799,1:18.790,1:18.937,1:19.921,1:19.259,1:18.929,1:18.973,1:18.915,1:19.156,1:19.047,1:19.098,1:19.665,1:20.963,1:19.048,1:17.908,1:17.830,1:24.662,1:45.345,1:25.477,1:57.850,1:33.586,1:32.822,1:34.605,1:34.905,1:34.407,1:34.146,1:33.813,1:35.297,1:32.815,1:31.640,1:31.332,1:30.637,1:30.660,1:30.855,1:30.642,1:30.485,1:31.245,1:29.807,1:30.082,1:29.799,1:29.257,1:28.877,1:29.598,1:30.230,1:31.061
Jenson Button (BUT),1:50.068,1:55.818,1:22.642,1:21.711,1:20.828,1:21.431,1:22.669,1:21.083,1:20.708,1:21.006,1:20.550,1:20.462,1:20.580,1:20.747,1:20.589,1:20.030,1:20.067,1:19.926,1:20.113,1:21.667,1:20.552,1:20.463,1:21.544,1:24.623,1:20.989,1:20.442,1:19.915,1:26.877,7:52.855,1:22.597,1:20.960,1:25.319,1:24.644,1:21.184,1:20.509,1:20.406,1:19.857,1:19.846,1:36.498,2:01.591,1:33.989,1:33.595,1:34.912,1:35.970,1:35.356,1:35.398,1:35.378,1:35.587,1:34.664,1:37.854,1:34.924,1:33.909,1:33.108,1:34.960,1:33.501,1:31.663,1:31.230,1:30.103,1:29.941,1:29.933,1:29.945,1:30.195,1:29.926,1:30.611
Jarno Trulli (TRU),1:38.716,1:59.707,1:20.831,1:19.227,1:18.902,1:18.779,1:18.812,1:19.046,1:19.375,1:18.648,1:18.896,1:18.626,1:18.697,1:18.706,1:18.667,1:18.946,1:18.420,1:18.428,1:18.678,1:18.712,1:19.137,1:18.421,1:18.625,1:18.572,1:18.626,1:18.423,1:18.825,1:19.111,1:18.424,1:18.659,1:18.320,1:18.460,1:18.964,1:18.422,1:18.550,1:18.708,1:19.287,1:18.893,1:18.577,1:17.770,1:17.632,1:17.868,1:17.649,1:23.091,2:03.968,2:09.975,1:33.236,1:32.222,1:33.951,1:34.701,1:33.865,1:33.131,1:33.032,1:33.546,1:32.292,1:33.170,1:32.322,1:32.500,1:32.474,1:32.745,1:31.529,1:33.866,1:31.074,1:30.827,1:30.527,1:31.341,1:30.630,1:29.894,1:29.597,1:29.181
David Coulthard (COU),1:37.534,2:00.569,1:19.975,1:18.488,1:18.063,1:18.202,1:17.871,1:18.019,1:17.744,1:18.136,1:17.836,1:17.786,1:17.838,1:17.775,1:17.793,1:17.707,1:17.728,1:17.628,1:17.633,1:17.468,1:17.372,1:17.164,1:17.288,1:17.010,1:17.325,1:17.400,1:17.136,1:17.431,1:18.068,1:16.900,1:16.666,1:16.655,1:16.803,1:16.841,1:17.311,1:16.657,1:17.081,1:17.467,1:18.463,1:23.194,1:40.825,1:17.110,1:16.749,1:16.498,1:17.069,1:30.420,1:52.222,1:50.608,1:29.356,1:31.419,1:32.902,1:31.348,1:32.955,1:33.514,1:32.112,1:30.991,1:29.742,1:29.450,1:28.406,1:27.002,1:27.300,1:27.419,1:28.122,1:27.578,1:28.063,1:27.331,1:25.928,1:25.958,1:26.453,1:26.544,1:27.415
Kimi Räikkönen (RAI),1:44.570,1:57.490,1:20.498,1:20.010,1:19.460,1:19.426,1:19.478,1:19.443,1:19.782,1:19.089,1:19.454,1:18.797,1:19.059,1:19.417,1:19.051,1:19.190,1:18.402,1:18.559,1:18.186,1:18.558,1:18.750,1:19.514,1:18.191,1:18.155,1:18.168,1:18.484,1:18.436,1:17.916,1:18.813,1:18.516,1:18.089,1:17.878,1:17.816,1:17.889,1:17.868,1:18.505,1:24.066,1:45.516,1:18.971,1:18.509,1:18.271,1:18.701,1:18.204,1:19.143,1:32.036,1:58.208,1:55.433,1:32.128,1:32.477,1:33.887,1:35.719,1:54.880,1:33.246,1:33.270,1:30.886
