Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Enrique Bernoldi,1:27.317,1:19.278,1:19.234,1:19.306,1:19.262,1:19.429,1:19.272,1:19.291,1:19.262,1:19.511,1:19.440,1:19.354,1:19.181,1:19.202,1:19.272,1:19.232,1:19.263
Tarso Marques,1:29.351,1:21.582,1:20.325,1:20.306,1:21.588,1:21.703,1:21.148,1:20.887,1:20.578,1:20.306,1:20.687,1:20.424,1:20.277,1:20.422,1:20.244,1:20.518,1:19.697,1:20.273,1:20.881,1:23.512,1:20.511,1:21.529,1:20.174,1:20.575,1:22.217,1:25.398,1:42.957,1:20.294,1:20.196,1:21.720,1:21.621,1:20.399,1:19.771,1:19.894,1:19.627,1:21.562,1:22.947,1:20.544,1:19.912,1:20.997,1:20.549,1:23.301,1:20.596,1:21.537,1:22.440,1:22.023,1:21.563,1:20.533,1:19.727,1:23.150,1:40.809,1:21.940,1:20.409,1:19.608,1:20.211,1:19.665,1:19.800,1:19.762,1:19.943,1:20.243,1:20.178,1:20.087,1:21.431,1:20.760,1:20.370,1:20.490,1:22.737,1:26.518,1:26.099
Eddie Irvine,1:24.945,1:19.565,1:18.413,1:18.464,1:18.332,1:18.754,1:18.557,1:18.743,1:18.707,1:18.835,1:18.260,1:18.437,1:18.304,1:18.888,1:18.303,1:18.538,1:18.541,1:18.888,1:18.955,1:18.655,1:18.385,1:17.442,1:17.304,1:17.729,1:17.507,1:17.746,1:20.510,1:37.068,1:17.892,1:19.117,1:19.014,1:18.225,1:18.168,1:18.236,1:18.338,1:18.197,1:18.330,1:18.219,1:18.279,1:18.474,1:19.402,1:18.952,1:18.698,1:17.656,1:17.820,1:17.751,1:17.433,1:20.198,1:38.558,1:17.715,1:18.018,1:17.409,1:17.986,1:18.661
Jean Alesi,1:28.880,1:20.758,1:19.580,1:19.561,1:19.379,1:19.808,1:19.576,1:19.473,1:19.197,1:19.839,1:19.605,1:19.283,1:19.343,1:18.817,1:19.450,1:19.534,1:19.254,1:19.796,1:19.586,1:19.482,1:20.586,1:22.551,1:40.282,1:20.014,1:19.675,1:20.286,1:21.435,1:21.561,1:19.368,1:20.397,1:20.069,1:19.544,1:19.418,1:19.269,1:19.751,1:21.705,1:19.848,1:19.802,1:19.769,1:19.749,1:21.287,1:19.829,1:19.860,1:19.685,1:19.575,1:19.960,1:22.305,1:39.299,1:19.268,1:20.601,1:19.114,1:19.432,1:19.475,1:19.424,1:21.056,1:19.342,1:19.293,1:19.486,1:19.628,1:19.898,1:19.676,1:19.542,1:19.022,1:20.097,1:19.858,1:19.231,1:21.534,1:19.006,1:22.297,1:21.623
Luciano Burti,1:26.121,1:19.391,1:18.788,1:18.356,1:18.418,1:18.955,1:19.023,1:18.675,1:18.908,1:18.845,1:19.233,1:18.884,1:18.971,1:18.576,1:18.880,1:19.220,1:18.881,1:18.733,1:18.891,1:18.618,1:18.402,1:18.784,1:18.809,1:18.824,1:22.123,1:44.636,1:20.342,1:19.354,1:20.554,1:19.440,1:19.171,1:19.936,1:18.654,1:18.882,1:18.897,1:18.591,1:18.588,1:18.697,1:18.907,1:21.158,1:19.121,1:18.671,1:19.033,1:19.107,1:19.855,1:19.201,1:21.681,1:23.419,1:39.693,1:18.253,1:18.415,1:18.936,1:18.887,1:18.712,1:18.885,1:18.701,1:19.221,1:19.080,1:18.901,1:19.022,1:18.838,1:18.949,1:19.114,1:18.859,1:19.289,1:19.050,1:19.008,1:19.083,1:19.390,1:20.178,1:19.589
Jos Verstappen,1:26.350,1:19.710,1:19.162,1:19.182,1:18.946,1:19.480,1:19.456,1:19.303,1:19.269,1:19.598,1:19.224,1:19.367,1:19.032,1:19.102,1:19.422,1:19.367,1:19.129,1:19.271,1:19.241,1:19.388,1:19.388,1:19.555,1:20.120,1:20.012,1:22.612,2:00.279,1:18.764,1:19.939,1:20.086,1:20.383,1:19.948,1:19.848,1:21.132,1:19.326,1:19.294,1:21.126,1:19.211,1:18.904,1:20.522,1:19.524,1:19.276,1:19.752,1:19.458,1:19.370,1:22.276,1:38.203,1:18.662,1:18.997,1:20.419,1:19.261,1:19.552,1:19.971,1:21.430,1:19.467,1:19.627,1:19.985,1:21.312,1:20.154,1:20.250,1:23.201,1:22.459,1:19.706,1:19.462,1:19.668,1:19.636,1:19.297,1:19.278,1:21.832,1:19.970,1:19.427
Heinz-Harald Frentzen,1:22.616,1:18.595,1:18.008,1:17.950,1:18.009,1:17.979,1:17.718,1:17.953,1:18.050,1:18.348,1:18.285,1:18.467,1:18.092,1:18.182,1:18.506,1:18.015,1:17.977,1:18.036,1:17.750,1:17.540,1:17.780,1:18.125,1:18.025,1:22.088,1:45.232,1:17.758,1:17.883,1:18.509,1:18.655,1:19.198,1:18.888,1:18.218,1:18.286,1:18.154,1:18.345,1:18.151,1:18.269,1:18.192,1:18.251,1:18.844,1:19.099,1:19.432,1:20.658,1:19.166,1:18.830,1:22.046,1:37.582,1:20.796,1:26.721,1:18.107,1:18.614,1:18.318,1:18.312,1:18.590,1:18.431,1:18.261,1:19.488,1:18.302,1:18.676,1:20.626,1:18.947,1:18.652,1:18.571,1:18.500,1:20.579,1:19.049,1:18.875,1:19.057,1:19.616,1:20.638,1:21.784
Olivier Panis,1:25.331,1:18.257,1:18.395,1:18.456,1:18.605,1:18.548,1:18.982,1:18.723,1:18.707,1:18.389,1:18.358,1:18.591,1:18.603,1:18.564,1:18.523,1:18.552,1:18.664,1:18.884,1:18.929,1:18.450,1:19.204,1:19.873,1:22.494,1:36.158,1:18.271,1:18.303,1:18.882,1:19.090,1:18.591,1:18.641,1:18.913,1:18.920,1:19.115,1:19.232,1:18.903,1:19.520,1:19.104,1:18.611,1:18.384,1:18.737,1:19.976,1:18.294,1:18.522,1:18.356,1:21.520,1:38.450,1:19.863,1:18.435,1:18.577,1:20.039,1:20.264,1:20.163,1:18.918,1:19.016,1:18.735,1:18.689,1:21.803,1:19.271,1:18.985,1:19.590,1:19.364,1:18.923,1:18.782,1:18.641,1:18.345,1:18.591,1:18.594,1:18.250,1:18.743,1:18.852,1:18.770
Pedro de la Rosa (DLR),2:52.275,1:19.491,1:20.331,1:21.621,1:19.014,1:18.650,1:18.727,1:18.397,1:18.585,1:19.123,1:19.377,1:19.365,1:19.081,1:19.400,1:19.451,1:19.030,1:19.687,1:19.952,1:19.258,1:19.382,1:17.928,1:17.703,1:18.077,1:18.787,1:18.456,1:18.448,1:18.028,1:21.166,1:37.395,1:19.059,1:20.037,1:18.667,1:18.837,1:18.919,1:18.597,1:18.710,1:18.725,1:21.040,1:18.880,1:19.157,1:18.624,1:18.938,1:22.216,1:39.911,1:18.559,1:18.317,1:18.330,1:18.086,1:18.169,1:19.544,1:18.703,1:18.705,1:18.158,1:18.564,1:18.562,1:19.486,1:19.882,1:19.707,1:19.985,1:19.487,1:19.595,1:19.248,1:19.541,1:17.733,1:17.922,1:17.811,1:17.508,1:17.993,1:24.125,1:18.376
Jacques Villeneuve (VIL),1:23.105,1:18.646,1:18.519,1:18.181,1:18.223
Juan Pablo Montoya (MON),1:20.471,1:17.889,1:17.128,1:17.229,1:17.117,1:17.604,1:17.713,1:17.615,1:17.479,1:17.375,1:17.287,1:17.366,1:17.171,1:17.838,1:17.734,1:17.572,1:17.176,1:16.899,1:17.057,1:16.969,1:17.073,1:18.016,1:17.404,1:17.598,1:17.283,1:17.349,1:17.253,1:17.198,1:17.969,1:20.986,1:36.893,1:16.673,1:16.453,1:16.355,1:16.712,1:16.964,1:16.657,1:17.225,1:17.387,1:17.193,1:17.764,1:17.495,1:17.656,1:17.875,1:17.559,1:16.581,1:17.014,1:16.886,1:17.052,1:20.312,1:36.538,1:24.313
Michael Schumacher (MSC),1:19.041,1:17.213,1:17.163,1:17.189,1:17.243,1:17.495,1:17.265,1:17.308,1:17.409,1:17.008,1:17.041,1:16.984,1:16.848,1:17.006,1:16.808,1:16.969,1:16.855,1:16.591,1:16.789,1:17.613,1:16.966,1:17.098,1:17.419,1:16.865,1:19.229,1:33.910,1:16.286,1:16.370,1:16.496,1:16.841,1:17.346,1:17.355,1:16.681,1:16.644,1:16.702,1:16.699,1:16.634,1:17.017,1:17.859,1:16.454,1:17.214,1:16.814,1:16.658,1:16.757,1:19.877,1:37.891,1:17.075,1:17.579,1:17.752,1:18.003,1:18.045,1:18.245,1:18.267,1:18.376,1:18.389,1:18.062,1:17.717,1:17.913,1:17.732,1:18.109,1:18.329,1:18.305,1:18.131,1:18.184,1:17.772,1:18.340,1:17.940,1:17.649,1:17.725,1:17.797,1:18.079,1:20.201
Ralf Schumacher (SCH),1:18.661,1:16.992,1:17.013,1:16.975,1:17.219,1:17.445,1:17.404,1:17.160,1:17.056,1:16.977,1:16.993,1:16.977,1:16.870,1:16.948,1:16.677,1:16.803,1:16.842,1:16.585,1:16.901,1:17.146,1:16.742,1:17.086,1:16.822,1:19.911,1:38.487,1:18.127,1:17.371,1:17.717,1:17.080,1:17.208,1:17.718,1:17.900,1:17.789,1:17.857,1:17.683,1:17.829,1:17.995,1:17.846,1:17.829,1:18.028,1:17.674,1:17.325,1:17.416,1:21.658,1:36.662,1:17.055,1:17.359,1:17.780,1:17.498,1:17.502,1:17.754,1:18.093,1:18.437,1:17.624,1:17.722,1:17.642,1:17.418,1:17.975,1:17.746,1:18.228,1:18.368,1:17.871,1:18.097,1:17.933,1:17.516,1:17.926,1:17.858,1:16.983,1:17.179,1:17.657,1:17.443,1:17.967
Rubens Barrichello (BAR),1:20.999,1:17.907,1:17.708,1:17.405,1:17.018,1:17.516,1:17.604,1:17.672,1:17.654,1:17.460,1:17.610,1:17.438,1:17.007,1:17.305,1:17.605,1:17.574,1:17.656,1:16.855,1:17.349,1:16.864,1:20.136,1:33.599,1:16.181,1:17.118,1:16.907,1:16.994,1:17.836,1:16.961,1:17.054,1:16.851,1:17.252,1:17.423,1:16.950,1:17.082,1:17.704,1:19.949,1:34.854,1:16.190,1:16.408,1:16.801,1:16.714,1:17.028,1:17.257,1:17.195,1:17.808,1:17.354,1:17.770,1:17.870,1:17.679,1:17.144,1:16.960,1:17.216,1:17.218,1:20.235,1:34.649,1:17.122,1:17.360,1:18.428,1:17.434,1:17.571,1:17.705,1:17.395,1:17.626,1:17.369,1:17.653,1:18.198,1:17.681,1:17.531,1:17.771,1:17.456,1:17.498,1:17.666
Giancarlo Fisichella (FIS),1:27.824,1:20.921,1:19.178,1:19.512,1:18.988,1:19.149,1:18.970,1:19.073,1:19.814,1:19.528,1:19.734,1:19.555,1:18.962,1:18.786,1:19.333,1:19.150,1:19.250,1:19.869,1:18.983,1:21.325,1:36.228,1:19.844,1:19.832,1:19.822,1:18.177,1:17.968,1:18.896,1:19.910,1:18.626,1:19.673,1:20.389,1:19.251,1:18.871,1:19.205,1:18.965,1:18.577,1:19.745,1:19.966,1:18.725,1:19.016,1:19.529,1:19.202,1:18.819,1:21.976,1:41.307,1:18.835,1:18.571,1:18.558,1:18.791,1:18.614,1:18.689,1:19.047,1:19.028,1:18.904,1:18.702,1:18.854,1:19.240,1:18.947,1:19.138,1:20.446,1:19.589,1:19.305,1:19.239,1:19.564,1:19.813,1:18.834,1:19.993,1:18.572,1:19.486,1:19.706,1:20.148
Jenson Button (BUT),1:28.288,1:19.504,1:19.308,1:18.751,1:19.426,1:19.354,1:19.195,1:19.148,1:19.382,1:19.517,1:19.525,1:19.273,1:19.243,1:19.318,1:19.322,1:19.117,1:19.251,1:19.244,1:22.012,1:38.718,1:19.864,1:21.576,1:18.548,1:18.567,1:18.359,1:19.865,1:18.887,1:18.807,1:18.995,1:20.258,1:19.205,1:19.142,1:19.593,1:21.589,1:19.985,1:19.311,1:18.718,1:19.059,1:18.770,1:18.922,1:18.815,1:20.622,1:18.983,1:24.189,1:52.721,1:19.106,1:19.034,1:18.822,1:18.482,1:19.268,1:18.607,1:19.257,1:19.184,1:19.611,1:19.555,1:19.545,1:19.437,1:19.578,1:19.813,1:19.253,1:32.789,1:19.278,1:19.641,1:19.268,1:20.268,1:18.782,1:18.803,1:21.058
Jarno Trulli (TRU),1:22.030,1:17.602,1:17.849,1:17.575,1:17.384,1:17.768,1:18.173,1:17.974,1:18.158,1:18.063,1:18.205,1:18.103,1:17.992,1:18.109,1:18.145,1:18.362,1:18.085,1:18.069,1:18.036,1:17.924,1:18.268,1:18.149,1:18.117,1:18.322,1:21.719,1:36.508,1:17.584,1:17.577,1:17.369,1:17.807,1:17.837,1:18.321,1:18.186,1:18.165,1:18.783,1:18.629,1:18.526,1:17.844,1:17.996,1:18.243,1:18.603,1:18.396,1:18.458,1:18.213,1:18.214,1:18.796,1:21.615,1:36.355,1:17.417,1:17.824,1:17.799,1:18.002,1:18.392,1:18.784,1:18.307,1:18.119,1:18.107,1:18.485,1:18.484,1:18.253,1:18.422,1:18.390,1:18.680,1:18.576,1:18.791,1:19.022,1:18.883,1:18.839,1:18.663,1:19.244,1:20.421,1:21.811
David Coulthard (COU),1:19.414,1:17.476,1:17.173,1:17.278,1:17.287,1:17.382,1:17.546,1:17.232,1:17.489,1:17.045,1:17.099,1:17.303,1:16.922,1:17.058,1:16.832,1:17.043,1:16.876,1:16.731,1:17.099,1:17.359,1:17.448,1:17.040,1:17.679,1:17.310,1:17.397,1:20.151,1:36.624,1:16.720,1:16.697,1:16.745,1:17.585,1:20.831,1:37.319,1:17.684,1:17.022,1:17.104,1:17.737,1:17.250,1:17.364,1:17.186,1:17.243,1:17.179,1:17.294,1:17.294,1:17.567,1:17.257,1:17.446,1:17.310,1:17.549,1:17.742,1:20.697,1:33.689,1:16.088,1:16.687,1:17.240,1:16.563,1:16.797,1:17.921,1:17.710,1:17.425,1:17.785,1:17.660,1:17.497,1:17.364,1:17.515,1:18.067,1:17.953,1:17.336,1:17.643,1:17.679,1:17.272,1:17.736
Kimi Räikkönen (RAI),1:23.696,1:18.405,1:18.546,1:18.207,1:18.302,1:18.028,1:17.330,1:17.311,1:17.704,1:18.096,1:18.344,1:18.397,1:18.083,1:18.183,1:21.688,1:38.575,1:19.141,1:19.926,1:19.251,1:18.312,1:18.375,1:18.690,1:19.735,1:20.157,1:19.502,1:18.282,1:18.347,1:18.156,1:18.064,1:17.853,1:18.758,1:18.736,1:17.946,1:18.002,1:18.035,1:17.897,1:18.143,1:18.040,1:18.098,1:21.750,1:38.729,1:18.510,1:17.854,1:18.382,1:18.467,1:20.083,1:18.859,1:20.921,1:18.867,1:18.847,1:18.772,1:18.688,1:18.882,1:19.180,1:18.683,1:18.632,1:19.038,1:19.163,1:18.917,1:18.503,1:19.131,1:20.432,1:20.658,1:19.097,1:19.240,1:21.501,1:18.701,1:18.713,1:19.034,1:19.908,1:19.779
