Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Gastón Mazzacane,2:00.122,1:48.413,1:52.047,3:07.955,3:23.982,2:22.113,2:28.763,3:03.889,2:58.834,2:49.353,2:03.792,2:02.244,2:01.448,2:04.024,2:02.261,2:02.319,2:02.184,2:01.645,2:02.229,2:00.628,2:02.596,2:00.722,2:00.749,2:07.966,2:36.072,2:00.752,1:57.383,1:54.845,1:53.177,1:52.717,1:51.616,1:50.065,1:48.584,1:53.381,2:20.274,1:52.977,1:49.141,1:48.129,1:47.959,1:47.138,1:48.832,1:46.630,1:46.585,1:47.919,1:45.490,1:45.915,1:46.551,1:44.979,1:44.911,1:44.186,1:47.228,1:44.375,1:43.991
Enrique Bernoldi,1:57.879,1:47.294,1:49.306
Tarso Marques,1:59.720,1:47.878,1:59.501,4:10.414,3:29.551,2:27.837,2:15.317,2:11.101,2:52.072,2:46.964,2:04.168,2:02.379,2:02.335,2:02.331,2:01.881,2:02.475,2:02.527,2:01.904,2:02.322,2:02.858,2:03.961,2:04.342,2:02.769,2:03.184,2:07.312,2:05.142,2:06.223,2:55.992,2:50.534,2:01.656,1:58.267,1:54.809,1:54.231,1:54.110,1:54.633,1:52.221,1:52.879,1:53.452,1:49.845,1:51.005,1:50.678,1:48.019,1:50.086,1:52.506,1:48.720,1:50.438,1:49.768,1:48.059,1:46.137,1:46.016,1:46.955
Mika Häkkinen,1:54.207,1:44.055,1:49.494,2:45.181,3:10.748,2:19.777,3:14.509,3:05.819,2:56.397,2:51.040,1:58.618,1:58.534,1:58.687,1:59.419,1:58.245,1:57.045,1:57.120,2:00.756,2:21.376,1:56.569,1:54.791,1:52.999,1:51.623,1:49.944,1:50.684,1:51.609,1:54.849,1:52.574,1:51.780,1:49.568,1:48.874,1:49.563,1:47.759,1:46.994,1:46.325,1:46.515,1:45.562,1:46.536,1:45.478,1:48.662,2:06.330,1:42.396,1:41.728,1:41.857,1:41.426,1:42.745,1:41.706,1:40.962,1:41.543,1:40.996,1:42.908,1:43.034,1:42.460,1:41.389,1:41.642
Eddie Irvine,2:01.015,1:51.532,1:56.289
Jean Alesi,1:56.718,1:47.338,1:49.284,2:40.777,3:17.446,2:26.616,3:02.208,3:05.273,2:56.181,2:51.415,2:01.949,2:03.380,2:02.395,2:02.070,2:01.401,2:01.741,2:01.825,2:01.843,2:01.190,2:01.823,2:00.116,2:00.723,2:07.301,2:21.141,1:54.527,1:54.507,1:53.651,1:52.015,1:51.450,1:50.477,1:49.059,1:48.604,1:49.736,1:48.223,1:47.610,1:47.501,1:50.351,1:46.472,1:46.147,1:47.790,1:45.916,1:44.951,1:44.922,1:45.215,1:46.854,1:47.989,1:46.976,1:49.334,1:45.247,1:44.026,1:44.549,1:44.347,1:43.853,1:44.978
Luciano Burti,1:58.474,1:47.421,1:57.193,4:13.261,3:25.404,2:23.097,2:13.100,2:18.725,2:55.498,2:47.050,2:00.496,1:59.278,2:00.343,2:00.524,2:01.002,2:01.930,2:02.189,2:01.204,2:01.476,1:59.979,2:00.979,2:00.015,2:08.732,2:31.544,1:55.995,1:54.910,1:54.132,1:53.320,1:53.981,1:52.354,1:50.516,1:50.774,1:50.526,1:49.158,1:50.421,1:49.896,1:48.180,1:47.250,1:49.393,1:46.797,1:45.792,1:45.290,1:46.889,1:45.199,1:45.864,1:47.041,1:44.908,1:44.114,1:44.237,1:43.918,1:44.159,1:43.697,1:44.630,1:46.114
Jos Verstappen,1:52.421,1:43.536,1:48.308,2:40.358,2:58.345,2:33.208,3:18.876,3:03.479,2:59.314,2:52.671,1:58.016,1:57.097,1:56.807,1:57.087,1:57.221,1:57.035,1:56.162,1:56.336,1:55.641,1:55.158,1:54.888,1:58.944,2:19.853,1:53.648,1:52.563,1:51.527,1:53.473,1:53.114,1:51.615,1:49.628,1:50.249,1:48.985,1:48.187,1:46.799,1:46.459,1:46.563,1:45.378,1:46.050,1:44.842,1:44.645,1:44.763,1:44.852,1:50.760,2:07.217,1:45.307,1:44.142,1:44.159,1:45.250,1:43.718,1:44.040,1:43.711,1:43.402,1:43.447,1:44.078,1:43.029
Heinz-Harald Frentzen,1:51.587,1:43.700,1:48.954,2:35.530,3:04.330,2:31.350,3:19.160,3:03.465,2:59.000,2:53.071,1:58.823,2:00.487,2:01.151,1:59.733,1:58.996,1:58.328,1:58.182,1:58.084,1:56.637,1:55.787,2:00.251,2:18.404,1:51.302,1:54.264,1:49.256,1:49.767,1:49.392,1:51.715,1:50.875,1:47.939,1:48.032,1:49.851,1:47.662,1:46.608,1:46.185,1:47.043,1:45.303,1:44.998,1:45.809,1:43.995,1:45.203,1:44.631,1:45.794,1:44.030,1:43.071,1:43.314,1:42.987,1:43.146,1:43.595,1:42.119,1:42.790,1:43.964,1:43.912,1:43.915,1:43.867
Olivier Panis,1:54.538
Jacques Villeneuve (VIL),1:53.172,1:43.470,1:48.665
Juan Pablo Montoya (MON),2:13.677,1:43.926,1:47.507
Michael Schumacher (MSC),1:46.061,1:41.833,1:58.729,2:37.245,4:17.358,2:25.289,2:20.003,3:04.076,2:56.883,2:50.049,1:58.262,1:55.833,1:54.948,1:53.390,1:55.104,1:51.228,1:50.904,1:50.141,1:49.575,1:49.849,1:49.278,1:50.668,1:48.683,1:47.881,1:47.096,1:47.934,1:46.775,1:46.223,1:49.460,1:52.911,2:22.382,1:49.613,1:47.903,1:47.622,1:46.530,1:46.112,1:45.441,1:45.069,1:45.432,1:46.517,1:46.424,1:45.836,1:46.068,1:45.102,1:44.797,1:44.700,1:44.586,1:44.303,1:43.931,1:44.570,1:44.755,1:44.361,1:44.000,1:45.719,1:49.359
Ralf Schumacher (SCH),2:01.264,1:46.641,1:47.982,2:43.481,3:33.987,2:27.198,2:41.361,3:04.623,2:56.448,2:50.875,1:58.408,1:56.870,1:58.803,1:58.976,1:59.160,1:58.151,1:58.729,2:03.546,2:25.767,1:56.793,1:54.303,1:52.042,1:51.075,1:52.381,1:49.029,1:48.813,1:49.409,1:49.641,1:51.352,1:50.121,1:49.135,1:46.571,1:45.633,1:45.652,1:43.609,1:42.853,1:42.820,1:49.421,2:09.127,1:44.580,1:43.718,1:43.715,1:43.586,1:44.395,1:43.375,1:43.470,1:43.110,1:43.096,1:43.455,1:42.849,1:43.236,1:42.907,1:42.277,1:41.503,1:41.712
Rubens Barrichello (BAR),1:47.443,1:42.037,1:53.662,2:37.874,4:17.968,2:26.981,2:19.830,3:03.000,2:57.883,2:49.775,1:59.169,1:56.604,1:56.470,1:55.604,1:53.379,1:54.067,1:51.466,1:51.464,1:51.508,1:51.208,1:55.331,2:25.227,1:50.839,1:50.125,1:49.311,1:50.084,1:51.170,1:49.374,1:49.074,1:48.893,1:48.293,1:48.512,1:46.881,1:46.023,1:45.275,1:45.896,1:45.884,1:43.793,1:44.091,1:42.643,1:47.036,2:10.145,1:44.531,1:44.193,1:44.123,1:43.320,1:42.825,1:42.557,1:42.338,1:42.515,1:43.240,1:44.112,1:43.543,1:44.027,1:45.845
Giancarlo Fisichella (FIS),1:57.538,1:46.982,1:54.534,3:14.445,2:49.228,2:35.108,2:43.162,3:05.123,2:56.423,2:51.157,2:02.355,2:00.696,1:57.897,1:59.781,1:59.586,1:59.713,1:59.955,1:59.794,2:00.739,2:05.934,2:31.577,1:58.970,1:54.649,1:53.744,1:52.898,1:53.223,1:53.460,1:55.683,1:53.142,1:51.583,1:51.103
Jenson Button (BUT),1:57.138,1:47.857,1:56.456,4:13.275,3:18.373,2:16.064,2:05.949,2:36.999,2:56.482,2:49.947,2:00.204,1:59.504,2:11.311,2:00.492,1:59.879,2:02.046,2:02.398,2:03.619,2:03.787,2:03.219,2:03.894,2:06.049,2:10.644,2:25.326,1:55.946,1:58.698,1:56.399,1:54.397,1:53.011,1:55.169,1:49.957,1:51.852,1:48.063,1:47.575,1:47.779,1:47.590,1:46.855,1:46.484,1:46.532,1:46.716,1:46.613,1:46.020,1:46.746,1:48.071,1:46.083,1:45.656,1:46.713,1:46.011,1:45.966,1:47.705,1:45.279,1:44.891,1:45.250
Jarno Trulli (TRU),1:49.260,1:43.597,1:46.888,2:49.436,3:16.546,2:25.730,3:07.756,3:05.695,2:56.319,2:51.214,2:00.457,2:01.358,1:59.541,1:59.463,1:59.284,1:58.446,1:58.019,1:57.388,1:56.604,1:56.044,1:55.187,1:54.553,1:58.670,2:18.705,1:54.378,1:52.095,1:52.184,1:51.167,1:51.394,1:49.267,1:49.652,1:50.048,1:47.817,1:46.481,1:46.329,1:45.851,1:45.782,1:45.028,1:52.249,2:09.579,1:45.055,1:45.173,1:44.860,1:45.020,1:44.715,1:44.980,1:44.759,1:44.406,1:43.994,1:44.195,1:43.982,1:43.559,1:43.835,1:44.798
David Coulthard (COU),1:50.622,1:43.201,1:47.575,2:28.956,3:02.930,2:41.059,3:18.996,3:04.297,2:58.570,2:52.749,1:56.768,1:56.984,1:57.590,1:57.701,1:56.965,1:57.549,1:55.815,1:55.422,1:54.671,1:53.977,1:53.199,1:52.502,1:52.179,1:51.924,1:55.306,2:16.396,1:53.199,1:51.778,1:51.551,1:50.679,1:49.684,1:48.739,1:47.086,1:47.182,1:45.832,1:45.984,1:45.528,1:45.663,1:45.274,1:45.830,1:44.338,1:44.241,1:45.582,1:43.746,1:43.117,1:43.069,1:42.839,1:43.005,1:42.997,1:43.854,1:44.906,1:43.659,1:42.895,1:43.732,1:43.464
Fernando Alonso (ALO),2:00.535,2:01.986,2:37.720,3:48.415,2:58.835,2:27.925,2:15.169,2:11.180,2:52.637,2:47.868,2:04.461,2:01.704,2:06.275,2:02.107,2:02.190,2:03.073,2:02.941,2:08.482,2:22.126,1:59.313,2:00.619,2:02.252,1:59.267,1:58.407,1:56.381,1:59.823,1:57.924,1:59.028,1:57.763,1:59.800,2:04.019,2:18.730,1:50.844,1:50.271,1:49.274,1:48.677,1:49.148,1:49.712,1:49.538,1:55.133,2:17.691,1:47.510,1:46.695,1:46.283,1:46.577,1:47.991,1:46.148,1:45.900,1:45.689,1:45.585,1:46.175,1:46.558
