Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Allan McNish,1:27.262,1:15.801,1:15.172,1:14.390,1:14.291,1:14.292,1:14.779,1:14.842,1:13.945,1:14.001,1:13.574,1:13.643,1:13.419,1:13.050,1:12.980,1:12.983,1:13.059,1:12.650,1:12.482,1:14.222,1:12.486,1:12.305,1:13.727,1:26.634,1:21.275,1:29.839,1:59.618,1:25.030,2:06.738,1:58.673,2:01.612,2:00.830,1:58.913,2:17.557,2:02.809,1:57.138,1:16.152,1:14.674,1:13.893,1:13.523,1:13.392,1:13.396,1:13.201,1:12.942,1:13.752,1:14.881,1:13.132,1:13.165,1:12.872,1:12.606,1:12.383,1:12.382,1:12.172,1:12.065,1:12.050,1:12.237,1:11.910,1:13.348,1:12.227,1:12.643,1:11.796,1:11.723,1:11.584,1:11.703,1:11.525,1:11.835,1:11.456,1:11.716,1:11.968,1:12.391,1:12.565
Mika Salo,1:23.553,1:15.327,1:14.601,1:14.190,1:14.106,1:13.873,1:13.572,1:13.629,1:13.642,1:13.274,1:13.640,1:13.333,1:12.995,1:12.881,1:13.129,1:13.160,1:13.074,1:12.960,1:13.838,1:12.475,1:12.552,1:12.650,1:13.617,1:30.151,1:22.136,1:31.830,2:00.618,1:24.450,2:07.441,1:59.866,2:01.146,1:58.888,2:12.353,2:05.094,2:02.835,1:57.967,1:16.164,1:13.717,1:13.592,1:13.219,1:13.276,1:13.227,1:13.479,1:13.742,1:14.983,1:14.376,1:13.162,1:12.937,1:12.734,1:12.356,1:12.436,1:12.260,1:12.050,1:12.032,1:12.027,1:12.078,1:11.871,1:11.825,1:12.661,1:12.305,1:13.278,1:11.889,1:11.759,1:11.591,1:12.019,1:12.203,1:11.836,1:12.026,1:11.783,1:12.368,1:12.880
Alex Yoong,1:29.911,1:16.087,1:16.195,1:17.587,1:15.094,1:14.972,1:15.474,1:15.134,1:15.154,1:15.025,1:14.914,1:15.717,1:14.976,1:16.094,1:15.292,1:15.015,1:15.234,1:14.467,1:18.485,1:15.775,1:14.504,1:14.441,1:17.223,1:24.653,2:02.773,2:03.058,1:27.053,2:06.298,2:07.904,2:00.864,1:59.548,2:00.287,2:03.831,2:05.270,1:58.020,1:19.314,1:17.385,1:15.123,1:14.642,1:14.916,1:14.537,1:14.528
Enrique Bernoldi,1:25.905,1:21.891
Eddie Irvine,1:28.633,1:16.611,1:16.156,1:14.744,1:14.617,1:14.610,1:14.803,1:14.624,1:14.463,1:14.141,1:13.627,1:13.980,1:13.524,1:14.124,1:13.216,1:13.419,1:15.055,1:13.108,1:12.995,1:14.018,1:12.949,1:12.602,1:15.614,1:21.222,1:19.637,1:28.428,1:57.800,1:26.616,2:04.898,2:02.759,2:01.135,1:58.861,2:05.233,2:04.401,2:04.009,1:57.819,1:15.106,1:19.554
Heinz-Harald Frentzen,1:32.491,1:14.343,1:15.608,1:14.742,1:13.966,1:14.744,1:14.562,1:14.774,1:14.357,1:14.306,1:13.650,1:13.868,1:13.657,1:13.844,1:28.656,1:15.372,1:13.389,1:12.968,1:12.600,1:12.340,1:12.122,1:12.391,1:15.324,1:37.930,2:04.453,2:04.002,1:25.799,2:06.909,2:01.107,2:00.970,2:01.628,2:00.882,2:17.145,2:02.906,1:58.019,1:15.930,1:14.499,1:13.626,1:13.515,1:13.629,1:13.609,1:16.041,1:14.342,1:15.859,1:14.251,1:13.705,1:13.793,1:13.260,1:13.209,1:12.926,1:12.467,1:12.659,1:12.281,1:13.344,1:13.733,1:12.814,1:12.103,1:12.198,1:12.072,1:12.023,1:11.885,1:12.711,1:13.234,1:13.293,1:12.590,1:12.190,1:11.201,1:11.293,1:11.211
Olivier Panis,1:27.709,1:16.502,1:15.552,1:14.750,1:14.168,1:14.468,1:15.133,1:13.964,1:14.143,1:13.692,1:13.813,1:13.826,1:13.426,1:13.426,1:13.902,1:13.352,1:13.125,1:12.762,1:14.389,1:13.073,1:12.789,1:12.594
Jacques Villeneuve (VIL),1:29.018,1:15.308,1:14.772,1:14.391,1:14.317,1:13.667,1:14.662,1:12.224,1:13.043,1:12.457,1:11.747,1:12.416,1:12.998,1:12.534,1:12.434,1:13.236,1:13.282,1:12.599,1:11.810,1:11.537,1:11.184,1:11.489,1:15.006,1:42.349,1:21.947,1:28.783,1:58.869,1:25.704,2:05.941,2:01.019,2:01.036,2:00.411,2:00.330,2:04.278,2:05.463,1:58.282,1:13.363,1:12.315,1:12.692,1:11.656,1:11.566,1:11.565,1:11.290,1:11.378,1:12.133,1:11.958,1:11.980,1:11.736,1:11.020,1:11.188,1:10.897,1:10.823,1:14.314,1:34.558,1:11.678,1:11.406,1:11.629,1:12.670,1:11.590,1:11.499,1:11.762,1:11.384,1:11.963,1:11.502,1:11.728,1:11.506,1:11.316,1:11.275,1:11.299,1:11.076
Juan Pablo Montoya (MON),1:21.535,1:13.665,1:13.321,1:13.175,1:13.250,1:13.180,1:13.005,1:13.354,1:12.482,1:12.368,1:12.507,1:13.334,1:12.073,1:11.932,1:12.126,1:12.158,1:12.204,1:11.945,1:11.761,1:11.703,1:11.699,1:11.677,1:11.567,1:19.845,1:23.432,2:01.608,2:02.433,1:25.352,2:07.414,1:59.656,2:01.343,2:01.825,2:01.091,2:03.417,2:05.686,1:58.604,1:13.141,1:12.417,1:11.682,1:11.408,1:10.903,1:10.708,1:12.871,1:10.834,1:11.201,1:11.027,1:10.881,1:10.466,1:10.455,1:10.384,1:12.995,1:32.816,1:10.831,1:10.781,1:10.564,1:10.440,1:10.662,1:10.372,1:10.311,1:10.245,1:10.355,1:10.394,1:10.380,1:10.550,1:10.106,1:10.036,1:10.852,1:09.996,1:10.260,1:09.853,1:10.388
Michael Schumacher (MSC),1:18.058,1:12.846,1:11.347,1:11.092,1:10.947,1:10.741,1:10.728,1:10.424,1:10.375,1:10.292,1:10.380,1:10.594,1:10.454,1:09.914,1:10.597,1:09.938,1:10.105,1:10.181,1:10.079,1:10.152,1:10.504,1:10.144,1:09.590,1:19.308,2:04.963,2:04.022,2:03.351,1:26.660,2:07.620,1:59.293,2:01.418,2:01.774,2:01.613,2:03.188,2:04.751,1:59.414,1:12.902,1:11.847,1:11.489,1:11.127,1:10.871,1:10.821,1:10.673,1:10.508,1:11.789,1:10.825,1:10.761,1:10.045,1:09.954,1:09.743,1:09.945,1:10.442,1:09.632,1:09.698,1:09.408,1:09.679,1:10.268,1:09.511,1:09.595,1:10.113,1:09.784,1:12.300,1:31.551,1:10.020,1:09.860,1:09.902,1:09.487,1:09.298,1:09.490,1:09.645,1:11.722
Ralf Schumacher (SCH),1:20.884,1:13.331,1:12.694,1:12.473,1:12.732,1:12.269,1:12.237,1:12.037,1:12.124,1:12.200,1:11.779,1:11.715,1:11.463,1:11.499,1:11.910,1:11.937,1:11.659,1:11.525,1:11.216,1:11.541,1:11.417,1:11.038,1:11.251,1:13.307,1:36.926,2:04.003,2:03.625,1:24.579,2:06.734,2:01.249,2:00.165,2:01.899,2:03.259,2:03.343,2:04.654,1:59.754,1:12.884,1:11.731,1:11.409,1:10.973,1:10.569,1:10.675,1:10.544,1:10.766,1:10.964,1:11.273,1:13.774,1:35.634,1:11.636,1:11.240,1:11.093,1:11.555,1:11.064,1:10.877,1:10.707,1:10.539,1:10.545,1:10.659,1:10.381,1:10.382,1:10.236,1:10.301,1:10.268,1:10.215,1:10.036,1:09.862,1:10.306,1:10.531,1:09.968,1:10.117,1:09.868
Rubens Barrichello (BAR),1:17.605,1:12.412,1:11.129,1:11.161,1:10.870,1:11.123,1:10.747,1:10.218,1:10.248,1:10.457,1:10.142,1:10.016,1:10.088,1:10.101,1:10.124,1:09.995,1:10.676,1:10.817,1:09.933,1:09.896,1:10.443,1:09.911,1:09.665,1:13.054,2:09.685,2:04.652,2:03.860,1:25.506,2:06.558,2:01.238,1:59.735,2:01.804,2:04.088,2:02.939,2:04.769,2:00.311,1:12.212,1:11.392,1:10.963,1:10.897,1:10.474,1:10.664,1:10.479,1:10.535,1:11.540,1:10.644,1:10.758,1:10.200,1:10.123,1:10.201,1:10.128,1:09.723,1:09.598,1:09.762,1:09.606,1:09.689,1:09.320,1:09.598,1:09.839,1:09.740,1:11.976,1:32.074,1:09.896,1:10.357,1:09.815,1:09.927,1:09.839,1:10.209,1:10.313,1:10.273,1:13.004
Giancarlo Fisichella (FIS),1:26.293,1:15.483,1:14.079,1:14.496,1:13.790,1:13.962,1:15.579,1:13.723,1:13.841,1:14.276,1:13.323,1:13.495,1:13.056,1:13.794,1:13.305,1:13.170,1:12.955,1:12.716,1:12.768,1:12.787,1:14.084,1:13.860,1:13.605,1:27.086,1:21.318,1:29.068,2:00.519,1:23.740,2:10.959,1:57.613,2:01.825,2:00.787,2:00.127,2:04.245,2:05.306,1:58.397,1:14.397,1:13.724,1:13.020,1:12.778,1:12.665,1:13.012,1:13.424,1:12.879,1:13.942,1:13.818,1:12.968,1:12.854,1:12.413,1:12.560,1:12.383,1:12.162,1:12.065,1:12.251,1:12.096,1:12.256,1:12.199,1:11.725,1:11.823,1:11.946,1:11.715,1:11.723,1:11.580,1:11.860,1:11.655,1:11.284,1:11.450,1:11.373,1:11.356,1:11.348,1:11.393
Jenson Button (BUT),1:24.509,1:14.807,1:14.684,1:14.397,1:14.033,1:13.969,1:13.669,1:13.603,1:13.557,1:13.395,1:13.566,1:13.512,1:12.901,1:13.803,1:12.759,1:12.995,1:13.205,1:12.880,1:13.170,1:12.671,1:12.625,1:12.574,1:14.043,1:33.773,1:21.370,1:28.947,2:00.272,1:25.249,2:06.746,1:58.010,2:10.597,1:59.270,2:00.506,2:03.572,2:05.184,1:57.570,1:14.101,1:12.941,1:12.681,1:12.678,1:12.931,1:12.770,1:13.423,1:13.103,1:13.335,1:14.473,1:13.281,1:13.049,1:12.780,1:12.582,1:12.413,1:12.197,1:12.321,1:12.011,1:12.127,1:11.593,1:12.029,1:11.759,1:11.840,1:11.758,1:11.736,1:11.552,1:11.611,1:11.916,1:11.615,1:11.303,1:11.459,1:11.209,1:11.220,1:11.260,1:11.341
Mark Webber (WEB),1:30.200,1:16.402,1:16.741,1:15.397,1:14.508,1:14.737,1:14.376,1:14.517,1:14.368,1:14.173,1:14.231,1:14.132,1:13.907,1:14.088,1:13.562,1:15.248,1:13.685,1:13.261,1:13.583,1:13.654,1:13.471,1:13.250,1:16.209,1:43.569,2:04.482,2:04.210,1:27.242,2:06.923,1:58.934,2:14.574,1:58.796,2:00.387,2:04.484,2:04.472,1:57.031,1:15.824,1:14.119,1:13.857,1:13.504,1:13.656,1:13.611,1:13.712,1:13.740,1:15.232,1:20.773,1:27.326,1:13.952,1:13.597,1:14.361,1:13.978,1:12.974,1:12.979,1:13.167,1:12.786,1:12.835,1:12.862,1:12.874,1:12.573,1:12.568,1:12.357,1:12.432,1:12.338,1:15.657,1:12.073,1:12.390,1:11.927,1:11.819,1:11.842,1:11.996
Jarno Trulli (TRU),1:26.517,1:17.093,1:15.313,1:14.373,1:14.437,1:14.952,1:15.060,1:13.868,1:14.048,1:13.881,1:13.876,1:13.634,1:13.389,1:13.236,1:13.131,1:13.093,1:12.898,1:12.848,1:13.418,1:13.491,1:12.756,1:12.675,1:14.146,1:25.791,1:21.012,1:29.026,1:59.525,1:25.175,2:04.768,2:04.241,2:01.267,2:00.338,2:00.384,2:04.491,2:05.083,1:58.051,1:14.195,1:13.155,1:12.752,1:12.626,1:12.775,1:12.834,1:13.513,1:13.172
David Coulthard (COU),1:22.736,1:15.041,1:14.634,1:14.034,1:14.065,1:14.047,1:13.656,1:13.762,1:13.370,1:13.598,1:13.369,1:12.751,1:12.775,1:12.617,1:12.711,1:12.533,1:12.939,1:12.534,1:12.416,1:12.356,1:12.124,1:12.162,1:12.310,1:26.003,1:33.455,1:31.478,2:00.818,1:23.102,2:12.817,1:58.073,2:01.723,2:00.569,2:00.353,2:04.075,2:05.429,1:58.171,1:14.207,1:13.070,1:12.663,1:13.473,1:13.001,1:13.655,1:12.727,1:12.644,1:16.067,1:14.116,1:13.052,1:13.131,1:12.756,1:12.505,1:12.296,1:12.264,1:12.406,1:12.030,1:11.990,1:11.604,1:11.898,1:11.869,1:12.108,1:11.614,1:11.577,1:11.673,1:11.780,1:11.706,1:11.594,1:11.413,1:11.351,1:11.244,1:11.223,1:11.402,1:11.519
