Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Allan McNish,1:28.167,1:17.613,1:17.115,1:18.573,1:17.057,1:17.079,1:17.293,1:17.487,1:17.574,1:17.280,1:17.001,1:17.467,1:17.631,1:17.254,1:17.393,1:17.044,1:16.854,1:16.757,1:16.188,1:16.331,1:15.940,1:16.086,1:16.332,1:17.745,1:15.700,1:15.740,1:15.623,1:15.522,1:15.921,1:15.843,1:16.317,1:16.377,1:17.372,1:16.208,1:15.923,1:18.817,1:15.887,1:15.464,1:15.355,1:14.882,1:54.908,1:21.115,1:16.064,1:16.146,1:17.523,1:16.419,1:17.280,1:17.565,1:16.634,1:16.611,1:16.202,1:17.648,1:16.007,1:16.079,1:16.114,1:15.902,1:15.993,1:15.999,1:15.857,1:17.454,1:16.897,1:15.763,1:17.019,1:15.868,1:16.516,1:15.572,1:16.574,1:15.422,1:15.395,1:15.461,1:15.748
Mika Salo,1:28.990,1:17.182,1:16.883,1:16.767,1:15.976,1:16.050,1:17.945,1:17.201,1:16.944,1:16.979,1:16.582,1:16.450,1:16.730,1:16.037,1:16.117,1:16.363,1:16.176,1:16.150,1:15.903,1:15.663,1:15.787,1:15.124,1:15.144,1:15.385,1:14.908,1:40.498,1:20.485,1:15.104,1:17.628,1:16.874,1:17.827,1:15.460,1:15.591,1:15.807,1:15.505,1:15.221,1:16.199,1:15.362,1:15.446,1:15.139,1:15.579,1:14.891,1:15.302,1:19.702,1:23.837,1:16.238,1:15.477,1:15.436,1:17.015,1:15.619,1:43.429,1:20.383,1:14.791,1:14.672,1:15.090,1:15.342,1:15.187,1:15.442,1:15.365,1:15.550,1:15.488,1:15.836,1:15.484,1:16.503,1:16.354,1:15.765,1:15.418,1:15.138,1:15.008,1:15.098,1:15.489
Alex Yoong,1:30.719,1:18.150,1:17.238,1:17.769,1:17.480,1:17.344,1:17.589,1:17.610,1:17.076,1:17.565,1:17.397,1:17.532,1:17.166,1:17.432,1:17.732,1:16.901,1:17.431,1:16.701,1:16.415,1:16.536,1:19.450,1:16.582,1:16.346,1:16.836,1:16.408,1:16.476,1:16.663,1:16.325,1:16.462,1:18.379,1:18.022,1:16.804,1:17.743,1:16.344,1:15.438,1:15.589,1:15.583,1:15.347,1:15.587,1:42.347,1:22.904,1:16.350,1:15.787,1:15.681,1:16.032,1:17.053
Eddie Irvine,1:28.956,1:18.538,1:17.094,1:17.602,1:17.106,1:17.468,1:17.293,1:16.988,1:18.042,1:16.973,1:16.754,1:19.345,1:16.843,1:17.250,1:17.028,1:16.553,1:17.410,1:16.172,1:16.413,1:15.905,1:15.906,1:15.930,1:17.027,1:17.164,1:15.818,1:15.658,1:15.733,1:15.601,1:15.695,1:16.055,1:16.267,1:16.010,1:15.661,1:14.916,1:14.683,1:14.536,1:14.466,1:14.423,1:14.300,1:14.220,1:14.190,1:14.296,1:40.672,1:20.139,1:15.540,1:14.971,1:15.269,1:17.100,1:15.120,1:15.088,1:15.402,1:15.402,1:15.310,1:15.093,1:15.202,1:15.026,1:16.679,1:15.551,1:15.024,1:15.026,1:15.088,1:15.039,1:14.716,1:14.710,1:14.577,1:14.998,1:15.177,1:16.206,1:15.179,1:14.534,1:14.533,1:29.293
Heinz-Harald Frentzen,1:26.676,1:17.271,1:16.325,1:16.267,1:16.441,1:16.622,1:19.977,1:17.059,1:16.866,1:16.966,1:16.520,1:16.595,1:16.317,1:16.117,1:16.127,1:16.059,1:16.179,1:16.193,1:15.998,1:15.523,1:15.309,1:15.191,1:15.308,1:15.343,1:14.959,1:15.330,1:14.984,1:14.819,1:14.953,1:38.842,1:20.002,1:15.732,1:16.078,1:18.615,1:16.201,1:16.041,1:16.103,1:16.312,1:15.698,1:15.927,1:15.799,1:15.524,1:15.770,1:15.766,1:15.840,1:15.350,1:16.562,1:16.678,1:39.516,1:33.252,1:14.810,1:14.856,1:14.924,1:15.021,1:15.159,1:15.744,1:16.986,1:15.427,1:15.406,1:16.018,1:16.919,1:15.558,1:15.293,1:14.796,1:15.137,1:16.876,1:15.606,1:15.795,1:15.502,1:15.112,1:16.118
Olivier Panis,1:29.703,1:18.183,1:17.113,1:17.722,1:16.887,1:17.528,1:17.188,1:17.198,1:18.029,1:16.827,1:16.603,1:16.967,1:17.450,1:17.246,1:15.170,1:14.744,1:14.776,1:14.595,1:14.547,1:15.088,1:40.600,1:19.983,1:14.832,1:15.000,1:15.338,1:15.514,1:17.242,1:18.526,1:15.972,1:17.505,1:16.129,1:16.039,1:17.355,1:16.772,1:16.158,1:15.325,1:16.710,1:15.593,1:17.247,1:15.132,1:15.046,1:15.281,1:16.233,1:16.130,1:14.597,1:14.725,1:14.263,1:15.778,1:40.070,1:20.021,1:14.411,1:14.567,1:15.050,1:15.206,1:15.420,1:15.241,1:15.213,1:17.018,1:15.602,1:18.792,1:14.837,1:14.941,1:14.746,1:14.989,1:14.750,1:15.076,1:14.537,1:14.843,1:14.624,1:15.099,1:15.850,1:14.627
Pedro de la Rosa (DLR),1:31.376,1:18.085,1:17.668,1:17.306,1:17.423,1:17.368,1:17.685,1:17.376,1:17.448,1:17.247,1:17.418,1:17.718,1:17.159,1:17.008,1:18.196,1:16.685,1:17.383,1:16.625,1:16.662,1:16.107,1:16.972,1:16.140,1:15.613,1:15.704,1:15.498,1:15.973,1:16.236
Jacques Villeneuve (VIL),1:24.742,1:16.552,1:15.241,1:15.565,1:15.676,1:15.399,1:15.492,1:15.416,1:15.684,1:15.330,1:15.196,1:15.517,1:15.562,1:15.248,1:14.821,1:14.606,1:14.504,1:14.492,1:14.430,1:14.319,1:14.305,1:14.162,1:13.990,1:14.200,1:39.625,1:20.148,1:14.724,1:14.826,1:14.870,1:15.317,1:16.840,1:15.575,1:15.823,1:15.278,1:15.118,1:14.788,1:14.531,1:14.917,1:14.569,1:14.384,1:14.468,1:14.563,1:14.181,1:14.090,1:14.122,1:14.134,1:14.012,1:13.848,1:14.505,1:13.947,1:37.872,1:20.224,1:14.572,1:14.582,1:14.478,1:14.744,1:14.947,1:15.099,1:14.697,1:14.572,1:14.699,1:14.538,1:14.675,1:14.366,1:14.155,1:14.252,1:14.148,1:13.991,1:14.158,1:14.219,1:14.157,1:14.170,1:15.179
Juan Pablo Montoya (MON),1:23.201,1:18.581,1:15.450,1:16.053,1:15.616,1:15.846,1:15.669,1:15.790,1:15.690,1:16.181,1:15.277,1:15.259,1:15.354,1:15.430,1:15.720,1:15.773,1:14.992,1:14.765,1:14.253,1:14.385,1:14.248,1:13.876,1:13.857,1:14.008,1:13.890,1:13.719,1:13.730,1:13.513,1:14.010,1:13.431,1:14.288,1:40.675,1:18.976,1:14.326,1:14.437,1:14.424,1:14.551,1:14.778,1:14.570,1:14.848,1:14.954,1:14.603,1:14.828,1:14.641,1:14.774,1:14.543,1:14.541,1:14.729,1:14.825,1:14.818,1:14.148,1:14.426,1:14.489,1:14.258,1:14.256,1:14.450,1:14.006,1:14.788,1:14.611,1:13.965,1:14.196,1:13.877,1:13.687,1:13.333,1:13.286,1:13.246,1:12.909,1:13.083,1:13.413,1:13.484,1:13.019,1:12.798,1:13.421
Michael Schumacher (MSC),1:19.324,1:14.131,1:14.604,1:14.229,1:14.716,1:14.325,1:14.461,1:14.708,1:14.548,1:14.559,1:14.523,1:14.360,1:14.301,1:13.919,1:13.853,1:13.725,1:13.529,1:13.659,1:13.577,1:13.319,1:13.261,1:14.269,1:12.984,1:14.453,1:12.758,1:12.754,1:35.921,1:18.308,1:13.983,1:14.480,1:14.218,1:14.127,1:14.427,1:15.182,1:14.692,1:15.229,1:13.969,1:13.817,1:13.551,1:13.451,1:13.723,1:13.560,1:13.469,1:13.645,1:13.266,1:12.860,1:13.276,1:13.305,1:36.544,1:17.915,1:13.994,1:14.946,1:14.590,1:14.363,1:14.295,1:14.372,1:14.564,1:15.379,1:14.790,1:14.191,1:14.257,1:14.604,1:13.631,1:13.436,1:13.428,1:13.599,1:13.263,1:13.669,1:13.291,1:13.141,1:13.903,1:16.577,1:19.895
Ralf Schumacher (SCH),1:23.160,3:07.383,1:20.342,1:14.414,1:15.304,1:15.135,1:15.343,1:15.708,1:15.559,1:15.450,1:15.701,1:15.405,1:15.528,1:15.359,1:15.462,1:16.454,1:16.090,1:16.774,1:16.116,1:17.665,1:15.417,1:15.464,1:15.736,1:15.449,1:15.801,1:16.438,1:15.724,1:14.487,1:16.741,1:14.974,1:16.125,1:16.285,1:16.003,1:15.026,1:13.657,1:13.411,1:13.705,1:13.483,1:13.979,1:15.016,1:16.068,1:14.098,1:39.563,1:19.937,1:18.284,1:14.374,1:15.451,1:15.369,1:14.742,1:15.255,1:15.160,1:15.273,1:15.151,1:15.219,1:16.807,1:14.725,1:15.875,1:14.962,1:15.227,1:14.689,1:15.266,1:14.701,1:14.692,1:14.449,1:15.036,1:15.325,1:14.097,1:15.241,1:14.984,1:20.282,1:13.260
Rubens Barrichello (BAR),1:20.231,1:14.448,1:14.530,1:14.403,1:14.540,1:14.326,1:14.483,1:14.495,1:14.642,1:14.494,1:14.347,1:14.311,1:14.473,1:14.226,1:13.915,1:13.726,1:13.697,1:13.871,1:13.395,1:13.418,1:13.274,1:13.818,1:13.304,1:14.267,1:14.160,1:12.785,1:12.738,1:35.470,1:18.201,1:13.813,1:14.207,1:14.249,1:14.657,1:14.937,1:15.264,1:14.831,1:14.487,1:13.834,1:13.809,1:13.487,1:13.550,1:13.772,1:14.230,1:13.689,1:13.780,1:13.159,1:13.198,1:13.351,1:13.881,1:36.281,1:18.609,1:13.645,1:13.654,1:14.513,1:14.032,1:14.511,1:15.021,1:15.141,1:15.482,1:14.923,1:14.284,1:14.341,1:14.398,1:13.875,1:13.267,1:13.005,1:13.691,1:13.781,1:13.900,1:12.873,1:12.816,1:14.340,1:19.378
Giancarlo Fisichella (FIS),1:26.270,1:16.971,1:15.969,1:16.251,1:16.166,1:16.403,1:16.532,1:16.371,1:16.756,1:16.875,1:16.631,1:16.377,1:16.440,1:16.093,1:15.914,1:15.798,1:16.053,1:15.908,1:15.489,1:15.177,1:15.267,1:15.141,1:14.981,1:14.984,1:14.935,1:14.766,1:14.745,1:14.662,1:14.755,1:14.303,1:14.471,1:14.152,1:14.119,1:14.025,1:14.332,1:14.140,1:40.743,1:20.971,1:15.123,1:15.557,1:15.559,1:15.791,1:16.177,1:18.655,1:16.003,1:15.895,1:16.245,1:16.428,1:15.986,1:16.118,1:15.618,1:16.411,1:16.851,1:17.668,1:15.750,1:15.364,1:14.958,1:15.008,1:15.110,1:14.824,1:14.841,1:14.831,1:15.115,1:14.755,1:14.491,1:14.350,1:14.043,1:14.224,1:14.693,1:14.379,1:16.298,1:16.087
Jenson Button (BUT),1:26.994,1:17.785,1:16.218,1:16.443,1:16.549,1:16.359,1:16.190,1:15.886,1:15.934,1:16.622,1:16.464,1:16.719,1:16.488,1:16.103,1:15.880,1:15.757,1:15.973,1:15.962,1:15.823,1:15.248,1:15.112,1:15.078,1:15.077,1:15.041,1:14.814,1:14.811,1:15.099,1:14.740,1:14.581,1:42.326,1:21.630,1:16.300,1:16.899,1:18.202,1:17.348,1:15.973,1:16.072,1:16.152,1:15.864,1:15.948,1:15.878,1:15.999,1:15.738,1:16.019,1:15.588,1:15.315,1:15.437,1:16.079,1:15.619,1:15.509,1:15.783,1:15.673,1:15.920,1:15.438,1:17.578,1:15.303,1:15.213,1:15.100,1:14.933,1:15.146,1:15.020,1:16.858,1:14.629,1:14.741,1:14.588,1:14.331,1:14.343,1:14.595,1:14.536,1:14.440,1:14.265,1:14.660
Mark Webber (WEB),1:30.511,1:17.897,1:17.214,1:17.657,1:17.148,1:17.337,1:17.438,1:17.362,1:17.435,1:17.223,1:16.986,1:17.179,1:16.851,1:17.443,1:16.918,1:17.045,1:16.784,1:16.911,1:17.671,1:15.914,1:16.067,1:15.828,1:17.321,1:16.539,1:15.714,1:16.116,1:16.037,1:16.283,1:15.367,1:15.594,1:16.459,1:16.333,1:17.390,1:18.336,1:16.616,1:15.927,1:16.025,1:16.269
Jarno Trulli (TRU),1:23.620,1:14.819,1:15.124,1:14.991,1:15.008,1:15.150,1:15.398,1:15.336,1:15.298,1:15.504,1:15.426,1:15.449,1:15.176,1:15.371,1:15.112,1:15.078,1:14.791,1:15.149,1:14.825,1:14.621,1:14.639,1:14.613,1:14.366,1:14.592,1:14.564,1:14.225,1:14.026,1:14.466,1:41.426,1:21.648,1:16.309,1:15.943,1:16.082,1:17.018,1:15.987,1:15.579,1:15.612,1:15.416,1:15.288,1:15.408,1:15.402,1:16.614,1:15.644,1:15.721,1:15.542,1:16.128,1:15.237,1:15.409,1:15.780,1:15.246,1:15.830,1:15.349,1:15.188,1:14.894,1:14.810,1:14.701,1:14.541,1:14.535,1:15.052,1:14.587,1:14.485,1:14.384,1:14.345,1:14.227,1:14.147,1:14.176,1:14.251,1:14.090,1:14.215,1:14.364,1:14.663,1:16.387,1:16.384
David Coulthard (COU),1:21.579,1:14.879,1:14.995,1:15.232,1:15.249,1:15.089,1:15.655,1:15.552,1:15.485,1:15.542,1:15.309,1:15.294,1:15.160,1:15.519,1:15.092,1:14.927,1:14.767,1:14.939,1:14.757,1:14.412,1:14.370,1:14.408,1:14.452,1:14.772,1:14.235,1:14.067,1:14.143,1:14.919,1:14.790,1:14.229,1:14.793,1:14.090,1:14.042,1:14.326,1:15.318,1:14.482,1:14.891,1:13.641,1:13.483,1:13.690,1:13.481,1:39.218,1:19.255,1:14.429,1:14.444,1:14.621,1:14.826,1:14.620,1:15.284,1:14.639,1:14.589,1:14.409,1:14.328,1:14.467,1:14.730,1:14.494,1:14.263,1:14.262,1:14.295,1:14.145,1:14.142,1:14.042,1:14.048,1:13.958,1:13.865,1:13.824,1:14.163,1:13.811,1:13.726,1:13.760,1:13.544,1:13.680,1:13.797
