Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Ralph Firman,1:30.048,1:20.871,1:20.232,1:23.406,1:19.908,1:20.329,1:20.627,1:20.547,1:21.287,1:20.583,1:21.101,1:19.891,1:19.345,1:19.720,1:20.747,1:41.103,1:19.445,1:19.887,1:20.237,1:21.451,1:21.378,1:22.463,1:21.314,1:21.961,1:20.333,1:20.632,1:21.403,1:20.523,1:20.260,1:20.361,1:20.075,1:20.858,1:20.192,1:20.754,1:19.958,1:19.793,1:19.989,1:20.030,1:20.211,1:22.812,1:43.402,1:20.446,1:22.319,1:21.178,1:20.822,1:23.135,1:46.809,1:19.562,1:20.302,1:19.927,1:21.700,1:20.205,1:20.048,1:20.413,1:22.187,1:20.288,1:22.051,1:22.074,1:20.525,1:20.371,1:20.070,1:22.981,1:21.105,1:20.516,1:20.845,1:21.000,1:20.940
Justin Wilson,1:31.159,1:20.795,1:21.173,1:20.236,1:20.274,1:20.551,1:20.662,1:20.686,1:21.183,1:20.589,1:20.692,1:22.572,1:20.544,1:20.978,1:20.548,1:20.240,1:21.485,1:20.665,1:20.321,1:20.214,1:20.070,1:21.748,1:43.199,1:19.813,1:19.588,1:20.835,1:20.494,1:20.370,1:20.421,1:20.589,1:20.934,1:20.989,1:20.754,1:20.756,1:20.438,1:20.515,1:20.257,1:21.699,1:20.103,1:20.213,1:20.980,1:20.908,1:43.224,1:20.884,1:22.053,1:21.412,1:21.444,1:21.149,1:20.647,1:21.114,1:20.762,1:20.742,1:20.291,1:20.389,1:19.978,1:20.164,1:20.300,1:20.959,1:20.239,1:19.993,1:19.882,1:19.928,1:22.330,1:20.045,1:20.169,1:19.963,1:19.978
Jos Verstappen,1:28.833,1:20.081,1:19.924,1:19.840,1:19.852,1:19.632,1:20.749,1:19.894,1:19.759,1:19.685,1:20.117,1:38.464,1:19.586,1:19.852,1:19.990,1:19.937,1:20.926,1:20.599,1:20.430,1:20.491,1:21.140,1:21.844,1:21.232,1:21.415,1:21.288,1:20.524,1:21.038,1:20.525,1:22.280,1:40.916,1:20.547,1:20.040,1:20.657,1:22.526,1:20.648,1:20.666,1:20.534,1:21.010,1:20.903,1:22.666,1:20.689,1:21.440,1:21.265,1:20.769,1:21.670,1:21.319,1:20.163,1:20.984,1:39.623,1:19.896,1:19.940,1:19.827,1:19.973,1:20.008,1:20.158,1:20.759,1:20.240,1:20.036,1:20.158,1:19.929,1:59.026,1:56.043,1:22.436,1:25.198,1:54.845,1:18.754
Heinz-Harald Frentzen,1:29.407,1:20.497,1:19.618,1:19.636,1:19.901,1:20.070,1:20.141,1:19.967,1:19.869,1:19.755,1:19.643,1:18.966,1:18.802,1:18.883,1:18.855,1:19.943,1:36.461,1:18.099,1:18.147,1:18.646,1:18.651,1:19.131,1:18.861,1:18.834,1:18.939,1:18.758,1:18.564,1:19.639,1:18.748,1:18.927,1:19.803,1:19.678,1:37.901,1:18.417,1:18.504,1:18.515,1:19.118,1:20.911,1:20.034,1:18.949,1:19.001,1:18.899,1:18.897,1:19.649,1:19.402,1:18.970,1:20.281,1:20.690,1:43.732,1:19.254,1:19.542,1:19.220,1:18.745,1:18.878,1:18.850,1:18.982,1:18.958,1:19.015,1:18.854,1:20.553,1:19.927,1:18.786,1:18.913,1:19.156,1:18.862,1:19.092,1:19.245,1:19.614
Olivier Panis,1:25.554,1:19.412,1:18.872,1:18.674,1:18.734,1:18.373,1:18.478,1:18.234,1:17.932,1:17.810,1:17.774,1:17.938,1:17.527,1:17.752,1:17.515,1:18.456,1:37.603,1:18.490,1:18.161,1:18.321,1:18.505,1:18.472,1:18.630,1:18.424,1:18.738,1:18.153,1:18.116,1:18.149,1:18.107,1:18.563,1:18.111,1:18.654,1:18.014,1:18.550,1:35.087,1:17.398,1:18.800,1:18.529,1:18.470,1:17.894,1:18.979,1:17.716,1:17.832,1:18.863,1:18.144,1:18.082,1:17.957,1:17.988,1:20.247,1:18.455,1:17.960,1:19.458,1:35.515,1:17.964,1:18.159,1:18.409,1:19.260,1:18.327,1:18.026,1:19.255,1:17.982,1:17.979,1:18.294,1:18.234,1:18.663,1:18.134,1:18.452,1:18.324,1:19.512
Cristiano da Matta,1:27.277,1:19.933,1:19.440,1:19.274,1:19.101,1:19.179,1:19.038,1:19.009,1:18.683,1:18.517,1:18.700,1:18.620,1:18.809,1:18.763,1:18.550,1:18.325,1:18.594,1:18.208,1:19.127,1:40.037,1:19.042,1:18.815,1:18.937,1:18.999,1:18.895,1:18.630,1:18.562,1:18.435,1:18.685,1:18.592,1:19.035,1:20.406,1:18.669,1:18.884,1:19.235,1:18.610,1:18.610,1:19.671,1:21.138,1:19.981,1:20.200,1:19.045,1:18.721,1:19.913,1:19.547,1:40.622,1:19.706,1:18.496,1:19.181,1:18.812,1:20.390,1:19.223,1:19.265,1:19.336,1:20.881,1:19.466,1:19.117,1:18.863,1:18.676,1:18.534,1:18.683,1:18.338,1:17.870,1:18.154,1:18.245,1:18.392,1:18.066,1:18.145,1:18.332
Antônio Pizzonia (PIZ),1:24.855,1:19.126,1:18.566,1:18.320,1:18.478,1:18.138,1:18.381,1:18.103,1:17.594,1:17.912,1:17.869,1:17.692,1:17.882,1:18.367,1:38.277,1:18.004,1:18.667,1:18.345,1:17.955,1:18.335,1:18.181,1:18.358,1:18.151,1:18.064,1:18.517,1:18.252,1:17.936,1:17.851,1:17.969,1:19.256,1:41.410,1:19.840,1:18.952,1:19.073,1:18.969,1:18.667,1:18.928,1:19.257,1:20.844,1:20.896,1:19.532,1:19.008,1:19.773,1:38.381,1:18.767,1:19.013,1:18.870,1:18.623,1:18.456,1:18.413,1:18.630,1:18.723,1:20.051,1:19.956,1:18.777,1:20.217,1:18.991,1:18.581,1:18.243,1:19.504,1:18.418,1:18.347,1:18.009,1:18.137,1:18.327,1:17.921,1:17.416,1:17.554,1:18.526
Jacques Villeneuve (VIL),1:26.400,1:19.296,1:19.554,1:19.422,1:18.985,1:19.066,1:18.616,1:18.685,1:18.636,1:18.739,1:18.691,1:18.559,1:18.747,1:19.019,1:18.496,1:18.444,1:18.441,1:19.441,1:38.533,1:18.811,1:18.363,1:18.250,1:18.552,1:18.502,1:18.489,1:18.560,1:18.391,1:18.231,1:18.378,1:18.150,1:18.609,1:18.238,1:18.433,1:19.014,1:19.047,1:18.373,1:19.678,1:39.746,1:18.604,1:17.913,1:18.425,1:18.358,1:18.730,1:19.845,1:19.049,1:18.888,1:18.044,1:18.171,1:17.786,1:18.116,1:18.282,1:17.944,1:19.268,1:38.123,1:18.334,1:18.609,1:18.294,1:18.082,1:18.082,1:19.877,1:18.294,1:18.206,1:18.231,1:19.684,1:18.335,1:18.061,1:18.300,1:18.195,1:18.793
Juan Pablo Montoya (MON),1:19.513,1:17.471,1:17.600,1:17.536,1:17.332,1:17.063,1:17.249,1:17.078,1:16.812,1:16.805,1:16.700,1:16.794,1:16.939,1:16.522,1:16.487,1:16.631,1:17.601,1:36.990,1:15.660,1:16.031,1:17.807,1:16.581,1:17.006,1:17.610,1:17.045,1:16.626,1:16.501,1:16.733,1:16.749,1:16.439,1:16.467,1:16.985,1:16.298,1:17.321,1:33.825,1:15.512,1:15.967,1:16.368,1:17.140,1:16.558,1:17.282,1:18.328,1:16.366,1:16.785,1:16.893,1:16.982,1:16.765,1:16.142,1:16.344,1:17.646,1:34.041,1:16.477,1:17.198,1:18.416,1:17.866,1:18.398,1:18.192,1:18.376,1:19.100,1:18.586,1:18.588,1:18.899,1:18.598,1:19.575,1:18.345,1:18.570,1:17.493,1:17.119,1:17.815,1:19.489
Michael Schumacher (MSC),1:21.305,1:17.854,1:17.769,1:17.476,1:17.660,1:17.790,1:17.452,1:17.460,1:17.482,1:17.478,1:17.517,1:17.411,1:17.348,1:17.604,1:17.676,1:17.335,1:18.374,1:34.683,1:16.303,1:16.632,1:16.873,1:17.223,1:19.025,1:17.461,1:17.496,1:17.792,1:17.553,1:17.882,1:17.750,1:16.745,1:17.243,1:17.064,1:17.252,1:17.240,1:18.951,1:34.855,1:16.617,1:16.651,1:16.694,1:17.568,1:16.578,1:17.056,1:16.910,1:17.400,1:18.512,1:17.953,1:17.632,1:17.381,1:16.742,1:16.552,1:16.492,1:17.407,1:35.357,1:17.177,1:16.703,1:16.745,1:16.755,1:17.146,1:16.985,1:17.169,1:17.069,1:17.597,1:17.656,1:17.518,1:17.231,1:16.585,1:16.537,1:16.739,1:16.792,1:17.861
Ralf Schumacher (SCH),1:18.298,1:16.762,1:16.771,1:16.989,1:17.063,1:17.064,1:17.228,1:17.050,1:16.696,1:16.881,1:16.465,1:16.357,1:16.552,1:16.739,1:16.444,1:16.343,1:16.805,1:18.214,1:33.639,1:15.703,1:16.646,1:16.974,1:17.037,1:16.681,1:16.779,1:17.074,1:16.682,1:16.552,1:16.733,1:16.532,1:16.729,1:17.075,1:17.550,1:16.366,1:17.584,1:33.231,1:15.698,1:16.602,1:17.172,1:18.698,1:17.174,1:16.889,1:17.404,1:16.926,1:17.579,1:18.001,1:16.567,1:16.283,1:16.392,1:17.637,1:17.991,1:33.877,1:16.451,1:16.866,1:17.454,1:17.355,1:17.459,1:17.472,1:17.696,1:17.393,1:17.550,1:17.901,1:17.563,1:18.091,1:17.698,1:18.737,1:17.827,1:17.774,1:18.287,1:18.461
Rubens Barrichello (BAR),1:24.013,1:30.584,1:18.084,1:18.541,1:18.369,1:18.944,1:18.493,1:18.622,1:18.159,1:17.613,1:17.770,1:18.484,1:18.691,1:18.752,1:18.568,1:18.274,1:18.595,1:18.275,1:18.227,1:18.227,1:38.783,1:18.682,1:17.953,1:18.358,1:18.247,1:18.600,1:18.377,1:18.202,1:18.651,1:18.333,1:18.281,1:18.729,1:18.203,1:18.663,1:19.090,1:18.409,1:18.710,1:18.399,1:18.454,1:17.716,1:17.714,1:17.576,1:17.188,1:18.647,1:18.621,1:37.049,1:17.104,1:17.126,1:17.613,1:17.368,1:17.486,1:17.630,1:17.854,1:17.988,1:17.253,1:19.421,1:18.724,1:17.707,1:17.550,1:17.526,1:17.792,1:17.877,1:17.531,1:17.497,1:18.556,1:17.824,1:17.866,1:17.891,1:18.052
Giancarlo Fisichella (FIS),1:29.714,1:20.621,1:20.042,1:20.144,1:20.292,1:20.088,1:19.900,1:20.108,1:20.010,1:19.877,1:19.683,1:19.828,1:19.675,1:19.590,1:19.626,1:19.427,1:19.871,1:19.793,1:19.865,1:20.471,1:20.364,1:40.927,1:19.093,1:20.416,1:19.398,1:20.282,1:20.515,1:19.517,1:20.402,1:20.623,1:19.421,1:21.688,1:19.796,1:19.881,1:20.488,1:19.817,1:21.162,1:20.872,1:21.064,1:19.515,1:20.483,1:19.947
Jenson Button (BUT),1:26.850,1:19.488,1:19.360,1:19.490,1:19.159,1:18.920,1:19.093,1:18.944,1:18.631,1:18.599,1:18.614,1:18.528,1:18.749,1:18.908,1:18.496,1:18.490,1:19.392,1:39.526,1:17.149,1:18.664,1:18.457
Mark Webber (WEB),1:24.457,1:18.506,1:18.116,1:18.292,1:18.158,1:17.876,1:17.635,1:17.537,1:17.963,1:17.271,1:17.294,1:17.326,1:17.412,1:17.622,1:17.521,1:19.981,1:38.293,1:18.161,1:18.356,1:17.888,1:17.368,1:17.429,1:17.465,1:17.365,1:18.534,1:17.761,1:18.722,1:18.085,1:17.645,1:17.225,1:18.240,1:34.930,1:17.605,1:18.999,1:17.753,1:17.628,1:17.252,1:17.351,1:17.192,1:17.178,1:17.262,1:17.564,1:17.662,1:18.486,1:17.607,1:17.366,1:17.068,1:18.333,1:38.051,1:17.602,1:17.552,1:17.311,1:17.710,1:17.703,1:17.853,1:17.895,1:18.837,1:18.618,1:18.396,1:18.378,1:17.740,1:17.778,1:17.800,1:17.925,1:18.089,1:18.103,1:17.804,1:17.939,1:18.058,1:19.711
