Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Ralph Firman,1:55.266,1:41.121,1:42.043,1:41.976,1:41.262,1:41.022,1:40.638,1:40.205,1:39.855,1:40.549,1:40.960,1:40.364,1:41.279,1:39.665,1:40.295,1:40.007,1:39.735,1:40.051,1:39.901,1:39.938,1:40.265,1:46.755,2:26.369,1:41.002,1:41.731,1:44.754,1:42.424,1:42.195,1:41.831,1:42.443,1:42.413,1:41.720,1:42.028,1:41.606,1:41.815,1:41.664,1:42.261,1:42.169,1:41.079,1:40.939,1:40.893,1:40.885,1:40.725,1:40.920,1:40.671,1:40.494,1:40.826,1:40.453,1:40.508,1:40.941,1:40.887,1:41.573,1:41.360,1:41.682,1:45.302
Justin Wilson,1:50.527,1:40.874,1:40.800,1:42.115,1:41.803,1:40.830,1:41.015,1:40.386,1:40.642,1:40.232,1:39.920,1:39.752,1:44.196,2:20.332,1:40.901,1:42.770,1:43.000,1:43.447,1:42.415,1:42.740,1:42.256,1:42.534,1:42.450,1:43.568,1:42.009,1:41.976,1:41.776,1:41.427,1:41.220,1:41.899,1:41.227,1:41.010,1:41.305,1:41.175,1:47.234,2:12.272,1:45.915,1:47.097,1:49.937,2:05.628,2:31.184
Jos Verstappen,2:16.517,4:16.166,1:39.667,1:41.483,1:41.477,1:40.378,1:40.409,1:41.602,1:42.787,1:45.990,2:08.102,1:41.294,1:41.980,1:42.446,1:42.443,1:42.842,1:45.741,1:42.757,1:42.407,1:43.438,1:42.802,1:42.775,1:42.320,1:41.652,1:42.697,1:42.362,1:40.794,1:44.786,1:41.860,1:41.221,1:45.501,2:11.036,1:41.226,1:41.992,1:42.585,1:43.111,1:43.154,1:43.250,1:43.723,1:43.130,1:43.132,1:42.441,1:44.446,1:44.103,1:42.526,1:43.556,1:43.041,1:43.187,1:42.373,1:42.323,1:43.721,1:42.134
Heinz-Harald Frentzen,2:01.794,1:40.282,1:40.148,1:40.580,1:41.171,1:40.454,1:40.628,1:40.468,1:40.003,1:40.211,1:40.547,1:40.642,1:41.125,1:40.248,1:39.792,1:40.089,1:44.972,2:15.566,1:39.287,1:40.576,1:40.808,1:40.969,1:40.550,1:40.785,1:40.553,1:41.443,1:40.940,1:41.098,1:40.771,1:41.037,1:41.359,1:39.506,1:40.274,1:39.961,1:44.073,2:05.902,1:41.200,1:42.239,1:41.300,1:41.578,1:41.363,1:41.454,1:40.941,1:40.801,1:40.856,1:40.421,1:40.243,1:40.341,1:40.025,1:40.428,1:40.738,1:41.367,1:41.427,1:42.322,1:42.749
Olivier Panis,1:48.905,1:39.415,1:39.395,1:39.401,1:39.214,1:38.224,1:38.176,1:38.641,1:38.862,1:38.855,1:39.276,1:43.719
Cristiano da Matta,2:00.736,1:39.474,1:39.538,1:41.098,1:41.356,1:40.998,1:41.009,1:40.189,1:40.179,1:40.032,1:41.180,1:40.227,1:41.090,1:39.957,1:40.237,1:39.990,1:45.411,2:07.397,1:38.488,1:38.934,1:39.493,1:39.616,1:39.784,1:41.153,1:40.354,1:40.298,1:40.122,1:40.231,1:39.555,1:42.513,1:41.144,1:39.525,1:45.511,2:10.936,1:38.156,1:38.774,1:39.279,1:39.692,1:39.827,1:40.218,1:40.305,1:40.752,1:40.140,1:39.970,1:39.910,1:39.775,1:39.394,1:44.576,2:05.926,1:39.468,1:39.583,1:41.122,1:41.784,1:42.184,1:43.385
Antônio Pizzonia (PIZ),2:12.497,2:22.735,1:38.572,1:39.253,1:39.468,1:39.186,1:39.824,1:39.678,1:39.688,1:39.756,1:40.174,1:39.776,1:40.922,1:41.177,1:40.154,1:40.397,1:40.455,1:41.864,1:46.820,2:06.721,1:39.462,1:40.129,1:40.142,1:40.747,1:40.960,1:41.007,1:40.276,1:40.890,1:40.142,1:44.350,1:41.373,1:40.991,1:40.330,1:40.740,1:41.718,1:41.295,1:42.838,1:48.410,2:10.795,1:39.816,1:40.788,1:40.378
Juan Pablo Montoya (MON),2:03.654,5:35.793,1:39.011,1:38.488,1:38.399,1:38.798,1:39.280,1:39.868,1:39.221,1:39.053,1:38.734,1:39.600,1:39.431,1:38.994,1:40.757,1:40.859,1:40.298,1:39.973,1:38.947,1:38.387,1:38.856,1:38.597,1:40.681,1:41.797,1:38.334,1:37.787,1:37.898,1:43.631,2:08.022,1:39.639,1:41.407,1:40.152,1:39.766,1:39.629,1:39.619,1:39.623,1:39.342,1:39.940,1:40.622,1:39.527,1:39.484,1:40.569,1:39.684,1:39.328,1:39.507,1:39.296,1:38.630,1:38.313,1:39.294,1:38.171,1:37.812,1:38.765,1:38.218
Michael Schumacher (MSC),1:56.645,1:39.111,1:43.470,2:06.849,1:38.146,1:39.590,1:39.115,1:39.310,1:43.414,1:53.303,1:38.716,1:38.599,1:38.429,1:38.484,1:38.366,1:38.005,1:38.970,1:41.189,1:38.570,1:38.388,1:38.463,1:38.273,1:39.472,1:40.726,1:41.701,1:46.413,2:02.895,1:37.984,1:37.352,1:38.096,1:38.513,1:38.412,1:38.774,1:38.481,1:39.363,1:37.808,1:37.442,1:37.402,1:37.529,1:37.793,1:39.936,1:37.177,1:40.669,2:02.970,1:36.412,1:37.172,1:37.591,1:38.072,1:37.707,1:38.079,1:39.185,1:38.086,1:37.648,1:37.291,1:40.919
Ralf Schumacher (SCH),1:53.388,1:38.906,1:40.143,1:39.105,1:38.899,1:38.670,1:39.771,1:39.116,1:38.715,1:39.440,1:38.943,1:38.830,1:38.745,1:38.322,1:39.617,1:38.930,1:38.695,1:38.474,1:38.543,1:38.427,1:38.619,1:41.708,2:03.971,1:38.071,1:39.189,1:39.357,1:39.485,1:40.203,1:39.763,1:39.578,1:39.540,1:39.439,1:39.248,1:39.164,1:38.943,1:39.224,1:40.141,1:40.327,1:38.981,1:42.704,2:03.904,1:38.904,1:38.797,1:39.577,1:38.967,1:39.257,1:38.902,1:38.801,1:39.238,1:39.453,1:39.029,1:39.305,1:40.092,1:41.124,1:40.376,1:43.161
Rubens Barrichello (BAR),1:48.399,1:39.734,1:39.188,1:39.370,1:39.215,1:38.093,1:38.255,1:38.552,1:38.461,1:37.737,1:37.589,1:37.228,1:37.286,1:37.121,1:36.968,1:37.234,1:37.199,1:37.349,1:37.277,1:37.185,1:38.052,1:40.791,2:02.963,1:36.542,1:38.391,1:38.248,1:40.206,1:38.388,1:38.052,1:37.865,1:38.636,1:39.044,1:38.363,1:38.857,1:38.025,1:37.074,1:37.041,1:41.036,2:03.755,1:38.470,1:38.564,1:39.250,1:39.952,1:38.921,1:39.021,1:38.854,1:39.265,1:39.303,1:39.277,1:39.630,1:39.228,1:39.449,1:39.218,1:39.929,1:39.919,1:42.462
Jenson Button (BUT),1:47.809,1:39.453,1:39.658,1:39.719,1:41.161,1:39.397,1:38.789,1:38.513,1:38.509,1:38.413,1:38.831,1:38.709,1:38.790,1:38.458,1:38.950,1:39.414,1:45.152,2:04.228,1:38.572,1:39.612,1:39.829,1:40.111,1:40.455,1:39.578,1:39.623,1:39.517,1:39.089,1:38.954,1:38.630,1:38.722,1:39.104,1:38.931,1:38.754,1:43.177,2:10.220,1:40.479,1:40.307,1:41.074,1:40.165,1:40.265,1:40.906,1:40.445,1:40.096,1:39.843,1:39.300,1:40.078,1:39.477,1:39.161,1:38.993,1:40.623,1:39.276,1:39.373,1:39.427,1:39.770,1:42.790
Mark Webber (WEB),1:54.267,1:39.180,1:39.537,1:40.778,1:38.636,1:38.464,1:39.136,1:38.745,1:39.970,1:39.367,1:38.582,1:38.790,1:38.734,1:39.628,1:45.999,2:37.314,1:39.344,1:38.864,1:39.121,1:39.499,1:39.862,1:39.996,1:40.079,1:40.067,1:40.094,1:39.457,1:39.980,1:39.539,1:40.101,1:40.790,1:39.543,1:39.090,1:39.942,1:39.281,1:44.005
Jarno Trulli (TRU),1:58.158,1:38.605,1:40.632,1:37.862,1:40.378,1:38.550,1:38.106,1:38.190,1:37.890,1:38.294,1:38.954,1:38.834,1:38.616,1:38.494,1:39.475,1:42.816,2:04.896,1:38.024,1:39.845,1:39.793,1:40.412,1:39.910,1:38.868,1:37.982,1:38.972,1:39.202,1:39.067,1:39.139,1:38.674,1:38.660,1:39.310,1:38.405,1:39.285,1:38.695,1:37.513,1:45.617,2:15.664,1:39.085,1:38.464,1:40.019,1:41.006,1:40.365,1:40.341,1:39.690,1:39.538,1:39.831,1:39.884,1:39.395,1:39.787,1:45.739,1:38.604,1:37.528,1:37.484,1:38.204,1:38.539
David Coulthard (COU),1:45.392,1:38.021
