Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Ralph Firman,1:55.490,2:26.829,2:24.417,2:16.718,2:13.898,1:26.212,1:24.055,1:24.103,1:25.367,1:24.887,1:25.292,1:25.230,1:25.416,1:25.046,1:23.854,1:23.943,1:23.932,1:24.873,1:24.334,1:24.374,1:24.289,1:24.128,1:24.336,1:26.035,1:29.557,1:48.514,1:26.230,1:26.128,1:22.719,1:23.746,1:22.917,1:23.165,1:22.964,1:22.901,1:23.171,1:23.215,1:24.472,1:25.525,1:23.589,1:23.778,1:23.174,1:25.275,1:28.597,1:51.713,1:22.737,1:24.108,1:24.602,1:24.514,1:24.579,1:24.610,1:24.513,1:24.398,1:24.309,1:24.653,1:25.483,1:24.744,1:25.338,1:25.278,1:25.290,1:24.297,1:25.776,1:25.003,1:24.953
Justin Wilson,1:53.480,2:21.215,2:24.966,2:19.739,2:16.118,1:24.317,1:23.222,1:23.477,1:23.542,1:23.954,1:23.931,1:24.407,1:24.723,1:24.191,1:23.887,1:28.960,1:50.536,1:25.312,1:25.286,1:24.958,1:25.087,1:25.237,1:25.272,1:26.065,1:26.066,1:25.994,1:25.798,1:28.536,1:26.613,1:25.866,1:25.547,1:25.468,1:27.109,1:25.483,1:25.291,1:25.595,1:25.699,1:31.333,1:50.860,1:25.068,1:25.720,1:26.547,1:25.863,1:26.312,1:26.537,1:26.571,1:25.577,1:25.631,1:25.844,1:25.873,1:26.199,1:25.352,1:25.590,1:25.697,1:25.925,1:25.705,1:25.623,1:25.808,1:27.437,1:26.255,1:25.882,1:25.968,1:26.948
Jos Verstappen,1:55.626,2:22.473,2:24.143,2:18.251,2:15.643,1:25.292,1:24.008,1:24.394,1:26.636,1:25.039,1:25.274,1:25.330,1:25.329,1:29.235,1:46.255,1:22.942,1:23.675,1:24.770,1:24.258,1:24.557,1:24.630,1:25.008,1:24.927,1:24.755,1:25.795,1:26.081,1:25.814,1:31.075,1:47.173,1:24.128,1:24.942,1:25.801,1:25.381,1:25.463,1:26.099,1:26.284,1:26.030,1:26.071,1:27.046,1:25.870,1:25.608,1:25.161,1:25.287,1:30.454,2:40.693,1:25.256,1:25.247,1:25.512,1:25.429,1:27.018,1:26.439,1:25.923,1:26.603,1:26.126,1:26.202,1:25.866,1:25.278,1:25.405,1:25.324,1:25.269,1:25.628,1:25.542
Heinz-Harald Frentzen,1:56.880,2:26.671,2:24.300,2:16.417,2:13.639,1:26.156,1:24.586,1:24.307,1:25.159,1:24.868,1:24.880,1:25.314,1:25.571,1:24.938,1:24.656,1:23.758,1:24.027,1:25.081,1:24.453,1:24.455,1:24.367,1:24.839,1:24.105,1:24.141,1:24.449,1:23.606,1:23.338,1:23.508,1:24.215,1:27.682,1:45.848,1:21.791,1:21.976,1:22.362,1:22.191,1:22.417,1:22.671,1:54.373
Olivier Panis,1:56.502,2:22.750,2:24.643,2:17.619,2:14.761,1:24.479,1:23.616,1:23.088,1:24.110,1:23.534,1:24.003,1:24.086,1:22.715,1:20.803,1:21.029,1:25.482,1:45.949,1:24.727,1:24.405,1:22.324,1:24.074,1:22.542,1:24.130,1:23.076,1:21.874,1:21.860,1:21.652,1:21.776,1:22.253,1:21.720,1:21.803,1:21.618,1:23.073,1:21.623,1:22.131,1:22.304,1:22.163,1:22.617,1:23.203,1:22.099,1:26.264
Cristiano da Matta,1:52.865,2:21.049,2:24.748,2:20.211,2:16.202,1:24.098,1:22.681,1:22.271,1:22.260,1:22.218,1:22.347,1:21.704,1:21.257,1:21.542,1:21.294,1:21.414,1:25.886,1:42.896,1:23.583,1:23.511,1:23.658,1:20.935,1:21.307,1:21.274,1:21.326,1:21.518,1:21.784,1:22.244,1:26.729,1:42.518,1:21.295,1:21.596,1:23.284,1:21.806,1:21.984,1:22.376,1:22.277,1:22.216,1:23.793,1:22.051,1:22.124,1:21.621,1:21.699,1:21.694,1:22.097,1:22.154,1:21.651,1:26.152,1:47.200,1:24.534,1:23.948,1:24.715,1:24.813,1:22.952,1:24.393,1:24.336,1:25.069,1:24.935,1:24.998,1:24.250,1:25.340,1:24.937,1:25.526,1:25.004
Jacques Villeneuve (VIL),1:50.542,2:21.436,2:25.525,2:20.320,2:16.902,1:23.913,1:22.636,1:22.231,1:22.175,1:22.259,1:22.399,2:04.116
Juan Pablo Montoya (MON),1:49.260,2:21.518,2:25.464,2:19.716,2:17.673,1:22.160,1:21.743,1:21.450,1:21.506,1:21.779,1:21.942,1:21.901,1:22.197,1:21.987,1:21.940,1:21.857,1:21.519,1:21.637,1:26.457,1:45.654,1:21.448,1:21.621,1:22.328,1:22.455,1:22.609,1:22.465,1:22.409,1:22.661,1:22.760,1:22.760,1:22.756,1:23.060,1:23.376,1:23.018,1:22.946,1:22.787,1:23.073,1:23.181,1:24.270,1:22.606,1:22.941,1:26.579,1:44.801,1:21.867,1:23.765,1:23.791,1:22.719,1:22.763,1:22.894,1:22.676,1:22.860,1:22.782,1:22.731,1:22.702,1:22.724,1:22.770,1:22.845,1:22.957,1:23.302,1:22.910,1:23.624,1:24.157,1:24.326,1:24.267,1:25.253
Michael Schumacher (MSC),1:38.408,2:25.659,2:26.959,2:20.468,2:18.790,1:20.894,1:20.419,1:20.430,1:20.588,1:20.887,1:21.144,1:21.052,1:21.275,1:21.742,1:21.687,1:21.493,1:21.585,1:21.642,1:26.272,1:42.724,1:20.327,1:20.527,1:20.752,1:21.009,1:21.372,1:21.580,1:22.402,1:21.539,1:21.274,1:21.631,1:21.688,1:21.374,1:21.068,1:21.353,1:25.345,1:43.644,1:21.813,1:20.324,1:20.587,1:20.738,1:20.609,1:20.775,1:21.336,1:21.732,1:21.151,1:22.031,1:21.161,1:20.730,1:25.095,1:41.630,1:20.307,1:21.055,1:21.169,1:20.488,1:20.962,1:20.883,1:21.101,1:21.474,1:21.829,1:22.834,1:22.966,1:22.405,1:22.300,1:21.700,1:24.745
Ralf Schumacher (SCH),1:45.076,2:23.518,2:25.675,2:20.256,2:17.613,1:21.956,1:21.084,1:20.798,1:21.166,1:21.282,1:21.538,1:21.318,1:21.574,1:21.571,1:21.572,1:21.442,1:21.462,1:25.291,1:45.042,1:21.495,1:21.987,1:22.216,1:22.084,1:22.452,1:22.631,1:22.332,1:22.277,1:22.743,1:22.426,1:23.343,1:22.674,1:22.768,1:22.224,1:22.409,1:22.486,1:22.826,1:23.853,1:22.792,1:22.310,1:22.330,1:34.321,1:45.997,1:23.180,1:24.009,1:24.232,1:26.223,1:24.985,1:24.617,1:24.497,1:24.684,1:24.513,1:24.528,1:24.371,1:24.180,1:24.533,1:24.952,1:25.102,1:24.910,1:24.907,1:24.302,1:25.454,1:24.931,1:25.564,1:24.907
Rubens Barrichello (BAR),1:40.023,2:25.956,2:25.925,2:20.954,2:18.382,1:20.861,1:20.680,1:20.760,1:21.178,1:21.196,1:21.509,1:21.499,1:21.617,1:21.474,1:21.731,1:21.809,1:21.617,1:21.414,1:22.129,1:26.181,1:42.956,1:20.374,1:21.013,1:21.716,1:22.192,1:22.191,1:22.060,1:22.582,1:23.953,1:21.889,1:21.690,1:21.951,1:22.011,1:22.045,1:22.185,1:26.502,1:42.164,1:21.432,1:21.704,1:21.233,1:21.786,1:21.364,1:22.494,1:21.283,1:21.181,1:21.292,1:21.370,1:21.637,1:21.164,1:25.347,1:41.779,1:20.143,1:21.222,1:20.867,1:20.791,1:21.876,1:22.317,1:22.005,1:22.053,1:21.854,1:21.651,1:21.902,1:21.531,1:22.294,1:22.993
Giancarlo Fisichella (FIS),1:55.098,2:21.757,2:24.762,2:18.481,2:15.667,1:24.558,1:23.517,1:23.294,1:23.950,1:23.646,1:23.924,1:24.229,1:24.829,1:24.048,1:24.051,1:24.095,1:22.900,1:22.944,1:24.249,1:23.666,1:23.700,1:28.241,2:03.476,1:23.687,1:25.766,1:26.135,1:27.146,1:26.711,1:27.840,1:25.858,1:25.517,1:26.383,1:25.913,1:25.642,1:25.572,1:25.269,1:25.646,1:27.246,1:25.473,1:25.697,1:27.870,1:26.241,1:41.348
Jenson Button (BUT),1:45.799,2:23.639,2:25.488,2:20.370,2:17.978,1:23.748,1:21.300,1:21.453,1:21.918,1:21.776,1:21.995,1:22.024,1:21.992,1:26.468,1:42.333,1:22.683,1:23.224,1:34.372,2:08.725,1:21.958,1:21.751,1:22.840,1:24.724,1:22.991,1:26.514,1:23.285,1:23.297,1:24.329,1:24.154,1:23.310,1:25.179,1:23.513,1:23.361,1:23.275,1:23.743,1:23.496,1:23.423,1:24.112,1:25.171,1:24.355,1:25.126,1:23.606,1:23.402,1:27.942,1:47.462,1:23.554,1:24.114,1:24.509,1:24.621,1:24.783,1:24.841,1:24.685,1:24.170,1:23.436,1:24.928,1:25.045,1:25.054,1:26.135,1:25.248,1:24.068,1:25.478,1:25.469,1:36.165
Mark Webber (WEB),1:58.526,2:22.016,2:24.315,2:17.467,2:14.541,1:25.146,1:23.797,1:24.331,1:22.874,1:22.676,1:23.987,1:24.158,1:24.336,1:24.087,1:23.904,1:24.240,1:22.906,1:27.345,1:47.656,1:21.967,1:21.977,1:22.744,1:23.401,1:24.536,1:24.848,1:24.381,1:24.773,1:24.744,1:23.127,1:22.676,1:22.595,1:22.215,1:22.559,1:22.290,1:22.680,1:22.640,1:22.603,1:22.750,1:22.450,1:23.038,1:22.549,1:22.658,1:22.353,1:27.214,1:45.995,1:22.342,1:22.303,1:22.736,1:22.781,1:22.855,1:23.287,1:24.730,1:22.787,1:22.920,1:24.780,1:23.807,1:22.820,1:22.870,1:22.538,1:22.859,1:23.504,1:22.667,1:23.059,1:23.212
David Coulthard (COU),1:57.824,2:27.425,2:23.835,2:16.538,2:12.330,1:24.610,1:23.946,1:23.900,1:24.434,1:22.577,1:22.962,1:23.955,1:24.496,1:24.033,1:23.976,1:23.899,1:23.253
