Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Zsolt Baumgartner,1:32.668,1:23.327,1:19.318,1:18.718,1:19.858,1:19.254,1:19.676,1:20.373,1:21.345,1:19.613,1:19.412,1:19.052,1:19.461,1:20.458,1:19.686,1:20.360,1:39.505,1:20.067,1:18.964,1:19.395,1:20.443,1:21.177,1:23.530,1:22.398,1:21.402,1:51.036,1:20.500,1:19.826,1:21.237,1:19.629,1:20.108,1:19.060,1:22.392,1:22.067,1:19.914,1:19.093,1:18.418,1:20.518,1:19.293,1:19.318,1:18.437,1:40.969,1:21.144,1:17.984,1:18.106,1:18.914,1:23.589,1:19.275,1:19.049,1:18.776,1:20.076,1:24.577,1:19.647,1:21.059,1:20.503,1:18.670,1:18.464,1:22.429,1:22.512,1:19.111,1:20.704,1:17.877,1:18.164,1:17.516,1:17.516,1:18.920
Gianmaria Bruni,1:33.999,1:22.461,1:19.859,1:19.577,1:18.984,1:19.508,1:19.388,1:19.474,1:20.483,1:19.205,1:18.738,1:18.778,1:18.952,1:19.089,1:18.665,1:21.448,1:18.592,1:18.463,1:19.607,1:19.042,1:18.905,1:49.694,1:22.791,1:18.803,1:18.025,1:18.990,1:19.674,1:18.864,1:20.868,1:30.266
Olivier Panis,1:28.010,1:16.665,1:16.668,1:16.421,1:16.469,1:16.665,1:16.689,1:17.045,1:17.104,1:17.565,1:17.039,1:16.748,1:16.771,1:16.700,1:16.616,1:16.635,1:16.481,1:16.321,1:16.477,1:16.499,1:36.657,1:17.103,1:16.045,1:19.050,1:16.973,1:17.937,1:17.107,1:16.678,1:16.772,1:16.863,1:16.778,1:16.445,1:17.248,1:16.361,1:16.582,1:16.429,1:17.418,1:16.446,1:16.197,1:16.511,1:17.462,1:17.438,1:40.090,1:17.858,1:16.792,1:18.112,1:17.997,1:17.511,1:21.212,1:18.178,1:17.671,1:17.660,1:17.300,1:17.547,1:17.423,1:16.984,1:16.921,1:16.626,1:16.693,1:16.203,1:16.254,1:16.539,1:16.459,1:17.775,1:17.221,1:16.740,1:16.426,1:17.608,1:20.051
Cristiano da Matta,1:25.844,1:16.302,1:16.426,1:16.164,1:16.225,1:16.426,1:16.249,1:17.237,1:16.450,1:16.657,1:16.197,1:16.130,1:15.862,1:15.911,1:16.689,1:16.209,1:36.551,1:17.415,1:16.719,1:16.847,1:16.711,1:18.799,1:18.291,1:17.650,1:16.713,1:17.024,1:17.031,1:16.969,1:16.666,1:16.565,1:16.634,1:16.356,1:16.698,1:16.384,1:16.629,1:16.913,1:16.033,1:15.796,1:15.652,1:15.869,1:15.930,1:15.756,1:15.922,1:37.142,1:17.209,1:17.180,1:18.056,1:18.957,1:18.504,1:17.902,1:16.799,1:17.844,1:18.534,1:16.890,1:16.575,1:17.988,1:18.372,1:16.734,1:16.638,1:16.313,1:18.022,1:16.859,1:16.636,1:16.516,1:16.114,1:16.388,1:16.629,1:16.096,1:17.242
Christian Klien (KLI),1:32.561,1:22.047,1:16.942,1:16.600,1:17.170,1:17.529,1:18.997,1:18.569,1:19.718,1:17.595,1:17.686,1:17.196,1:16.868,1:16.729,1:19.839,1:18.025,1:38.445,1:43.760,1:18.581,1:40.283,1:18.381,1:18.803,1:19.220,1:17.598,1:20.651,1:19.412,1:17.805,1:18.715,1:18.600,1:17.842,1:17.544,1:22.317,1:18.577,1:18.176,1:19.114,1:16.578,1:19.199,1:16.615,1:19.133,1:16.724,1:19.228,1:17.489,1:16.329,1:15.764,1:15.731,1:16.086,1:15.918,1:22.123,1:40.125,1:22.638,1:17.868,1:16.767,1:18.116,1:19.954,1:17.206,1:18.924,1:17.041,1:19.330,1:17.339,1:16.833,1:16.663,1:16.575,1:17.210,1:26.168,1:17.133,1:16.516,1:16.034
Juan Pablo Montoya (MON),1:22.256,1:15.686,1:15.670,1:15.382,1:15.390,1:15.626,1:15.476,1:15.784,1:15.386,1:15.390,1:15.452,1:15.310,1:34.456,1:15.496,1:14.460,1:14.768,1:14.967,1:14.798,1:14.990,1:15.501,1:15.752,1:15.351,1:15.558,1:15.382,1:14.752,1:14.614,1:14.561,1:15.964,1:15.387,1:34.075,1:15.267,1:14.591,1:14.966,1:15.130,1:15.344,1:15.140,1:15.897,1:15.338,1:15.338,1:15.152,1:14.648,1:14.825,1:14.512,1:14.719,1:14.932,1:14.525,1:14.536,1:14.883,1:35.243,1:18.052,1:14.693,1:14.851,1:14.981,1:14.987,1:14.878,1:15.397,1:15.462,1:16.144,1:15.079,1:15.386,1:14.992,1:14.896,1:14.306,1:14.875,1:14.877,1:14.997,1:15.060,1:14.788,1:14.295,1:14.381
Michael Schumacher (MSC),1:23.300,1:15.532,1:15.249,1:15.397,1:15.716,1:15.434,1:15.431,1:15.760,1:15.440,1:15.640,1:15.301,1:15.413,1:15.114,1:14.010,1:14.460,1:14.839,1:14.237,1:13.630,1:34.672,1:16.030,1:15.433,1:15.431,1:15.349,1:15.236,1:15.581,1:15.195,1:15.107,1:16.073,1:15.412,1:15.543,1:15.537,1:15.306,1:14.906,1:14.915,1:14.739,1:14.370,1:14.550,1:15.090,1:14.746,1:14.575,1:15.626,1:14.473,1:14.615,1:14.270,1:13.893,1:14.057,1:33.242,1:16.377,1:15.289,1:14.898,1:15.712,1:14.997,1:14.924,1:14.772,1:15.112,1:15.564,1:15.181,1:14.696,1:15.068,1:14.563,1:14.639,1:15.239,1:15.165,1:14.750,1:14.659,1:15.621,1:15.399,1:15.031,1:15.806,1:17.466
Ralf Schumacher (SCH),1:20.134,1:14.794,1:14.779,1:15.144,1:15.358,1:15.365,1:15.450,1:14.955,1:15.129,1:15.244,1:15.009,1:14.793,1:14.658,1:14.920,1:33.585,1:15.259,1:14.183,1:14.755,1:15.113,1:15.186,1:15.131,1:14.921,1:14.933,1:14.892,1:14.800,1:14.682,1:15.034,1:15.603,1:15.142,1:14.851,1:14.292,1:14.510,1:31.566,1:15.175,1:14.273,1:14.527,1:14.817,1:14.830,1:15.037,1:14.814,1:15.638,1:14.906,1:14.764,1:14.917,1:14.554,1:14.367,1:14.274,1:34.755,1:15.592,1:14.994,1:15.652,1:15.189,1:15.210,1:15.470,1:15.180,1:15.321,1:15.317,1:15.425,1:15.127,1:14.830,1:15.809,1:15.177,1:14.443,1:14.522,1:14.530,1:14.917,1:14.894,1:14.230,1:14.178,1:14.040
Rubens Barrichello (BAR),1:24.513,1:15.740,1:15.368,1:15.559,1:15.328,1:15.700,1:16.394,1:14.624,1:14.965,1:15.577,1:15.087,1:15.287,1:15.071,1:14.829,1:14.036,1:14.322,1:14.412,1:34.255,1:16.734,1:15.513,1:15.420,1:15.656,1:15.639,1:15.025,1:15.349,1:15.253,1:15.332,1:15.483,1:15.058,1:14.908,1:15.306,1:14.736,1:14.984,1:15.034,1:14.657,1:14.305,1:14.357,1:14.986,1:14.710,1:14.651,1:15.597,1:14.532,1:14.489,1:35.366,1:16.746,1:15.524,1:18.307,1:15.686,1:15.358,1:15.693,1:17.068,1:15.721,1:15.392,1:15.447,1:14.913,1:14.885,1:15.062,1:14.672,1:14.548,1:14.923,1:15.248,1:15.384,1:15.397,1:14.461,1:14.273,1:14.376,1:14.895,1:13.622,1:13.934,1:14.229
Giancarlo Fisichella (FIS),1:29.452,1:18.138,1:17.330,1:16.791,1:16.921,1:17.164,1:17.092,1:17.532,1:17.132,1:16.970,1:16.938,1:17.387,1:16.941,1:16.600,1:16.700,1:16.709,1:16.407,1:16.298,1:16.241,1:16.502,1:16.526,1:15.753,1:15.749,1:15.434,1:35.684,1:18.163,1:16.059,1:16.191,1:15.630,1:16.170,1:16.696,1:16.234,1:16.812,1:16.951,1:16.931,1:17.087,1:16.320,1:16.247,1:15.982,1:15.882,1:16.158,1:15.568,1:15.556,1:15.503,1:15.494,1:15.309,1:15.078,1:15.257,1:33.578,1:17.108,1:15.390,1:15.701,1:15.618,1:15.492,1:16.131,1:16.991,1:15.692,1:15.874,1:15.923,1:15.654,1:15.938,1:15.426,1:15.558,1:16.942,1:17.820,1:18.269,1:17.157,1:17.487,1:19.534
Jenson Button (BUT),1:21.293,1:15.516,1:15.282,1:15.261,1:15.308,1:15.411,1:15.484,1:15.642,1:15.550,1:15.386,1:15.222,1:15.218,1:32.756,1:15.500,1:15.246,1:14.741,1:14.621,1:14.750,1:14.794,1:14.859,1:14.963,1:14.829,1:14.665,1:14.627,1:14.662,1:14.687,1:14.787,1:16.603,1:14.808,1:14.578,1:34.556,1:15.241,1:14.574,1:15.729,1:16.657,1:15.827,1:16.008,1:15.306,1:15.425,1:15.355,1:15.055,1:15.209,1:15.259,1:15.495,1:15.413,1:14.834,1:14.966,1:14.909,1:33.347,1:18.573,1:14.591,1:14.860,1:14.998,1:14.974,1:15.094,1:15.218,1:15.468,1:15.208,1:16.008,1:15.212,1:15.389,1:15.755,1:14.586,1:14.656,1:14.447,1:15.609,1:14.562,1:14.246,1:14.737,1:14.807
Mark Webber (WEB),2:55.334,1:21.587,1:17.488,1:18.503,1:16.926,1:16.739
David Coulthard (COU),1:32.991,1:19.453,1:16.538,1:17.064,1:16.792,1:16.206,1:16.322,1:16.244,1:16.422,1:16.941,1:36.175,1:16.618,1:16.658,1:16.031,1:16.681,1:17.337,1:17.799,1:16.777,1:16.582,1:16.746,1:17.160,1:16.404,1:16.803,1:16.899,1:17.205,1:16.643,1:16.929,1:16.212,1:15.981,1:16.097,1:16.007,1:35.064,1:18.200,1:17.033,1:15.831,1:16.273,1:16.504,1:17.176,1:16.179,1:16.131,1:16.423,1:16.578,1:17.801,1:18.651,1:15.950,1:16.897,1:16.157,1:15.922,1:15.609,1:16.172,1:15.979,1:16.048,1:34.761,1:16.702,1:15.478,1:15.909,1:16.338,1:16.465,1:15.819,1:15.986,1:15.751,1:15.749,1:15.733,1:16.453,1:15.600,1:15.769,1:15.628,1:15.690,1:16.511
