Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Zsolt Baumgartner,1:49.577,1:39.564,1:41.601,1:41.678,1:41.412,1:41.297,1:40.532,1:40.375,1:39.465,1:38.396,1:38.859,1:44.042,2:00.812,1:38.954,1:41.317,1:43.705,1:44.091,1:42.129,1:42.105,1:43.944,1:41.129,1:38.668,1:48.437,2:00.602,1:41.350,1:41.427,1:44.448,1:45.816,1:41.491,1:40.543,1:42.146,1:40.826,1:38.586,1:38.482,1:45.869,1:38.037,1:37.601,1:42.554,2:09.281,1:42.477,1:42.612,1:43.556,1:43.480,1:42.272,1:42.184,1:40.521,1:39.286,1:38.149,1:37.956,1:41.651,1:37.578,1:37.771,1:38.005
Gianmaria Bruni,1:50.137,1:39.641,1:41.403,1:41.643,1:41.460,1:41.438,1:40.809,1:40.155,1:39.725,2:30.427,2:06.490,1:38.497,1:39.554,1:39.818,1:39.683,1:40.725,1:39.458,1:38.950,1:38.846,1:38.672,1:40.048,1:38.270,1:37.377,1:37.614,1:43.238,2:05.850,1:38.152,1:38.759,1:39.721,1:40.460,1:40.985,1:43.037,1:39.803,1:37.996,1:38.814,1:37.934,1:37.888,1:37.929
Olivier Panis,1:48.890,1:38.478,1:38.366,1:36.810,1:36.798,1:37.819,1:37.806,1:37.233,1:37.381,1:42.345,1:56.134,1:36.560,1:36.963,1:36.500,1:36.362,1:36.885,1:36.892,1:36.337,1:35.963,1:36.062,1:35.979,1:36.832,1:42.308,1:55.758,1:39.031,1:36.467,1:36.133,1:35.791,1:35.410,1:35.202,1:36.875,1:36.041,1:35.069,1:34.916,1:37.311,1:35.131,1:34.777,1:34.753,1:39.632,1:58.223,1:36.857,1:37.509,1:35.922,1:37.002,1:35.642,1:35.014,1:34.714,1:35.429,1:34.997,1:34.891,1:34.603,1:34.804,1:35.233,1:35.408,1:34.797
Ricardo Zonta (ZON),1:44.000,1:36.922,1:36.321,1:37.323,1:37.940,1:38.583,1:36.243,1:35.034,1:35.172,1:34.703,1:39.716,1:54.681,1:35.075,1:37.345,1:36.319,1:35.306,1:35.652,1:35.791,1:35.435,1:35.326,1:35.470,1:35.030,1:34.679,1:34.269,1:39.030,1:55.233,1:35.082,1:34.948,1:35.485,1:35.521,1:35.313,1:34.903,1:35.014,1:35.349,2:21.534
Jacques Villeneuve (VIL),1:45.018,1:37.131,1:37.468,1:36.907,1:37.363,1:38.264,1:37.972,1:37.137,1:36.108,1:35.976,1:35.800,1:35.370,1:35.328,1:39.914,1:59.234,1:36.763,1:36.259,1:36.275,1:36.674,1:36.318,1:36.245,1:36.276,1:36.007,1:36.374,1:35.665,1:35.564,1:35.322,1:35.326,1:35.821,1:35.124,1:35.063,1:35.173,1:35.113,1:39.955,1:59.930,1:36.435,1:36.545,1:36.200,1:36.250,1:37.581,1:36.098,1:35.744,1:36.008,1:38.303,1:35.213,1:35.077,1:36.549,1:35.648,1:36.032,1:36.017,1:35.560,1:35.585,1:35.294,1:37.382,1:34.950
Christian Klien (KLI),1:47.796,1:37.965,1:37.377,1:38.087,1:37.659,1:37.896,1:37.340,1:37.659,1:37.408,1:36.888,1:50.506
Juan Pablo Montoya (MON),1:45.652,1:37.408,1:37.142,1:37.785,1:36.413,1:38.191,1:38.146,1:37.339,1:36.155,1:35.736,1:35.771,1:35.179,1:35.690,1:34.956,1:34.758,1:39.006,1:59.184,1:34.954,1:36.804,1:35.734,1:35.997,1:35.490,1:35.306,1:34.999,1:35.024,1:34.576,1:34.555,1:34.809,1:34.561,1:34.389,1:36.151,1:34.363,1:33.806,1:33.108,1:33.791,1:33.299,1:35.117,1:38.247,1:59.849,1:34.566,1:34.538,1:34.888,1:34.935,1:34.810,1:34.759,1:34.168,1:34.298,1:34.820,1:34.371,1:34.113,1:33.874,1:33.635,1:34.772,1:34.625,1:34.929,1:36.072
Michael Schumacher (MSC),1:53.883,1:36.789,1:39.051,1:37.002,1:36.972,1:38.138,1:35.921,1:35.690,1:36.548,1:37.117,1:36.973,1:34.396,1:35.109,1:33.660,1:46.637,1:35.169,1:35.179,1:32.627,1:32.576,1:39.294,1:57.811,1:35.056,1:36.192,1:37.395,1:35.611,1:35.119,1:34.768,1:34.883,1:35.459,1:35.069,1:34.809,1:35.347,1:34.768,1:34.772,2:04.790,1:57.192,1:36.109,1:34.175,1:33.692,1:34.499,1:34.064,1:33.828,1:33.601,1:33.547,1:33.853,1:35.064,1:40.231,1:55.013,1:33.386,1:34.006,1:33.686,1:34.174,1:33.714,1:35.660,1:32.238
Ralf Schumacher (SCH),1:42.257,1:36.519,1:36.915,1:37.885,1:37.752,1:36.177,1:35.483,1:35.394,1:35.170,1:34.990,1:34.697,1:34.197,1:33.925,1:33.700,1:38.774,1:58.831,1:35.319,1:35.552,1:35.212,1:36.478,1:35.257,1:35.033,1:34.877,1:34.688,1:34.325,1:34.352,1:34.092,1:34.109,1:34.173,1:34.685,1:33.546,1:33.759,1:33.584,1:37.880,2:00.187,1:35.637,1:54.231
Rubens Barrichello (BAR),1:37.981,1:35.250,1:35.250,1:35.549,1:35.051,1:35.517,1:34.818,1:34.641,1:34.141,1:33.782,1:33.501,1:38.244,1:55.880,1:34.671,1:34.424,1:35.001,1:35.211,1:34.758,1:34.543,1:34.450,1:34.361,1:33.802,1:33.629,1:33.375,1:33.112,1:33.506,1:33.561,1:32.455,1:37.908,1:53.885,1:33.608,1:33.733,1:33.864,1:33.703,1:33.392,1:33.453,1:33.214,1:33.095,1:33.150,1:33.030,1:34.030,1:37.785,1:54.159,1:34.918,1:35.273,1:35.032,1:35.049,1:34.789,1:34.538,1:34.786,1:34.439,1:33.884,1:33.820,1:33.795,1:34.425,1:35.199
Giancarlo Fisichella (FIS),1:41.363,1:36.581,1:37.359,1:37.921,1:37.600,1:35.818,1:35.465,1:35.400,1:35.334,1:34.615,1:39.824,1:56.837,1:35.630,1:36.717,1:35.986,1:36.055,1:36.335,1:35.866,1:35.177,1:35.526,1:34.996,1:34.150,1:34.718,1:34.040,1:33.520,1:33.688,1:38.314,1:55.844,1:34.843,1:34.671,1:34.692,1:34.689,1:35.159,1:34.913,1:34.401,1:34.384,1:35.520,1:34.052,1:34.260,1:33.606,1:33.522,1:38.227,1:57.534,1:35.365,1:36.173,1:35.980,1:35.701,1:35.694,1:35.952,1:35.888,1:34.947,1:34.381,1:34.369,1:34.489,1:35.180,1:38.613
Jenson Button (BUT),1:40.734,1:36.648,1:36.832,1:34.701,1:34.719,1:35.102,1:35.329,1:34.507,1:34.122,1:33.983,1:33.728,1:33.447,1:33.429,1:37.915,2:00.028,1:35.088,1:34.955,1:35.719,1:35.216,1:34.879,1:35.035,1:34.616,1:34.499,1:34.660,1:34.299,1:34.288,1:34.238,1:33.887,1:34.642,1:33.495,1:33.230,1:33.680,1:32.935,1:33.079,1:37.351,1:59.331,1:34.672,1:34.870,1:35.068,1:35.206,1:35.246,1:35.001,1:36.288,1:35.020,1:34.917,1:34.625,1:34.283,1:34.141,1:33.985,1:34.121,1:33.713,1:33.536,1:33.230,1:33.505,1:33.505,1:34.177
Mark Webber (WEB),1:44.473,1:37.335,1:36.998,1:37.164,1:37.421,1:38.293,1:38.036,1:36.578,1:36.446,1:35.744,1:35.385,1:35.314,1:35.412,1:35.191,1:41.274,1:59.250,1:35.991,1:36.306,1:36.220,1:36.387,1:36.739,1:36.265,1:36.261,1:36.182,1:35.870,1:35.682,1:35.465,1:35.548,1:35.729,1:35.257,1:35.467,1:34.893,1:35.143,1:35.073,1:39.229,1:59.960,1:36.005,1:36.768,1:37.588,1:37.330,1:36.540,1:36.133,1:36.174,1:36.181,1:36.311,1:36.035,1:36.374,1:36.151,1:35.975,1:35.784,1:35.781,1:35.305,1:35.660,1:35.518,1:36.937
