Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Zsolt Baumgartner,1:47.745,1:36.742,1:36.590,1:36.968,1:36.797,1:36.172,1:36.724,1:37.183,1:36.919,1:36.761,1:35.958,1:36.068,1:36.367,1:40.234,1:56.150,1:35.655,1:37.403,1:39.748,1:40.454,1:44.186,1:37.984,1:41.367,1:38.611,1:37.679,1:38.889,1:38.482,1:42.049,1:40.238,1:42.760,1:58.059,1:35.817,1:38.398,1:36.670,1:38.080,1:36.679,1:36.072,1:35.542,1:35.079,1:34.838,1:36.916,1:37.590,1:36.112,1:37.010,1:38.939,1:55.844,1:34.666,1:35.232,1:36.438,1:38.227,1:35.966,1:37.252,1:37.304,1:37.869,1:37.984,1:38.496,1:36.920,1:37.878
Gianmaria Bruni,1:47.474,1:36.352,1:35.916,1:36.731,1:36.759,1:36.268,1:35.555,1:35.558,1:36.213,1:36.927,1:36.417,1:39.539,1:56.163,1:36.178,1:36.714,1:36.099,1:36.759,1:38.139,1:38.369,1:38.849,1:38.584,1:39.055,1:37.393,1:37.271,1:37.031,1:38.590,1:40.162,1:57.420,1:38.424,1:37.395,1:38.066,1:36.503,1:36.102,1:37.035,1:35.998,1:36.133,1:38.407,1:37.189,1:36.379,1:37.142,1:36.251,1:40.233,1:58.848,1:37.589,1:37.839,1:37.036,1:36.945,1:36.356,1:36.710,1:36.070,1:35.924,1:36.931,1:36.001,1:37.049,1:37.575,1:36.566,1:37.199
Giorgio Pantano,1:45.973,1:34.560,1:33.359,1:33.428,1:34.003,1:33.896,1:33.651,1:33.754,1:33.801,1:33.602,1:33.870,1:36.405,1:54.145,1:32.800,1:33.459,1:33.567,1:33.953,1:34.125,1:33.786,1:33.493,1:34.855,1:35.473,1:35.333,1:34.725,1:37.186,1:53.904,1:32.772,1:34.269,1:33.928,1:33.874,1:35.107,1:34.398,1:34.051,1:34.162,1:34.175,1:34.114,1:33.499,1:33.805,1:35.849,1:33.458,1:33.661,1:33.948,1:36.576,2:05.378,1:33.771,1:37.319,1:35.622,1:36.967,1:44.402,1:33.551,1:38.239,1:35.322,1:36.519,1:36.832,1:37.086,1:38.446,1:34.860,1:38.937
Olivier Panis,1:41.885,1:33.313,1:32.789,1:33.201,1:33.116,1:33.170,1:32.981,1:33.138,1:33.328,1:36.502,1:53.050,1:32.506,1:33.404,1:33.031,1:33.229,1:33.165,1:32.755,1:33.111,1:34.627,1:33.489,1:33.148,1:33.951,1:37.718,1:54.133,1:34.382,1:33.730,1:34.356,1:36.305,1:35.402,1:34.671,1:36.823,1:34.356,1:35.366,1:34.007,1:35.190,1:34.014,1:34.465,1:33.830,1:34.043,1:33.533,1:32.829,1:36.675,1:54.088,1:33.585,1:33.968,1:34.572,1:35.502,1:34.140,1:33.812,1:35.711,1:34.338,1:33.651,1:33.539,1:34.241,1:33.335,1:34.531,1:35.535,1:35.375,1:35.093
Christian Klien (KLI),1:43.316,1:34.393,1:33.800,1:34.133,1:34.018,1:33.854,1:33.638,1:33.742,1:33.583,1:33.439,1:33.353,1:33.375,1:34.115,1:32.804,1:33.109,1:35.713,1:55.295,1:33.411,1:34.481,1:34.387,1:35.243,1:36.300,1:35.231,1:34.831,1:34.915,1:35.874,1:34.694,1:36.932,1:36.234,1:34.573,1:35.531,1:33.981,1:34.208,1:34.870,1:33.952,1:36.192,1:56.882,1:33.922,1:33.498,1:35.399,1:35.031,1:35.137,1:34.902,1:34.692,1:34.672,1:34.411,1:36.260,1:34.360,1:34.752,1:34.198,1:36.419,1:34.615,1:33.817,1:34.271,1:33.802,1:33.508,1:35.456,1:34.116,1:35.446
Juan Pablo Montoya (MON),1:47.444,1:59.004,1:32.465,1:32.721,1:33.200,1:33.035,1:33.104,1:33.687,1:32.898,1:35.601,1:33.034,1:32.990,1:32.646,1:32.704,1:33.116,1:32.897,1:32.387,1:32.048,1:33.377,1:32.302,1:32.557,1:34.883,1:54.616,1:32.419,1:32.302,1:33.753,1:34.184,1:36.317,1:32.289,1:31.953,1:31.998,1:31.639,1:31.880,1:32.075,1:32.118,1:31.707,1:31.786,1:31.537,1:31.578,1:31.705,1:34.069,1:52.832,1:31.424,1:33.595,1:32.903,1:33.282,1:34.106,1:34.472,1:33.840,1:33.848,1:33.501,1:33.078,1:33.934,1:33.158,1:33.006,1:32.433,1:32.852,1:32.987,1:33.498
Michael Schumacher (MSC),1:35.316,1:30.112,1:29.745,1:29.742,1:29.694,1:29.635,1:29.468,1:32.071,1:53.167,1:31.205,1:31.545,1:30.803,1:30.601,1:30.617,1:30.710,1:31.407,1:30.635,1:30.680,1:30.811,1:30.506,1:30.623,1:30.437,1:30.449,1:30.763,1:32.135,1:32.292,1:30.867,1:33.481,1:51.895,1:31.312,1:31.237,1:32.722,1:31.148,1:31.062,1:30.658,1:30.812,1:30.788,1:30.983,1:30.315,1:32.082,1:30.609,1:30.966,1:31.244,1:33.341,1:53.327,1:31.276,1:33.299,1:33.713,1:33.809,1:33.086,1:32.961,1:32.135,1:32.341,1:32.234,1:31.954,1:31.304,1:31.195,1:30.943,1:30.845,1:39.988
Rubens Barrichello (BAR),1:40.500,1:32.234,1:31.499,1:31.971,1:31.909,1:32.093,1:32.322,1:32.120,1:32.318,1:31.459,1:30.996,1:30.446,1:30.245,1:30.101,1:32.978,1:54.463,1:31.647,1:31.738,1:32.811,1:31.572,1:31.349,1:31.652,1:31.234,1:31.184,1:31.208,1:31.068,1:31.099,1:31.157,1:31.945,1:31.831,1:32.157,1:31.849,1:32.784,1:32.019,1:32.430,1:30.629,1:30.370,1:33.838,1:54.631,1:31.804,1:31.415,1:31.598,1:31.898,1:31.476,1:32.345,1:34.899,1:33.450,1:33.433,1:32.979,1:32.418,1:32.840,1:33.210,1:32.457,1:32.096,1:31.720,1:32.415,1:32.815,1:32.132,1:31.729,1:34.105
Giancarlo Fisichella (FIS),1:46.879,1:35.032,1:33.615,1:33.437,1:33.754,1:34.134,1:33.683,1:33.756,1:33.589,1:33.537,1:33.610,1:33.829,1:32.933,1:32.770,1:32.497,1:32.573,1:32.530,1:33.042,1:32.256,1:32.005,1:32.653,1:32.126,1:31.413,1:33.989,1:56.898,1:32.858,1:33.273,1:32.038,1:32.217,1:32.241,1:32.134,1:32.172,1:32.183,1:32.383,1:32.289,1:32.684,1:31.950,1:31.838,1:32.955,1:31.614,1:31.444,1:33.217,1:31.874,1:34.135,1:53.186,1:32.064,1:32.792,1:35.433,1:33.349,1:31.890,1:32.069,1:31.731,1:31.776,1:32.111,1:32.929,1:32.813,1:32.771,1:33.906,1:32.400,1:35.290
Jenson Button (BUT),1:41.005,1:32.461,1:32.048,1:31.563,1:31.843,1:31.988,1:32.275,1:32.114,1:32.344,1:31.491,1:33.752,1:52.077,1:30.457,1:30.776,1:31.533,1:32.643,1:33.087,1:33.214,1:31.893,1:31.503,1:31.312,1:30.748,1:30.720,1:30.573,1:33.364,1:51.248,1:30.934,1:31.905,1:31.720,1:31.911,1:31.630,1:31.627,1:31.411,1:31.521,1:31.732,1:32.370,1:31.936,1:31.515,1:32.704,1:32.046,1:31.711,1:31.432,1:31.703,1:31.367,1:35.770,1:49.526,1:30.537,1:31.283,1:31.908,1:32.068,1:32.751,1:31.262,1:30.852,1:31.931,1:31.551,1:31.049,1:30.951,1:30.769,1:31.194,1:35.025
Mark Webber (WEB),1:46.270,1:34.834,1:33.568,1:33.591,1:33.728,1:34.028,1:33.695,1:33.746,1:33.664,1:33.593,1:33.762,1:33.702,1:32.574,1:32.603,1:32.427,1:32.504,1:31.932,1:34.498,1:53.919,1:32.666,1:32.887,1:32.980,1:33.262,1:33.224,1:33.766,1:33.101,1:32.964,1:32.362,1:32.318,1:32.154,1:32.176,1:32.284,1:32.075,1:32.251,1:32.155,1:32.694,1:31.893,1:34.087,1:53.713,1:33.405,1:32.018,1:32.761,1:32.796,1:32.689,1:33.129,1:32.914,1:32.973,1:32.955,1:32.570,1:32.476,1:32.736,1:31.999,1:31.913,1:32.089,1:33.173,1:32.643,1:32.399,1:32.112,1:32.932,1:34.975
Jarno Trulli (TRU),1:41.285,1:33.240,1:31.889,1:31.555,1:31.853,1:31.790,1:32.327,1:32.013,1:34.677,1:51.649,1:33.580,1:33.650,1:33.232,1:33.113,1:32.448,1:32.415,1:32.330,1:32.515,1:32.936,1:32.024,1:32.432,1:32.780,1:31.813,1:31.460,1:31.198,1:31.263,1:31.159,1:34.045,1:50.514,1:31.131,1:31.453,1:31.697,1:32.136,1:32.108,1:31.690,1:31.346,1:31.671,1:31.397,1:32.299,1:32.084,1:31.802,1:31.373,1:31.411,1:34.347,1:51.278,1:31.799,1:32.831,1:32.947,1:32.616,1:32.899,1:33.137,1:32.068,1:32.362,1:32.263,1:32.760,1:32.901,1:32.575,1:32.857,1:32.634,1:35.717
David Coulthard (COU),1:42.457,1:33.700,1:33.606,1:33.912,1:33.407,1:33.454,1:33.242,1:33.166,1:33.872,1:32.865,1:32.745,1:32.769,1:33.108,1:32.337,1:32.575,1:32.687,1:33.094,1:33.540,1:34.547,1:36.787,1:53.209,1:33.775,1:34.409,1:33.517,1:33.345
Felipe Massa (MAS),1:48.281,1:36.475,1:35.228,1:37.046,1:35.089,1:33.688,1:33.253,1:33.040,1:33.097,1:33.545,1:33.297,1:33.043,1:33.302,1:33.068,1:32.808,1:32.919,1:32.950,1:35.671,1:55.555,1:33.393,1:33.473,1:33.964,1:34.042,1:34.504,1:35.351,1:34.901,1:35.008,1:36.209,1:33.906,1:33.129,1:33.162,1:33.035,1:34.362,1:33.361,1:33.261,1:32.842,1:32.729,1:32.991,1:32.849,1:35.215,1:56.539,1:33.634,1:33.599,1:33.738,1:34.020,1:33.587,1:33.728,1:33.444,1:33.700,1:34.884,1:33.651,1:33.488,1:33.409,1:33.581,1:33.653,1:34.552,1:33.079,1:33.300,1:34.215
