Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Patrick Friesacher (FRI),1:48.522,1:37.441,1:37.686,1:38.117,1:38.046,1:38.145,1:38.669,1:37.857,1:37.463,1:37.410,1:37.190,1:37.380,1:37.328,1:36.833,1:36.826,1:36.432,1:39.554,2:04.518,1:39.489,1:44.518,1:37.975,1:38.704,1:39.131,1:39.787,1:41.336,1:39.944,1:37.898,1:39.438,1:37.334,1:38.395,1:37.083,1:37.765,1:37.327,1:38.260,1:37.332,1:43.154,2:08.117,1:42.180,1:40.811,1:39.593,1:39.892,1:41.657,1:40.053,1:41.234,1:40.953,1:42.730,1:41.795,1:43.708,1:42.653,1:43.315,1:44.239,1:44.399,1:45.236,1:45.753
Narain Karthikeyan (KAR),1:46.260,1:37.533
Pedro de la Rosa (DLR),1:43.355,1:37.056,1:35.275,1:34.487,1:34.483,1:34.582,1:34.621,1:34.502,1:34.517,1:34.542,1:34.459,1:34.397,1:34.168,1:34.710,1:34.712,1:33.820,1:33.710,1:34.222,1:33.536,1:34.506,1:37.309,1:32.431,1:35.080,1:57.769,1:35.127,1:34.912,1:34.132,1:34.152,1:34.244,1:34.742,1:34.316,1:34.089,1:32.634,1:32.585,1:33.645,1:33.742,1:34.977,1:36.578,1:32.106,1:34.478,1:32.926,1:34.011,1:31.447,1:34.254,1:55.213,1:32.928,1:32.784,1:33.222,1:34.251,1:34.947,1:34.317,1:33.290,1:35.057,1:34.177,1:34.680,1:31.908,1:35.399
Jacques Villeneuve (VIL),1:45.453,1:37.652,1:36.930,1:35.951,1:35.672,1:35.349,1:35.113,1:35.160,1:34.950,1:35.537,1:34.935,1:35.159,1:34.728,1:34.800,1:34.667,1:34.811,1:34.543,1:33.987,1:33.869,1:34.443,1:34.088,1:34.443,1:34.110,1:33.458,1:36.482,1:59.596,1:35.409,1:35.042,1:35.525,1:34.768,1:34.286,1:34.484,1:34.281,1:34.136,1:34.310,1:34.233,1:34.567,1:35.257,1:34.627,1:33.827,1:33.492,1:33.579,1:34.277,1:36.044,1:56.746,1:34.960,1:34.887,1:36.006,1:34.687,1:34.542,1:34.292,1:34.489,1:34.641,2:09.127
Tiago Monteiro (TMO),1:47.338,1:37.659,1:38.198,1:38.120,1:38.009,1:38.195,1:37.560,1:37.569,1:37.664,1:40.828,1:37.319,1:37.833,1:37.002,1:36.532,1:36.268,1:36.407,1:36.242,1:35.744,1:37.313,1:36.221,1:39.313,2:01.670,1:39.316,1:36.848,1:38.009,1:37.627,1:38.574,1:38.564,1:37.529,1:37.750,1:38.211,1:36.879,1:36.596,1:37.373,1:36.396,1:36.423,1:36.549,1:37.464,1:39.933,2:04.583,1:37.959,1:39.349,1:37.831,1:39.131,1:38.003,1:38.177,1:38.429,1:37.904,1:39.062,1:38.791,1:41.000,1:40.116,1:39.344,1:38.944,1:40.334
Michael Schumacher (MSC),1:36.795,1:34.248,1:33.761,1:33.134,1:33.496,1:32.932,1:32.886,1:33.044,1:33.220,1:33.284,1:33.288,2:16.560
Christijan Albers (ALB),1:53.095,2:08.949,1:36.913,1:37.242,1:37.676,1:37.866,1:38.246,1:37.732,1:38.446,1:38.314,1:37.919,1:39.559,1:37.429,1:37.370,1:39.113,1:38.569,1:38.749,1:39.239,1:37.115,1:37.147,1:39.867,1:42.648,2:03.478,1:37.337,1:37.713,1:37.740,1:37.924,1:37.403,1:39.884,1:39.005,1:37.999,1:37.792,1:37.328,1:37.599,1:37.654,1:39.921,1:39.601,1:39.468,2:07.308,1:40.535,1:39.839,1:39.684,1:40.057,1:40.117,1:41.555,1:40.709,1:41.643,1:42.472,1:42.305,1:43.011,1:45.305,1:43.634,1:44.995
Ralf Schumacher (SCH),1:41.147,1:35.322,1:34.264,1:34.521,1:34.394,1:34.499,1:34.302,1:35.189,1:34.036,1:33.442,1:33.557,1:34.029,1:33.028,1:33.134,1:33.782,1:33.646,1:32.953,1:36.270,1:59.580,1:34.381,1:34.812,1:36.940,1:34.547,1:34.445,1:34.066,1:35.058,1:34.453,1:33.552,1:34.852,1:33.100,1:33.111,1:32.914,1:33.266,1:33.270,1:32.689,1:32.683,1:33.319,1:33.899,1:32.943,1:33.091,1:35.086,1:56.170,1:37.129,1:33.765,1:33.678,1:33.882,1:33.267,1:33.242,1:33.026,1:33.245,1:33.853,1:33.507,1:33.673,1:35.393,1:33.084,1:32.742,1:34.575
Rubens Barrichello (BAR),1:44.505,1:36.206,1:36.017,1:34.577,1:34.471,1:34.300,1:34.570,1:34.702,1:34.586,1:34.310,1:34.435,1:34.379,1:34.288,1:34.697,1:34.528,1:34.041,1:33.633,1:34.158,1:33.533,1:34.130,1:34.006,1:33.374,1:32.976,1:33.287,1:37.008,1:58.847,1:34.675,1:33.852,1:33.823,1:34.158,1:34.402,1:35.412,1:33.263,1:33.511,1:33.703,1:33.802,1:34.985,1:33.839,1:33.821,1:34.272,1:34.775,1:35.206,1:35.051,1:37.524,1:34.968,1:37.134,1:57.177,1:36.469,1:36.283,1:37.036,1:38.016,1:38.129,1:37.329,1:37.275,1:38.737,1:41.695
Giancarlo Fisichella (FIS),1:42.868,1:37.036,1:40.690,1:52.401
