Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Patrick Friesacher (FRI),1:52.066,1:38.027,1:38.022,1:36.919,1:36.596,1:36.687,1:36.630,1:36.670,1:36.461,1:38.292,1:36.668,1:36.724,1:37.206,1:36.139,1:36.810,1:36.958,1:35.923,1:35.536,1:39.381,2:04.198,1:37.569,1:37.155,1:36.946,1:39.126,1:38.907,1:39.630,1:36.865,1:37.498,1:36.936,1:36.482,1:35.812,1:36.128,1:38.173,1:37.059,1:35.880,1:35.849,1:40.087,2:06.966,1:41.156,1:42.045,1:37.635,1:37.583,1:37.491,1:38.360,1:38.613,1:37.269,1:36.967,1:36.920,1:36.714,1:37.082,1:40.009,1:37.535,1:38.781,1:38.508,1:38.623,1:38.890
Narain Karthikeyan (KAR),1:49.510,1:38.486,1:36.116,1:36.371,1:35.269,1:35.199,1:34.950,1:34.781,1:34.911,1:35.134,1:34.903,1:35.175,1:34.321,1:34.016,1:36.964,1:33.780,1:33.956,1:33.387,1:34.077,1:33.957,1:33.292,1:36.781,1:57.148,1:35.223,1:34.720,1:34.752,1:37.525,1:35.002,1:34.468,1:34.250,1:34.141,1:33.737,1:33.890,1:34.594,1:34.515,1:35.413,1:33.911,1:33.390,1:33.920,1:37.436,1:56.428,1:38.306,1:36.980,1:36.695,1:40.014,1:36.241,1:37.191,1:37.640,1:36.852,1:35.585,1:35.218,1:37.659,1:36.685,1:36.121,1:36.136,1:35.736,1:35.271,1:34.148
Jacques Villeneuve (VIL),1:50.008,1:38.311,1:36.608,1:36.926,1:35.287,1:34.965,1:34.535,1:34.583,1:34.757,1:35.211,1:34.668,1:33.856,1:34.069,1:34.282,1:33.955,1:34.234,1:33.992,1:33.940,1:33.626,1:34.516,1:34.066,1:32.879,1:32.669,1:36.529,1:57.595,1:34.207,1:34.256,1:34.104,1:34.220,1:34.034,1:33.720,1:34.453,1:36.999,1:34.657,1:34.161,1:33.782,1:33.713,1:33.247,1:32.834,1:32.865,1:32.583,1:35.791,1:33.098,1:32.658,1:33.208,1:37.830,1:53.676,1:33.653,1:34.170,1:34.119,1:36.217,1:33.578,1:33.284,1:35.827,1:33.621,1:35.379,1:32.840,1:36.757
Tiago Monteiro (TMO),1:47.690,1:37.851,1:37.143,1:35.746,1:35.831,1:35.578,1:35.013,1:34.679,1:35.537,1:34.606,1:34.863,1:34.344,1:34.395,1:34.227,1:33.869,1:34.136,1:34.056,1:33.813,1:33.823,1:34.588,1:36.986,1:58.159,1:36.511,1:35.438,1:35.638,1:37.279,1:35.175,1:35.005,1:34.566,1:34.155,1:34.311,1:34.292,1:34.600,1:35.823,1:34.284,1:33.702,1:34.011,1:33.670,1:33.425,1:33.819,1:33.443,1:36.510,1:58.834,1:38.645,1:49.504,1:35.490,1:35.479,1:36.363,1:35.113,1:35.509,1:35.646,1:35.744,1:36.804,1:35.647,1:34.920,1:34.461,1:35.711,1:34.912
Juan Pablo Montoya (MON),1:50.138,1:34.164,1:32.625,1:32.442,1:33.893,1:34.332,1:32.430,1:32.447,1:32.483,1:33.108,1:32.934,1:33.031,1:32.896,1:32.891,1:32.698,1:32.765,1:32.429,1:32.362,1:35.793,1:55.864,1:33.333,1:33.125,1:33.742,1:33.435,1:34.070,1:33.957,1:34.070,1:33.488,1:33.557,1:34.722,1:33.386,1:32.960,1:32.856,1:32.573,1:33.165,1:33.259,1:32.558,1:32.649,1:32.491,1:33.413,1:33.061,1:31.807,1:33.032,1:32.761,1:34.379,1:55.207,1:33.819,1:33.919,1:33.672,1:33.728,1:34.676,1:34.073,1:33.412,1:32.559,1:33.018,1:32.832,1:32.964,1:33.435,1:33.933
Michael Schumacher (MSC),1:50.816,1:35.601,1:34.702,1:32.426,1:32.802,1:32.928,1:33.502,1:33.381,1:34.059,1:33.490,1:33.225,1:31.731,1:32.183,1:31.961,1:32.437,1:32.274,1:32.311,1:32.253,1:31.503,1:33.232,1:56.143,1:33.555,1:33.710,1:34.231,1:34.493,1:33.790,1:33.885,1:33.391,1:33.569,1:34.089,1:33.682,1:32.809,1:33.005,1:32.944,1:33.376,1:32.852,1:32.692,1:32.489,1:33.359,1:32.822,1:32.345,1:31.783,1:32.768,1:32.142,1:31.653,1:33.854,1:52.258,1:32.812,1:32.706,1:32.078,1:31.705,1:31.703,1:40.299,1:32.519,1:33.228,1:33.087,1:33.645,1:34.138,1:34.667
Christijan Albers (ALB),1:52.456,1:39.874,1:37.186,1:36.483,1:36.255,1:36.673,1:36.492,1:36.702,1:36.499,1:36.953,1:35.394,1:35.909,1:36.458,1:35.910,1:36.210,1:36.697,1:35.103,1:35.047,1:35.092,1:37.787,2:01.387,1:36.086,1:36.246,1:37.221,1:36.126,1:35.893,1:36.094,1:36.131,1:40.321,1:39.085,1:46.914,1:35.929,1:35.280,1:35.527,1:35.958,1:36.986,1:36.943,1:38.322,2:00.852,1:37.489,1:36.822,1:37.529,1:38.458,1:37.084,1:36.982,1:38.741,1:37.944,1:36.708,1:36.485,1:38.784,1:38.066,1:39.611,1:38.732,1:37.782,1:36.686,1:36.121,1:36.771
Vitantonio Liuzzi (LIU),1:43.958,1:34.902,1:34.280,1:34.141,1:33.490,1:33.490,1:33.313,1:33.686,1:33.180,1:33.168,1:33.012,1:32.419,1:33.104,1:33.145,1:32.889,1:32.614,1:32.420,1:32.456,1:35.900,1:59.252,1:34.279,1:33.904,1:34.587,1:34.130,1:34.055,1:34.270,1:33.748,1:33.576,1:33.452,1:33.612,1:33.730,1:33.247,1:33.355,1:32.985,1:33.184,1:33.115,1:32.902,1:32.496,1:32.333,1:32.310,1:32.466,1:32.187,1:31.971,1:36.422,1:54.164,1:34.325,1:34.472,1:34.567,1:33.803,1:34.062,1:34.421,1:34.155,1:35.402,1:35.472,1:33.479,1:33.134,1:33.365,1:33.116,1:33.105
Ralf Schumacher (SCH),2:16.132,1:58.399,1:32.878,1:33.242,1:32.773,1:32.827,1:32.690,1:33.138,1:32.855,1:32.473,1:32.460,1:32.818,1:33.362,1:33.464,1:32.645,1:32.224,1:32.164,1:32.146,1:32.327,1:31.947,1:32.005,1:32.033,1:32.269,1:31.950,1:31.724,1:34.846,1:54.317,1:33.896,1:33.551,1:33.060,1:33.329,1:32.841,1:33.345
Rubens Barrichello (BAR),1:45.350,1:34.596,1:35.029,1:33.743,1:33.980,1:32.963,1:32.291,1:32.913,1:31.107,1:31.525,1:35.371,1:54.800,1:32.998,1:32.337,1:32.606,1:32.483,1:31.933,1:31.991,1:31.908,1:31.575,1:31.893,1:32.513,1:31.826,1:32.051,1:32.428,1:31.539,1:31.349,1:31.133,1:31.170,1:31.475,1:31.466,1:31.381,1:33.941,1:52.879,1:32.903,1:32.171,1:32.037,1:32.128,1:31.923,1:31.727,1:32.017,1:31.910,1:31.733,1:31.028,1:31.772,1:31.397,1:32.124,1:34.191,1:51.694,1:32.750,1:32.459,1:32.210,1:32.796,1:32.392,1:32.970,1:31.834,1:32.241,1:32.954,1:33.293
