Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Franck Montagny (FMO),1:45.506,2:32.077,2:18.014,1:29.525,1:29.168,1:28.769,1:28.647,1:28.184,1:28.182,1:28.552,1:28.140,1:28.376,1:27.915,1:27.942,1:28.136,1:28.360,1:30.436,1:29.480,1:27.703,1:27.438,1:28.367,1:29.587,1:34.456,1:48.951,1:27.683,1:27.167,1:28.660,1:28.670,1:28.807,1:29.702,1:27.975,1:30.689,1:28.455,1:28.754,1:27.882,1:27.543,1:27.371,1:28.291,1:27.389,1:28.048,1:32.405,1:48.196,1:28.922,1:29.197,1:27.805,1:27.409,1:28.010,1:27.252,1:28.471,1:30.856,1:28.177,1:30.263,1:28.083,1:27.830,1:29.552,1:27.958,1:27.808
Jacques Villeneuve (VIL),1:37.056,2:29.938,2:23.090,1:28.035,1:26.373,1:25.519,1:25.355,1:25.361,1:25.201,1:25.484,1:25.411,1:24.433,1:24.234,1:23.901,1:23.815,1:23.477,1:23.667,1:23.799,1:23.559,1:24.038,1:23.383,1:23.489,1:23.244,1:24.382,1:23.531,1:23.797,1:27.735,1:46.949,1:24.800,1:24.038,1:24.241,1:24.008,1:24.231,1:24.092,1:23.804,1:23.744,1:23.514,1:23.279,1:24.188,1:23.413,1:23.233,1:24.009,1:23.355,1:23.250,1:23.101,1:22.921,1:23.359,1:26.876,1:41.612,1:23.673,1:24.114,1:23.661,1:23.850,1:24.404,1:23.846,1:23.413,1:23.520,1:23.835,1:24.154,1:24.432
Tiago Monteiro (TMO),1:41.429,2:33.036,2:19.076,1:28.470,1:26.592,1:27.125,1:26.470,1:25.987,1:26.091,1:25.720,1:25.990,1:25.811,1:25.884,1:25.549,1:25.527,1:25.247,1:25.355,1:25.453,1:24.934,1:25.555,1:24.805,1:28.806,1:45.414,1:24.782,1:24.636,1:25.064,1:25.646,1:27.209,1:25.262,1:25.124,1:24.725,1:25.622,1:28.198,1:25.437,1:26.186,1:26.551,1:25.377,1:24.727,1:24.927,1:29.445,1:50.677,1:25.952,1:25.580,1:25.601,1:25.516,1:25.317,1:26.631,1:25.388,1:25.610,1:26.884,1:26.907,1:25.924,1:25.597,1:27.002,1:25.933,1:25.292,1:26.080,1:29.211
Christian Klien (KLI),1:40.148,2:32.065,2:20.697,1:27.998,1:27.083,1:27.139,1:26.399,1:25.848,1:25.615,1:25.651,1:25.469,1:25.312,1:25.652,1:25.441,1:24.898,1:24.766,1:24.702,1:24.425,1:24.229,1:24.386,1:25.014,1:24.508,1:24.379,1:24.523,1:23.888,1:24.549,1:29.311,1:43.607,1:24.247,1:23.712,1:24.307,1:25.072,1:24.133,1:24.235,1:24.206,1:24.299,1:24.134,1:24.111,1:25.705,1:24.002,1:28.169,1:45.526,1:26.352,1:26.115,1:26.222,1:25.331,1:25.256,1:26.005,1:24.688,1:25.132,1:25.090,1:25.414,1:25.704,1:25.856,1:25.692,1:25.726,1:25.619,1:26.678,1:27.287
Juan Pablo Montoya (MON),1:35.550,2:29.676,2:23.662,1:26.620,1:24.750,1:25.012,1:24.577,1:24.229,1:24.300,1:24.975,1:24.634,1:23.752,1:23.686,1:23.524,1:23.420,1:23.713,1:23.363,1:23.336,1:23.428,1:27.505,1:45.767,1:23.513,1:24.066,1:23.652,1:23.666,1:24.464,1:23.737,1:23.441,1:23.474,1:23.484,1:23.383,1:23.329,1:23.348,1:23.376,1:23.296,1:23.642,1:23.142,1:22.780,1:23.356,1:23.189,1:23.262,1:23.287,1:23.342,1:23.278,1:27.419,1:42.027,1:23.074,1:23.747,1:23.780,1:23.712,1:23.799,1:23.285,1:23.623,1:23.841,1:24.099,1:24.262,1:24.658,1:25.235,1:24.777,1:26.372
Michael Schumacher (MSC),1:30.983,2:27.933,2:27.367,1:25.365,1:23.493,1:23.585,1:23.387,1:23.223,1:23.326,1:23.426,1:22.836,1:22.763,1:22.982,1:22.633,1:22.487,1:22.650,1:22.539,1:26.943,1:42.678,1:23.348,1:23.579,1:23.404,1:24.043,1:23.330,1:23.092,1:23.124,1:23.230,1:23.390,1:22.879,1:22.947,1:22.928,1:22.951,1:22.774,1:24.031,1:22.487,1:22.785,1:23.245,1:23.609,1:22.138,1:22.572,1:26.556,1:40.086,1:22.296,1:23.390,1:22.909,1:22.990,1:22.507,1:22.456,1:22.425,1:22.934,1:22.509,1:22.298,1:21.934,1:22.626,1:22.117,1:22.928,1:23.018,1:23.529,1:23.698,1:26.187
Christijan Albers (ALB),1:42.772,2:32.535,2:19.226,1:28.067,1:26.842,1:27.122,1:26.464,1:26.317,1:26.060,1:26.334,1:25.884,1:25.584,1:25.702,1:25.571,1:25.054,1:25.555,1:25.191,1:25.266,1:25.098,1:25.386,1:25.241,1:24.661,1:23.989,1:24.550,1:28.877,1:43.379,1:23.977,1:24.150,1:24.051,1:24.621,1:26.740,1:25.289,1:25.276,1:24.826,1:25.181,1:26.508,1:26.766,1:26.640,1:25.347,1:26.540,1:25.659,1:30.090,1:46.634,1:24.404,1:24.500,1:25.750,1:26.149,1:25.506,1:25.003,1:24.461,1:24.489,1:24.327,1:24.771,1:24.415,1:25.165,1:25.115,1:25.031,1:26.179,1:25.192
Scott Speed (SPE),2:08.623
Vitantonio Liuzzi (LIU),1:38.386,2:31.054,2:21.552,1:28.319,1:26.961,1:28.343,1:25.914,1:25.686,1:25.745,1:25.656,1:25.348,1:25.519,1:25.438,1:25.081,1:24.676,1:24.541,1:24.670,1:24.529,1:24.565,1:24.644,1:24.657,1:24.251,1:24.284,1:24.335,1:24.221,1:24.363,1:28.770,1:49.760,1:24.528,1:25.526,1:25.341,1:25.508,1:26.418,1:25.722,1:25.831,1:25.783,1:27.771,1:25.721,1:26.077,1:26.946,1:25.300,1:25.354,1:25.227,1:26.235,1:26.132,1:26.210,1:24.849,1:24.952,1:26.040,1:25.003,1:25.058,1:24.969,1:25.133,1:25.988,1:25.238,1:25.379,1:25.210,1:25.778,1:25.932
Rubens Barrichello (BAR),1:35.696,2:29.001,2:24.132,1:28.464,1:25.764,1:25.421,1:24.552,1:24.352,1:24.426,1:24.836,1:24.432,1:24.181,1:23.986,1:23.752,1:23.778,1:23.831,1:23.982,1:23.826,1:28.931,1:46.142,1:24.729,1:24.667,1:24.663,1:24.666,1:24.095,1:24.570,1:24.355,1:24.901,1:24.601,1:24.868,1:24.274,1:23.850,1:24.118,1:24.132,1:24.029,1:23.786,1:23.677,1:23.224,1:23.688,1:23.474,1:23.563,1:27.900,1:43.413,1:24.131,1:25.259,1:24.157,1:23.988,1:23.977,1:23.948,1:24.375,1:24.618,1:25.383,1:24.472,1:24.247,1:24.039,1:24.543,1:24.736,1:26.431,1:26.449
