Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Franck Montagny (FMO),1:36.544,2:07.709
Jacques Villeneuve (VIL),1:29.315,1:45.695,2:09.041,1:20.857,1:19.675,1:19.176,1:18.774,1:18.822,1:18.865,1:19.715,1:18.581,1:18.416,1:18.184,1:19.386,1:18.510,1:18.114,1:18.152,1:20.071,1:18.633,1:18.309,1:19.446,1:18.392,1:18.109,1:18.351,1:18.148,1:18.444,1:18.791,1:18.148,1:17.394,1:17.647,1:17.737,1:17.625,1:35.385,1:20.585,1:17.973,1:18.648,1:18.497,1:18.272,1:17.813,1:18.414,1:19.608,1:18.811,1:18.243,1:18.302,1:18.010,1:18.547,1:19.498,1:18.622,1:18.064,1:18.276,1:18.113,1:17.985,1:18.584,1:18.385,1:36.694,1:19.792,1:17.975,1:17.733
Tiago Monteiro (TMO),4:10.136,1:28.672,1:21.676,1:19.919,1:19.291,1:20.530,1:20.568,1:21.298,1:22.047,1:22.011,1:22.036,1:22.269,1:22.476,1:21.994,1:21.815,1:23.728,1:21.374,1:21.187,1:19.888,1:20.484,1:24.112,1:22.605,1:21.773,1:27.125,1:24.281,1:24.810,1:22.443,1:22.679,1:21.703,1:23.107,1:26.376,1:22.405,1:24.531,1:45.276,1:25.561,1:21.814,1:23.609,1:24.853,1:21.130,1:22.204,1:20.856,1:22.429,1:25.121,1:22.397,1:21.958,1:22.121,1:21.501,1:23.010,1:21.798,1:25.150,1:23.017,1:21.556,1:21.374,1:23.958,1:22.072,1:24.785,1:41.105,1:49.801,1:54.918,1:26.197,1:22.085,1:21.192,1:22.051,1:21.645,1:21.080,1:23.602
Christian Klien (KLI),1:33.072,1:48.884,2:08.440,1:20.047,1:19.925,1:19.425,1:21.101,1:19.176,1:19.019,1:18.979,1:19.698,1:19.623,1:18.936,1:19.577,1:20.669,1:19.541,1:18.356,1:18.133,1:18.210,1:18.034,1:18.318,1:17.958,1:18.070,1:17.959,1:17.872,1:18.225,1:19.319,1:18.489,1:36.424,1:21.590,1:18.394,1:19.041,1:18.814,1:18.116,1:19.346,1:19.827,1:18.189,1:18.302,1:18.063,1:20.248,1:19.846,1:18.147,1:18.107,1:17.694,1:18.059,1:21.077,1:19.196,1:18.402,1:19.204,1:18.201,1:19.207,1:18.264,1:37.512,1:20.135,1:17.576,1:17.963,1:17.927,1:18.175,1:20.028,1:48.679,2:04.021,1:59.835,1:21.737,1:19.405,1:23.848,1:19.345,1:21.102,1:18.428,1:20.455
Juan Pablo Montoya (MON),1:26.632,2:20.019,1:46.916,1:22.538,1:18.493,1:18.916,1:20.319,1:19.519,1:19.694,1:19.426,1:19.497,1:18.581,1:22.857
Michael Schumacher (MSC),1:27.304,1:45.317,2:08.618,1:19.396,1:18.389,1:18.488,1:18.294,1:18.323,1:18.354,1:18.094,1:17.792,1:18.220,1:17.612,1:17.681,1:17.600,1:18.695,1:17.639,1:17.520,1:17.375,1:17.314,1:18.032,1:18.163,1:18.977,1:17.806,1:16.749,1:16.980,1:16.563,1:17.606,1:16.674,1:16.602,1:17.295,1:35.022,1:19.772,1:17.364,1:16.775,1:16.793,1:17.551,1:19.189,1:17.050,1:16.816,1:16.961,1:17.156,1:17.699,1:21.552,1:18.131,1:17.608,1:17.059,1:18.228,1:17.468,1:18.095,1:17.227,1:18.797,1:17.038,1:19.182,1:17.378,1:18.097,1:33.588,1:19.280,1:17.500,1:18.725,1:44.141,2:03.566,1:58.994,1:19.693,1:18.188,1:17.265,1:16.401,1:15.993,1:16.000,1:16.605
Scott Speed (SPE),1:33.532,1:49.555,2:08.200,1:20.220,1:19.446,1:21.664,1:19.350,1:19.447,1:19.001,1:18.996,1:19.695,1:19.492,1:19.217,1:19.136,1:19.698,1:20.515,1:18.782,1:18.602,1:18.573,1:18.915,1:18.394,1:18.450,1:18.455,1:18.901,1:18.476,1:18.571,1:18.561,1:39.221,1:20.382,1:18.077,1:18.526,1:21.302,1:18.691,1:20.671,1:22.930,1:19.995,1:19.142,1:18.431,1:18.134,1:18.195,1:18.474,1:19.482,1:18.077,1:18.004,1:17.864,1:18.184,1:18.016,1:18.480,1:18.542,1:36.764,1:19.810,1:17.720,1:18.476,1:18.922,1:18.162,1:18.091,1:19.548,1:18.652,1:24.762,1:38.117,2:03.679,1:57.139,1:22.482,1:19.364,1:19.111,1:18.862,1:20.348,1:19.137,1:18.925
Vitantonio Liuzzi (LIU),1:32.123,1:47.928,2:09.084,1:19.888,1:20.175,1:19.476,1:19.466,1:19.305,1:19.330,1:19.256,1:19.342,1:19.684,1:20.029,1:57.616,1:24.941,1:19.635,1:19.411,1:20.221,1:20.515,1:22.369,1:19.610,1:19.175,1:19.501,1:19.277,1:21.187,1:37.325,1:21.189,1:19.628,1:18.880,1:18.987,1:19.197,1:19.434,1:19.435,1:18.969,1:18.821,1:19.929,1:20.808,1:18.960,1:19.718,1:20.588,1:18.950,1:19.353,1:23.271,1:19.599,1:21.155,1:18.901,1:19.565,1:39.041,1:21.874,1:18.078,1:20.949,1:20.069,1:18.979,1:19.151,1:20.559,1:19.801,1:19.026,1:23.855,1:37.804,2:04.112,1:56.711,1:25.881,1:19.783,1:23.559,1:24.492,1:20.567,1:19.914,1:20.887
Ralf Schumacher (SCH),1:34.514,1:50.136,2:07.455,1:20.863,1:19.851,1:20.245,1:20.475,1:19.459,1:20.012,1:19.158,1:20.120,1:19.688,1:19.044,1:19.241,1:19.376,1:19.167,1:19.779,1:19.278,1:18.793,1:18.956,1:19.200,1:19.725,1:18.845,1:36.545,2:39.784,1:25.090,1:22.746,1:27.405,1:21.729,1:20.722,1:21.373,1:19.847,1:19.547,1:19.998,1:22.489,1:20.377,1:19.266,1:22.178,1:20.012,1:19.478,1:19.176,1:18.831,1:20.927,1:27.550,1:19.768,1:19.500,1:39.086,1:21.095,1:19.986,1:20.075,1:56.157,1:29.907,1:18.931,1:25.571,1:21.466,1:25.000,2:50.349,1:35.877
Rubens Barrichello (BAR),1:32.679,1:48.227,2:08.866,1:20.107,1:19.868,1:19.494,1:19.552,1:19.401,1:19.424,1:19.286,1:19.407
Giancarlo Fisichella (FIS),1:24.665,1:44.907,2:10.354,1:17.966,1:17.758,1:17.187,1:24.518,1:18.849,1:17.647,1:17.873,1:17.661,1:17.989,1:17.731,1:17.666,1:19.120,1:17.224,1:17.561,1:17.290,1:18.197,1:16.979,1:17.710,1:17.867,1:18.860,1:18.916,1:37.489,1:19.763,1:18.188,1:17.911,1:18.123,1:17.888,1:17.720,1:17.644,1:17.771,1:18.504,1:17.499,1:17.828,1:17.483,1:17.326,1:17.079,1:18.757,1:17.481,1:17.792,1:19.585,1:17.070,1:19.685,1:17.057,1:16.779,1:18.646,1:16.669,1:16.772,1:17.481,1:36.744,1:19.953,1:17.802,1:17.374,1:17.871,1:18.034,1:18.700,1:18.176,1:21.683,1:31.411,2:04.017,1:55.135,1:20.581,1:18.695,1:19.185,1:18.340,1:18.015,1:17.709,1:19.077
