Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Jacques Villeneuve (VIL),1:48.432,2:29.251,1:29.945,1:28.304,1:27.909,1:27.695,1:27.594,1:27.518,1:27.157,1:27.537,1:27.046,1:26.992,1:27.459,1:27.976,1:27.893,1:27.429,1:27.975,1:27.599,1:26.996,1:27.049,1:27.766,1:26.842,1:26.927,1:26.789,1:26.753,1:26.618,1:27.837,2:04.462,1:26.631,1:26.845,1:27.382,1:27.703,1:28.208,1:27.826,1:28.385,1:27.966,1:27.801,1:27.404,1:28.433,1:28.215,1:27.306,1:27.436,1:27.197,1:26.685,1:27.152,1:26.333,1:27.084,1:27.406,1:47.835,1:26.617,1:26.411,1:25.890,1:25.438,1:25.468,1:26.272,1:26.543,1:26.949,1:26.557,1:26.855,1:26.549,1:26.115,1:26.209
Yuji Ide (IDE),2:27.729,3:34.869,13:29.130,1:34.018,1:33.463,1:34.375,1:35.533,1:32.538,1:35.549,1:35.394,1:36.395,1:33.861,1:33.849,1:36.674,1:31.032,1:31.058,1:31.036,1:32.659,1:37.209,1:35.196,1:31.038,1:31.136,1:36.455
Tiago Monteiro (TMO),1:58.041,2:25.951,1:32.445,1:30.566,1:30.167,1:29.971,1:30.726,1:30.053,1:29.582,1:29.291,1:29.973,1:29.565,1:29.467,1:29.692,1:28.256,1:28.173,1:29.327,1:51.639,1:29.463,1:30.283,1:28.869,1:29.852,1:30.171,1:28.997,1:30.558,1:29.333,1:28.828,1:29.005,1:32.602,1:29.400,1:28.839,1:27.749,1:27.821,1:28.649,1:30.096,1:30.280,1:30.568,2:11.401,1:30.373,1:30.087,1:31.384,1:29.595,1:30.440,1:29.308,1:29.792,1:32.110,1:29.711,1:29.481,1:28.722,1:28.630,1:28.006,1:27.296,1:27.160,1:32.303,1:30.129,1:28.673,1:28.143,1:27.994,1:29.013,1:30.463
Christian Klien (KLI),1:56.897,2:25.994,1:30.405,1:29.398,1:29.436,1:28.291,1:28.908,1:28.143,1:28.097,1:28.147,1:27.993,1:28.842,1:28.092,1:28.379,1:28.155,1:28.098,1:28.616,1:28.001,1:27.667,1:27.743,1:27.823,1:28.381,1:29.459,1:27.712,1:27.158,1:27.526,1:27.167,1:28.597,1:48.684,1:26.759,1:27.209,1:27.363,1:27.898,1:28.245,1:31.667,1:27.949,1:27.637,1:27.573,1:27.906,1:28.819
Juan Pablo Montoya (MON),1:44.604,2:29.503,1:29.021,1:27.863,1:27.330,1:26.825,1:26.797,1:26.645,1:26.792,1:26.949,1:26.434,1:26.292,1:26.157,1:26.532,1:26.653,1:26.646,1:26.032,1:26.061,1:26.686,1:25.411,1:26.375,1:25.096,1:25.974,1:45.467,1:25.961,1:26.448,1:27.128,1:26.602,1:26.779,1:26.644,1:26.491,1:26.421,1:26.804,1:27.261,1:25.940,1:26.360,1:26.286,1:26.185,1:26.014,1:26.940,1:26.092,1:26.188,1:25.474,1:26.312,1:45.414,1:26.128,1:26.950,1:27.009,1:26.887,1:26.824,1:26.667,1:26.795,1:26.290,1:26.398,1:26.277,1:26.209,1:26.363,1:26.263,1:26.235,1:26.450,1:26.148,1:26.572
Michael Schumacher (MSC),1:37.931,2:30.440,1:27.199,1:26.456,1:26.186,1:26.211,1:25.998,1:25.742,1:25.873,1:25.708,1:25.329,1:25.551,1:25.498,1:25.218,1:25.572,1:25.482,1:25.301,1:25.179,1:24.624,1:25.121,1:46.076,1:25.014,1:25.277,1:25.658,1:25.902,1:26.698,1:26.362,1:26.592,1:26.705,1:27.039,1:26.857,1:27.046,1:26.382,1:27.594,1:27.124,1:28.840,1:28.065,1:27.565,1:27.796,1:27.380,1:26.873,1:25.734,1:45.484,1:26.107,1:26.584,1:26.749,1:26.584,1:27.237,1:27.070,1:26.504,1:26.668,1:26.674,1:26.167,1:26.567,1:26.035,1:26.361,1:26.092,1:26.347,1:25.926,1:25.796,1:25.528,1:26.808
Scott Speed (SPE),1:56.175,2:24.925,1:30.884,1:29.693,1:29.235,1:28.532,1:28.322,1:28.244,1:28.180,1:28.070,1:28.269,1:28.537,1:28.969,1:28.175,1:28.236,1:28.341,1:28.385,1:27.977,1:27.726,1:27.635,1:28.008,1:27.690,1:27.887,1:28.884,1:49.075,1:26.731,1:27.128,1:28.474,1:27.489,1:26.995,1:27.430,1:27.941,1:28.236,1:28.072,1:28.595,1:27.657,1:27.443,1:27.361,1:27.208,1:27.972,1:28.878,1:27.478,1:50.528,1:27.018,1:27.295,1:27.357,1:27.422,1:27.243,1:26.645,1:26.607,1:26.641,1:26.304,1:26.596,1:26.456,1:26.445,1:26.411,1:26.248,1:26.374,1:26.364,1:26.273,1:26.348
Vitantonio Liuzzi (LIU),1:54.055,2:26.179,1:31.203,1:29.399,1:35.398,1:28.250,1:28.393,1:27.721,1:28.248,1:27.629,1:27.335,1:27.607,1:27.991,1:28.367,1:28.230,1:28.248,1:28.598,1:27.842,1:27.963,1:27.397,1:27.726,1:28.172,1:29.550,1:28.052,1:28.537,1:48.761,1:26.981,1:27.616,1:27.779,1:27.618,1:29.767,1:29.381,1:27.564,1:27.458,1:27.459,1:27.592,1:27.515,1:27.333,1:27.615,1:27.720,1:26.344,1:26.037,1:25.679,1:27.018,1:48.606,1:26.745,1:27.004,1:26.747,1:26.701,1:26.777,1:26.837,1:26.888,1:26.713,1:26.503,1:26.521,1:26.239,1:26.305,1:26.586,1:26.529,1:26.366,1:26.733
Ralf Schumacher (SCH),1:43.547,2:29.701,1:28.447,1:27.716,1:27.636,1:26.777,1:26.797,1:26.534,1:26.697,1:26.583,1:26.663,1:26.657,1:26.668,1:26.616,1:26.324,1:27.336,1:46.148,1:27.273,1:27.782,1:27.532,1:27.233,1:27.046,1:28.032,1:27.085,1:27.175,1:26.777,1:26.929,1:26.604,1:26.663,1:26.936,1:26.222,1:26.993,1:45.420,1:26.451,1:26.620,1:26.707,1:26.297,1:26.941,1:26.291,1:25.841,1:25.935,1:25.747,1:26.672,1:26.177,1:25.316,1:26.210,1:46.215,1:26.824,1:26.285,1:26.061,1:26.025,1:26.048,1:25.933,1:25.916,1:26.023,1:26.138,1:26.318,1:25.854,1:26.543,1:26.669,1:27.407,1:27.984
Rubens Barrichello (BAR),1:42.231,2:30.299,1:28.632,1:27.747,1:27.256,1:26.576,1:26.535,1:26.510,1:26.393,1:26.826,1:26.250,1:26.129,1:26.733,1:27.366,1:55.573,1:27.329,1:27.303,1:27.294,1:27.183,1:28.266,1:27.172,1:27.846,1:27.451,1:27.928,1:27.710,1:27.590,1:27.484,1:27.371,1:27.517,1:27.258,1:27.529,1:27.161,1:26.777,1:27.901,1:51.896,1:28.293,1:27.643,1:27.648,1:30.623,1:28.077,1:27.417,1:27.434,1:27.373,1:26.992,1:27.041,1:27.177,1:27.386,1:26.965,1:27.692,1:27.000,1:27.276,1:26.954,1:26.922,1:27.046,1:27.187,1:26.730,1:26.946,1:27.158,1:27.127,1:26.941,1:27.096,1:27.171
Giancarlo Fisichella (FIS),1:49.065,2:29.068,1:30.050,1:28.563,1:28.062,1:28.419,1:27.900,1:27.573,1:27.954,1:27.484,1:28.178,1:27.300,1:27.303,1:27.258,1:27.167,1:27.232,1:27.353,1:27.670,1:27.831,1:27.089,1:27.465,1:26.698,1:26.908,1:26.937,1:27.137,1:26.415,1:26.594,1:26.600,1:27.386,1:45.304,1:26.262,1:26.968,1:26.686,1:27.053,1:26.487,1:26.569,1:26.646,1:25.971,1:26.263,1:26.178,1:25.958,1:25.722,1:25.353,1:25.473,1:25.484,1:25.483,1:25.684,1:27.382,1:44.464,1:27.493,1:26.437,1:26.158,1:26.647,1:26.529,1:26.603,1:26.684,1:27.029,1:25.565,1:25.833,1:26.290,1:27.530,1:25.839
