Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Pedro de la Rosa (DLR),1:40.892,1:34.077,1:33.759,1:33.698,1:33.100,1:32.881,1:32.276,1:31.823,1:31.666,1:31.587,1:31.027,1:31.675,1:31.454,1:38.316,1:46.778,2:30.234,1:32.426,1:31.884,1:31.148,1:30.783,1:30.548,1:29.701,1:29.847,1:29.910,1:30.033,1:29.311,1:29.114,1:29.376,1:29.415,1:30.153,1:54.854,1:31.128,1:30.764,1:30.785,1:30.585,1:30.715,1:30.418,1:30.551,1:30.726,1:30.558,1:30.155,1:30.760,1:30.600,1:30.135,1:30.663,1:30.254,1:30.014,1:30.001,1:30.225,1:30.096,1:29.445,1:29.618,1:29.221,1:28.959,1:29.049,1:29.160,1:29.059,1:29.600
Christian Klien (KLI),1:39.770,1:33.484,1:33.416,1:32.730,1:32.596,1:33.398,1:32.601,1:32.174,1:32.024,1:31.731,1:31.835,1:31.491,1:31.790,1:35.915,1:49.380,2:30.142,1:32.817,1:31.734,1:30.927,1:30.900,1:31.936,1:30.865,1:30.519,1:30.281,1:30.278,1:30.025,1:50.697,1:33.408,1:31.620,1:31.470,1:31.551,1:31.272,1:32.328,1:30.913,1:30.779,1:31.053,1:30.900,1:31.494,1:30.856,1:30.534,1:30.109,1:31.212,1:30.425,1:49.772,1:31.160,1:30.833,1:31.062,1:32.256,1:31.166,1:31.022,1:31.017,1:30.727,1:30.358,1:30.362,1:30.466,1:32.676,1:33.026
Michael Schumacher (MSC),1:32.650,1:31.684,1:30.477,1:30.075,1:30.253,1:30.080,1:30.077,1:29.786,1:29.356,1:29.326,1:29.177,1:28.791,1:29.003,1:30.495,2:30.534,2:29.863,1:31.562,1:30.329,1:30.213,1:30.109,1:29.761,1:29.408,1:29.439,1:29.590,1:29.547,1:29.447,1:29.567,1:33.769,1:29.030,1:28.926,1:29.097,1:28.901,1:28.956,1:28.458,1:28.193,1:28.511,1:28.333,1:28.355,1:28.485,1:29.061,1:28.106,1:28.869,1:29.055,1:48.059,1:29.272,1:29.957,1:30.057,1:29.873,1:29.804,1:31.432,1:29.255,1:29.823,1:29.547,1:30.051,1:28.005,1:28.478,1:28.999,1:29.422
Sakon Yamamoto (YAM),1:42.270,1:36.067,1:34.502,1:35.852,1:34.355,1:34.212,1:33.488,1:33.195,1:33.074,1:33.155,1:32.635,1:32.337,1:34.229,1:40.034,1:59.972,2:03.404,1:32.925,1:33.520,1:33.128,1:32.974,1:33.559,1:32.851,1:32.480
Christijan Albers (ALB),1:43.899,1:34.982,1:34.091,1:33.118,1:33.626,1:32.956,1:33.337,1:33.523,1:32.724,1:32.651,1:32.251,1:32.043,1:33.018,1:34.312,1:56.395,2:18.110,1:32.362,1:32.931,1:32.471,1:32.481,1:32.303,1:31.738,1:31.584,1:32.366,1:31.466,1:31.501,1:31.124,1:31.535,1:31.817,1:31.341,1:31.949,1:31.250,1:31.038,1:30.827,1:30.403,1:31.073,1:30.530,1:30.991,2:03.088,1:31.741,1:34.104,1:31.939,1:31.941,1:31.881,1:33.802,1:31.561
Scott Speed (SPE),2:06.036,2:04.910,1:32.943,1:32.845,1:32.670,1:32.643,1:32.138,1:32.123,1:31.998,1:33.322,1:33.386,1:31.799,1:34.173,1:36.809,1:34.009,1:51.782,1:32.556,1:32.319,1:32.229,1:31.585,1:31.983,1:31.531,1:31.675,1:31.217,1:31.188,1:31.176,1:30.219,1:50.396,1:30.666,1:30.208,1:30.503,1:30.848,1:30.503,1:30.407,1:30.486,1:30.573,1:30.982,1:32.378,1:30.624,1:30.208,1:30.194,1:30.718,1:29.933,1:51.695,1:30.635,1:30.764,1:31.186,1:31.363,1:31.438,1:31.330,1:31.156,1:33.233,1:30.894,1:30.874,1:31.569,1:31.464,1:31.168
Vitantonio Liuzzi (LIU),1:39.058,1:35.380,1:33.660,1:33.643,1:34.279,1:34.876,1:34.069,1:33.691,1:33.065,1:32.594,1:32.326,1:32.148
Ralf Schumacher (SCH),1:48.559,1:53.887,1:32.222,1:32.371,1:32.294,1:32.522,1:32.643,1:32.193,1:32.288,1:32.273,1:32.184,1:32.058,1:33.209,1:32.436,1:32.164,2:26.544,1:31.683,1:32.802,1:32.820,1:32.574,1:31.528,1:31.916,1:31.617,1:30.249,1:30.063,1:29.759,1:29.542,1:29.921,1:29.751,1:29.777,1:29.466,1:30.118,1:53.204,1:30.249,1:30.445,1:30.708,1:30.526,1:30.711,1:30.779,1:30.627,1:31.223,1:30.556,1:30.235,1:30.042,1:30.889,1:30.367,1:30.574,1:30.140,1:30.187,1:29.826,1:29.843,1:29.946,1:29.300,1:29.536,1:29.108,1:29.237,1:29.644,1:29.084
Rubens Barrichello (BAR),1:42.577,1:33.684,1:35.031,1:32.997,1:33.898,1:33.550,1:33.657,1:32.927,1:31.279,1:31.544,1:31.892,1:31.181,1:31.939,1:33.825,1:47.390,2:29.047,1:32.344,1:32.607,1:32.158,1:31.599,1:30.351,1:30.442,1:30.595,1:30.230,1:29.965,1:28.733,1:28.927,1:49.884,1:29.239,1:29.679,1:31.552,1:31.440,1:30.841,1:30.666,1:30.605,1:30.620,1:30.457,1:30.530,1:32.016,1:29.497,1:29.301,1:30.684,1:30.598,1:30.237,1:47.801,1:28.828,1:29.190,1:29.095,1:29.468,1:30.213,1:29.153,1:29.326,1:29.167,1:29.463,1:29.083,1:29.225,1:29.652,1:29.237
Giancarlo Fisichella (FIS),1:49.980,2:05.188,1:31.853,1:32.019,1:31.979,1:31.774,1:31.665,1:31.314,1:31.210,1:30.828,1:30.746,1:30.899,1:31.501,1:31.779,1:31.359,2:26.402,1:31.613,1:31.574,1:32.813,1:31.821,1:30.497,1:29.795,1:29.902,1:31.596,1:29.244,1:29.395,1:28.800,1:28.781,1:28.546,1:28.940,1:54.965,1:30.796,1:30.851,1:30.342,1:30.376,1:30.609,1:30.477,1:30.601,1:31.010,1:30.772,1:30.092,1:30.154,1:29.968,1:29.789,1:29.930,1:30.176,1:29.846,1:29.800,1:30.130,1:29.632,1:29.452,1:29.516,1:29.145,1:28.832,1:28.826,1:29.082,1:29.350,1:29.344
Jenson Button (BUT),1:36.131,1:31.640,1:31.300,1:31.473,1:31.170,1:31.221,1:30.968,1:30.864,1:30.292,1:30.115,1:30.360,1:29.497,1:29.844,1:31.163,2:16.167,2:30.357,1:31.217,1:31.041,1:30.585,1:30.483,1:30.565,1:29.919,1:30.272,1:30.566,1:29.753,1:29.824,1:29.660,1:29.721,1:29.532,1:29.893,1:29.600,1:29.266,1:29.024,1:29.115,1:28.842,1:28.904,1:28.740,1:28.581,1:29.202,1:50.003,1:29.308,1:29.563,1:29.733,1:29.378,1:29.485,1:29.618,1:29.403,1:29.192,1:29.299,1:29.560,1:28.965,1:28.857,1:28.956,1:28.865,1:29.062,1:30.182,1:28.646,1:28.474
Mark Webber (WEB),1:35.750,1:33.241,1:32.598,1:33.067,1:32.446,1:32.752,1:32.198,1:32.102,1:31.603,1:31.460,1:31.214,1:31.191,1:30.995,1:33.142,2:05.808,2:27.877,1:32.647,1:32.761,1:33.977,1:33.167,1:32.030,1:31.782,1:31.924,1:32.251,1:31.386,1:30.834,1:30.591,1:30.698,1:30.711,1:30.575,1:31.596,1:31.305,1:30.959,1:30.632,1:30.541,1:30.580,1:30.598,1:31.346,1:32.143,1:57.683,1:31.346,1:31.141,1:30.560,1:30.414,1:30.576,1:30.839,1:30.673,1:30.840,1:30.594,1:30.088,1:30.462,1:30.356,1:31.797,1:30.195,1:31.866,1:30.515,1:31.260
Jarno Trulli (TRU),1:41.833,1:35.299,1:33.481,1:32.967,1:33.092,1:33.738,1:31.917,1:31.680,1:31.026,1:31.490,1:31.086,1:31.561,1:31.649,1:38.041,1:47.798,2:29.251,1:32.379,1:32.653,1:32.517,1:31.115,1:30.452,1:30.542,1:30.570,1:30.048,1:30.489,1:50.218,1:30.533,1:31.006,1:30.943,1:30.725,1:31.017,1:31.418,1:31.268,1:31.171,1:30.671,1:30.811,1:30.771,1:30.637,1:30.975,1:30.825,1:30.534,1:30.675,1:30.477,1:30.480,1:49.956,1:30.971,1:30.818,1:30.782,1:30.591,1:30.746,1:30.750,1:30.689,1:31.021,1:30.799,1:32.598,1:30.588,1:31.064
David Coulthard (COU),1:41.352,1:34.486,1:33.437,1:33.668,1:34.324,1:34.053,1:33.294,1:32.033,1:31.745,1:32.354,1:31.604,1:31.194,1:33.333,1:33.976,1:47.631,2:28.453,1:32.380,1:32.636,1:31.794,1:32.391,1:30.743,1:30.413,1:30.415,1:30.026,1:31.035,1:52.707,1:30.220,1:30.221,1:30.978,1:31.793,1:30.848,1:31.606,1:31.092,1:30.851,1:31.257,1:30.732,1:30.745,1:31.269,1:30.784,1:30.715,1:30.466,1:30.781,1:30.452,1:30.239,1:30.502,1:48.826,1:30.599,1:30.841,1:30.720,1:31.816,1:30.715,1:30.304,1:30.187,1:33.489,1:43.091
Felipe Massa (MAS),1:31.826,1:29.959,1:29.793,1:30.384,1:29.991,1:30.014,1:29.663,1:30.036,1:29.495,1:29.707,1:29.555,1:29.087,1:29.270,1:31.053,2:28.648,2:31.157,1:30.353,1:29.583,1:29.376,1:29.414,1:29.069,1:28.868,1:28.999,1:29.184,1:28.687,1:28.725,1:28.852,1:28.459,1:28.558,1:28.868,1:28.582,1:28.863,1:28.752,1:29.043,1:28.426,1:28.228,1:28.192,1:28.123,1:29.298,1:49.888,1:28.969,1:29.634,1:29.194,1:29.119,1:29.784,1:30.035,1:29.613,1:29.445,1:30.079,1:29.477,1:29.942,1:30.042,1:29.741,1:30.200,1:30.058,1:30.403,1:30.126,1:31.193
Takuma Sato (SAT),2:37.502,25:28.859,1:34.123,1:34.353,1:34.522,1:34.526,1:34.845,1:34.481,1:34.344,1:34.169,1:33.981,1:35.576,1:35.318,1:34.438,1:37.370,1:34.033,1:33.830,1:33.625,1:33.297,1:33.330,1:33.647,1:33.530,1:33.803,1:38.095,1:34.150,1:39.190,1:34.655,1:32.499,1:32.955,1:33.231,1:39.124,1:56.071,1:31.814,1:32.482,1:32.395,1:32.326,1:31.835,1:32.124,1:31.959,1:32.138,1:32.270
Robert Kubica (KUB),1:39.313,1:32.632,1:31.994,1:32.312,1:31.791,1:32.347,1:32.014,1:32.307,1:33.116,1:31.514,1:31.413,1:31.185,1:30.898,1:37.198,2:00.819,2:27.043,1:32.412,1:32.816,1:32.530,1:32.743,1:32.370,1:31.873,1:32.485,1:31.330,1:31.402,1:30.660,1:30.377,1:30.182,1:29.834,1:29.998,1:30.039,1:30.224,1:29.989,1:29.723,1:52.082,1:32.653,1:32.547,1:33.797,1:33.715,1:36.075,1:32.391,1:32.726,1:32.152,1:31.411,1:31.890,1:32.812,1:31.348,1:31.392,1:31.300,1:30.980,1:31.454,1:33.019,1:31.520,1:30.745,1:30.961,1:32.125,1:31.352
Kimi Räikkönen (RAI),2:35.779
Fernando Alonso (ALO),1:33.139,1:31.803,1:33.147,1:31.376,1:30.771,1:30.447,1:30.109,1:30.298,1:29.711,1:30.020,1:29.427,1:29.188,1:30.118,1:31.969,2:19.266,2:29.864,1:30.550,1:30.099,1:30.085,1:29.788,1:29.503,1:29.453,1:29.445,1:29.376,1:29.212,1:29.348,1:29.447,1:29.037,1:28.957,1:28.982,1:28.937,1:28.872,1:28.904,1:28.846,1:28.284,1:29.136,1:28.690,1:28.245,1:28.731,1:50.174,1:29.404,1:29.658,1:29.612,1:30.347,1:29.803,1:30.012,1:30.082,1:29.745,1:29.733,1:31.292,1:29.477,1:29.746,1:29.713,1:29.044,1:28.452,1:28.991,1:29.110,1:29.682
Nico Rosberg (ROS),1:37.502,1:33.253,1:32.681,1:33.345,1:33.102,1:32.972,1:32.122,1:32.508,1:31.933,1:31.892,1:31.831,1:31.215,1:31.330,1:35.897,1:51.591,2:30.114,1:32.247,1:30.992,1:30.791,1:30.468,1:30.071,1:30.975,1:30.122,1:30.788,1:39.962
Nick Heidfeld (HEI),2:04.745,2:08.227,1:33.247,1:33.462,1:33.663,1:33.622,1:33.574,1:35.910,1:33.454,1:34.302,1:34.872,1:33.086,1:36.822,2:00.748,2:30.747,1:36.672,1:38.163,1:32.268,1:32.835,1:34.651,1:31.777,1:32.045,1:31.210,1:31.716,1:34.018,1:51.452,1:30.962,1:31.739,1:33.344,1:32.643,1:33.642,1:33.680,1:32.098,1:32.671,1:31.515,1:32.648,1:31.389,1:33.045,1:30.414,1:30.700,1:31.508,2:00.064,1:31.266,1:31.844,1:32.566,1:32.782,1:32.684,1:35.648,1:32.493,1:32.060,1:31.583,1:32.703,1:30.939,1:30.657,1:30.416,1:30.335
