Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Sakon Yamamoto (YAM),2:06.037,1:56.972,1:58.256,1:56.656,1:56.284,1:56.659,2:02.329,2:20.470,1:54.349,1:53.772,1:52.810,1:54.705,1:54.322,1:53.346,1:53.054,1:52.712,1:54.788,1:50.360,1:50.719,1:48.802,1:48.441,1:48.219,1:46.585,1:53.382,2:47.326,2:13.312,2:15.358,1:52.133,1:53.163,2:02.219,2:13.496,1:44.700,1:44.332,1:45.732,1:44.219,1:44.287,1:45.783,1:44.434,1:44.029,1:43.101,1:43.218,1:44.814,1:42.857,1:43.222,1:41.962,1:41.698,1:42.869,1:42.198,1:41.092,1:43.304,1:40.782,1:40.764,1:43.200
Alexander Wurz (WUR),2:02.635,1:53.290,1:52.859,1:52.157,1:51.437,1:50.798,1:50.471,1:49.509,1:49.279,1:49.370,1:49.831,1:49.776,1:49.061,1:48.685,1:49.308,1:48.728,1:47.476,1:47.790,1:46.755,1:46.510,1:46.323,1:52.045,2:11.747,1:42.154,1:42.799,1:48.935,1:55.210,1:53.751,1:51.679,1:46.661,1:43.524,1:42.252,1:42.166,1:42.026,1:42.758,1:41.924,1:48.793,2:04.977,1:41.614,1:41.087,1:41.169,1:40.964,1:40.824,1:41.108,1:41.413,1:41.413,1:42.003,1:40.705,1:40.862,1:40.945,1:42.637,1:40.845,1:40.186,1:39.743,1:39.978
Vitantonio Liuzzi (LIU),1:57.138,1:50.336,1:50.662,1:49.483,1:48.647,1:48.299,1:48.008,1:48.165,1:48.015,1:48.023,1:48.381,1:48.586,1:48.135,1:47.770,1:48.285,1:47.678,1:46.510,1:45.681,1:50.075,2:09.039,1:45.667,1:45.800,1:45.904,1:45.761,1:45.988,1:46.655,1:48.723,1:53.669,1:50.305,1:48.862,1:55.274,2:12.507,1:42.268,1:42.181,1:42.230,1:42.605,1:42.339,1:42.883,1:42.409,1:42.115,1:42.041,1:41.906,1:41.665,1:41.236,1:41.359,1:41.338,1:41.116,1:40.498,1:40.298,1:40.096,1:40.339,1:40.169,1:39.654,1:39.820,1:39.749,1:39.723
Ralf Schumacher (SCH),2:11.516,1:52.156,1:52.090,1:50.162,1:49.436,1:49.586,1:49.408,1:50.332,1:48.293,1:49.248,1:48.737,1:47.946,1:49.383,1:49.483,1:50.034,1:48.438,1:47.028,1:45.127,1:44.330,1:45.182,1:45.791,1:45.030,2:13.512,2:16.965,1:44.062
Rubens Barrichello (BAR),2:01.736,2:03.455,1:54.255,1:53.018,1:51.880,1:50.168,1:49.827,1:49.648,1:49.345,1:49.208,1:49.113,1:50.305,1:49.272,1:49.198,1:48.790,1:48.327,1:47.710,1:47.493,1:46.195,1:46.910,1:45.650,1:45.255,1:45.588,1:45.560,1:51.704,2:24.597,2:20.529,1:50.971,1:50.836,1:50.287,1:56.330,2:10.701,1:44.222,1:42.940,1:42.543,1:42.182,1:42.194,1:41.728,1:42.284,1:45.611,1:42.041,1:42.817,1:42.522,1:42.503,1:44.193,1:42.697,1:41.941,1:41.832,1:48.721,1:42.026,1:41.098,1:41.426,1:40.917,1:40.640,1:40.516
Giancarlo Fisichella (FIS),2:03.219,1:53.383,1:52.701,1:52.718,1:51.913,1:51.531,1:50.473,1:50.484,1:50.920,1:50.263,1:49.183,1:49.079,1:49.289,1:49.153,1:48.472,1:47.915,1:47.930,1:47.363,1:46.446,1:45.714,1:45.670,1:45.331,1:45.124,1:45.474,1:49.181,2:15.251,1:56.042,2:01.537,1:47.841,1:44.247,1:42.850,1:41.364,1:40.616,1:40.049,1:41.039,1:42.464,1:42.326,1:41.134,1:38.900,1:39.593,1:39.489,1:39.539,1:40.207,1:39.503,1:45.270,2:04.014,1:39.951,1:40.289,1:40.353,1:40.433,1:40.454,1:40.652,1:40.533,1:39.999,1:40.120,1:40.090
Sebastian Vettel (VET),2:00.608,1:51.737,1:51.450,1:50.626,1:50.388,1:50.462,1:50.174,1:48.712,1:49.049,1:48.981,1:48.838,1:48.824,1:48.784,1:47.951,1:48.702,1:47.477,1:47.100,1:46.726,1:45.773,1:45.452,1:45.036,1:44.845,1:44.468,1:45.083,1:45.830,1:53.823,2:25.351,1:55.487,1:49.749,1:45.637,1:44.135,1:42.751,1:42.902,1:42.029,1:41.788,1:42.033,1:41.072,1:41.850,1:40.918,1:40.400,1:40.720,1:40.651,1:40.708,1:40.772,1:40.778,1:39.951,1:40.177,1:40.248,1:40.103,1:40.130,1:40.066,1:39.890,1:40.080,1:40.899,1:41.155,1:42.575
Anthony Davidson (DAV),2:01.727,2:02.247,1:55.083,1:52.999,1:53.005,1:53.009,1:52.695,1:52.233,1:51.765,1:52.758,2:01.298
Jenson Button (BUT),2:00.590,1:53.565,1:51.901,1:50.730,1:50.058,1:50.121,1:50.256,1:50.380,1:50.513,1:49.884,1:49.818,1:49.820,1:49.569,1:50.240,1:49.764,1:48.561,1:48.161,1:47.867,1:46.850,1:46.258,1:46.574,1:46.283,1:46.146,1:53.749,2:09.170,1:45.749,1:54.704,1:51.818,1:50.838,1:43.794,1:41.255,1:40.271,1:40.076,1:39.901,1:41.451,1:39.791,1:39.055,1:39.248,1:38.913,1:39.171,1:39.677,1:45.443,2:03.729,1:39.539,1:40.598,1:40.003,1:40.573,1:40.614,1:40.899,1:40.804,1:41.392,1:40.780,1:40.481,1:39.976,1:39.752,1:39.938
Mark Webber (WEB),1:57.389,1:51.157,1:50.107,1:50.001,1:49.833,1:50.432,1:49.412,1:48.930,1:48.957,1:48.507,1:48.864,1:48.112,1:48.724,1:48.446,1:47.849,1:47.383,1:46.714,1:45.910,1:45.606,1:44.883,1:44.383,1:45.110,1:50.917,2:14.333,1:43.200,1:42.710,1:56.251,2:10.748,1:47.028,1:47.685,1:52.630,2:10.625,1:41.535,1:41.149,1:40.499,1:41.108,1:41.008,1:40.605,1:40.465,1:40.442,1:40.888,1:42.131,1:41.242,1:41.047,1:41.197,1:40.930,1:40.896,1:42.723,1:41.000,1:40.553,1:39.947,1:41.202,1:40.267,1:39.482,1:39.371,1:40.557
Adrian Sutil (SUT),2:05.886,1:56.137,1:58.475,1:56.196,1:55.966,2:00.743,2:16.656,1:51.719,1:52.733,1:52.683,1:53.425,1:51.211,1:52.384,1:50.923,1:51.667,1:52.809,1:50.577,2:03.553,1:48.573,1:52.202,1:47.934,1:47.603,1:48.765,1:54.186
Jarno Trulli (TRU),2:01.028,1:52.946,1:51.508,1:50.287,1:49.977,1:50.419,1:50.247,1:49.848,1:48.822,1:49.027,1:48.539,1:48.904,1:48.903,1:48.519,1:48.882,1:48.891,1:47.821,1:46.995,1:47.013,1:46.315,1:46.076,1:45.595,1:45.796,1:45.972,1:52.601,2:18.442,1:59.946,2:03.873,2:06.304,1:55.189,1:47.809,1:45.567,1:44.689,1:42.780,1:42.425,1:41.848,1:41.278,1:41.016,1:41.085,1:41.221,1:41.081,1:40.802,1:40.471,1:40.819,1:41.047,1:42.987,1:40.705,1:41.105,1:42.316,1:41.312,1:40.716,1:40.383,1:41.732,1:40.157,1:39.911
David Coulthard (COU),1:55.300,1:49.699,1:49.391,1:48.976,1:48.596,1:47.980,1:48.262,1:48.172,1:47.786,1:47.898,1:47.875,1:47.507,1:47.836,1:48.003,1:47.544,1:47.493,1:46.748,1:46.011,1:50.435,2:10.465,1:46.432,1:46.422,1:46.446,1:46.296,1:47.128,1:52.962,2:29.643,2:02.624,1:50.463,1:46.024,1:44.131,1:44.620,1:42.586,1:42.691,1:41.632,1:42.239,1:40.963,1:40.801,1:40.728,1:40.812,1:42.168,1:42.274,1:41.063,1:41.093,1:41.049,1:41.068,1:40.913,1:40.806,1:40.922,1:40.370,1:40.094,1:39.865,1:40.022,1:39.740,1:39.640,1:40.438
Felipe Massa (MAS),1:53.697,1:49.190,1:48.601,1:47.776,1:47.212,1:47.382,1:47.427,1:46.681,1:47.222,1:46.749,1:46.643,1:46.415,1:46.404,1:46.118,1:46.084,1:45.965,1:50.780,2:09.724,1:45.367,1:44.997,1:44.879,1:44.159,1:43.751,1:44.390,1:45.066,1:52.551,2:25.038,2:04.368,1:52.835,1:47.194,1:43.612,1:41.959,1:44.551,1:41.079,1:39.928,1:40.044,1:40.290,1:39.914,1:40.266,1:40.481,1:39.503,1:40.595,1:40.051,1:40.652,1:40.103,1:39.598,1:39.232,1:39.416,1:39.245,1:38.526,1:38.323,1:37.989,1:38.355,1:37.895,1:37.560,1:37.454
Takuma Sato (SAT),2:02.365,1:53.241,1:52.081,1:51.589,1:51.023,1:50.865,1:52.330,1:52.173,1:51.802,1:52.019,1:51.021,1:52.069,1:51.189,1:50.588,1:50.297,1:49.257,1:48.148,1:47.891,1:47.463,1:46.616,1:46.562,1:46.251,1:46.421,1:45.924,1:51.376,2:18.269,1:59.093,2:06.718,1:50.902,1:47.384,1:44.472,1:43.261,1:44.787,1:42.517,1:42.105,1:42.469,1:42.083,1:42.182,1:42.518,1:43.200,1:43.592,1:42.347,1:43.832,1:42.801,1:43.178,1:42.775,1:41.842,1:42.268,1:41.398,1:41.567,1:40.891,1:40.523,1:40.274,1:40.126,1:40.227
