Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Rubens Barrichello (BAR),1:53.639,2:14.015,1:59.590,1:53.960,1:21.971,1:22.663,1:22.580,1:23.139,1:28.298,1:43.199,1:20.972,1:18.976,1:18.222,1:17.699,1:17.612,1:17.423,1:17.177,1:16.587,1:16.643,1:16.516,1:17.220,1:16.683,1:16.425,1:16.469,1:16.276,1:16.028,1:16.018,1:15.962,1:15.670,1:15.982,1:15.622,1:15.794,1:15.742,1:15.549,1:15.414,1:15.416,1:15.459,1:15.511,1:15.595,1:20.018,1:39.514,1:16.279,1:17.039,1:16.225,1:16.143,1:16.207,1:16.226,1:15.960,1:16.020,1:15.916,1:15.831,1:15.779,1:16.060,1:16.064,1:17.769,1:16.230,1:15.928,1:16.030,1:15.604,1:15.537,1:15.745,1:15.570,1:15.811,1:20.633,1:42.989,1:24.988,1:46.097,1:43.598,1:22.082,1:22.981
Giancarlo Fisichella (FIS),1:58.379,2:16.456,2:00.040,1:50.691,1:30.052,1:25.420,1:23.459,1:22.848,1:21.445,1:20.603,1:21.313,1:19.997,1:19.897,1:18.116,1:17.482,1:17.120,1:16.905,1:19.146,1:18.262,1:17.727,1:16.797,1:16.801,1:16.488,1:16.241,1:16.288,1:16.108,1:16.130,1:16.780,1:15.918,1:15.779,1:15.448,1:15.529,1:15.507,1:15.402,1:15.403,1:15.212,1:15.384,1:19.445,2:06.138,1:16.660,1:18.537,1:16.749,1:16.820,1:16.942,1:17.582,1:17.785,1:17.909,1:18.830,1:18.035,1:16.875,1:17.202,1:16.751,1:16.571,1:16.679,1:16.384,1:16.864,1:17.738,1:17.557,1:17.105,1:16.314,1:16.332,1:16.318,1:20.930,2:04.867,1:26.507,1:29.335,1:35.652,1:32.939,1:32.470
Sebastian Vettel (VET),1:48.050,2:10.520,2:01.357,1:57.531,1:20.373,1:19.932,1:20.737,1:20.695,1:26.648,1:40.653,1:19.278,1:19.712,1:17.868,1:17.063,1:16.278,1:16.106,1:15.492,1:15.160,1:14.916,1:14.800,1:14.565,1:15.018,1:14.631,1:14.448,1:14.214,1:14.383,1:19.246,1:38.578,1:14.518,1:14.366,1:14.592,1:14.591,1:14.560,1:14.641,1:14.712,1:14.583,1:15.625,1:14.753,1:14.814,1:14.638,1:14.884,1:14.888,1:14.583,1:14.715,1:14.890,1:14.796,1:14.425,1:14.364,1:14.462,1:14.318,1:19.289,1:35.363,1:14.681,1:14.847,1:14.605,1:15.119,1:14.881,1:14.860,1:14.828,1:15.079,1:14.799,1:14.570,1:14.834,1:15.148,1:15.560,1:26.801,1:39.016,1:19.673,1:23.318,1:25.221,1:25.984
Jenson Button (BUT),1:56.604,2:14.669,1:58.994,1:52.593,1:22.582,1:22.287,1:28.053,1:44.336,1:22.105,1:21.411,1:20.745,1:19.652,1:18.648,1:17.880,1:17.493,1:17.473,1:16.998,1:16.706,1:16.626,1:16.713,1:17.206,1:16.935,1:16.398,1:16.634,1:16.313,1:16.188,1:16.076,1:15.943,1:15.753,1:15.948,1:15.730,1:15.640,1:20.356,1:37.640,1:15.237,1:15.349,1:15.503,1:15.447,1:15.412,1:15.126,1:16.377,1:15.808,1:15.211,1:15.065,1:15.375,1:15.723,1:15.293,1:15.192,1:15.257,1:15.089,1:15.126,1:15.076,1:15.089,1:15.185,1:15.426,1:21.014,1:36.625,1:14.850,1:14.759,1:14.771,1:14.833,1:15.104,1:15.384,1:16.242,1:20.823,1:41.600,1:24.628,1:27.776,1:33.470,1:32.233
Mark Webber (WEB),1:52.848,2:13.315,1:59.060,1:55.359,1:20.973,1:20.979,1:21.462,1:22.599,1:27.263,1:45.104,1:21.919,1:19.105,1:19.143,1:18.009,1:17.813,1:17.487,1:16.623,1:16.682,1:16.735,1:17.258,1:17.195,1:16.888,1:16.779,1:16.435,1:16.018,1:15.936,1:15.871,1:15.788,1:15.667,1:15.848,1:15.438,1:15.501,1:15.476,1:15.321,1:15.210,1:15.171,1:15.356,1:15.626,1:15.516,1:15.033,1:15.150,1:15.151,1:15.085,1:15.078,1:15.137,1:16.134,1:15.836,1:19.470,1:37.669,1:16.081,1:15.965,1:15.944,1:15.919,1:15.935,1:15.729,1:15.726,1:15.628,1:16.176,1:15.644,1:15.450,1:15.255,1:15.203,1:15.228,1:15.391,1:20.752,1:40.144,1:20.160,1:20.461,1:23.767,1:24.982,1:25.042
Adrian Sutil (SUT),1:57.626,2:15.063,1:59.451,1:51.215,1:22.608,1:22.384,1:22.783,1:28.768,1:48.146,1:24.475,1:22.024,1:20.163,1:19.141,1:18.858,1:18.438,1:18.367,1:17.806,1:17.988,1:18.177,1:17.699,1:17.728,1:17.231,1:17.580,1:17.235,1:16.710,1:16.541,1:16.220,1:16.221,1:16.473,1:16.467,1:16.995,1:16.517,1:17.127,1:16.670,1:16.258,1:16.068,1:16.088,1:16.134,1:17.624,1:16.426,1:15.986,1:15.930,1:15.802,1:20.780,1:42.061,1:18.114,1:16.893,1:16.561,1:16.778,1:17.004,1:18.214,1:16.909,1:16.725,1:17.696,1:16.575,1:16.312,1:16.442,1:16.243,1:15.909,1:15.773,1:17.303,1:16.096,1:15.958,1:22.040,1:43.783,1:23.396,1:29.119,1:31.512,1:33.840
Jarno Trulli (TRU),1:43.404,2:11.068,2:01.862,1:59.618,1:20.107,1:19.806,1:19.978,1:20.424,1:20.452,1:20.765,1:25.882,1:48.729,1:24.008,1:18.832,1:18.183,1:17.123,1:16.289,1:16.452,1:16.295,1:16.626,1:17.796,1:15.780,1:16.281,1:16.281,1:16.188,1:16.163,1:16.853,1:16.264,1:16.022,1:15.550,1:15.496,1:15.469,1:15.541,1:15.419,1:15.485,1:15.280,1:15.251,1:15.372,1:14.289,1:14.167,1:14.851,1:15.143,1:20.746,1:40.928,1:15.530,1:15.090,1:14.912,1:14.788,1:14.977,1:15.030,1:15.014,1:14.788,1:14.771,1:14.499,1:14.892,1:14.709,1:14.553,1:15.549,1:16.395,1:16.382,1:15.095,1:14.956,1:14.491,1:14.812,1:15.551,1:19.113,1:20.528,1:20.188,1:22.428,1:33.539,1:44.800
Felipe Massa (MAS),1:40.707,2:12.091,2:01.700,2:00.652,1:19.958,1:18.859,1:20.029,1:20.079,1:20.900,1:26.779,1:43.218,1:19.525,1:18.074,1:16.888,1:16.245,1:15.845,1:15.744,1:15.221,1:14.772,1:15.026,1:14.736,1:14.885,1:14.541,1:14.406,1:14.332,1:14.161,1:14.195,1:14.250,1:14.413,1:14.564,1:14.556,1:14.904,1:14.072,1:13.755,1:13.827,1:13.736,1:13.988,1:19.239,1:40.491,1:14.605,1:14.685,1:14.826,1:15.206,1:14.792,1:14.983,1:15.177,1:15.053,1:15.035,1:14.967,1:14.732,1:14.891,1:14.959,1:15.273,1:14.786,1:14.776,1:14.852,1:14.510,1:14.602,1:14.704,1:14.699,1:14.458,1:14.372,1:14.552,1:14.732,1:14.705,1:16.463,1:23.567,1:38.670,1:19.848,1:24.871,1:27.721
Timo Glock (GLO),1:52.042,2:12.520,1:59.847,1:55.768,1:21.088,1:20.747,1:21.352,1:27.557,1:43.152,1:20.863,1:19.239,1:18.780,1:20.216,1:17.211,1:17.546,1:16.691,1:16.603,1:18.240,1:15.797,1:15.441,1:15.049,1:14.925,1:15.095,1:14.918,1:14.592,1:14.793,1:14.667,1:14.448,1:14.790,1:14.918,1:14.384,1:14.057,1:14.316,1:14.228,1:14.392,1:19.335,1:46.959,1:16.431,1:16.487,1:15.871,1:15.607,1:15.561,1:16.284,1:15.818,1:15.582,1:16.705,1:15.783,1:15.623,1:15.288,1:15.234,1:15.180,1:15.022,1:15.517,1:15.448,1:15.072,1:14.975,1:14.950,1:15.085,1:15.064,1:14.891,1:14.722,1:14.781,1:14.595,1:14.925,1:15.571,1:17.992,1:18.897,1:18.816,1:18.688,1:28.041,1:44.731
Robert Kubica (KUB),1:59.669,2:14.778,1:59.237,1:51.068,1:23.277,1:22.469,1:23.955,1:23.245,1:22.943,1:28.181,1:48.083,1:21.828,1:19.356,1:17.826,1:17.246,1:17.412,1:16.999,1:17.817,1:18.261,1:17.776,1:17.779,1:17.266,1:17.497,1:17.323,1:16.718,1:16.566,1:16.264,1:16.210,1:16.482,1:16.411,1:17.183,1:16.407,1:16.946,1:16.699,1:16.202,1:16.165,1:16.010,1:16.370,1:17.593,1:16.204,1:15.966,1:15.976,1:15.985,1:16.123,1:14.909,1:19.767,1:37.702,1:15.565,1:15.153,1:15.353,1:15.138,1:15.257,1:15.311,1:16.658,1:15.129,1:14.961,1:14.901,1:14.736,1:14.834,1:16.318,1:14.375,1:14.376,1:14.888,1:20.013,1:38.839,1:20.858,1:21.220,1:21.174,1:24.598,1:26.745
