Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Rubens Barrichello (BAR),1:47.599,1:41.575,1:40.451,1:40.058,1:39.820,1:40.747,1:40.009,1:39.469,1:39.363,1:39.337,1:39.107,1:38.725,1:38.940,1:38.864,1:39.141,1:38.639,1:38.598,1:38.452,1:42.750,2:03.546,1:39.175,1:38.934,1:39.176,1:38.781,1:39.460,1:38.779,1:38.743,1:38.629,1:38.651,1:38.384,1:38.408,1:38.372,1:38.560,1:38.757,1:38.837,1:38.415,1:38.400,1:38.398,1:38.370,1:43.007,2:02.175,1:38.939,1:38.579,1:38.609,1:38.784,1:38.768,1:38.654,1:38.465,1:38.766,1:38.330,1:38.374,1:38.003,1:38.021,1:38.033,1:38.693,1:37.845
Giancarlo Fisichella (FIS),1:52.144,1:43.386,1:42.283,1:41.803,1:41.660,1:41.741,1:41.653,1:41.139,1:40.919,1:40.940,1:40.633,1:40.326,1:40.901,1:40.534,1:40.777,1:40.446,1:39.703,1:39.521,1:39.550,1:39.726,1:39.495,1:39.638,1:39.416,1:39.150,1:39.006,1:38.964,1:38.657,1:43.276,2:09.637,1:40.823,1:41.757,1:40.803,1:41.672,1:40.761,1:40.533,1:41.490,1:40.476,1:42.020,1:41.873,1:40.035,1:39.850,1:41.159,1:41.883,1:39.791,1:41.989,1:39.871,1:39.510,1:41.833,1:39.483,1:40.520,1:40.498,1:38.857,1:38.854,1:38.372,1:38.944
Sebastian Vettel (VET),1:46.060,1:39.960,1:39.219,1:39.272,1:39.150,1:39.099,1:38.905,1:38.713,1:38.539,1:38.633,1:38.344,1:38.240,1:38.097,1:38.141,1:38.005,1:38.198,1:37.785,1:42.749,2:06.550,1:39.035,1:38.837,1:39.004,1:39.534,1:39.278,1:39.037,1:38.876,1:38.800,1:39.179,1:38.709,1:38.484,1:38.619,1:38.417,1:38.055,1:38.065,1:38.635,1:38.763,1:38.154,1:37.790,1:37.916,1:38.371,1:42.906,2:02.539,1:38.254,1:38.217,1:38.127,1:38.434,1:38.303,1:38.257,1:38.309,1:37.983,1:37.732,1:37.785,1:37.779,1:37.411,1:37.212,1:37.277
Jenson Button (BUT),1:50.083,1:41.782,1:41.517,1:41.228,1:40.826,1:40.492,1:40.512,1:40.203,1:40.231,1:39.775,1:39.554,1:39.720,1:39.425,1:39.409,1:39.304,1:38.985,1:38.682,1:38.902,1:38.744,1:38.596,1:38.684,1:43.057,2:04.791,1:39.372,1:39.446,1:39.398,1:39.117,1:39.085,1:39.281,1:38.901,1:39.069,1:39.035,1:38.703,1:38.703,1:38.776,1:38.854,1:38.818,1:38.669,1:38.889,1:39.196,1:38.583,1:39.299,1:43.756,2:01.330,1:38.496,1:38.430,1:38.413,1:38.545,1:38.621,1:39.189,1:38.256,1:38.016,1:37.978,1:37.773,1:37.982
Mark Webber (WEB),1:48.149,1:41.338,1:40.466,1:40.123,1:39.820,1:39.987,1:38.231,1:38.359,1:39.282,1:37.680,1:38.893,1:42.186,2:02.668,1:38.994,1:38.764,1:38.278,1:38.232,1:38.537,1:38.404,1:38.262,1:38.336,1:38.381,1:38.703,1:38.596,1:39.151,1:38.734,1:39.092,1:38.700,1:38.966,1:38.451,1:43.328,2:04.650,1:39.547,1:39.917,1:40.937,1:39.665,1:44.602,1:38.489,1:38.878,1:38.733,1:39.280,1:38.924,1:38.947,1:38.778,1:38.965,1:38.881,1:38.934,1:38.578,1:38.844,1:38.602,1:38.495,1:38.015,1:37.963,1:37.981,1:38.022,1:38.107
Adrian Sutil (SUT),1:50.890,1:43.276,1:41.875,1:41.077,1:42.013,1:43.563,1:40.910,1:40.350,1:40.244,1:40.332,1:39.926,1:39.802,1:39.683
Jarno Trulli (TRU),2:31.999,2:39.612
David Coulthard (COU),1:49.245,1:41.870,1:41.494,1:40.893,1:40.839,1:40.734,1:40.222,1:40.352,1:39.963,1:39.550,1:39.793,1:39.540,1:39.248,1:39.277,1:39.047,1:38.935,1:38.660,1:38.601,1:38.712,1:38.822,1:38.718,1:38.566,1:38.342,1:38.107,1:37.947,1:37.994,1:37.753,1:42.587,2:06.760,1:39.266,1:40.521,1:39.342,1:40.227,1:39.477,1:39.443,1:39.073,1:39.317,1:39.092,1:39.045,1:38.775,1:39.083,1:39.143,1:38.851,1:38.711,1:38.836,1:38.493,1:38.752,1:38.623,1:38.565,1:38.338,1:38.340,1:38.100,1:38.074,1:37.883,1:37.966,1:38.338
Felipe Massa (MAS),1:41.951,1:38.537,1:38.217,1:37.893,1:37.558,1:37.536,1:37.526,1:37.263,1:37.234,1:36.903,1:36.890,1:36.624,1:36.636,1:41.631,2:03.757,1:38.366,1:38.324,1:38.351,1:38.272,1:38.393,1:37.956,1:37.790,1:37.679,1:37.800,1:37.602,1:37.577,1:37.397,1:37.193,1:36.972,1:37.032,1:37.065,1:37.857,1:37.113,1:36.917,1:36.678,1:36.591,1:41.463,2:01.636,1:38.152,1:37.482,1:37.692,1:37.716,1:37.963,1:38.048,1:37.880,1:37.891,1:37.970,1:37.890,1:38.334,1:38.094,1:37.774,1:38.382,1:38.061,1:38.097,1:37.924,1:38.798
Nelson Piquet Jr. (PIQ),1:46.896,1:41.265,1:40.509,1:39.554,1:40.090,1:39.507,1:39.130,1:39.043,1:40.059,1:39.310,1:38.728,1:38.594,1:39.259,1:39.206,1:38.565,1:38.212,1:37.957,1:38.074,1:37.718,1:38.053,1:37.821,1:37.651,1:37.468,1:43.013,2:00.813,1:37.903,1:38.000,1:37.891,1:37.927,1:37.892,1:38.017,1:37.677,1:37.289,1:37.225,1:39.341,1:37.683,1:37.935,1:42.411,2:02.990,1:38.372,1:38.381,1:38.590,1:38.570,1:39.022,1:38.622,1:38.464,1:38.264,1:38.312,1:38.262,1:37.995,1:37.551,1:37.562,1:37.652,1:37.440,1:37.317,1:36.996
