Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Rubens Barrichello (BAR),2:58.866,2:16.096,1:44.738,1:42.895,1:39.504,1:38.450,1:37.862,1:38.094,1:38.248,1:38.108,1:38.778,1:38.171,1:38.342,1:38.418,1:38.115,1:42.009,2:05.714,1:36.815,1:36.340,1:36.085,1:36.324,1:36.956,1:36.416,1:36.253,1:35.881,1:37.193,1:36.780,1:36.619,1:37.412,1:35.671,1:36.263,1:35.584,1:35.632,1:35.703,1:36.960,1:35.615,1:35.738,1:34.773,1:36.086,1:34.799,1:34.955,1:33.918,1:38.828,2:11.627,1:39.991,1:44.233,1:41.976,1:40.132,1:42.392,1:35.078,1:35.588,1:34.428
Giancarlo Fisichella (FIS),2:52.261,2:17.681,1:47.159,1:42.107,1:38.740,1:37.304,1:37.605,1:37.640,1:38.499,1:38.311,1:38.501
Sebastian Vettel (VET),2:37.206,2:28.607,1:36.925,1:35.534,1:35.151,1:35.175,1:35.663,1:34.972,1:35.264,1:35.360,1:35.232,1:35.263,1:36.433,1:35.417,1:35.179,1:35.596,1:35.621,1:40.746,2:02.988,1:35.473,1:35.927,1:37.180,1:36.971,1:37.030,1:36.328,1:36.324,1:35.964,1:36.451,1:35.993,1:36.168,1:36.053,1:35.938,1:35.368,1:35.384,1:35.947,1:41.028,2:01.665,1:34.248,1:33.569,1:33.669,1:33.821,1:33.365,1:32.888,1:33.302,1:32.856,1:33.433,1:33.534,1:32.818,1:31.607,1:30.880,1:31.786,1:31.684,1:30.510
Jenson Button (BUT),3:01.507,2:17.517,1:43.146,1:43.342,1:40.130,1:39.090,1:38.796,1:38.239,1:37.473,1:37.896,1:38.208,1:38.936,1:38.169,1:37.822,1:38.538,1:37.910,1:37.934,1:37.915,1:37.625,1:37.532,1:37.148,1:41.939,2:04.700,1:36.249,1:36.235,1:35.872,1:35.627,1:35.806,1:35.848,1:35.811,1:37.517,1:36.735,1:36.091,1:35.590,1:35.752,1:35.829,1:35.791,1:35.104,1:38.379,1:34.584,1:34.115,1:33.841,1:34.926,1:33.945,1:37.119,1:57.823,1:31.905,1:31.638,1:30.803,1:30.531,1:29.963,1:29.827,1:30.096
Mark Webber (WEB),2:38.696,2:28.003,1:40.479,1:37.654,1:36.754,1:35.713,1:35.593,1:36.039,1:35.825,1:36.118,1:36.106,1:36.210,1:36.187,1:36.204,1:36.023,1:36.219,1:36.341,1:36.045,1:36.927,1:36.336,1:35.758,1:41.233,2:03.914,1:37.209,1:36.868,1:37.263,1:37.200,1:36.899,1:36.665,1:36.748,1:36.726,1:37.034,1:36.700,1:41.435,2:10.297,1:35.352,1:35.775,1:34.087,1:34.298,1:34.447,1:34.166,1:34.403,1:33.507,1:33.120,1:33.258,1:32.014,1:32.437,1:32.539,1:32.461,1:31.733,1:31.081,1:29.681,1:29.762
Adrian Sutil (SUT),3:00.377,2:16.301,1:44.694,1:44.689,1:40.293,1:39.484,1:38.376,1:38.723,1:38.924,1:38.238,1:37.845,1:38.085,1:38.117,1:37.993,1:38.010,1:37.476,1:37.960,1:37.744,1:37.897,1:37.437,1:37.351,1:37.135,1:36.666,1:36.755,1:36.875,1:42.294,2:09.426,1:37.170,1:37.205,1:38.173,1:37.120,1:37.603,1:37.899,1:38.358,1:40.037,1:38.092,1:42.595,2:14.137,1:35.068,1:34.706,1:34.499,1:34.332,1:51.212,2:32.419,1:45.570,1:44.655,1:36.656,1:37.313,1:34.737,1:36.836,1:33.458
Jarno Trulli (TRU),2:42.902,2:24.936,1:43.679,1:39.139,1:36.981,1:36.929,1:36.998,1:36.435,1:36.348,1:36.751,1:36.989,1:37.071,1:38.057,1:38.557,1:36.978,1:37.316,1:36.920,1:36.812,1:36.851,1:37.195,1:37.210,1:37.265,1:37.620,1:36.489,1:36.613,1:41.688,2:06.700,1:36.518,1:36.802,1:37.102,1:37.856,1:36.726,1:36.700,1:36.812,1:42.370,2:04.453,1:37.136,1:35.952,1:35.300,1:34.493,1:34.302,1:34.104,1:33.924,1:33.859,1:33.935,1:33.600,1:33.153,1:32.693,1:32.075,1:32.387,1:31.742,1:30.853,1:31.172
David Coulthard (COU),2:54.155,2:15.915,1:47.579,1:43.558,1:39.018,1:38.479,1:37.378,1:37.220,1:37.626,1:37.368,1:37.930,1:37.097,1:37.670,1:36.752,1:37.000,1:39.154,1:37.413,1:36.841,1:37.118,1:36.903,1:36.557,1:36.271,1:37.651,1:36.473,1:36.790,1:37.001,1:36.101,1:40.785,2:14.059,1:38.612,1:37.641,1:36.552,1:35.831,1:35.571,1:35.943,1:35.388,1:35.714,1:35.094,1:35.000,1:34.947,1:34.487,1:34.857,1:37.317,1:33.959,1:36.575,1:33.913,1:34.059,1:33.830,1:32.459,1:38.116,2:16.368,1:33.300
Felipe Massa (MAS),2:41.088,2:25.996,1:42.759,1:38.673,1:37.084,1:36.414,1:36.580,1:36.596,1:36.595,1:36.638,1:36.551,1:37.408,1:37.393,1:40.171,1:34.955,1:34.950,1:35.304,1:34.789,1:34.940,1:34.457,1:34.869,1:40.002,2:02.852,1:36.776,1:36.701,1:37.340,1:36.741,1:37.019,1:37.099,1:36.943,1:36.306,1:37.557,1:41.807,2:02.118,1:35.907,1:33.601,1:34.267,1:35.312,1:35.280,1:35.807,1:34.258,1:34.038,1:34.169,1:33.537,1:33.041,1:33.288,1:32.495,1:34.632,1:31.991,1:31.074,1:30.729,1:29.696,1:29.717
Nelson Piquet Jr. (PIQ),2:59.602,2:16.351,1:45.039,1:42.539,1:39.636,1:38.192,1:37.920,1:37.941,1:38.318,1:38.879,1:38.068,1:38.640,1:38.589,1:37.659,1:38.480,1:37.630,1:37.783,1:37.492,1:37.252,1:37.294,1:37.037,1:37.000,1:36.860,1:37.990,1:36.691,1:37.584,1:36.379,1:36.933,1:35.839,1:36.248,1:35.573,1:36.885,1:35.530,1:36.039,1:35.413,1:41.260,2:07.230,1:34.381,1:34.552,1:33.866,1:34.755,1:33.505,1:34.024,1:33.821,1:33.761,1:33.999,1:33.757,1:33.436,1:32.341,1:31.557,1:31.213,1:32.258,1:30.918
