Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Rubens Barrichello (BAR),1:59.613,1:42.660,1:41.683,1:44.862,1:42.165,1:42.568,1:43.268,1:51.947,1:58.972,2:17.693,1:46.008,1:44.183,1:43.278,1:48.890,1:41.737,1:39.193,1:40.132,1:36.795,1:36.934,1:36.775,1:36.014,1:35.581,1:36.631,1:34.391,1:34.190,1:34.800,1:34.780,1:35.027,1:34.852,1:35.986,1:34.823,1:34.474,1:33.050,1:32.643,1:33.173,1:33.118,1:34.635,1:29.241,1:28.471,1:27.745,1:27.168,1:26.978,1:27.469,1:27.085,1:27.341,1:28.140,1:31.663,1:29.783,1:28.923,1:31.057,1:27.348,1:27.484,1:28.212,1:51.184,1:32.107,1:23.876,1:25.550,1:23.267,1:23.063,1:21.834,1:40.349,2:07.440,2:22.265,1:38.203,1:25.566,1:37.087,2:01.903,1:27.122,1:23.914,1:21.568,1:21.449,1:21.175,1:20.233,1:19.922,1:19.574,1:20.867
Giancarlo Fisichella (FIS),2:03.384,1:44.751,1:41.801,1:42.867,1:43.416,1:45.426,1:44.929,1:49.419,1:59.800,2:14.515,1:46.998,1:48.470,1:44.719,1:50.287,1:41.727,1:39.847,1:39.748,1:38.327,1:37.145,1:36.342,1:36.047,1:36.462,1:36.439,1:36.320,1:35.930,1:35.065,1:34.982,1:34.523,1:36.062,1:33.879,1:33.134,1:33.685,1:32.849,1:38.178,1:35.810,1:33.354
Sebastian Vettel (VET),2:02.202,1:43.498,1:42.055,1:42.851,1:43.278,1:44.449,1:43.266,1:50.009,2:01.397,2:16.420,1:45.316,1:44.180,1:43.000,1:47.761,1:40.654,1:39.965,1:41.787,1:37.619,1:37.876,1:37.551,1:37.213,1:37.097,1:37.019,1:37.894,1:35.440,1:34.234,1:33.051,1:33.630,1:34.145,1:33.370,1:33.479,1:35.657,1:34.526,1:33.456,1:31.884,1:31.862,1:29.328,1:32.961,1:29.561,1:28.825,1:28.779,1:28.414,1:27.286,1:27.321,1:26.983,1:27.106,1:26.602,1:28.866,1:27.739,1:31.078,1:27.387,1:46.199,1:32.542,1:28.388,1:24.940,1:23.714,1:23.739,1:22.225,1:21.242,1:21.176,1:50.416,2:06.340,2:22.990,1:38.167,1:25.674,1:37.511,2:02.074,1:27.464,1:23.441,1:21.355,1:20.929,1:20.397,1:19.462,1:18.787,1:19.719,1:21.181
Jenson Button (BUT),2:39.742,1:41.593,1:36.329,1:37.492,1:38.477,1:40.970,1:41.035,1:52.396,2:11.144,1:54.841,1:46.286,1:45.736,1:42.023,1:46.703,1:39.379,1:40.468,1:41.415,1:38.254,1:37.178,1:38.015,1:37.472,1:37.787,1:36.885,1:36.294,1:35.692,1:35.029,1:35.077,1:34.700,1:36.118,1:33.835,1:33.299,1:32.889,1:33.789,1:34.268,1:33.475,1:34.381,1:33.444,1:30.746,1:29.702,1:29.624,1:31.063,1:34.189,1:33.440,1:33.995,1:33.044,1:34.893,1:28.568,1:46.040,1:38.102,1:32.192,1:29.953,1:30.626,1:35.065,1:26.378,1:25.088,1:23.725,1:23.783,1:24.787,1:23.261,1:47.960,2:15.848,2:23.087,1:30.819,1:24.850,1:45.079,2:03.023,1:29.079,1:22.915,1:21.082,1:21.195,1:20.103,1:21.772,1:22.745,1:19.582,1:20.862
Mark Webber (WEB),1:58.410,1:41.521,1:42.955,1:43.093,1:42.145,1:42.167,1:42.444,1:51.121,1:59.155,2:19.165,1:46.503,1:44.301,1:43.565,1:47.877,1:40.495,1:39.450,1:39.050,1:37.152,1:36.352,1:35.557,1:35.023,1:34.420,1:34.016,1:34.142,1:33.397,1:33.141,1:33.233,1:35.369,1:32.076,1:31.362,1:30.388,1:29.880,1:29.535,1:30.514,1:29.903,1:29.368,1:29.055,1:29.572,1:29.104,1:31.916,1:31.483,1:29.555,1:26.921,1:26.727,1:28.057,1:30.860,1:31.482,1:49.597,1:43.051,1:34.322,1:29.225,1:27.124,1:26.935,1:31.235,1:25.315,1:23.666,1:22.947,1:26.683,1:24.434,1:22.776,1:42.095,2:20.953,1:47.605,1:33.158,1:36.634,2:08.479,2:03.037,1:28.966,1:21.768,1:20.555,1:20.189,1:19.435,1:19.577,1:19.036,1:19.086,1:21.177
Adrian Sutil (SUT),2:01.671,1:42.166,1:40.963,1:44.708,1:42.584,1:45.155,1:43.243,1:49.811,1:58.552,2:17.299,1:47.473,1:43.757,1:43.261,1:45.037,1:40.469,1:39.880,1:39.385,1:38.380,1:36.845,1:36.791,1:35.494,1:34.910,1:34.594,1:34.841,1:33.969,1:33.954,1:32.841,1:32.536,1:33.117,1:32.074,1:31.479,1:31.387,1:31.357,1:30.649,1:30.136,1:29.292,1:29.043,1:28.785,1:29.504,1:28.095,1:28.018,1:29.368,1:29.454,1:27.169,1:26.926,1:28.065,1:31.393,1:28.791,1:27.368,1:26.888,1:26.169,1:25.492,1:45.160,1:35.714,1:28.139,1:25.574,1:25.166,1:23.856,1:23.255,1:22.039,1:28.954,2:50.884,1:47.054,1:29.090,1:43.056,2:08.681,2:04.018
Jarno Trulli (TRU),1:52.879,1:41.839,1:39.315,1:41.455,1:41.874,1:41.747,1:43.812,2:07.032,2:02.344,2:16.401,1:45.519,1:44.077,1:42.890,1:47.214,1:39.773,1:39.440,1:38.894,1:37.860,1:37.193,1:36.989,1:35.628,1:35.586,1:35.598,1:35.069,1:34.602,1:35.151,1:34.947,1:34.833,1:35.005,1:35.837,1:34.963,1:34.382,1:33.179,1:32.623,1:33.204,1:33.045,1:56.845,1:42.137,1:35.330,1:32.352,1:33.070,1:32.329,1:30.958,1:30.362,1:30.191,1:31.350,1:30.337,1:33.301,1:32.484,1:31.600,1:32.551,1:49.111,1:43.328,1:32.207,1:28.038,1:26.743,1:25.884,1:26.895,1:30.237,1:37.688,1:48.013,2:20.598,1:35.990,1:25.735,1:36.601,2:01.939,1:28.677,1:24.947,1:22.587,1:21.101,1:20.407,1:20.339,1:20.640,1:20.286,1:19.830
David Coulthard (COU),1:59.000,1:42.441,1:42.260,1:44.691,1:42.115,1:42.834,1:42.112
Felipe Massa (MAS),1:43.533,1:37.079,1:35.484,1:34.600,1:36.385,1:38.445,1:40.103,1:40.198,2:49.656,2:22.381,1:41.740,1:39.586,1:38.067,1:37.717,1:36.139,1:44.113,1:35.454,1:34.599,1:34.002,1:35.415,1:33.560,1:32.703,1:32.163,1:31.749,1:31.309,1:31.611,1:30.809,1:30.749,1:31.631,1:31.631,1:30.925,1:30.096,1:53.950,1:36.827,1:30.946,1:30.941,1:31.466,1:30.631,1:29.357,1:29.013,1:31.020,1:28.687,1:29.053,1:27.708,1:27.909,1:28.464,1:28.893,1:29.118,1:28.727,1:28.069,1:28.701,1:29.941,1:27.971,1:27.161,1:28.453,1:47.481,1:33.153,1:23.539,1:21.692,1:21.946,1:22.987,1:34.424,1:52.371,2:20.970,2:20.306,2:08.872,2:05.905,1:22.940,1:20.916,1:19.938,1:19.604,1:19.924,1:18.751,1:19.400,1:17.910,1:17.886
Nelson Piquet Jr. (PIQ),2:01.180,1:44.115,1:42.222,1:43.790,1:43.472,1:44.419,1:42.919,1:48.563,1:59.875,2:17.169,1:44.781,1:43.631,1:43.316,1:49.554,1:40.866,1:39.700,1:41.449,1:37.843,1:38.064,1:37.401,1:38.702,1:37.531,1:37.383,1:35.719,1:35.435,1:34.043,1:33.462,1:33.809,1:33.740,1:33.757,1:33.429,1:35.761,1:34.358,1:33.253,1:32.187,1:34.581,1:34.285,1:32.927,1:32.549,1:31.187,1:32.257,1:33.772,1:33.294,1:34.022,1:33.282,1:58.792,1:40.217
