Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Kamui Kobayashi (KOB),1:57.861,1:46.746,1:44.751,1:44.304,1:43.694,1:43.602,1:43.046,1:42.899,1:42.696,1:42.592,1:42.402,1:42.585,1:42.144,1:42.083,1:42.092,1:41.776,1:42.076,1:44.222,1:42.359,1:42.614,1:42.512,1:42.265,1:41.625,1:41.563,1:41.484,1:41.456,1:41.379,1:41.517,1:41.220,1:43.477,2:11.133,1:43.751,1:42.875,1:44.041,1:42.565,1:42.239,1:42.267,1:42.523,1:42.117,1:41.701,1:41.478,1:41.746,1:42.010,1:41.964,1:42.341,1:41.681,1:41.540,1:41.496,1:41.390,1:41.396,1:40.907,1:40.990,1:40.795,1:40.990,1:40.779
Romain Grosjean (GRO),2:01.604,1:48.373,1:46.589,1:46.869,1:45.557,1:45.978,1:44.138,1:44.081,1:44.201,1:44.537,1:43.722,1:43.713,1:43.488,1:43.401,1:43.212,1:43.388,1:43.132,1:43.351,1:43.221,1:44.126,1:43.867,1:43.278,1:43.178,1:43.135,1:42.716,1:42.769,1:42.924,1:42.959,1:42.456,1:43.322,1:45.717,2:11.307,1:43.716,1:44.287,1:43.744,1:45.343,1:45.529,1:43.598,1:43.205,1:43.222,1:43.162,1:43.211,1:43.331,1:42.940,1:42.633,1:42.750,1:42.274,1:42.921,1:43.128,1:42.396,1:44.104,1:42.920,1:43.873,1:44.800
Jaime Alguersuari (ALG),2:03.289,1:47.955,1:46.566,1:46.700,1:46.856,1:45.309,1:44.488,1:44.141,1:43.837,1:43.921,1:44.057,1:43.621,1:43.815,1:43.752,1:43.627,1:43.318,1:43.413,2:08.214
Sébastien Buemi (BUE),1:57.340,1:45.985,1:44.350,1:43.914,1:43.423,1:42.738,1:42.422,1:42.047,1:41.659,1:41.957,1:41.953,1:41.593,1:41.597,1:41.269,1:41.386,1:41.409,1:41.133,1:43.641,2:08.521,1:44.002,1:43.266,1:43.499,1:43.003,1:43.344,1:42.597,1:42.598,1:42.562,1:42.855,1:42.265,1:42.264,1:42.253,1:42.037,1:41.959,1:41.641,1:41.300,1:41.091,1:40.840,1:41.160,1:41.086,1:40.881,1:43.059,2:08.821,1:42.710,1:41.957,1:41.727,1:42.030,1:41.634,1:41.596,1:41.362,1:41.009,1:41.133,1:40.899,1:41.092,1:40.513,1:40.326
Vitantonio Liuzzi (LIU),1:59.736,1:48.362,1:45.938,1:45.223,1:44.868,1:44.286,1:43.905,1:43.819,1:43.603,1:43.455,1:43.659,1:43.372,1:43.683,1:43.372,1:43.277,1:43.249,1:42.855,1:42.870,1:42.910,1:43.074,1:43.466,1:43.215,1:42.759,1:42.766,1:42.664,1:42.521,1:42.994,1:42.324,1:42.382,1:42.377,1:45.602,2:12.915,1:43.876,1:44.360,1:44.491,1:44.143,1:44.864,1:43.763,1:43.438,1:44.846,1:43.445,1:42.997,1:42.926,1:42.773,1:42.886,1:42.888,1:42.652,1:42.794,1:42.933,1:42.189,1:41.870,1:42.052,1:41.950,1:41.277,1:46.950
Rubens Barrichello (BAR),1:53.005,1:45.612,1:43.581,1:42.313,1:42.573,1:42.349,1:41.702,1:41.329,1:40.946,1:41.381,1:41.299,1:41.062,1:41.124,1:40.790,1:40.666,1:42.809,2:09.910,1:42.874,1:42.275,1:42.645,1:42.403,1:42.827,1:42.500,1:42.392,1:42.250,1:42.152,1:41.796,1:41.893,1:41.779,1:42.136,1:41.630,1:42.473,1:42.085,1:41.905,1:41.606,1:41.361,1:41.209,1:42.540,1:41.130,1:40.965,1:42.682,2:07.158,1:42.311,1:41.731,1:41.157,1:41.107,1:41.241,1:42.485,1:41.286,1:41.532,1:41.201,1:41.138,1:40.880,1:40.449,1:40.514
Giancarlo Fisichella (FIS),2:01.194,1:48.321,1:46.538,1:45.843,1:44.920,1:44.702,1:44.079,1:44.679,1:43.686,1:43.509,1:42.973,1:43.314,1:43.185,1:43.154,1:43.073,1:42.873,1:42.658,1:42.867,1:43.020,1:42.862,1:43.700,1:42.966,1:42.848,1:42.646,1:42.608,1:42.591,1:42.508,1:43.982,2:12.454,1:45.703,1:46.038,1:55.944,1:44.118,1:44.085,1:43.199,1:42.980,1:42.963,1:42.891,1:45.004,1:42.576,1:42.759,1:43.135,1:42.545,1:42.873,1:42.800,1:42.534,1:42.889,1:42.268,1:43.007,1:42.952,1:43.311,1:43.724,1:41.714,1:41.132
Sebastian Vettel (VET),1:49.556,1:44.224,1:42.811,1:42.459,1:41.634,1:41.560,1:41.107,1:41.214,1:41.060,1:40.990,1:41.039,1:41.330,1:41.079,1:41.222,1:40.775,1:40.530,1:40.740,1:40.328,1:42.366,2:08.087,1:41.995,1:42.239,1:41.779,1:41.443,1:41.351,1:41.292,1:41.591,1:41.377,1:41.314,1:41.625,1:41.067,1:41.072,1:41.196,1:42.209,1:41.430,1:40.947,1:40.916,1:40.668,1:40.642,1:40.837,1:41.589,1:43.116,2:07.521,1:42.610,1:42.019,1:41.400,1:41.892,1:41.573,1:41.642,1:41.439,1:41.442,1:41.404,1:40.594,1:40.279,1:43.793
Jenson Button (BUT),1:51.274,1:44.702,1:43.631,1:42.667,1:42.996,1:42.222,1:41.670,1:41.292,1:41.047,1:41.028,1:41.080,1:41.077,1:41.001,1:40.873,1:40.659,1:40.753,1:42.426,2:11.858,1:43.229,1:43.109,1:43.044,1:42.660,1:42.289,1:42.327,1:42.201,1:42.209,1:41.931,1:41.951,1:41.776,1:41.667,1:41.803,1:41.588,1:41.585,1:41.452,1:41.487,1:41.626,1:41.379,1:41.409,1:41.194,1:41.310,1:41.260,1:43.041,2:06.387,1:41.439,1:41.172,1:41.231,1:41.024,1:40.793,1:40.642,1:40.833,1:40.933,1:41.281,1:40.968,1:41.888,1:43.507
Mark Webber (WEB),1:50.358,1:44.697,1:43.455,1:42.726,1:42.231,1:41.612,1:41.025,1:41.152,1:40.883,1:40.882,1:41.308,1:41.070,1:40.812,1:40.571,1:40.816,1:40.713,1:41.306,1:42.936,2:08.933,1:42.541,1:42.157,1:43.006,1:42.085,1:41.813,1:41.500,1:42.614,1:41.668,1:41.401,1:41.428,1:41.672,1:41.220,1:41.513,1:41.466,1:41.396,1:41.349,1:41.379,1:41.738,1:41.638,1:41.776,1:44.599,2:07.660,1:42.516,1:42.794,1:42.320,1:41.878,1:41.786,1:41.545,1:41.611,1:41.560,1:41.023,1:41.368,1:41.125,1:41.130,1:41.997,1:43.513
