Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Jaime Alguersuari (ALG),1:42.380,1:28.937,1:27.081,1:26.184,1:25.670,1:24.966,1:25.185,1:25.393,1:25.412,1:25.120,1:25.258,1:24.881,1:25.976,1:25.331,1:25.204,1:25.226,1:25.680,1:25.382,1:25.116,1:24.971,1:24.680,1:24.531,1:24.934,1:25.470,1:25.123,1:26.085,1:27.320,1:27.751,1:47.610,1:24.453,1:24.570,1:24.238,1:24.253,1:24.373,1:24.079,1:23.977,1:24.097,1:25.143,1:24.549,1:23.810,1:24.392,1:24.415,1:24.517,1:24.434,1:24.526,1:24.422,1:23.853,1:23.737,1:26.603,1:25.329,1:24.999,1:26.534,1:45.017,1:24.396,1:24.516,1:23.900,1:24.056,1:24.863,1:24.279,1:24.010,1:23.725,1:23.805,1:24.253,1:23.661,1:24.184,1:27.582,1:26.506,1:24.241,1:23.444
Sébastien Buemi (BUE),1:40.141,1:27.710,1:26.624,1:25.954,1:25.596,1:25.326,1:25.211,1:25.121,1:25.530,1:25.016,1:24.678,1:24.620,1:27.898,1:25.181,1:24.915,1:24.602,1:24.652,1:24.316,1:24.453,1:24.477,1:24.596,1:28.066,1:25.837,1:24.823,1:24.945,1:27.598,1:47.662,1:24.645,1:24.470,1:24.609,1:24.033,1:24.262,1:24.268,1:24.419,1:24.277,1:24.265,1:24.563,1:41.037,1:47.744,1:31.073,1:25.551,1:25.361,1:24.907,1:24.812,1:27.796,1:24.181,1:24.447,1:24.677,1:24.604,1:24.676,1:24.247,1:24.212,1:24.231,1:24.036,1:23.914,1:30.620,1:29.470,1:24.089,1:23.655,1:24.879,1:26.234,1:23.455,1:23.417,1:23.102,1:25.448,1:25.846,1:24.009,1:23.355,1:22.955
Rubens Barrichello (BAR),1:41.443,1:28.761,1:26.720,1:25.698,1:25.420,1:25.316,1:25.569,1:25.193,1:25.059,1:24.950,1:24.732,1:24.867,1:26.278,1:25.540,1:25.002,1:24.664,1:24.521,1:24.667,1:24.961,1:24.422,1:24.838,1:26.629,1:25.983,1:25.209,1:24.674,1:25.006,1:24.759,1:23.661,1:24.441,1:23.875,1:23.912,1:23.411,1:24.851,1:46.570,1:24.429,1:24.409,1:24.513,1:24.592,1:24.031,1:24.024,1:24.218,1:24.507,1:24.153,1:24.234,1:24.243,1:23.641,1:23.542,1:23.487,1:23.871,1:23.798,1:23.727,1:23.649,1:23.411,1:23.179,1:23.024,1:23.124,1:24.902,1:42.498,1:23.048,1:24.040,1:24.094,1:24.317,1:23.710,1:23.747,1:23.356,1:23.641,1:24.284,1:24.547,1:24.898,1:24.642
Giancarlo Fisichella (FIS),1:41.704,1:28.948,1:27.146,1:25.812,1:25.302,1:25.283,1:25.425,1:25.493,1:25.235,1:25.147,1:25.068,1:24.690,1:25.604,1:25.555,1:25.277,1:25.073,1:25.356,1:24.991,1:25.455,1:24.915,1:24.956,1:24.992,1:25.220,1:25.333,1:24.811,1:24.966,1:25.855,1:24.296,1:28.406,1:45.528,1:24.488,1:24.321,1:24.379,1:24.514,1:24.008,1:23.802,1:23.802,1:24.008,1:23.575,1:23.174,1:23.540,1:23.495,1:23.308,1:23.367,1:24.013,1:23.834,1:25.599,1:47.388,1:24.640,1:24.906,1:25.025,1:24.131,1:24.431,1:23.646,1:23.933,1:24.272,1:23.967,1:23.821,1:23.958,1:23.701,1:23.651,1:23.523,1:23.458,1:23.588,1:25.101,1:24.856,1:26.316,1:24.150,1:24.708
Sebastian Vettel (VET),1:35.487,1:26.681,1:25.108,1:24.679,1:24.039,1:24.100,1:24.156,1:24.653,1:24.803,1:24.404,1:24.273,1:24.711,1:24.328,1:24.216,1:24.015,1:23.810,1:23.698,1:23.457,1:23.756,1:23.795,1:25.294,1:50.542,1:25.633,1:24.710,1:24.695,1:26.639,1:31.541,2:08.291,1:39.497
Jenson Button (BUT),1:36.508,1:26.176,1:25.784,1:25.008,1:24.560,1:24.561,1:24.349,1:24.960,1:24.768,1:24.597,1:24.552,1:24.473,1:24.368,1:24.838,1:24.895,1:24.663,1:24.113,1:24.378,1:24.728,1:24.930,1:24.808,1:24.732,1:23.785,1:24.210,1:26.151,1:48.528,1:27.381,1:25.658,1:25.743,1:25.412,1:25.585,1:24.884,1:24.496,1:24.667,1:24.738,1:24.494,1:24.142,1:24.349,1:24.188,1:23.846,1:23.865,1:23.748,1:23.717,1:23.323,1:24.081,1:24.910,1:24.694,1:24.058,1:23.795,1:23.807,1:23.406,1:23.862,1:23.985,1:23.499,1:24.788,1:42.485,1:22.706,1:22.913,1:23.188,1:23.208,1:23.102,1:23.307,1:23.469,1:23.132,1:22.926,1:23.360,1:23.576,1:24.322,1:24.422,1:24.304
Mark Webber (WEB),1:31.128,1:25.721,1:24.909,1:24.249,1:25.344,1:23.883,1:23.563,1:23.836,1:23.190,1:24.112,1:23.687,1:23.657,1:23.505,1:23.680,1:23.215,1:23.028,1:23.038,1:23.677,1:25.594,1:52.972,1:25.601,1:24.909,1:24.455,1:24.351,1:24.407,1:24.256,1:24.171,1:24.204,1:24.117,1:24.449,1:24.548,1:24.121,1:24.098,1:24.098,1:23.969,1:24.058,1:23.532,1:23.629,1:23.506,1:24.083,1:23.482,1:24.090,1:23.693,1:23.631,1:23.674,1:23.292,1:23.274,1:23.899,1:23.681,1:25.421,1:46.140,1:24.158,1:23.813,1:23.445,1:23.306,1:23.068,1:22.962,1:23.011,1:23.063,1:22.481,1:22.593,1:22.885,1:22.729,1:22.487,1:21.931,1:22.429,1:22.667,1:22.625,1:22.458,1:23.824
Adrian Sutil (SUT),1:44.266
Jarno Trulli (TRU),1:37.134,1:27.408,1:26.080,1:25.067,1:24.431,1:24.331,1:24.476,1:24.575,1:25.013,1:25.010,1:24.695,1:24.306,1:24.351,1:24.544,1:24.614,1:24.726,1:24.177,1:24.341,1:24.454,1:24.948,1:24.799,1:24.974,1:24.152,1:23.919,1:23.747,1:23.874,1:23.965,1:26.317,1:49.553,1:25.693,1:25.408,1:24.857,1:24.878,1:24.688,1:24.645,1:24.360,1:24.385,1:24.367,1:24.155,1:23.904,1:23.912,1:23.633,1:23.854,1:23.484,1:25.903,1:24.994,1:24.199,1:23.919,1:23.727,1:23.561,1:24.013,1:24.165,1:23.848,1:23.532,1:23.429,1:24.400,1:24.207,1:26.039,1:45.783,1:24.665,1:24.167,1:24.135,1:23.696,1:23.632,1:23.261,1:24.089,1:24.158,1:24.662,1:24.924,1:24.736
Nelson Piquet Jr. (PIQ),1:38.142,1:27.708,1:26.111,1:25.316,1:25.202,1:24.777,1:25.360,1:25.003,1:24.878,1:24.725,1:24.320,1:24.289,1:24.441,1:24.602,1:24.078,1:24.082,1:24.145,1:24.078,1:24.299,1:24.380,1:24.814,1:24.704,1:26.252,1:47.949,1:25.009,1:24.446,1:25.005,1:25.569,1:25.389,1:25.273,1:25.485,1:25.131,1:24.896,1:24.311,1:24.852,1:24.545,1:24.313,1:24.196,1:24.452,1:24.060,1:24.068,1:23.933,1:23.908,1:23.609,1:23.469,1:23.922,1:24.640,1:26.200,1:46.100,1:25.405,1:25.318,1:24.477,1:24.581,1:24.227,1:24.557,1:24.200,1:23.905,1:23.993,1:24.058,1:23.700,1:23.621,1:23.602,1:23.621,1:23.510,1:23.418,1:23.744,1:23.861,1:23.780,1:23.865,1:23.509
