Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Romain Grosjean (GRO),1:46.926,1:38.823,1:38.019,1:37.960,1:36.881,1:37.133,1:36.381,1:36.390,1:37.195,1:36.666,1:36.503,1:35.993,1:36.272,1:36.291,1:36.199,1:35.958,1:35.862,1:35.627,1:35.257,1:35.347,1:35.479,1:34.855,1:35.066,1:34.915,1:35.217,1:39.565,1:35.565,1:37.938,1:37.326,2:00.100,1:34.949,1:34.908,1:38.544,1:42.183,1:36.237,1:35.201,1:35.345,1:35.871,1:34.643,1:37.396,1:35.289,1:36.932,1:34.913,1:38.669,2:50.409,2:39.555,2:42.069,2:35.059,1:46.515,1:35.903,1:35.602,1:35.897
Jaime Alguersuari (ALG),1:46.152,1:37.802,1:37.206,1:36.289,1:35.749,1:35.560,1:35.604,1:35.821,1:35.717,1:35.608,1:35.520,1:35.674,1:35.489,1:35.789,1:35.644,1:35.325,1:35.233,1:34.939,1:35.532,1:35.624,1:35.240,1:37.592,1:58.041,1:34.526,1:34.992,1:34.876,1:34.771,1:35.010,1:35.205,1:34.762,1:34.132,1:34.385,1:34.116,1:34.049,1:34.433,1:34.547,1:34.441,1:34.519,1:34.358,1:34.397,1:34.886,1:34.347,1:36.222
Sébastien Buemi (BUE),1:47.397,1:38.762,1:38.163,1:36.903,1:35.392,1:35.644,1:35.993,1:35.888,1:35.997,1:35.756,1:54.292
Vitantonio Liuzzi (LIU),1:46.552,1:38.625,1:37.683,1:36.706,1:36.194,1:36.063,1:35.983,1:35.741,1:36.011,1:35.859,1:35.711,1:35.822,1:36.002,1:35.314,1:35.491,1:34.943,1:34.862,1:34.908,1:34.723,1:34.768,1:35.266,1:35.067,1:35.765,1:35.290,1:37.002,1:56.697,1:35.500,1:36.074,1:35.554,1:35.103,1:35.722,1:34.990,1:34.521,1:34.362,1:34.538,1:34.294,1:34.589,1:34.765,1:34.304,1:34.327,1:34.764,1:34.489,1:36.415,1:55.782,1:59.722,1:59.213,2:16.035,2:39.529,2:25.133,1:37.335,1:36.279,1:34.886,1:34.904
Rubens Barrichello (BAR),1:40.689,1:36.515,1:35.197,1:35.161,1:34.597,1:34.736,1:34.964,1:34.600,1:34.551,1:34.370,1:34.476,1:34.171,1:34.213,1:34.236,1:34.207,1:34.194,1:33.910,1:36.045,1:59.144,1:35.364,1:35.125,1:34.887,1:34.880,1:34.923,1:34.661,1:34.592,1:34.994,1:34.645,1:34.700,1:34.349,1:34.163,1:34.188,1:34.256,1:34.281,1:34.389,1:34.297,1:34.173,1:34.382,1:34.081,1:34.108,1:34.302,1:36.370,1:54.925,1:34.354,1:45.686,2:19.628,2:37.349,2:39.666,2:31.647,1:37.172,1:35.306,1:34.633,1:34.632
Giancarlo Fisichella (FIS),1:44.263,1:38.688,1:36.894,1:36.125,1:35.622,1:35.699,1:35.508,1:35.393,1:35.957,1:35.232,1:34.863,1:35.093,1:35.388,1:35.304,1:35.230,1:35.684,1:36.234,1:59.410,1:35.439,1:35.231,1:34.938,1:34.408,1:34.585,1:34.447,1:34.541,1:35.690,1:34.201,1:34.037,1:34.013,1:33.844,1:33.944,1:33.577,1:33.479,1:34.026,1:33.743,1:33.949,1:33.953,1:33.959,1:35.686,1:58.794,1:35.085,1:34.680,1:34.780,1:34.671,1:54.775,1:55.149,2:37.283,2:40.071,2:28.367,1:37.173,1:35.823,1:35.328,1:34.783
Sebastian Vettel (VET),1:36.383,1:34.661,1:33.949,1:33.851,1:33.286,1:33.297,1:33.236,1:33.063,1:33.183,1:33.346,1:33.404,1:33.314,1:33.628,1:33.311,1:33.500,1:33.435,1:33.123,1:35.535,2:01.521,1:34.253,1:34.090,1:34.065,1:33.741,1:33.620,1:33.513,1:33.784,1:33.694,1:33.647,1:33.389,1:33.052,1:33.308,1:33.144,1:33.663,1:33.294,1:33.318,1:33.347,1:33.172,1:33.459,1:33.291,1:35.360,1:56.479,1:33.182,1:32.572,1:33.593,1:36.949,3:00.240,2:39.837,2:41.644,2:35.316,1:34.417,1:33.743,1:33.300,1:33.941
Jenson Button (BUT),1:43.947,1:38.534,1:36.621,1:34.870,1:35.369,1:35.460,1:35.458,1:35.248,1:35.455,1:35.099,1:35.094,1:34.835,1:35.220,1:33.859,1:33.682,1:33.572,1:36.447,1:57.299,1:34.277,1:34.282,1:34.417,1:34.442,1:34.426,1:34.613,1:34.518,1:34.406,1:34.594,1:34.339,1:34.026,1:34.106,1:33.874,1:34.034,1:34.067,1:34.352,1:34.401,1:34.614,1:34.348,1:34.058,1:34.386,1:35.994,1:53.350,1:33.251,1:33.304,1:33.639,1:45.382,2:19.787,2:37.307,2:40.042,2:31.072,1:37.027,1:35.623,1:34.877,1:34.613
Mark Webber (WEB),1:56.519,2:16.217,2:34.565,1:40.832,1:56.823,1:35.611,1:36.114,1:35.739,1:35.958,1:36.096,1:35.676,1:36.070,1:35.767,1:35.645,1:35.664,1:35.277,1:34.967,1:35.000,1:36.009,1:34.592,1:34.609,1:34.437,1:34.564,1:34.415,1:34.290,1:34.258,1:34.288,1:34.265,1:34.072,1:34.135,1:35.971,1:35.699,1:37.938,2:02.863,1:35.172,1:35.322,1:36.444,1:37.623,1:38.651,1:42.206,1:34.067,1:34.620,1:44.655,2:40.988,2:39.530,2:54.826,2:30.460,1:33.338,1:43.051,1:32.569,1:34.215
Adrian Sutil (SUT),1:41.754,1:40.034,1:36.051,1:35.366,1:35.740,1:35.133,1:35.435,1:35.210,1:35.202,1:34.980,1:35.000,1:34.786,1:41.041,1:35.034,1:37.053,2:01.026,1:35.359,1:35.148,1:35.023,1:35.005,1:34.806,1:34.505,1:34.453,1:34.400,1:34.636,1:34.878,1:35.757,1:35.169,1:34.029,1:34.070,1:33.964,1:34.324,1:34.108,1:33.811,1:34.019,1:33.668,1:33.886,1:33.715,1:35.258,1:56.693,1:34.371,1:34.337,1:34.083,1:34.491,1:55.426,1:54.760,2:38.385,2:39.393,2:27.394,1:37.219,1:35.845,1:35.317,1:34.852
