Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Rubens Barrichello (BAR),1:44.931,2:26.562,2:17.870,2:16.886,2:20.060,1:24.581,1:24.172,1:23.938,1:23.888,1:23.719,1:23.334,1:23.103,1:23.094,1:23.026,1:23.074,1:23.081,1:23.093,1:23.019,1:25.233,1:44.733,1:23.569,1:23.352,1:23.354,1:23.288,1:23.377,1:23.009,1:23.004,1:22.762,1:22.780,1:22.829,1:24.944,1:44.434,1:24.097,1:23.906,1:23.731,1:23.895,1:23.558,1:24.055,1:23.491,1:23.911,1:23.653,1:23.916,1:23.861,1:23.517,1:23.382,1:23.594,1:23.683,1:23.536,1:23.385,1:26.255,1:46.517,1:25.775,1:25.467,1:25.219,1:25.062,1:24.938,1:24.757,1:24.628,1:24.788,1:24.665,1:24.573,1:24.461,1:24.625,1:24.703,1:25.132,1:25.423
Giancarlo Fisichella (FIS),2:06.274,2:19.247,2:18.738,2:16.601,2:13.620,1:27.759,1:27.293,1:26.729,1:26.221,1:25.981,1:25.990,1:26.044,1:26.005,1:25.716,1:25.560,1:25.596,1:25.487,1:25.714,1:25.898,1:25.678,1:25.276,1:25.556,1:25.342,1:25.365,1:25.284,1:25.227,1:24.779,1:24.705,1:24.708,1:27.391,1:47.369,1:24.856,1:24.904,1:24.889,1:24.798,1:24.728,1:25.562,1:25.154,1:25.201,1:25.028,1:25.181,1:25.189,1:25.116,1:25.287,1:25.163,1:25.016,1:29.448,1:27.455,1:27.168,1:27.047,1:26.292,1:28.946,1:50.369,1:44.180,1:24.608,1:24.122,1:23.840,1:24.092,1:23.941,1:25.350,1:23.993,1:23.840,1:23.796,1:25.215,1:23.813
Sebastian Vettel (VET),1:48.214,2:25.968,2:17.871,2:16.598,2:19.314,1:25.939,1:24.932,1:24.286,1:24.369,1:24.112,1:23.746,1:23.587,1:23.580,1:23.416,1:23.517,1:23.367,1:23.528,1:23.356,1:23.605,1:25.457,1:46.713,1:24.384,1:24.028,1:23.932,1:24.170,1:23.759,1:24.126,1:24.082,1:23.545,1:23.526,1:23.364,1:23.606,1:23.950,1:23.952,1:23.717,1:23.816,1:23.659,1:23.569,1:23.439,1:23.519,1:23.090,1:23.271,1:25.682,1:48.018,1:25.104,1:25.575,1:25.581,1:25.567,1:25.575,1:25.387,1:25.867,1:25.679,1:26.061,1:25.745,1:25.008,1:25.496,1:25.283,1:24.872,1:25.090,1:24.489,1:24.666,1:24.798,1:24.086,1:23.553,1:23.638,1:23.344
Jenson Button (BUT),1:45.986,2:26.466,2:17.969,2:16.770,2:19.573,1:25.113,1:24.325,1:23.898,1:23.849,1:23.744,1:23.585,1:23.225,1:23.252,1:22.950,1:23.128,1:23.064,1:22.899,1:25.614,1:47.343,1:24.165,1:24.200,1:24.172,1:24.256,1:24.125,1:24.124,1:24.142,1:23.757,1:23.607,1:23.646,1:23.368,1:23.460,1:23.890,1:23.742,1:23.436,1:23.386,1:23.394,1:23.406,1:23.463,1:23.485,1:23.454,1:23.444,1:23.637,1:23.561,1:23.583,1:23.464,1:23.591,1:23.537,1:26.217,1:48.275,1:25.225,1:24.962,1:24.788,1:24.698,1:24.829,1:24.545,1:24.285,1:24.112,1:24.097,1:24.096,1:23.992,1:24.501,1:24.514,1:24.332,1:24.251,1:24.280,1:26.955
Mark Webber (WEB),1:49.246,2:26.129,2:18.563,2:15.870,2:18.962,1:25.979,1:24.999,1:24.560,1:24.070,1:24.051,1:23.828,1:23.664,1:23.652,1:23.645,1:23.480,1:23.607,1:23.446,1:23.112,1:25.646,1:49.998,1:25.055,1:25.098,1:24.778,1:24.688,1:24.403,1:24.103,1:23.858,1:24.017,1:23.989,1:23.964,1:23.767,1:23.653,1:23.564,1:23.444,1:23.565,1:23.709,1:23.388,1:23.522,1:23.497,1:23.549,1:23.447,1:23.425,1:23.579,1:23.640,1:23.676,1:23.733,1:23.590,1:23.845,1:23.927,1:26.252,1:45.584,1:25.037,1:24.840,1:25.515,1:24.965,1:24.794,1:24.598,1:24.579,1:24.720,1:24.553,1:24.537,1:24.636,1:24.549,1:24.795,1:25.071,1:25.121
Felipe Massa (MAS),1:47.282,2:26.238,2:17.948,2:16.516,2:19.373,1:26.021,1:24.631,1:24.378,1:24.203,1:24.009,1:23.759,1:23.751,1:23.488,1:23.089,1:23.770,1:23.661,1:23.343,1:23.361,1:23.531,1:25.545,1:46.831,1:24.191,1:23.997,1:23.814,1:24.069,1:23.992,1:24.114,1:23.656,1:23.488,1:23.610,1:23.549,1:23.771,1:24.063,1:23.890,1:23.800,1:23.630,1:23.680,1:23.566,1:23.368,1:23.265,1:23.170,1:23.178,1:25.501,1:48.039,1:25.768,1:25.697,1:25.590,1:25.427,1:25.630,1:25.485,1:25.866,1:26.038,1:25.857,1:25.515,1:25.213,1:25.435,1:25.416,1:24.837,1:24.755,1:24.798,1:24.558,1:25.261,1:28.372,1:29.070,1:31.247,1:38.065
Nelson Piquet Jr. (PIQ),1:58.808,2:24.466,2:17.976,2:17.120,2:14.640,1:27.978,1:27.374,1:25.728,1:25.876,1:25.505,1:25.056,1:24.841,1:25.231,1:24.793,1:25.033,1:25.462,1:25.159,1:24.962,1:25.000,1:26.226,1:28.174,1:46.025,1:24.997,1:24.944,1:24.809,1:24.757,1:24.661,1:24.814,1:24.772,1:24.550,1:24.468,1:24.821,1:24.643,1:25.174,1:25.036,1:24.851,1:24.746,1:24.297,1:24.557,1:24.423,1:24.286,1:24.357,1:24.526,1:24.655,1:24.649,1:27.314,1:48.022,1:27.127,1:27.167,1:26.879,1:26.700,1:26.522,1:25.693,1:25.412,1:25.484,1:25.159,1:25.179,1:25.597,1:26.505,1:25.892,1:27.266,1:26.134,1:26.294,1:26.226,1:26.309
Timo Glock (GLO),1:52.932,2:26.123,2:17.915,2:16.817,2:16.357,1:27.482,1:25.869,1:25.259,1:25.373,1:24.409,1:24.529,1:24.516,1:24.405,1:24.781,1:24.763,1:24.374,1:26.607,1:48.297,1:25.312,1:25.018,1:24.962,1:25.306,1:24.831,1:25.232,1:24.891,1:24.890,1:24.871,1:25.001,1:24.606,1:24.888,1:24.816,1:28.058,1:25.441,1:25.314,1:24.868,1:24.713,1:24.459,1:24.330,1:24.528,1:24.578,1:24.462,1:24.670,1:24.465,1:24.134,1:25.198,1:25.909,1:28.057,1:46.167,1:26.000,1:26.563,1:27.259,1:26.815,1:26.148,1:26.491,1:25.990,1:25.793,1:26.317,1:26.838,1:26.390,1:25.718,1:25.695,1:25.714,1:27.171,1:25.558,1:25.747
Robert Kubica (KUB),1:57.663,2:24.890,2:17.890,2:17.207,2:14.489,1:28.068,1:26.233,1:25.619,1:25.359,1:25.523,1:24.756,1:24.951,1:25.370,1:25.115,1:25.613,1:25.117,1:25.067,1:24.912,1:24.590,1:24.581,1:24.690,1:25.135,1:27.555,1:45.295,1:24.275,1:24.078,1:24.117,1:24.127,1:24.397,1:24.769,1:24.678,1:27.836,1:25.486,1:25.574,1:24.929,1:24.775,1:24.520,1:24.260,1:24.288,1:24.600,1:24.502,1:24.680,1:24.605,1:24.431,1:24.786,1:27.996,1:48.829,1:27.463,1:27.164,1:26.987,1:26.339,1:26.543,1:25.799,1:25.678,1:25.554,1:25.479,1:25.425,1:26.171,1:26.396,1:25.610,1:25.869,1:27.851,1:25.756,1:25.779,1:25.722
Kimi Räikkönen (RAI),1:55.745,2:25.523,2:18.092,2:16.888,2:14.655,1:28.466,1:26.118,1:25.499,1:25.491,1:25.126,1:24.877,1:24.720,1:25.860,1:24.794,1:26.029,1:24.490,1:25.551
