Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Bruno Senna (SEN),1:42.108,1:33.300,1:32.300,1:31.751,1:31.544,1:31.318,1:31.085,1:31.073,1:31.378,1:30.880,1:31.485
Lucas di Grassi (DIG),1:40.689,1:32.462,1:31.287,1:30.850,1:31.513,1:30.745,1:30.735,1:30.645,1:30.705,1:30.500,1:30.607,1:30.832,1:30.862,1:30.624,1:30.536,1:30.284,1:30.129,1:30.247,1:30.117,1:30.094,1:31.656,1:31.317,1:29.903,1:29.717,1:34.506,1:51.093,1:29.484,1:30.209,1:29.457,1:29.271,1:29.260,1:29.084,1:29.239,1:31.751,1:29.247,1:30.330,1:29.097,1:28.702,1:29.300,1:28.937,1:28.811,1:30.552,1:32.284,1:29.671,1:28.334,1:28.171,1:29.793,1:29.007,1:30.023,2:09.714
Vitaly Petrov (PET),1:39.382,1:30.066,1:29.694,1:29.862,1:29.246,1:29.077,1:28.569,1:28.695,1:28.499,1:28.592,1:28.195,1:28.650,1:28.630,1:28.244,1:28.471,1:27.923,1:27.861,1:27.759,1:27.454,1:27.581,1:27.516,1:27.932,1:27.427,1:27.842,1:27.421,1:27.444,1:27.339,1:28.128,1:27.990,1:26.944,1:27.317,1:27.270,1:27.044,1:27.508,1:27.199,1:26.869,1:28.654,1:26.398,1:26.120,1:26.180,1:26.169,1:26.027,1:26.087,1:25.744,1:25.700,1:25.816,1:25.574,1:25.523,1:29.197,1:44.275,1:24.754,1:24.989,1:24.644
Nico Hülkenberg (HUL),1:34.498,1:28.797,1:28.753,1:28.095,1:28.248,1:28.031,1:27.731,1:27.668,1:27.732,1:27.502,1:27.523,1:27.484,1:27.458,1:27.284,1:27.345,1:27.141,1:27.366,1:27.007,1:26.856,1:27.146,1:26.917,1:26.876,1:26.568,1:27.047,1:26.456,1:26.528,1:26.777,1:26.494,1:26.653,1:26.375,1:26.462,1:26.269,1:26.393,1:25.995,1:25.950,1:29.197,1:45.374,1:26.391,1:25.689,1:25.191,1:25.618,1:24.978,1:25.282,1:24.959,1:24.960,1:24.913,1:25.232,1:24.679,1:25.855,1:26.871,1:25.131,1:24.576,1:25.063
Jaime Alguersuari (ALG),1:37.909,1:30.530,1:30.497,1:29.591,1:28.963,1:29.125,1:28.638,1:28.783,1:28.578,1:28.483,1:28.417,1:28.394,1:28.619,1:28.471,1:28.163,1:31.551,1:48.260,1:27.669,1:28.536,1:27.385,1:30.379,1:39.358,1:28.533,1:27.207,1:30.023,1:28.800,1:26.740,1:26.777,1:26.657,1:26.605,1:26.871,1:26.454,1:26.986,1:26.740,1:27.308,1:26.279,1:26.382,1:26.252,1:26.211,1:26.025,1:26.164,1:29.827,1:27.957,1:27.927,1:25.929,1:25.817,1:25.547,1:25.782,1:25.972,1:26.136,1:25.472,1:25.901
Sébastien Buemi (BUE),1:36.894,1:29.689,1:28.703,1:29.054,1:28.545,1:28.736,1:28.379,1:28.215,1:28.345,1:27.956,1:28.171,1:28.038,1:28.253,1:27.756,1:27.868,1:27.699,1:27.585,1:27.967,1:27.595,1:27.591,1:27.487,1:27.259,1:27.672,1:27.511,1:27.108,1:26.875,1:27.017,1:27.237,1:28.257,1:27.097,1:26.961,1:27.476,1:30.736,1:47.399,1:26.564,1:26.413,1:26.725,1:26.631,1:26.409,1:25.716,1:25.603,1:25.624,1:25.688,1:25.542,1:25.573,1:25.635,1:25.476,1:25.281,1:25.430,1:25.741,1:25.224,1:25.490,1:25.732
Pedro de la Rosa (DLR),1:37.402,1:30.197,1:29.585,1:28.989,1:28.529,1:28.519,1:28.677,1:28.276,1:28.552,1:29.790,1:28.256,1:28.294,1:28.331,1:28.240,1:28.202,1:27.772,1:30.598,1:46.711,1:27.749,1:27.721,1:27.649,1:27.494,1:27.925,1:27.504,1:27.459,1:27.561,1:27.450,1:27.435,1:27.196,1:28.191,1:27.386,1:27.216,1:26.988,1:27.188,1:27.838,1:27.131,1:26.817,1:27.504,1:26.988,1:26.889,1:26.898,1:27.142,1:26.827,1:26.704,1:26.465,1:26.398,1:26.325,1:26.484,1:26.403,1:29.030,1:31.137,1:26.604
Michael Schumacher (MSC),1:35.710,1:29.014,1:28.830,1:28.391,1:28.042,1:29.262,1:27.919,1:28.004,1:27.961,1:27.902,1:27.620,1:27.465,1:27.631,1:27.623,1:27.732,1:27.448,1:27.296,1:27.068,1:27.183,1:27.373,1:27.243,1:26.902,1:26.802,1:26.992,1:26.794,1:27.211,1:26.880,1:27.302,1:26.749,1:26.505,1:26.760,1:26.811,1:26.615,1:26.463,1:26.365,1:29.504,1:44.729,1:25.551,1:25.621,1:25.700,1:25.682,1:25.245,1:25.421,1:25.513,1:25.747,1:25.530,1:25.437,1:25.504,1:24.947,1:25.309,1:25.041,1:25.143,1:26.028
Sakon Yamamoto (YAM),1:41.886,1:32.963,1:32.339,1:31.484,1:31.489,1:31.144,1:31.125,1:31.089,1:30.854,1:30.522,1:30.960,1:30.838,1:30.613,1:30.568,1:30.489,1:30.423,1:30.286,1:30.354,1:30.253,1:32.038,1:31.050,1:34.244,1:52.006,1:30.646,1:34.777,1:30.575,1:30.505,1:30.437,1:30.946,1:31.008,1:30.896,1:33.328,1:30.454,1:31.178,1:30.126,1:31.791,1:30.622,1:29.493,1:29.674,1:29.371,1:29.665,1:32.248,1:29.134,1:29.973,1:28.875,1:28.932,1:29.639,1:29.698,1:31.530,1:29.340,1:32.443
Vitantonio Liuzzi (LIU),1:38.618,1:30.038,1:29.687,1:28.947,1:28.648,1:28.361,1:28.357,1:28.566,1:28.117,1:28.521,1:28.077,1:27.908,1:28.180,1:28.184,1:27.557,1:27.517,1:27.411,1:27.517,1:27.608,1:27.555,1:27.489,1:27.188,1:27.309,1:27.491,1:27.201,1:27.009,1:27.227,1:27.154,1:27.314,1:27.693,1:30.789,1:46.288,1:26.641,1:27.413,1:26.642,1:26.701,1:26.535,1:26.490,1:26.715,1:25.975,1:25.588,1:25.603,1:25.761,1:25.653,1:25.457,1:25.516,1:25.261,1:25.183,1:25.504,1:25.910,1:25.102,1:25.342,1:26.160
Rubens Barrichello (BAR),1:37.073,1:29.846,1:29.338,1:28.696,1:28.379,1:28.822,1:28.578,1:28.441,1:28.451,1:28.310,1:28.017,1:27.943,1:28.299,1:28.069,1:27.775,1:27.740,1:27.626,1:27.901,1:27.850,1:27.324,1:27.302,1:27.282,1:27.357,1:27.357,1:27.297,1:26.962,1:27.462,1:26.825,1:27.520,1:27.406,1:27.087,1:27.273,1:27.430,1:26.689,1:26.221,1:26.406,1:29.730,1:46.352,1:25.588,1:25.985,1:25.904,1:25.637,1:25.622,1:25.544,1:25.565,1:25.678,1:25.403,1:25.239,1:25.359,1:26.037,1:25.565,1:25.546,1:25.677
Sebastian Vettel (VET),1:34.845,1:29.210,1:28.600,1:28.154,1:28.102,1:28.649,1:27.270,1:27.594,1:27.786,1:27.493,1:27.366,1:27.593,1:27.673,1:27.029,1:27.324,1:27.323,1:27.205,1:27.204,1:26.944,1:28.495,1:28.487,1:26.654,1:26.704,1:26.737,1:26.719,1:26.082,1:27.078,1:26.120,1:26.098,1:25.954,1:26.289,1:26.037,1:26.140,1:26.218,1:26.742,1:25.676,1:25.850,1:25.497,1:25.229,1:25.225,1:25.129,1:25.230,1:25.088,1:25.296,1:25.619,1:24.795,1:24.791,1:24.665,1:25.078,1:24.493,1:24.707,1:28.190,1:42.292
Jenson Button (BUT),1:30.560,1:28.114,1:27.681,1:27.516,1:27.278,1:26.996,1:27.194,1:27.221,1:27.066,1:26.963,1:26.861,1:26.904,1:26.695,1:26.585,1:26.426,1:26.330,1:26.206,1:26.194,1:26.362,1:26.258,1:26.490,1:26.166,1:26.186,1:26.518,1:26.661,1:26.183,1:25.929,1:25.769,1:25.691,1:25.826,1:25.933,1:25.984,1:26.136,1:25.881,1:25.569,1:29.169,1:43.835,1:26.736,1:25.244,1:25.102,1:25.051,1:25.000,1:25.625,1:26.028,1:24.656,1:24.598,1:24.719,1:25.123,1:24.744,1:24.658,1:25.082,1:24.870,1:24.938
Mark Webber (WEB),1:36.124,1:29.136,1:28.632,1:28.433,1:27.860,1:27.918,1:27.615,1:27.571,1:27.924,1:27.366,1:27.246,1:27.556,1:27.383,1:27.500,1:27.452,1:27.060,1:27.056,1:27.327,1:26.945,1:27.018,1:26.460,1:26.519,1:26.809,1:26.791,1:26.368,1:26.768,1:26.740,1:26.559,1:26.654,1:26.322,1:26.461,1:26.575,1:26.145,1:26.261,1:29.239,1:44.052,1:26.569,1:26.764,1:25.653,1:25.418,1:25.231,1:25.351,1:25.608,1:25.262,1:24.531,1:24.894,1:24.910,1:24.572,1:25.369,1:25.321,1:24.639,1:24.278,1:25.633
Adrian Sutil (SUT),1:45.565,1:33.395,1:48.777,1:29.082,1:28.577,1:28.436,1:28.370,1:28.588,1:28.064,1:28.176,1:28.378,1:27.743,1:28.229,1:27.923,1:27.754,1:27.826,1:28.857,1:27.604,1:29.043,1:27.239,1:27.294,1:27.268,1:27.210,1:27.297,1:27.173,1:27.368,1:27.059,1:26.966,1:26.711,1:26.836,1:27.163,1:26.602,1:26.633,1:26.740,1:27.596,1:32.135,1:53.203,1:25.266,1:25.925,1:25.291,1:25.161,1:25.493,1:26.337,1:25.797,1:25.227,1:25.509,1:25.255,1:25.117,1:25.598,1:26.252,1:24.937,1:25.949
Jarno Trulli (TRU),1:39.719,1:31.143,1:30.346,1:30.176,1:30.253,1:30.187,1:29.897,1:30.157,1:29.986,1:29.998,1:30.009,1:29.869,1:29.701,1:29.824,1:29.900,1:29.653,1:29.468,1:29.619,1:30.252,1:30.084,1:29.599,1:29.269,1:29.563,1:29.368,1:33.133,1:51.522,1:30.872,1:29.161,1:29.243,1:29.017,1:29.226,1:31.697,1:29.366,1:29.460,1:29.199,1:43.812,1:32.044,1:30.779,1:29.849,1:30.908,1:33.068,1:33.515,1:30.465,1:31.174,1:34.400,1:33.195
Felipe Massa (MAS),1:32.152,1:28.307,1:27.761,1:27.470,1:27.093,1:27.057,1:27.136,1:26.922,1:27.243,1:27.016,1:27.238,1:27.460,1:27.007,1:26.615,1:26.663,1:26.401,1:26.284,1:26.253,1:26.914,1:26.304,1:26.529,1:25.964,1:26.058,1:26.172,1:26.458,1:26.307,1:25.975,1:26.217,1:25.793,1:25.957,1:25.670,1:25.758,1:25.835,1:25.794,1:25.549,1:25.366,1:25.305,1:28.810,1:45.774,1:25.001,1:25.145,1:25.007,1:24.897,1:25.042,1:24.896,1:24.745,1:24.944,1:24.762,1:24.897,1:24.632,1:24.575,1:24.627,1:25.038
Timo Glock (GLO),1:40.230,1:31.128,1:30.346,1:30.756,1:31.348,1:30.937,1:30.529,1:30.204,1:30.172,1:30.168,1:30.075,1:29.939,1:30.125,1:30.342,1:29.873,1:31.089,1:29.689,1:29.645,1:29.740,1:29.944,1:29.532,1:29.569,1:30.255,1:35.335,1:49.511,1:29.422,1:29.450,1:29.314,1:31.563,1:29.254,1:29.408,1:29.133,1:29.317,1:29.914,1:28.858,1:29.238,1:29.100,1:30.691,1:28.652,1:28.459,1:28.466,1:29.217,1:28.516,1:28.124,1:28.429,1:29.397,1:29.812,1:28.646,1:30.077,1:27.765,1:28.048
Robert Kubica (KUB),1:34.072,1:28.899,1:28.507,1:28.183,1:28.138,1:27.947,1:27.504,1:27.606,1:27.912,1:27.460,1:27.519,1:27.518,1:27.513,1:27.361,1:27.234,1:27.011,1:27.140,1:26.981,1:26.860,1:27.163,1:26.722,1:26.720,1:26.735,1:26.724,1:26.488,1:26.758,1:26.589,1:26.589,1:26.480,1:26.390,1:26.388,1:26.396,1:29.450,1:46.560,1:25.768,1:26.032,1:27.951,1:26.602,1:25.935,1:25.549,1:25.439,1:25.457,1:25.191,1:25.536,1:25.156,1:25.315,1:24.728,1:24.560,1:24.616,1:25.875,1:25.332,1:24.748,1:25.293
Heikki Kovalainen (KOV),1:41.263,1:32.059,1:31.599,1:30.531,1:30.146,1:30.171,1:30.451,1:30.138,1:29.939,1:30.035,1:30.156,1:29.986,1:30.139,1:30.290,1:30.031,1:30.811,1:29.757,1:30.053,1:29.676,1:29.561,1:29.841,1:29.442,1:33.707,1:51.366,1:29.805,1:29.700,1:29.530,1:30.494,1:30.287,1:29.523,1:29.221,1:29.123,1:29.950,1:29.499,1:28.793,1:29.137,1:30.464,1:29.027,1:29.351,1:28.191,1:28.578,1:29.649,1:28.182,1:27.944,1:29.371,1:30.127,1:29.185,1:28.576,1:28.828,1:27.822,1:29.641
Fernando Alonso (ALO),1:31.181,1:28.194,1:27.638,1:27.282,1:27.556,1:26.993,1:27.040,1:27.303,1:27.038,1:27.063,1:27.238,1:27.351,1:26.868,1:26.421,1:26.288,1:26.101,1:26.266,1:26.325,1:26.048,1:26.152,1:26.445,1:26.012,1:26.385,1:26.278,1:26.596,1:26.225,1:25.969,1:25.925,1:25.919,1:25.674,1:25.846,1:25.959,1:26.112,1:25.998,1:25.603,1:25.479,1:28.594,1:44.227,1:24.942,1:24.680,1:24.736,1:24.676,1:25.015,1:24.838,1:24.540,1:24.861,1:25.055,1:24.483,1:24.465,1:24.961,1:26.156,1:24.139,1:25.433
Nico Rosberg (ROS),1:33.523,1:28.671,1:28.368,1:28.045,1:27.702,1:27.610,1:27.602,1:27.527,1:27.528,1:27.417,1:27.415,1:27.560,1:27.639,1:27.280,1:27.121,1:27.227,1:27.030,1:26.940,1:26.900,1:26.891,1:26.809,1:26.716,1:26.696,1:26.693,1:26.468,1:27.257,1:26.755,1:26.517,1:26.294,1:26.228,1:26.455,1:26.394,1:26.469,1:26.128,1:29.574,1:45.374,1:26.327,1:26.044,1:25.883,1:25.524,1:25.243,1:25.272,1:25.452,1:25.138,1:25.201,1:25.078,1:25.319,1:24.640,1:24.937,1:24.706,1:26.843,1:24.491,1:25.593
