Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Jérôme d'Ambrosio (DAM),2:02.159,1:50.009,1:49.235,1:48.224,1:48.518,1:48.273,1:48.398,1:48.591,1:48.757,1:48.412,1:49.631,1:50.399,1:49.478,1:49.570,1:50.284,1:50.800,1:54.904,2:11.736,1:46.061,1:46.070,1:46.011,1:46.566,1:47.576,1:46.907,1:46.878,1:46.248,1:46.800,1:47.499,1:48.162,1:47.591,1:47.906,1:47.956,1:48.510,1:48.938,1:53.353,2:07.135,1:47.070,1:45.681,1:45.441,1:45.530,1:45.346,1:45.658
Sergio Pérez (PER),2:00.065,1:48.738,1:47.417,1:45.798,1:45.780,1:46.585,1:46.527,1:47.029,1:46.890,1:47.186,1:47.447,1:47.418,1:49.262,1:48.872,1:50.306,1:51.462,1:54.012,2:03.605,1:43.298,1:43.352,1:43.408,1:43.649,1:44.091
Paul di Resta (DIR),1:58.560,1:48.196,1:46.889,1:46.487,1:46.567,1:46.526,1:46.573,1:46.927,1:47.068,1:47.204,1:51.140,2:02.994,1:44.647,1:44.738,1:45.143,1:46.297,1:44.961,1:44.738,1:44.268,1:44.116,1:44.476,1:44.539,1:44.795,1:48.237,2:02.559,1:43.675,1:44.392,1:43.905,1:43.894,1:43.580,1:44.300,1:44.338,1:44.709,1:45.059,1:45.049,1:46.878,1:49.276,2:05.093,1:43.302,1:42.982,1:43.066,1:43.159,1:43.860,1:43.947,1:43.464,1:43.480,1:43.438,1:42.883,1:42.990,1:42.941,1:43.146,1:43.759,1:43.651,1:46.410,1:45.488,1:46.636
Pastor Maldonado (MAL),2:00.256,1:48.862,1:48.662,1:46.036,1:45.689,1:48.326,1:47.825,2:00.529
Vitaly Petrov (PET),1:54.438,1:45.530,1:45.451,1:45.737,1:48.704,1:46.032,1:45.520,1:45.235,1:45.138,1:45.723,1:45.648,1:46.496,1:47.601,1:47.773,1:51.124,2:04.569,1:44.045,1:43.916,1:43.442,1:43.410,1:44.194,1:44.117,1:43.711,1:44.065,1:44.392,1:46.559,1:48.677,2:01.946,1:42.689,1:42.578,1:43.210,1:44.115,1:43.752,1:43.038,1:43.014,1:43.162,1:42.673,1:43.328,1:43.459,1:43.527,1:44.125,1:44.615,1:45.112,1:48.969,2:05.963,1:41.383,1:41.311,1:42.302,1:41.054,1:41.511,1:41.160,1:41.404
Kamui Kobayashi (KOB),1:56.818,1:46.952,1:45.888,1:45.665,1:45.734,1:47.798,1:46.124,1:46.983,1:45.739,1:46.045,1:46.240,1:47.034,1:47.123,1:47.276,1:47.209,1:48.327,1:52.179,2:03.613,1:43.305,1:43.453,1:43.566,1:44.226,1:44.835,1:45.252,1:44.580,1:45.220,1:45.402,1:44.662,1:44.448,1:44.057,1:44.883,1:44.917,1:45.738,1:45.279,1:46.120,1:49.776,2:02.584,1:43.095,1:42.095,1:42.334,1:42.758,1:44.618,1:42.308,1:42.547,1:43.355,1:42.470,1:42.126,1:44.922,1:42.934,1:42.725,1:43.321,1:43.365,1:43.938,1:43.552,1:44.005,1:44.753
Jaime Alguersuari (ALG),1:57.325,1:47.095,1:46.764,1:46.094,1:46.284,1:46.472,1:46.515,1:48.608,1:46.730,1:46.849,1:47.341,1:47.754,1:49.606,1:50.285,1:51.221,1:56.329,2:05.113,1:43.997,1:44.428,1:44.053,1:44.195,1:44.014,1:44.439,1:44.260,1:44.972,1:45.194,1:45.677,1:45.812,1:46.544,1:47.925,1:47.936,1:51.898,2:03.134,1:45.324,1:44.285,1:44.063,1:43.744,1:45.841,1:44.398,1:46.036,1:44.550,1:43.904,1:44.046,1:44.311,1:44.495,1:44.608,1:47.475,1:45.917,1:47.132,1:46.110,1:46.281,1:46.740,1:49.076,1:48.234,1:51.675
Sébastien Buemi (BUE),1:57.754,1:47.232,1:46.614,1:46.410,1:46.150,1:46.180,1:46.927,1:46.583,1:46.136,1:46.008,1:46.198,1:46.695,1:47.761,1:50.257,1:52.749,2:06.057,1:44.473,1:44.256,1:44.001,1:47.502,2:09.619,1:43.831,1:44.091,1:44.530,1:44.780,1:44.428,1:45.038,1:45.167,1:46.448,1:46.084,1:47.411,1:52.502,2:07.209,1:42.667,1:42.774,1:42.659,1:42.818,1:42.983,1:43.269,1:42.922,1:43.026,1:42.951,1:43.261,1:43.703,1:43.386,1:43.753,1:44.544,1:44.665,1:45.098,1:48.275,1:47.654,1:46.958,1:48.013,1:49.030,1:52.231
Narain Karthikeyan (KAR),2:03.276,1:51.343,1:50.560,1:50.416,1:49.385,1:49.496,1:49.683,1:49.995,1:51.008,1:52.266,1:50.975,1:51.933,1:52.560,1:55.647
Michael Schumacher (MSC),1:55.519,1:46.714,1:46.209,1:45.897,1:45.888,1:47.025,1:46.357,1:46.329,1:46.175,1:46.424,1:46.778,1:47.407,1:49.622,1:54.370,2:03.978,1:45.112,1:45.604,1:44.639,1:44.305,1:44.212,1:43.910,1:44.316,1:44.344,1:44.852,1:45.414,1:44.878,1:45.971,1:50.291,2:02.752,1:45.020,1:43.721,1:43.272,1:43.312,1:43.743,1:43.664,1:43.646,1:44.286,1:44.056,1:43.780,1:43.954,1:44.027,1:52.297,2:01.177,1:42.923,1:42.491,1:42.566,1:42.623,1:42.678,1:42.646,1:42.738,1:42.658,1:43.217,1:43.641,1:43.522,1:43.527,1:44.251
