Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Charles Pic (PIC),1:37.647,1:26.237,1:25.928,1:25.815,1:25.470,1:25.321,1:25.172,1:25.262,1:25.002,1:25.035,1:25.850,1:24.890,1:24.892,1:25.219,1:24.763,1:25.449,1:25.192,1:24.543,1:24.492,1:24.589,1:27.553,1:37.353,1:22.860,1:22.936,1:22.710,1:22.689,1:22.600,1:22.720,1:23.153,1:24.922,1:23.880,1:23.256,1:23.063,1:24.477,1:24.575,1:23.082,1:23.551,1:22.922,1:24.136,1:23.233,1:23.621,1:24.531,1:26.285,1:38.768,1:21.753,1:22.923,1:23.396,1:23.408,1:22.470,1:22.290,1:22.306,1:22.248,1:22.545,1:24.922,1:22.875,1:25.724,1:22.483,1:22.127,1:22.028,1:22.181,1:23.660,1:23.821,1:22.380,1:22.205,1:24.668
Jean-Éric Vergne (VER),1:34.664,1:24.792,1:25.437,1:24.163,1:25.359,1:27.274,1:38.034,1:22.994,1:23.185,1:22.364,1:22.437,1:22.441,1:23.666,1:22.702,1:22.547,1:22.591,1:22.531,1:22.652,1:22.654,1:22.604,1:22.751,1:22.682,1:22.541,1:22.946,1:22.836,1:22.877,1:25.653,1:36.928,1:21.669,1:24.955,1:21.775,1:22.601,1:21.314,1:20.921,1:21.258,1:21.019,1:21.079,1:21.405,1:21.328,1:21.148,1:21.014,1:21.177,1:21.630,1:21.159,1:23.828,1:36.075,1:20.311,1:20.203,1:19.682,1:20.495,1:20.282,1:20.311,1:20.309,1:20.267,1:20.696,1:20.919,1:20.072,1:19.816,1:19.645,1:19.976,1:20.198,1:19.914,1:20.052,1:20.025,1:19.775,1:19.729,1:20.490
Daniel Ricciardo (RIC),1:33.386,1:24.721,1:24.835,1:23.930,1:25.859,1:25.694,1:23.612,1:23.760,1:23.431,1:23.359,1:23.262,1:22.883,1:22.793,1:22.665,1:22.430,1:22.748,1:23.255,1:22.994,1:27.140,1:36.932,1:22.371,1:23.470,1:21.811,1:22.496,1:22.124,1:22.154,1:22.256,1:22.393,1:22.232,1:21.973,1:22.125,1:22.109,1:22.956,1:23.013,1:21.988,1:22.629,1:22.465,1:25.019,1:35.639,1:20.357,1:20.153,1:20.280,1:20.193,1:20.066,1:20.359,1:20.293,1:20.614,1:20.772,1:20.587,1:20.531,1:20.380,1:20.326,1:20.316,1:21.161,1:20.594,1:20.174,1:20.303,1:20.687,1:21.218,1:21.534,1:21.479,1:21.256,1:21.113,1:21.167,1:21.376,1:21.968,1:22.522
Sergio Pérez (PER),1:35.047,1:24.738,1:24.167,1:23.702,1:24.156,1:23.309,1:22.618,1:23.151,1:22.447,1:22.378,1:22.685,1:22.326,1:22.114,1:21.998,1:22.040,1:22.204,1:26.418,1:35.785,1:20.777,1:21.574,1:22.239,1:22.368,1:22.298,1:22.102,1:22.323,1:22.388,1:21.942,1:22.045,1:22.783,1:21.739,1:21.661,1:21.088,1:21.362,1:21.118,1:21.154,1:21.091,1:21.468,1:22.572,1:21.425,1:23.830,1:34.366,1:19.969,1:20.291,1:21.312,1:20.694,1:20.542,1:20.185,1:19.906,1:19.749,1:20.387,1:20.288,1:20.205,1:19.572,1:19.460,1:19.763,1:19.400,1:19.756,1:19.688,1:19.276,1:19.824,1:19.818,1:19.270,1:19.308,1:19.299,1:19.334,1:19.657,1:19.809
Paul di Resta (DIR),1:32.922,1:24.497,1:24.209,1:23.677,1:24.614,1:23.627,1:23.439,1:23.439,1:24.332,1:25.616,1:35.871,1:22.169,1:22.440,1:22.871,1:22.730,1:22.432,1:22.494,1:22.390,1:22.511,1:22.698,1:23.116,1:22.848,1:22.534,1:22.543,1:23.195,1:22.344,1:22.456,1:21.907,1:23.276,1:22.731,1:22.567,1:22.486,1:21.828,1:21.752,1:21.732,1:21.753,1:21.933,1:21.802,1:24.569,1:34.390,1:20.672,1:20.758,1:20.613,1:20.668,1:20.246,1:20.354,1:20.614,1:20.412,1:20.395,1:21.631,1:20.870,1:20.779,1:20.296,1:20.661,1:21.207,1:22.102,1:20.791,1:20.478,1:20.087,1:20.358,1:19.959,1:20.023,1:20.057,1:20.182,1:20.362,1:20.057,1:19.717
Pastor Maldonado (MAL),1:30.585,1:24.423,1:23.721,1:23.399,1:23.225,1:23.321,1:22.963,1:23.468,1:23.330,1:23.372,1:23.258,1:23.573,1:25.110,1:37.671,1:22.252,1:22.401,1:22.498,1:22.308,1:22.949,1:24.149,1:23.314,1:22.700,1:25.191,1:23.975,1:22.762,1:22.814,1:22.919,1:22.688,1:22.781,1:22.612,1:22.707,1:22.670,1:22.467,1:22.325,1:22.291,1:23.133,1:24.104,1:24.895,1:37.332,1:21.100,1:21.548,1:21.245,1:21.328,1:20.995,1:21.619,1:21.549,1:21.437,1:20.976,1:21.113,1:21.365,1:20.987,1:20.795,1:20.792,1:21.778,1:21.200,1:23.058,1:23.418,1:35.013,1:19.607,1:19.971,1:20.142,1:19.914,1:19.838,1:19.953,1:19.848,1:20.418
Bruno Senna (SEN),2:01.666,2:06.708,1:22.977,1:23.029,1:22.889,1:22.864,1:22.824,1:22.602,1:22.377,1:22.328,1:22.437,1:22.093,1:22.070,1:22.237,1:22.292,1:22.351,1:22.311,1:22.442,1:22.331,1:25.054,1:23.002,1:23.476,1:22.863,1:23.263,1:25.738,1:36.472,1:20.999,1:23.754,1:21.616,1:21.772,1:21.802,1:21.244,1:21.403,1:21.686,1:21.335,1:22.528,1:21.304,1:21.118,1:21.315,1:21.281,1:22.521,1:21.380,1:21.420,1:21.515,1:21.408,1:22.830,1:24.849,1:35.041,1:20.740,1:20.597,1:20.211,1:21.531,1:21.211,1:20.329,1:20.116,1:20.047,1:20.158,1:20.244,1:20.460,1:20.417,1:20.112,1:19.894,1:20.046,1:19.958,1:20.128,1:20.008
Vitaly Petrov (PET),1:35.914,1:25.664,1:26.148,1:24.313,1:24.172,1:24.390,1:23.979,1:23.821,1:23.993,1:23.787,1:23.830,1:23.969,1:24.345,1:26.701,1:38.846,1:24.331,1:23.250,1:22.855,1:22.910,1:22.650,1:22.654,1:22.937,1:22.610,1:22.711,1:22.739,1:22.478,1:22.543,1:22.758,1:24.032,1:22.876,1:23.162,1:25.804,1:36.464,1:21.644,1:25.260,1:23.109,1:21.802,1:21.730,1:21.685,1:21.750,1:21.959,1:21.500,1:21.841,1:25.229,1:22.622,1:21.814,1:21.634,1:22.379,1:22.045,1:24.448,1:35.718,1:21.001,1:22.749,1:21.800,1:20.457,1:20.335,1:20.165,1:20.394,1:20.613,1:20.607,1:20.052,1:19.997,1:20.108,1:20.117,1:20.113,1:20.165
Nico Hülkenberg (HUL),1:29.793,1:24.177,1:23.595,1:23.393,1:23.184,1:23.041,1:23.217,1:24.307,1:23.128,1:23.302,1:23.374,1:25.157,1:35.656,1:21.833,1:24.420,1:22.796,1:22.343,1:21.992,1:22.261,1:22.081,1:22.322,1:22.360,1:22.343,1:22.066,1:22.382,1:22.191,1:22.090,1:22.026,1:22.824,1:23.711,1:26.270,1:34.902,1:21.868,1:21.210,1:20.971,1:20.595,1:20.566,1:20.212,1:20.644,1:20.437,1:20.499,1:20.483,1:20.330,1:20.827,1:21.354,1:22.366,1:34.384,1:20.446,1:20.271,1:20.001,1:20.626,1:20.073,1:19.678,1:19.649,1:19.607,1:19.372,1:19.607,1:19.914,1:19.937,1:19.957,1:19.886,1:19.749,1:19.941,1:19.715,1:20.159,1:20.046,1:20.107
Kamui Kobayashi (KOB),1:33.641,1:24.813,1:24.775,1:23.918,1:23.901,1:23.443,1:24.174,1:23.192,1:23.291,1:23.623,1:22.873,1:22.858,1:22.189,1:22.174,1:22.115,1:22.180,1:22.240,1:21.924,1:21.899,1:21.960,1:23.401,1:25.207,1:38.078,1:22.570,1:21.672,1:21.054,1:21.136,1:21.113,1:21.707,1:21.822,1:21.820,1:21.242,1:20.653,1:20.491,1:20.483,1:20.528,1:21.210,1:20.421,1:20.700,1:20.599,1:20.220,1:20.606,1:23.865,1:35.730,1:19.550,1:19.562,1:19.818,1:19.794,1:19.252,1:19.698,1:19.658,1:19.324,1:19.306,1:19.279,1:19.164,1:19.344,1:19.572,1:19.560,1:19.325,1:19.352,1:19.161,1:19.416,1:19.489,1:20.179,1:19.981,1:19.645,1:20.847
