Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Charles Pic (PIC),1:45.467,1:33.830,1:32.374,1:31.868,1:31.632,1:31.327,1:31.055,1:31.091,1:30.605,1:30.961,1:30.803,1:30.832,1:30.588,1:30.489,1:30.583,1:32.289,1:31.572,1:30.934,1:31.105,1:33.391,1:46.523,1:28.727,1:29.095,1:29.073,1:28.771,1:28.904,1:28.945,1:29.013,1:29.170,1:31.875,1:29.534,1:30.126,1:33.280,1:29.780,1:29.292,1:29.664,1:32.371,1:32.565,1:34.478,1:47.484,1:33.931,1:30.349,1:29.015,1:28.909,1:29.246,1:29.091,1:29.255,1:29.163,1:29.087,1:29.223,1:29.147,1:30.174,1:29.376,1:29.228,1:30.768,1:28.913,1:31.616,1:30.219,1:28.823,1:31.532,1:28.957,1:29.746,1:29.252,1:30.992,1:31.948,1:28.875,1:31.042
Jean-Éric Vergne (VER),1:43.469,1:32.130,1:31.175,1:30.755,1:30.544,1:30.426,1:30.005,1:29.909,1:29.600,1:30.073,1:29.893,1:32.823,1:46.555,1:28.712,1:29.292,1:30.663,1:29.044,1:29.421,1:29.181,1:29.019,1:29.011,1:28.774,1:28.787,1:28.946,1:28.801,1:28.937,1:29.227,1:29.355,1:30.041,1:34.013,1:45.290,1:27.871,1:27.639,1:28.674,1:27.665,1:27.462,1:27.496,1:27.121,1:27.270,1:27.278,1:27.279,1:27.180,1:27.907,1:27.931,1:27.944,1:30.628,1:49.622,1:27.557,1:27.054,1:27.087,1:26.965,1:27.179,1:26.572,1:26.521,1:27.019,1:26.980,1:26.581,1:26.416,1:26.248,1:26.530,1:27.396,1:27.065,1:27.550,1:33.682,1:42.899,1:26.061,1:26.126,1:28.159
Daniel Ricciardo (RIC),1:42.752,1:32.138,1:31.219,1:30.777,1:30.520,1:29.968,1:29.926,1:29.985,1:29.498,1:29.512,1:29.562,1:29.521,1:29.243,1:31.609,1:47.490,1:28.642,1:28.837,1:28.944,1:28.688,1:28.587,1:28.454,1:28.399,1:28.548,1:28.454,1:28.429,1:28.795,1:29.646,1:28.408,1:29.160,1:28.385,1:28.660,1:28.585,1:29.314,1:32.122,1:45.597,1:28.428,1:27.473,1:27.461,1:27.233,1:28.621,1:27.131,1:27.266,1:27.008,1:27.172,1:27.465,1:27.162,1:29.671,1:45.357,1:27.792,1:27.144,1:27.081,1:26.743,1:26.968,1:27.344,1:30.449,1:27.474,1:30.720,1:26.966,1:26.508,1:27.214,1:27.486,1:27.096,1:27.382,1:28.530,1:28.929,1:26.869,1:26.782,1:26.949
Sergio Pérez (PER),1:41.984,1:31.482,1:30.715,1:30.133,1:30.007,1:29.351,1:29.637,1:29.102,1:29.075,1:29.018,1:29.418,1:29.497,1:29.518,1:29.192,1:29.292,1:29.864,1:29.221,1:29.689,1:29.450,1:31.404,1:34.047,1:45.283,1:27.787,1:28.371,1:28.233,1:28.596,1:29.509,1:28.603,1:28.933,1:28.689,1:28.386,1:28.515,1:29.495,1:29.173,1:27.648,1:26.969,1:27.108,1:27.264,1:27.268,1:27.192,1:28.868,1:28.225,1:27.929,1:28.057,1:28.794,1:29.119,1:32.586,1:44.366,1:26.590,1:26.681,1:26.378,1:26.658,1:27.455,1:26.274,1:27.146,1:26.440,1:25.698,1:25.536,1:25.689,1:25.598,1:25.410,1:25.797,1:25.677,1:25.866,1:25.218,1:25.596,1:26.071,1:25.895,1:26.262
Paul di Resta (DIR),1:42.366,1:31.868,1:31.263,1:30.523,1:30.523,1:29.599,1:29.321,1:28.960,1:28.771,1:29.245,1:29.232,1:29.308,1:28.870,1:29.154,1:29.408,1:32.086,1:45.852,1:28.411,1:28.393,1:28.216,1:28.034,1:28.367,1:28.340,1:28.435,1:28.941,1:28.214,1:28.955,1:28.036,1:27.855,1:27.902,1:28.031,1:28.009,1:28.190,1:28.053,1:27.879,1:28.040,1:27.775,1:30.026,1:42.502,1:26.898,1:26.970,1:27.467,1:27.158,1:27.398,1:28.100,1:29.105,1:30.459,1:27.060,1:26.992,1:27.982,1:27.285,1:26.413,1:26.195,1:26.205,1:26.706,1:26.125,1:25.976,1:26.156,1:26.468,1:26.249,1:26.591,1:26.741,1:27.276,1:26.543,1:27.506,1:27.690,1:27.523,1:27.761,1:28.439
Pastor Maldonado (MAL),1:41.573,1:31.373,1:30.590,1:30.054,1:29.943,1:29.467,1:29.338,1:29.156,1:29.211,1:28.892,1:29.137,1:29.392,1:29.000,1:29.126,1:31.863,1:45.815,1:29.529,1:28.885,1:28.699,1:28.656,1:28.608,1:28.282,1:28.538,1:28.443,1:28.944,1:28.548,1:28.281,1:27.961,1:28.052,1:27.926,1:27.942,1:28.025,1:27.785,1:27.954,1:28.007,1:28.091,1:27.843,1:27.793,1:27.958,1:27.745,1:30.061,1:43.927,1:27.229,1:26.975,1:27.236,1:28.552,1:29.322,1:26.260,1:26.777,1:27.501,1:26.833,1:29.162,1:37.020,1:27.059,1:26.694,1:26.433,1:26.023,1:25.900,1:26.384,1:26.037,1:26.347,1:26.488,1:25.723,1:26.027,1:25.811,1:26.076,1:26.055,1:25.950,1:26.822
Bruno Senna (SEN),1:39.377,1:30.990,1:30.083,1:29.507,1:29.486,1:29.079,1:29.162,1:28.578,1:28.660,1:28.897,1:28.722,1:28.740,1:28.359,1:28.791,1:28.730,1:31.495,1:44.859,1:27.609,1:27.875,1:28.547,1:28.904,1:28.922,1:27.815,1:28.250,1:27.609,1:27.603,1:27.663,1:27.754,1:27.786,1:27.436,1:27.295,1:27.529,1:27.634,1:27.697,1:27.596,1:27.140,1:27.435,1:27.800,1:28.025,1:27.519,1:27.816,1:29.389,1:43.509,1:27.169,1:27.094,1:27.182,1:26.931,1:26.618,1:27.497,1:27.270,1:26.952,1:26.717,1:26.584,1:26.518,1:26.660,1:26.865,1:26.514,1:26.536,1:26.639,1:26.555,1:26.935,1:26.504,1:26.422,1:26.249,1:26.248,1:26.738,1:26.611,1:26.704,1:27.018
Vitaly Petrov (PET),1:44.063,1:32.788,1:31.432,1:31.119,1:30.542,1:30.196,1:30.526,1:29.955,1:29.788,1:30.332,1:30.150,1:30.093,1:30.557,1:30.389,1:30.107,1:31.007,1:33.046,1:35.030,1:47.968,1:29.512,1:30.217,1:28.983,1:29.448,1:29.038,1:28.715,1:29.008,1:29.164,1:28.985,1:29.121,1:29.205,1:29.161,1:29.191,1:29.302,1:29.694,1:32.880,1:47.102,1:29.006,1:31.194,1:29.172,1:29.521,1:31.910,1:29.691,1:29.022,1:31.924,1:29.654,1:29.657,1:31.438,1:29.213,1:28.867,1:30.445,1:31.228,1:45.433,1:29.179,1:27.780,1:29.456,1:27.994,1:29.613,1:28.510,1:27.629,1:30.061,1:28.883,1:27.782,1:30.212,1:28.172,1:29.583,1:28.539,1:28.137
Nico Hülkenberg (HUL),1:40.117,1:31.575,1:30.478,1:29.852,1:29.720,1:29.142,1:29.377,1:28.984,1:28.916,1:29.031,1:29.122,1:29.479,1:29.119,1:29.101,1:32.020,1:47.299,1:28.904,1:28.733,1:28.874,1:28.550,1:28.549,1:28.213,1:28.517,1:28.643,1:28.917,1:28.605,1:27.449,1:27.871,1:27.958,1:27.946,1:28.135,1:28.014,1:28.108,1:27.981,1:28.267,1:27.952,1:27.869,1:27.908,1:30.156,1:43.334,1:26.839,1:27.714,1:27.375,1:27.316,1:28.332,1:29.233,1:26.893,1:27.128,1:27.112,1:27.259,1:26.584,1:26.996,1:26.243,1:26.834,1:26.758,1:26.654,1:26.407,1:26.111,1:26.191,1:26.073,1:26.702,1:26.557,1:26.799,1:26.498,1:26.795,1:27.351,1:27.593,1:27.444,1:28.210
Kamui Kobayashi (KOB),1:44.433,1:33.072,1:31.779,1:30.753,1:30.796,1:30.158,1:30.455,1:32.642,1:46.698,1:29.366,1:28.918,1:28.299,1:28.632,1:28.548,1:29.783,1:29.601,1:30.678,1:29.146,1:29.017,1:28.817,1:28.778,1:28.548,1:29.309,1:28.859,1:28.699,1:28.708,1:28.780,1:28.786,1:30.590,1:29.145,1:29.026,1:29.117,1:28.686,1:28.996,1:28.945,1:29.981,1:29.305,1:29.926,1:30.623,1:33.612,1:46.610,1:27.297,1:26.528,1:26.773,1:26.822,1:25.887,1:26.291,1:26.956,1:26.872,1:26.444,1:26.175,1:26.179,1:26.407,1:26.095,1:26.341,1:26.764,1:26.567,1:26.767,1:26.354,1:26.130,1:25.745,1:26.305,1:26.217,1:27.158,1:26.780,1:27.254,1:33.917
