Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Jules Bianchi (BIA),1:51.287,1:37.074,1:35.743,1:37.206,1:36.184,1:36.622,1:36.654,1:38.916,1:56.625,1:41.384,1:34.875,1:34.265,1:34.075,1:33.811,1:34.091,1:34.809,1:35.081,1:35.134,1:34.857,1:35.357,1:35.394,1:35.481,1:35.789,1:35.567,1:36.847,1:36.935,1:55.812,1:42.025,1:37.830,1:37.448,1:33.548,1:35.152,1:33.463,1:33.005,1:32.938,1:32.596,1:32.727,1:33.715,1:36.761,1:37.297,1:33.296,1:33.361,1:32.854,1:32.668,1:32.552,1:32.899,1:33.589,1:37.754,1:33.378,1:53.418,1:39.538,1:30.454,1:31.156,1:32.716,1:31.865,1:33.396,1:42.021
Giedo van der Garde (VDG),1:52.131,1:37.370,1:36.270,1:37.685,1:41.434,1:39.753,2:01.892,1:42.388,1:35.293,1:35.050,1:35.312,1:35.552,1:36.497,1:36.586,1:36.810,1:56.684,1:42.517,1:35.167,1:35.277,1:36.895,1:35.153,1:39.793,1:37.038,1:35.404,1:36.753,1:35.656,1:37.448,1:38.962,1:36.485,1:35.435,1:35.394,1:35.443,1:38.281,1:57.167,1:40.703,1:33.494,1:36.094,1:33.281,1:32.636,1:33.089,1:33.025,1:33.258,1:34.706,1:33.847,1:35.082,1:35.079,1:36.596,1:36.554,1:36.192,1:35.289,1:38.364,1:35.383,1:35.558,1:37.029,1:36.784,1:36.861
Valtteri Bottas (BOT),1:48.866,1:35.555,1:35.712,1:38.643,1:37.399,1:56.816,1:40.324,1:33.999,1:33.693,1:34.887,1:34.464,1:34.851,1:34.920,1:35.588,1:34.470,1:34.217,1:34.811,1:34.224,1:34.781,1:34.348,1:35.013,1:34.833,1:39.221,1:54.787,1:40.195,1:32.940,1:32.600,1:33.402,1:37.418,1:33.140,1:32.733,1:32.467,1:33.523,1:33.163,1:33.198,1:32.831,1:33.245,1:33.455,1:32.858,1:52.576,1:40.309,1:30.652,1:30.833,1:33.664,1:32.141,1:33.754,1:33.159,1:32.561,1:32.718,1:31.778,1:32.216,1:32.598,1:31.712,1:31.296,1:31.016,1:31.185,1:32.010
Esteban Gutiérrez (GUT),1:50.921,1:35.349,1:35.028,1:35.294,1:56.075,1:40.573,1:34.646,1:35.656,1:34.289,1:35.429,1:34.445,1:35.162,1:36.796,1:34.979,1:33.856,1:34.228,1:33.901,1:35.586,1:34.365,1:34.380,1:34.143,1:35.486,1:34.921,1:33.740,1:33.509,1:35.864,1:56.188,1:40.080,1:39.587,1:34.764,1:33.644,1:31.415,1:31.812,1:32.479,1:33.363,1:33.464,1:33.321,1:34.181,1:34.901,1:32.856,1:32.012,1:33.899,1:33.159,1:33.189,1:32.531,1:32.086,1:32.249,1:34.766,1:32.528,1:34.065,1:33.152,1:33.118,1:34.126,1:32.718,1:32.662,1:32.895,1:32.486
Max Chilton (CHI),1:52.024,1:38.584,1:36.363,1:37.069,1:41.330,2:12.441,1:42.421,1:34.495,1:34.664,1:34.697,1:34.891,1:34.759,1:34.956,1:35.846,1:36.304,1:36.732,1:36.013,1:36.645,2:04.141,1:41.822,1:35.088,1:34.460,1:35.857,1:34.695,1:35.210,1:35.565,1:36.984,1:40.196,1:36.208,1:34.965,1:35.451,1:39.280,1:36.915,1:56.870,1:40.942,1:34.638,1:33.447,1:33.198,1:32.646,1:32.781,1:32.349,1:33.042,1:34.642,1:33.711,1:35.267,1:34.949,1:35.045,1:33.279,1:32.210,1:32.774,1:32.952,1:34.828,1:32.823,1:33.102,1:35.687,1:35.000
Charles Pic (PIC),1:53.116,1:38.024,1:36.487,1:36.943,1:41.382,1:40.033,1:40.560,1:58.807,1:41.017,1:34.514,1:34.372,1:35.069,1:34.341,1:34.877,1:34.993,1:35.047,1:35.631,1:35.993,1:35.683,1:36.026,1:35.857,1:35.318,1:35.688,1:35.431,1:36.423,1:35.795,1:37.165,1:36.987,1:37.472,1:36.329,1:37.190,1:41.064,1:56.961,1:39.890,1:36.668,1:33.195,1:34.208,1:34.655,1:33.017,1:32.997,1:33.169,1:33.312,1:33.596,1:35.597,1:34.986,1:33.756,1:38.157,1:33.761,1:33.513,1:33.488,1:33.355,1:34.076,1:34.164,1:33.744,1:32.261,1:32.734
Jean-Éric Vergne (VER),1:49.716,1:35.703,1:34.920,1:35.332,1:37.289,1:35.177,1:35.239,1:34.921,1:54.357,1:41.591,1:34.154,1:34.517,1:33.379,1:33.485,1:33.282,1:32.882,1:32.854,1:32.742,1:32.963,1:33.057,1:33.284,1:33.625,1:34.115,1:55.524,1:39.703,1:32.390,1:32.569,1:32.519,1:35.327,1:32.878,1:32.044,1:31.935,1:33.041,1:33.557,1:32.470,1:32.910,1:33.052,1:32.220,1:32.186,1:31.923,1:31.547,1:31.367,1:32.468,1:51.475,1:37.614,1:30.809,1:30.412,1:30.663,1:30.115,1:29.498,1:29.679,1:31.194,1:30.965,1:32.226,1:37.651,1:31.245,1:30.911,1:32.411
Daniel Ricciardo (RIC),1:52.854,1:38.762,1:36.567,1:36.413,1:37.630,1:34.957,1:34.182,1:36.885,1:34.580,1:34.601,1:34.623,1:34.657,1:34.574,1:34.935,1:54.624,1:41.288,1:33.461,1:32.939,1:32.530,1:34.041,1:33.080,1:34.487,1:34.721,1:32.926,1:33.355,1:34.018,1:32.979,1:33.956,1:37.100,1:54.556,1:39.070,1:31.330,1:30.881,1:31.306,1:32.212,1:33.182,1:32.830,1:32.680,1:32.639
Sergio Pérez (PER),1:48.097,1:35.765,1:35.448,1:35.647,1:35.383,1:35.401,1:35.131,1:34.846,1:34.962,1:34.864,1:36.965,1:36.922,1:35.134,1:34.953,1:34.735,1:54.269,1:38.514,1:32.924,1:33.627,1:34.291,1:34.519,1:36.423,1:53.496,1:39.762,1:32.986,1:32.961,1:32.572,1:32.276,1:34.422,1:32.564,1:32.658,1:32.552,1:32.824,1:32.418,1:32.939,1:31.933,1:31.955,1:31.849,1:32.602,1:32.000,1:49.951,1:37.633,1:30.333,1:30.146,1:30.340,1:29.926,1:30.562,1:31.461,1:30.635,1:30.462,1:30.728,1:30.875,1:30.120,1:30.691,1:32.924,1:32.230,1:31.319,1:32.667
Paul di Resta (DIR),1:45.675,1:36.063,1:35.150,1:35.418,1:35.654,1:35.512,1:35.033,1:53.210,1:40.005,1:33.650,1:33.491,1:33.472,1:33.982,1:33.584,1:34.551,1:34.396,1:34.437,1:34.014,1:33.959,1:34.103,1:33.808,1:34.128,1:33.553,1:34.021,1:33.644,1:33.413,1:33.409,1:33.677,1:35.132,1:34.728,1:34.004,1:33.769,1:53.552,1:39.779,1:32.314,1:31.486,1:31.711,1:31.859,1:31.614,1:31.789,1:31.449,1:32.828,1:32.177,1:32.344,1:32.085,1:31.986,1:31.737,1:32.075,1:32.590,1:32.039,1:31.925,1:31.944,1:31.860,1:31.222,1:31.049,1:30.894,1:31.447,1:33.274
Pastor Maldonado (MAL),1:50.308,1:38.456,1:35.613,1:35.599,1:35.623,1:34.928,1:35.504,1:35.323,1:36.277,1:57.071,1:38.454,1:32.915,1:34.446,1:35.517,1:34.583,1:34.638,1:34.969,1:35.032,1:34.428,1:36.400,1:34.811,1:36.716,1:35.222,1:35.191
Romain Grosjean (GRO),1:47.379,1:35.968,1:35.413,1:36.114,1:56.138,1:38.525,1:34.542,1:33.014,1:35.558,1:33.606,1:33.776,1:33.924,1:34.356,1:34.000,1:34.016,1:34.059,1:33.926,1:34.182,1:52.297,1:38.012,1:33.498,1:33.147,1:34.088,1:32.247,1:33.394,1:33.867,1:34.077,1:33.084,1:37.136,1:34.230,1:32.687,1:32.539,1:33.231,1:33.075,1:32.833,1:32.954,1:51.796,1:38.012,1:31.001,1:30.870,1:30.395,1:30.502,1:30.544,1:30.581,1:31.541,1:31.337,1:31.967,1:32.292,1:31.474,1:31.175,1:31.557,1:31.207,1:31.069,1:32.584,1:35.066,1:32.023,1:31.543,1:32.556
