Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Jules Bianchi (BIA),2:01.436,1:51.665,1:50.705,1:50.874,1:51.594,1:51.507,1:51.333,1:51.333,1:51.058,1:54.599,2:09.017,1:49.129,1:49.368,1:49.281,1:49.107,1:48.994,1:48.791,1:48.524,1:48.668,1:48.343,1:48.441,1:48.217,1:48.237,1:49.421,1:49.556,1:47.956,1:47.684,1:47.936,1:47.721,1:59.814,2:34.461,2:36.688,1:56.216,1:52.738,1:52.499,2:20.090,1:48.818,2:14.126,2:36.508,2:28.813,1:47.790,1:46.464,1:47.320,1:46.447,1:47.302,1:45.617,1:45.318,1:45.469,1:45.765,1:45.578,1:45.585,1:45.618,1:45.727,1:44.991,1:45.414
Giedo van der Garde (VDG),1:58.750,1:50.809,1:51.874,1:51.182,1:50.721,1:51.170,1:50.954,1:50.209,1:49.093,1:54.537,2:09.904,2:09.175,1:48.003,1:48.484,1:48.244,1:48.012,1:47.788,1:48.096,1:47.995,1:48.290,1:48.278,1:48.576,1:49.442,1:48.450,1:47.799,1:47.561,1:47.717,1:47.940,1:47.477,2:00.273,2:33.285,2:32.015,1:56.217,1:53.169,1:52.843,2:19.103,1:47.435,2:13.926,2:36.273,2:29.735,1:48.909,1:47.593,1:46.165,1:46.562,1:45.045,1:45.133,1:45.180,1:45.512,1:45.930,1:46.126,1:45.670,1:45.297,1:45.196,1:44.705,1:44.375
Valtteri Bottas (BOT),1:59.605,1:50.269,1:48.572,1:50.033,1:49.860,1:50.753,1:48.902,1:53.465,2:08.453,1:47.887,1:47.855,1:48.046,1:47.712,1:47.750,1:47.549,1:47.735,1:47.560,1:47.488,1:47.085,1:46.962,1:46.617,1:46.491,1:46.698,1:47.424,1:47.277,1:48.546,1:48.915,1:53.436,2:07.962,1:51.585,2:13.456,2:06.965,1:53.952,2:15.090,2:34.151,2:28.387,1:47.441,2:14.616,2:36.620,2:29.907,1:47.187,1:44.653,1:44.159,1:43.869,1:47.347,1:44.711,1:44.754,1:44.670,1:44.058,1:44.096,1:44.462,1:44.576,1:44.348,1:44.369,1:44.414
Esteban Gutiérrez (GUT),1:57.587,1:49.161,1:48.982,1:49.346,1:49.684,1:50.036,1:53.480,2:07.460,1:48.073,1:48.184,1:47.316,1:47.373,1:47.504,1:46.738,1:46.916,1:46.941,1:46.299,1:47.026,1:47.189,1:46.695,1:45.991,1:46.853,1:48.467,1:46.568,1:46.030,1:46.355,1:46.845,1:46.748,1:46.949,1:47.302,2:14.614,2:34.033,1:54.864,2:30.977,2:34.585,2:29.342,1:46.076,2:15.455,2:36.447,2:31.258,1:46.786,1:44.475,1:44.156,1:44.100,1:47.862,1:45.016,1:44.134,1:43.570,1:43.155,1:43.246,1:43.672,1:42.910,1:43.180,1:42.936,1:42.744
Max Chilton (CHI),2:02.636,1:51.542,1:51.091,1:51.196,1:51.681,1:51.477,1:51.209,1:51.694,1:51.121,1:50.930,1:49.640,1:56.703,2:08.774,1:48.604,1:48.825,1:48.738,1:48.784,1:48.304,1:48.254,1:48.375,1:48.609,1:48.485,1:48.737,1:49.320,1:48.688,1:47.930,1:48.100,1:47.942,1:47.334,2:01.459,2:40.261,2:26.213,1:56.722,1:53.325,1:51.966,2:19.277,1:48.928,2:14.453,2:35.642,2:28.924,1:50.100,1:46.641,1:46.181,1:46.420,1:46.542,1:46.166,1:46.169,1:45.408,1:46.243,1:45.889,1:45.935,1:45.801,1:46.047,1:45.646,1:45.518
Charles Pic (PIC),2:00.786,1:50.557,1:51.294,1:50.980,1:51.173,1:51.085,1:50.658,1:50.043,1:54.625,2:08.592,1:47.964,1:48.201,1:48.020,1:47.940,1:47.791,1:47.955,1:47.851,1:47.995,1:47.830,1:47.596,1:47.464,1:47.658,1:47.886,1:48.104,1:47.504,1:47.883,1:47.715,1:47.719,1:48.033,1:56.097,2:53.277,2:41.815,1:54.593,1:53.145,1:52.705,2:21.788,1:46.723,2:14.923,2:36.137,2:30.259,1:47.667,1:45.891,1:45.636,1:45.329,1:46.330,1:45.404,1:46.199,1:46.829,1:46.153,1:45.522,1:45.666,1:45.092,1:45.772,1:44.477,1:44.948
Jean-Éric Vergne (VER),1:59.105,1:48.458,1:48.759,1:49.536,1:49.726,1:50.166,1:49.597,1:48.624,1:48.379,1:48.828,1:50.756,1:57.050,2:08.440,1:46.407,1:46.348,1:46.481,1:46.842,1:47.116,1:47.171,1:46.983,1:47.446,1:47.288,1:47.651,1:52.075,2:07.088,1:45.736,1:45.404,1:45.283,1:46.583,1:52.013,2:17.095,2:09.806,1:52.924,2:16.229,2:34.130,2:28.592,1:46.860,2:19.532,2:38.835,2:26.802,1:47.953,1:45.893,1:44.409,1:44.891,1:44.238,1:44.795,1:44.487,1:44.334,1:44.570,1:44.325,1:44.252,1:44.090,2:03.305
Daniel Ricciardo (RIC),1:53.122,1:48.239,1:48.080,1:49.368,1:48.884,1:48.835,1:48.578,1:49.193,1:47.977,1:47.767,1:47.778,1:49.498,1:47.480,1:47.182,1:47.104,1:47.017,1:47.483,1:52.892,2:06.931,1:45.934,1:47.391,1:45.287,1:45.717,1:45.967,1:45.859,1:46.485,1:46.552,1:46.943,1:45.849,1:46.420,2:14.627,2:27.346,2:00.618,2:36.643,2:34.352,2:31.529,1:46.846,2:15.247,2:36.958,2:31.278,1:45.710,1:44.281,1:44.236,1:44.211,1:44.833,1:44.421,1:44.472,1:44.011,1:43.483,1:43.473,1:43.406,1:42.947
Sergio Pérez (PER),1:55.921,1:48.784,1:49.239,1:49.381,1:49.114,1:49.169,1:48.481,1:48.037,1:47.876,1:52.310,2:06.611,1:46.083,1:46.015,1:47.824,1:45.978,1:46.047,1:46.465,1:46.607,1:46.255,1:45.946,1:45.705,1:45.989,1:45.690,1:45.581,1:46.255,1:46.055,1:45.864,1:45.927,1:45.896,1:46.074,2:36.240,2:49.936,1:50.874,2:17.704,2:34.190,2:29.289,1:46.074,2:16.220,2:36.705,2:30.122,1:46.992,1:44.371,1:44.220,1:44.001,1:47.379,1:43.081,1:42.973,1:43.477,1:43.610,1:43.718,1:43.363,1:43.152,1:43.793,1:43.011,1:43.182
Paul di Resta (DIR),1:57.017,1:48.881,1:49.088,1:49.062,1:49.170,1:49.353,1:53.006,2:07.609,1:48.403,1:46.411,1:48.274,1:46.650,1:46.822,1:47.146,1:47.492,1:47.367,1:46.966,1:46.707,1:46.659,1:46.662,1:47.655,1:47.872,1:52.788,2:07.445
