Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Jules Bianchi (BIA),1:44.947,1:24.675,1:24.663,1:23.256,1:22.669,1:22.869,1:23.134,1:23.150,1:23.650,1:24.796,1:23.638,1:22.815,1:22.885,1:22.687,1:23.986,1:22.379,1:22.634,1:22.488,1:22.623,1:22.923,1:25.168,1:43.211,1:27.080,1:24.386,1:22.407,1:21.359,1:21.239,1:21.090,1:29.773,1:44.440,1:44.941,1:25.906,1:23.620,1:47.303,2:17.605,1:43.600,1:56.155,1:49.474,1:25.738,1:24.554,1:23.695,1:23.411,1:23.435,1:23.254,26:52.127,1:49.364,1:23.691,1:21.365,1:20.617,1:20.681,1:21.134,1:21.959,1:21.511,1:21.995,1:22.201,1:22.786,1:22.037,1:22.212
Giedo van der Garde (VDG),2:15.343,1:25.849,1:22.390,1:21.674,1:21.201,1:21.413,1:21.498,1:21.568,1:21.780,1:22.108,1:22.945,1:23.369,1:22.954,1:23.654,1:22.727,1:23.241,1:22.816,1:22.808,1:23.320,1:23.553,1:23.819,1:24.309,1:25.042,1:44.542,1:32.490,1:24.381,1:24.930,1:23.593,1:31.514,1:41.490,1:37.585,1:53.359,2:03.290,1:50.179,1:45.317,1:26.104,1:22.388,1:35.524,1:25.556,1:24.844,1:23.886,1:23.265,1:23.529,1:23.517,1:37.246,25:12.835,1:50.062,1:23.077,1:21.061,1:20.494,1:21.245,1:21.322,1:22.023,1:21.477,1:22.096,1:21.873,1:22.216,1:22.536,1:22.239,1:22.460,1:22.344,1:22.533,1:49.012,2:02.789,2:00.351,1:47.008,1:26.264,1:22.597,1:21.797,1:23.628,1:22.334,1:22.588,1:23.742,1:23.157,1:23.309,1:23.477,1:26.332,1:26.458
Valtteri Bottas (BOT),1:37.450,1:23.871,1:23.864,1:22.836,1:23.181,1:22.893,1:22.912,1:22.851,1:24.668,1:23.337,1:22.549,1:22.876,1:22.646,1:22.267,1:22.763,1:22.367,1:22.496,1:22.198,1:22.438,1:22.744,1:23.238,1:22.395,1:22.868,1:22.222,1:22.561,1:22.456,1:22.390,1:22.046,1:21.883,1:52.614,1:48.747,1:33.767,1:33.254,2:01.703,2:04.084,1:56.730,1:56.366,1:49.883,1:26.196,1:24.851,1:23.311,1:23.294,1:23.741,1:23.372,1:23.600,25:26.765,1:50.172,1:22.756,1:21.902,1:21.207,1:21.432,1:21.420,1:21.377,1:21.227,1:21.858,1:21.796,1:20.970,1:21.216,1:21.381,1:22.048,1:22.409,1:22.145,1:54.314,2:02.862,2:00.611,1:47.490,1:23.339,1:20.921,1:21.335,1:23.427,1:22.541,1:21.867,1:22.013,1:22.109,1:21.450,1:21.924,1:22.673,1:23.011
Esteban Gutiérrez (GUT),1:41.653,1:23.483,1:23.731,1:22.961,1:22.859,1:23.711,1:22.757,1:24.091,1:22.898,1:22.836,1:22.494,1:22.740,1:22.871,1:22.297,1:22.966,1:22.656,1:22.471,1:22.696,1:22.404,1:22.575,1:23.063,1:23.443,1:22.463,1:22.807,1:22.902,1:22.591,1:23.446,1:42.190,1:24.786,1:36.880,1:41.955,1:29.435,1:32.813,2:01.078,2:04.408,1:56.889,1:56.185,1:49.934,1:25.516,1:24.657,1:23.686,1:23.352,1:23.536,1:23.225,1:22.994,25:27.110,1:49.802,1:22.594,1:22.050,1:21.294,1:21.297,1:21.454,1:21.685,1:21.082,1:21.741,1:21.861,1:20.881,1:21.281,1:21.627,1:21.803,1:22.428,1:22.520,2:10.872,1:47.528,2:00.823,1:46.050,1:26.243,1:22.669,1:21.763,1:21.919,1:18.685,1:21.798,1:21.900,1:21.935,1:21.675,1:21.757,1:22.643,1:23.114
Max Chilton (CHI),1:44.661,1:24.553,1:24.650,1:23.122,1:22.795,1:22.768,1:23.166,1:23.109,1:23.557,1:23.834,1:22.666,1:23.130,1:21.988,1:21.676,1:22.370,1:22.067,1:22.766,1:23.775,1:23.014,1:22.760,1:22.196,1:22.794,1:40.822,1:25.200,1:21.615,1:21.014,1:21.403,1:21.231,1:21.518,1:36.439,1:44.645,1:30.689,1:32.696,2:01.487,2:04.091,1:56.761,1:56.607,1:50.092,1:25.842,1:24.684,1:23.798,1:23.349,1:23.503,1:23.374,1:26.624,25:25.001,1:49.492,1:35.260,1:25.504,1:21.582,1:21.038,1:20.954,1:20.434,1:20.712,1:20.506,1:21.797,1:20.133,1:21.124,1:21.814,1:22.698,1:21.947,1:23.536,2:04.514,1:42.786,1:58.804,1:45.416,1:26.717,1:22.755,1:22.074,1:22.166,1:22.324,1:22.562,1:23.650,1:23.097,1:23.428,1:23.208,1:20.991,1:19.016
Charles Pic (PIC),1:40.058,1:24.607,1:23.628,1:22.772,1:23.017,1:23.134,1:22.788
Jean-Éric Vergne (VER),1:36.470,1:23.364,1:24.154,1:22.708,1:23.484,1:22.530,1:23.003,1:22.835,1:24.173,1:22.750,1:22.547,1:22.326,1:22.476,1:22.479,1:22.532,1:22.508,1:21.962,1:21.210,1:21.164,1:21.040,1:21.329,1:21.405,1:21.302,1:21.026,1:21.430,1:22.677,1:20.508,1:20.522,1:38.936,1:32.353,1:38.369,1:37.278,1:52.715,2:03.275,2:04.347,1:57.648,1:56.067,1:51.591,1:26.849,1:24.047,1:23.181,1:23.918,1:23.522,1:23.544,1:23.433,25:24.590,1:52.058,1:23.218,1:21.774,1:21.278,1:21.272,1:21.923,1:21.280,1:21.606,1:21.614,1:21.206,1:21.123,1:21.340,1:21.276,1:21.923,1:22.357,1:21.878,1:54.601,2:03.217,2:00.949,1:48.800,1:23.202,1:20.770,1:21.794,1:23.625,1:21.955,1:21.417,1:22.877,1:19.370,1:19.622,1:19.768,1:19.151,1:19.458
Daniel Ricciardo (RIC),1:37.699,1:24.163,1:23.803,1:22.881,1:23.235,1:23.107,1:23.007,1:22.725,1:24.463,1:23.499,1:22.999,1:22.761,1:22.691,1:22.320,1:22.639,1:22.386,1:22.503,1:22.570,1:22.502,1:23.024,1:23.454,1:41.585,1:25.302,1:20.206,1:19.788,1:19.426,1:19.595,1:21.020,1:24.009,1:33.264,1:41.707,1:31.742,1:42.570,2:04.354,2:03.518,1:57.501,1:55.945,1:49.882,1:26.968,1:24.134,1:23.071,1:24.014,1:23.697,1:23.437,1:23.639,25:26.629,1:50.264,1:22.600,1:22.051,1:21.031,1:21.293,1:22.029,1:21.087,1:21.677,1:21.981,1:21.538,1:20.819,1:21.477,1:21.415,1:21.593,1:22.745
Sergio Pérez (PER),1:34.191,1:23.295,1:24.045,1:22.729,1:23.384,1:22.698,1:22.771,1:23.031,1:24.830,1:22.903,1:22.554,1:22.535,1:22.461,1:22.512,1:22.377,1:22.283,1:21.612,1:21.377,1:20.908,1:20.992,1:21.704,1:21.291,1:20.915,1:20.745,1:20.565,1:22.226,1:19.530,1:19.793,1:37.057,1:31.577,1:41.114,1:34.544,1:57.163,2:02.455,2:06.568,1:57.262,1:54.655,1:54.105,1:26.167,1:24.403,1:23.542,1:23.547,1:23.538,1:23.924,1:23.062,25:21.293,1:54.677,1:23.743,1:20.722,1:22.014,1:21.589,1:21.457,1:21.787,1:21.343,1:21.462,1:21.326,1:20.964,1:21.036,1:21.567,1:21.828,1:22.466,1:22.095,1:49.222,2:05.581,2:02.281,1:50.537,1:22.892,1:20.960,1:22.305,1:23.730,1:21.836,1:21.413
Paul di Resta (DIR),1:39.233,1:24.322,1:23.734,1:22.724,1:23.084,1:23.090,1:22.912,1:22.971,1:42.634,1:23.799,1:20.558,1:20.223,1:20.379,1:20.209,1:21.101,1:20.783,1:21.231,1:22.215,1:22.105,1:22.064,1:22.769,1:23.138,1:22.860,1:22.821,1:23.310,1:21.799,1:21.868,1:21.299,1:21.008,1:32.747,1:39.466,1:31.990,1:52.085,2:03.193,2:04.538,1:57.546,1:55.945,1:51.119,1:26.856,1:24.289,1:23.192,1:23.847,1:23.704,1:23.408,1:23.473,25:23.136,1:53.132,1:23.534,1:21.804,1:20.950,1:21.490,1:21.787,1:21.264,1:21.617,1:21.778,1:21.005,1:21.087,1:21.330,1:21.478,1:21.660,1:22.344,1:22.074,1:55.802,2:02.501,2:01.133,1:48.189,1:22.981,1:20.694,1:22.045,1:23.430,1:22.082,1:21.643,1:22.628,1:19.620,1:19.461,1:19.711,1:19.215,1:19.418
