Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Jules Bianchi (BIA),2:10.384,2:42.742,2:43.005,2:28.731,1:48.303,1:48.120,1:48.163,1:47.562,1:47.135,1:46.693,1:46.953,1:46.513,1:46.742,1:46.797,1:46.631,1:46.646,1:46.339,1:46.474,1:46.024,1:46.413,1:46.211,2:09.868,1:45.707,1:45.655,1:46.379,1:44.821,1:45.059,1:44.962,1:45.122,1:45.095,1:45.206,1:45.027,1:44.560,1:44.211,1:44.828,1:44.782,1:44.406,1:45.339,1:44.048,1:44.592,1:44.310,1:47.285,1:44.151,1:44.049,1:43.419,1:43.693,1:44.096,1:47.020,1:44.146,1:44.423,1:45.576,1:44.317,1:44.158,1:44.011,1:46.779
Giedo van der Garde (VDG),2:11.273,2:43.112,2:42.895,2:28.440,1:48.152,1:48.749,1:47.630,1:47.422,1:47.269,1:46.786,1:46.915,1:46.641,1:46.901,1:46.900,1:46.535,1:46.554,1:46.325,1:46.537,1:45.872,1:46.497,1:46.201,2:09.577,1:45.475,1:45.765,1:46.298,1:45.180,1:45.340,1:45.362,1:45.411,1:45.290,1:44.877,1:44.601,1:44.497,1:44.359,1:44.586,1:44.679,1:45.471,1:44.562,1:44.342,1:44.470,1:45.158,1:45.633,1:44.220,1:44.044,1:43.933,1:44.219,1:46.488,1:44.395,1:44.745,1:44.942,1:44.362,1:44.065,1:44.357,1:46.561,1:44.762
Valtteri Bottas (BOT),2:01.697,2:41.731,2:41.374,2:31.533,1:46.813,1:46.199,1:45.641,1:45.567,1:45.739,1:45.342,1:45.461,1:45.286,1:45.243,1:45.380,1:44.702,1:45.025,1:44.276,1:44.444,1:44.541,1:44.787,1:44.287,1:44.753,1:44.622,2:03.952,1:43.395,1:43.693,1:44.843,1:43.722,1:44.342,1:43.975,1:44.061,1:43.770,1:43.674,1:44.608,1:44.159,1:43.998,1:44.186,1:44.042,1:43.003,1:43.250,1:43.072,1:42.697,1:42.580,1:42.420,1:42.044,1:41.949,1:41.531,1:41.501,1:40.838,1:41.466,1:41.651,1:41.482,1:41.791,1:40.492,1:42.713,1:42.314
Esteban Gutiérrez (GUT),2:07.928,2:50.269,2:43.505,2:25.524,1:47.023,1:47.481,1:46.100,1:45.246,1:44.750,1:44.961,1:45.357,1:45.543,1:45.505,1:45.303,1:45.059,1:44.882,1:45.034,1:44.832,1:45.658,1:45.132,1:44.517,1:44.625,1:44.682,1:44.616,1:44.004,1:43.806,1:43.978,1:44.151,1:44.645,1:45.032,1:45.146,1:44.096,1:44.596,1:45.076,1:46.551,1:45.648,2:04.142,1:42.506,1:42.345,1:42.514,1:42.219,1:42.820,1:42.285,1:42.305,1:41.844,1:41.927,1:42.170,1:42.569,1:42.947,1:42.451,1:41.401,1:41.963,1:41.702,1:41.865,1:43.950,1:52.669
Max Chilton (CHI),2:14.209,2:42.204,2:44.221,2:26.186,1:50.847,2:02.391,1:47.943,1:47.518,1:47.322,1:47.422,1:46.829,1:47.217,1:48.036,1:47.036,1:46.804,1:47.416,1:47.564,1:46.509,1:46.842,1:46.412,1:46.831,1:47.869,1:46.708,1:46.915,1:48.959,1:47.111,2:06.550,1:47.195,1:45.878,1:45.977,1:49.132,1:46.887,1:47.244,1:45.034,1:44.795,1:45.122,1:46.950,1:45.374,1:47.160,1:45.935,1:46.666,1:46.220,1:46.848,1:44.379,1:44.410,1:44.099,1:45.834,1:43.775,1:44.368,1:46.986,1:49.203,1:45.648,1:47.419,1:45.376
Charles Pic (PIC),2:12.940,2:42.495,2:44.157,2:26.680,1:49.061,1:47.968,1:47.753,1:47.431,1:47.089,1:47.120,1:47.105,1:46.695,1:46.807,1:46.745,1:46.637,1:46.686,1:46.352,1:46.551,1:45.928,1:46.489,2:09.520,1:45.627,1:45.810,1:45.811,1:45.807,1:45.993,1:45.413,1:45.494,1:45.127,1:45.161,1:44.564,1:44.869,1:44.598,1:45.044,1:45.082,1:45.984,1:44.703,1:44.620,1:44.577,1:46.393,1:44.433,1:44.746,1:44.499,1:44.742,1:46.508,1:44.078,1:45.645,1:43.968,1:44.559,1:46.196,1:59.698,1:45.159,1:45.081,1:49.641,1:48.048
Jean-Éric Vergne (VER),2:09.076,2:41.503,2:42.932,2:28.053,1:46.677,1:46.652,1:46.619,1:45.997,1:45.904,1:45.783,1:46.141,1:45.824,1:45.497,1:45.685,1:45.381,1:45.463,1:45.404,1:45.150,1:45.618,1:45.070,1:44.618,1:44.579,1:44.674,1:44.728,1:45.683,1:45.888,1:45.962,2:04.060,1:44.224,1:44.414,1:44.079,1:44.120,1:43.993,1:43.884,1:43.797,1:43.766,1:43.650,1:43.446,1:43.281,1:42.858,1:42.524,1:42.528,1:42.740,1:42.084,1:42.140,1:41.928,1:42.340,1:42.993,1:43.111,1:41.831,1:41.437,1:41.320,1:41.746,1:42.622,1:44.156,1:46.089
Daniel Ricciardo (RIC),2:03.808,2:41.956,2:41.507,2:30.320,1:46.993,1:46.583,1:45.884,1:45.791,1:45.992,1:45.559,1:45.820,1:45.559,1:45.732,1:45.567,1:45.500,1:45.261,1:45.405,1:45.064,1:46.570,1:45.095,1:44.953,1:44.987,2:04.633,1:44.092,1:44.524,1:44.406,1:45.181,1:45.008,1:44.231,1:44.047,1:44.155,1:43.593,1:44.044,1:44.181,1:44.197,1:44.180,1:43.514,1:43.363,1:42.985,1:43.067,1:43.416,1:43.043,1:42.593,1:42.873,1:42.119,1:42.391,1:42.613,1:42.581,1:42.607,1:42.349,1:42.193,1:42.307,1:42.407,1:43.695,1:44.543,1:43.115
Sergio Pérez (PER),2:00.175,2:41.057,2:41.949,2:31.748,1:46.696,1:46.057,1:45.318,1:45.365,1:45.514,1:45.284,1:45.285,1:44.997,1:44.943,1:44.835,1:44.705,1:44.935,1:44.952,1:44.589,1:44.629,1:44.659,1:44.636,1:45.568,2:03.365,1:43.242,1:44.731,1:43.925,1:44.313,1:43.460,1:44.012,1:44.089,1:43.147,1:42.757,1:43.126,1:42.603,1:42.451,1:42.743,1:42.439,1:42.598,1:42.305,1:42.307,1:42.563,1:42.415,1:41.944,1:41.956,1:42.107,1:41.890,1:41.830,1:42.055,1:42.102,1:42.589,1:43.013,1:42.751,1:42.234,1:42.346,1:43.003,1:43.533
Paul di Resta (DIR),2:02.510,2:42.195,2:41.477,2:30.810,1:46.883,1:46.511,1:45.848,1:45.823,1:45.919,1:45.629,1:45.665,1:45.501,1:45.461,1:45.412,1:45.323,1:45.539,1:45.298,1:45.160,1:45.101,1:45.111,1:44.984,1:45.550,2:05.349,1:44.082,1:44.690,1:44.180,1:44.397,1:44.748,1:43.912,1:44.445,1:44.176,1:44.040,1:45.204,1:43.987,1:43.687,1:43.995,1:43.492,1:43.545,1:43.579,1:43.487,1:43.365,1:42.857,1:42.847,1:44.915,1:42.741,1:42.334,1:43.036,1:43.208,1:43.925,2:02.445,1:41.484,1:41.512,1:41.593,1:41.148,1:41.341,1:42.545
