Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Marcus Ericsson (ERI),1:26.604,1:18.398,1:17.447,1:16.810,1:17.063,1:16.476,1:16.407,1:16.310,1:17.192,1:16.731,1:16.661,1:17.174,1:17.268,1:17.046,1:17.541,1:16.950,1:16.532,1:17.642,1:16.522,1:16.639,1:16.302,1:16.224,1:16.244,1:16.425,1:17.652,1:16.632,1:16.666,1:21.172,1:35.394,1:15.228,1:16.056,1:14.678,1:14.672,1:14.933,1:15.277,1:15.215,1:14.959,1:15.160,1:15.377,1:15.870,1:15.661,1:16.516,1:20.639,1:39.211,1:15.357,1:14.961,1:14.843,1:15.185,1:15.298,1:15.287,1:15.250,1:15.051,1:14.979,1:14.982,1:15.917,1:15.746,1:19.957,1:15.893,1:16.124,1:17.453,1:15.470,1:15.606,1:15.641,1:15.219,1:16.695,1:16.605,1:18.232,1:16.480,1:17.384
Daniil Kvyat (KVY),1:22.089,1:15.939,1:15.388,1:15.649,1:15.169,1:15.416,1:15.711,1:15.865,1:16.039,1:18.615,1:33.004,1:14.885,1:14.823,1:14.844,1:15.557,1:15.419,1:14.888,1:15.035,1:14.708,1:14.771,1:14.587,1:14.503,1:14.332,1:15.111
Kevin Magnussen (MAG),1:20.363,1:15.718,1:15.367,1:15.375,1:15.293,1:15.593,1:15.914,1:15.826,1:15.746,1:18.708,1:32.318,1:14.495,1:14.707,1:15.910,1:14.562,1:14.955,1:14.676,1:15.087,1:15.008,1:14.677,1:14.617,1:14.388,1:14.518,1:14.492,1:14.611,1:14.463,1:14.249,1:14.423,1:14.201,1:14.237,1:14.114,1:13.808,1:14.119,1:14.178,1:14.048,1:14.366,1:14.262,1:14.907,1:13.936,1:17.625,1:30.921,1:13.370,1:13.278,1:13.108,1:13.139,1:13.227,1:13.362,1:13.155,1:13.185,1:13.013,1:13.159,1:13.037,1:12.746,1:12.760,1:13.082,1:13.233,1:13.193,1:13.462,1:13.230,1:13.106,1:13.094,1:13.101,1:12.831,1:12.916,1:12.999,1:14.434,1:13.549,1:13.591,1:13.610,1:13.211,1:13.045
Jules Bianchi (BIA),1:25.551,1:17.474,1:16.851,1:16.704,1:16.892,1:16.135,1:16.169,1:16.144,1:17.288,1:16.279,1:16.300,1:16.380,1:16.313,1:17.271,1:16.851,1:16.980,1:17.251,1:16.916,1:16.914,1:16.452,1:16.604,1:16.052,1:15.972,1:15.952,1:16.002,1:16.013,1:15.893,1:15.810,1:15.907,1:15.861,1:16.849,1:16.102,1:16.935,1:16.455,1:16.447,1:16.804,1:16.642,1:16.834,1:19.234,1:19.951,1:35.982,1:17.029,1:14.842,1:15.130,1:15.361,1:15.136,1:16.155,1:15.198,1:15.605,1:15.578,1:15.107,1:16.103,1:14.779,1:14.846,1:14.961,1:15.287,1:16.014,1:14.895,1:14.854,1:14.675,1:14.896,1:14.913,1:14.892,1:14.805,1:14.476,1:14.530,1:14.746,1:17.668,1:15.771
Valtteri Bottas (BOT),1:17.401,1:13.809,1:14.203,1:14.508,1:14.205,1:13.983,1:14.198,1:14.584,1:14.577,1:14.380,1:14.635,1:14.938,1:15.038,1:15.678,1:18.259,1:30.399,1:14.318,1:14.443,1:14.539,1:14.364,1:14.448,1:14.520,1:14.265,1:14.283,1:13.912,1:14.309,1:14.095,1:14.142,1:13.949,1:14.652,1:14.413,1:13.944,1:14.297,1:13.874,1:13.792,1:13.572,1:13.607,1:13.748,1:13.588,1:15.006,1:17.530,1:30.208,1:13.325,1:13.875,1:13.551,1:13.516,1:13.337,1:13.390,1:13.217,1:12.858,1:12.817,1:13.105,1:13.096,1:13.262,1:12.975,1:13.538,1:13.580,1:13.194,1:12.808,1:13.182,1:12.851,1:13.053,1:12.581,1:12.688,1:12.699,1:13.476,1:13.103,1:13.236,1:12.750,1:12.672,1:12.800
Esteban Gutiérrez (GUT),1:24.545,1:16.952,1:16.494,1:15.794,1:16.030,1:16.281,1:15.780,1:15.830,1:16.783,1:16.024,1:15.725,1:19.094,2:06.638,1:15.732,1:15.159,1:15.360,1:15.446,1:15.465,1:15.526,1:15.739,1:18.663,1:40.269,1:17.031,1:17.285,1:15.239,1:15.329,1:15.550,1:15.677,1:15.437,1:14.918,1:14.973,1:15.924,1:15.076,1:14.818,1:14.946,1:14.908,1:14.851,1:16.288,1:15.301,1:15.925,1:15.396,1:15.388,1:16.485,1:15.923,1:19.577,1:32.966,1:14.176,1:16.341,1:14.490,1:14.519,1:15.564,1:14.365,1:14.036,1:14.045,1:15.462,1:15.550,1:14.315,1:14.295,1:14.075,1:14.192,1:14.264,1:14.071,1:14.268,1:15.057,1:16.894,1:14.949,1:18.329,1:17.501,1:16.185
Max Chilton (CHI),1:26.839,1:18.909,1:17.958,1:16.817,1:17.030,1:16.949,1:16.826,1:16.481,1:16.883,1:16.560,1:17.335,1:18.032,1:17.784,1:17.840,1:16.676,1:16.865,1:16.974,1:17.018,1:16.797,1:16.931,1:18.006,1:16.932,1:16.508,1:16.721,1:17.079,1:17.554,1:16.834,1:16.991,1:16.677,1:16.524,1:16.439,1:20.051,1:17.872,1:18.023,1:17.093,1:17.873,1:21.340,1:34.762,1:15.060,1:14.847,1:15.065,1:15.155,1:15.065,1:15.286,1:15.361,1:16.227,1:15.444,1:15.224,1:15.029,1:15.270,1:15.322,1:15.368,1:15.182,1:15.074,1:15.391,1:15.309,1:15.320,1:15.372,1:18.416,1:15.683,1:16.318,1:17.236,1:15.789,1:15.909,1:16.073,1:16.141,1:16.987,1:16.401,1:16.649
Jean-Éric Vergne (VER),1:24.094,1:16.483,1:16.160,1:15.835,1:16.307,1:15.362,1:15.327,1:18.739,1:32.957,1:14.855,1:15.558,1:15.525,1:15.360,1:15.487,1:15.439,1:15.766,1:15.573,1:15.621,1:15.220,1:15.597,1:15.536,1:15.431,1:16.115,1:15.023,1:15.510,1:15.603,1:15.038,1:15.095,1:15.111,1:15.131,1:15.121,1:15.165,1:15.018,1:15.420,1:15.018,1:15.120,1:15.489,1:15.447,1:19.299,1:32.255,1:14.465,1:14.615,1:14.414,1:14.584,1:14.062,1:13.998,1:13.859,1:14.056,1:13.861,1:14.131,1:14.140,1:14.110,1:13.981,1:13.592,1:13.317,1:17.797,1:14.238,1:14.598,1:27.954
Daniel Ricciardo (RIC),1:21.640,1:15.912,1:16.463,1:15.354,1:15.240,1:15.301,1:15.736,1:16.035,1:15.991,1:18.922,1:33.087,1:15.339,1:15.605,1:15.281,1:15.083,1:15.290,1:14.964,1:14.962,1:15.174,1:14.954,1:14.683,1:14.452,1:14.613,1:14.525,1:15.377,1:14.655,1:14.418,1:14.113,1:13.862,1:14.237,1:14.092,1:14.025,1:14.051,1:13.891,1:13.999,1:13.931,1:13.928,1:13.795,1:14.166,1:13.957,1:13.823,1:14.057,1:17.232,1:30.675,1:13.407,1:13.257,1:13.207,1:13.127,1:13.123,1:13.344,1:13.175,1:13.215,1:14.054,1:13.111,1:13.060,1:13.084,1:13.365,1:13.981,1:13.480,1:13.217,1:13.287,1:13.463,1:13.118,1:13.145,1:13.181,1:13.510,1:13.835,1:13.635,1:13.621,1:13.724,1:13.882
Sergio Pérez (PER),1:22.444,1:16.141,1:16.162,1:15.506,1:15.267,1:15.049,1:15.724,1:15.800,1:16.058,1:15.976,1:14.825,1:14.848,1:15.118,1:15.436,1:14.601,1:14.545,1:14.346,1:14.396,1:14.361,1:14.391,1:14.295,1:14.379,1:14.254,1:14.139,1:14.392,1:14.470,1:16.508,1:15.395,1:18.098,1:33.237,1:13.169,1:13.384,1:13.599,1:13.634,1:13.762,1:13.377,1:13.550,1:14.227,1:13.920,1:15.411,1:13.990,1:13.780,1:13.501,1:13.418,1:13.950,1:13.432,1:13.206,1:12.857,1:13.126,1:13.190,1:13.190,1:13.142,1:13.149,1:13.365,1:17.327,1:30.441,1:12.257,1:12.616,1:12.142,1:12.530,1:12.793,1:12.605,1:12.299,1:12.771,1:12.809,1:12.374,1:13.123,1:12.748,1:13.223,1:12.875,1:13.099
