Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Roberto Merhi (MER),1:37.233,1:23.872,1:23.455,1:23.085,1:23.095,1:23.349,1:24.191,1:24.059,1:23.908,1:23.095,1:22.633,1:22.600,1:22.452,1:22.264,1:22.494,1:22.286,1:23.244,1:23.215,1:23.421,1:22.123,1:22.559,1:22.494,1:22.052,1:23.072,1:22.127,1:22.920,1:23.520,1:23.069,1:22.758,1:24.007,1:22.293,1:22.869,1:21.970,1:21.988,1:43.062,1:23.494,1:20.804,1:20.858,1:20.807,1:21.166,1:22.001,1:21.957,1:22.338,1:22.320,1:21.452,1:21.567,1:21.178,1:21.135,1:21.193,1:22.000,1:22.595,1:22.010,1:21.821,1:21.524,1:21.626,1:22.474,1:23.101
Carlos Sainz (SAI),1:34.316,1:22.301,1:21.972,1:21.774,1:21.422,1:21.184,1:21.013,1:21.224,1:20.685,1:20.694,1:20.604,1:20.400,1:20.381,1:20.603,1:20.335,1:20.391,1:20.367,1:20.582,1:20.793,1:20.620,1:19.985,1:21.416,1:20.650,1:20.070,1:20.125,1:20.141,1:36.845,1:21.996,1:19.396,1:19.286,1:19.151,1:19.248,1:19.331,1:21.403,1:19.509,1:19.532,1:19.121,1:19.000,1:19.031,1:19.231,1:19.476,1:19.341,1:21.070,1:20.070,1:19.343,1:19.069,1:19.477,1:19.135,1:19.281,1:19.329,1:19.137,1:19.249,1:19.197,1:19.190,1:19.386,1:19.156,1:18.961,1:19.104,1:19.310,1:19.246,1:18.811,1:19.330,1:19.258,1:20.518,1:19.738,1:19.400,1:19.348,1:19.195,1:18.891
Felipe Nasr (NAS),1:34.641,1:23.435,1:21.877,1:21.921,1:21.358,1:21.099,1:20.943,1:20.674,1:21.466,1:21.355,1:21.934,1:21.514,1:21.458,1:21.192,1:21.663,1:21.478,1:21.396,1:21.107,1:21.413,1:20.728,1:20.758,1:20.736,1:21.586,1:21.637,1:21.358,1:38.463,1:23.512,1:19.867,1:19.903,1:19.943,1:19.975,1:20.576,1:19.943,1:19.963,1:20.152,1:20.219,1:19.854,1:19.608,1:19.710,1:20.899,1:20.017,1:19.975,1:19.717,1:19.952,1:20.465,1:19.517,1:19.088,1:19.749,1:19.451,1:20.875,1:19.707,1:19.871,1:19.356,1:19.870,1:19.699,1:20.030,1:20.989,1:19.801,1:20.266,1:22.307,1:20.120,1:19.172,1:19.350,1:20.026,1:20.388,1:20.225,1:20.102,1:23.370
Max Verstappen (VER),1:35.581,1:22.718,1:21.782,1:21.969,1:21.503,1:21.319,1:21.148,1:20.952,1:20.991,1:20.964,1:20.644,1:21.002,1:20.612,1:20.407,1:20.438,1:20.217,1:20.020,1:20.590,1:20.332,1:20.405,1:20.782,1:20.344,1:20.116,1:20.289,1:20.153,1:19.855,1:19.919,1:20.081,1:20.405,1:20.769,1:19.946,1:20.825,1:20.936,1:20.896,1:20.267,1:20.113,1:20.067,1:20.275,1:48.627,1:21.186,1:19.552,1:19.696,1:19.219,1:18.972,1:19.329,1:18.930,1:19.314,1:18.753,1:18.664,1:18.616,1:18.728,1:18.662,1:18.692,1:18.732,1:18.754,1:18.810,1:18.770,1:18.731,1:19.419,1:19.431,1:20.956,1:19.153,1:19.465,1:20.025,1:19.607,1:19.966,1:19.389,1:19.266,1:19.112
Will Stevens (STE),1:37.916,1:24.219,1:23.095,1:23.005,1:22.888,1:23.224,1:23.546,1:23.045,1:23.978,1:22.996,1:22.724,1:22.426,1:22.377,1:22.250,1:22.506,1:22.284,1:22.705,1:23.508,1:23.145,1:23.865,1:22.451,1:22.182,1:22.117,1:22.336,1:23.103,1:23.139,1:22.581,1:22.071,1:22.630,1:22.453,1:23.616,1:22.235,1:22.605,1:45.353,1:25.758,1:21.111,1:20.744,1:20.707,1:20.975,1:21.337,1:22.453,1:23.935,1:21.924,1:21.852,1:21.901,1:21.638,2:14.767,1:25.486,1:22.080,1:20.835,1:20.849,1:22.793,1:21.575,1:22.033,1:22.761,1:23.271,1:21.689,1:21.929,1:21.853,1:21.717,1:25.246,1:21.689,1:23.918,1:21.513,1:21.737,1:21.923
Marcus Ericsson (ERI),1:32.866,1:22.644,1:21.459,1:21.205,1:20.954,1:21.121,1:20.852,1:20.818,1:21.743,1:20.797,1:20.556,1:20.377,1:20.249,1:20.705,1:20.475,1:20.238,1:19.962,1:20.352,1:20.328,1:20.594,1:21.013,1:21.338,1:21.039,1:20.694,1:20.425,1:20.154,1:20.473,1:37.567,1:22.920,1:19.410,1:20.023,1:20.102,1:19.867,1:19.994,1:20.019,1:20.327,1:22.933,1:20.112,1:19.617,1:19.543,1:19.649,1:19.824,1:19.452,1:19.167,1:19.544,1:19.083,1:19.241,1:19.094,1:19.276,1:19.733,1:19.657,1:21.546,1:19.956,1:20.080,1:21.171,1:19.527,1:19.392,1:18.890,1:19.377,1:19.051,1:19.659,1:20.728,1:19.468,1:19.067,1:19.458,1:19.009,1:19.026,1:20.093,1:19.922
Daniil Kvyat (KVY),1:30.840,1:21.673,1:20.716,1:20.805,1:20.316,1:20.207,1:20.148,1:20.306,1:20.378,1:20.479,1:20.598,1:20.495,1:20.239,1:19.856,1:20.656,1:20.191,1:19.934,1:20.066,1:20.928,1:21.117,1:20.163,1:20.412,1:20.086,1:20.096,1:19.971,1:19.814,1:36.137,1:21.794,1:19.625,1:19.210,1:19.427,1:19.955,1:19.812,1:19.707,1:19.426,1:20.117,1:19.259,1:20.059,1:19.599,1:20.389,1:19.570,1:19.648,1:19.844,1:19.139,1:19.039,1:19.260,1:19.240,1:19.325,1:19.013,1:18.840,1:18.835,1:18.813,1:22.256,1:19.420,1:18.719,1:18.922,1:19.878,1:18.982,1:18.607,1:18.853,1:18.520,1:18.508,1:18.280,1:18.279,1:18.084,1:18.554,1:18.207,1:18.362,1:18.048
Valtteri Bottas (BOT),1:27.753,1:20.542,1:19.870,1:19.307,1:19.318,1:19.123,1:19.095,1:19.224,1:19.445,1:19.262,1:19.066,1:19.102,1:18.890,1:18.996,1:18.913,1:18.779,1:19.082,1:18.856,1:19.162,1:19.109,1:19.893,1:18.952,1:19.005,1:19.091,1:19.170,1:19.161,1:19.507,1:37.332,1:20.503,1:18.316,1:18.288,1:18.979,1:18.875,1:18.913,1:18.880,1:19.303,1:18.625,1:18.756,1:18.389,1:18.496,1:19.209,1:18.730,1:18.684,1:18.760,1:18.554,1:18.828,1:18.437,1:18.669,1:18.441,1:18.618,1:18.717,1:18.622,1:18.610,1:18.574,1:18.885,1:18.721,1:18.606,1:18.530,1:18.372,1:18.502,1:18.378,1:18.462,1:18.375,1:18.268,1:18.549,1:18.267,1:17.922,1:18.629,1:19.371,1:23.193
Daniel Ricciardo (RIC),1:31.290,1:21.997,1:21.279,1:20.359,1:20.262,1:20.309,1:20.524,1:20.544,1:21.161,1:21.145,1:20.535,1:20.225,1:21.057,1:20.450,1:20.722,1:20.317,1:20.297,1:20.389,1:20.089,1:20.739,1:20.325,1:20.352,1:36.699,1:21.736,1:19.321,1:19.693,1:19.887,1:19.457,1:20.477,1:19.848,1:19.974,1:20.020,1:19.629,1:19.610,1:19.700,1:19.599,1:19.719,1:21.589,1:20.414,1:20.059,1:19.640,1:19.430,1:19.426,1:19.164,1:19.536,1:19.557,1:22.910,1:19.816,1:19.546,1:19.523,1:19.479,1:19.800,1:20.217,1:20.201,1:19.561,1:19.321,1:19.488,1:19.899,1:19.970,1:19.753,1:19.328,1:19.494,1:19.290,1:21.195,1:19.867,1:19.416,1:19.060,1:21.942,1:21.656
Sergio Pérez (PER),1:31.917,1:22.323,1:21.182,1:20.886,1:20.549,1:20.017,1:19.995,1:20.217,1:19.966,1:20.162,1:20.229,1:20.239,1:20.226,1:20.616,1:21.180,1:20.896,1:20.315,1:20.399,1:20.502,1:20.245,1:20.165,1:20.267,1:20.544,1:35.994,1:21.769,1:18.902,1:20.085,1:19.186,1:19.564,1:19.766,1:19.587,1:19.716,1:20.050,1:19.400,1:19.190,1:19.933,1:19.604,1:19.839,1:20.239,1:19.967,1:19.862,1:19.600,1:19.554,1:19.554,1:19.671,1:19.256,1:19.383,1:19.110,1:18.889,1:19.225,1:21.926,1:19.522,1:19.064,1:19.436,1:21.313,1:19.964,1:19.660,1:19.202,1:19.676,1:19.542,1:18.898,1:19.160,1:19.277,1:19.632,1:19.667,1:20.071,1:20.962,1:20.804,1:20.163
