Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Roberto Merhi (MER),2:35.826,2:37.336,2:26.272,1:50.359,1:48.342,1:48.242,1:47.967,1:48.887,1:48.573,1:48.197,1:47.921,2:11.850,2:20.713,2:23.717,2:41.334,2:23.655,1:50.970,1:47.794,1:48.190,1:47.145,1:47.068,1:47.243,1:46.879,1:46.632,1:46.714,1:48.142,1:46.914,1:46.983,1:46.549,1:46.427,1:46.628,1:46.327,1:48.176,1:46.270,1:46.722,1:46.106,1:45.798,1:48.150,1:45.937,1:45.843,1:47.581,1:45.556,1:50.384,1:45.834,1:45.522,1:47.661,1:50.209,1:45.780,1:49.013,1:45.049,1:46.526,1:45.775
Carlos Sainz (SAI),2:38.928,2:35.936,2:25.368,1:46.150,1:46.339,1:45.234,1:45.028,1:45.682,1:45.388,1:45.763,1:44.835,2:07.206,2:34.036,2:35.009,2:38.357,2:25.786,1:47.855,1:46.199,1:44.516,1:44.277,1:44.082,1:43.867,1:43.989,1:43.899,1:44.354,1:43.680,1:43.456,1:43.664,1:43.317,1:44.847,1:43.323,1:43.439,1:43.628,1:42.976,1:42.899,1:43.412,1:43.186,1:42.831,1:42.832,1:42.939,1:42.339,1:42.277,1:42.588,1:42.258,1:57.644
Felipe Nasr (NAS),2:31.330,2:36.771,2:28.528,1:45.850,1:45.629,1:45.395,1:45.557,1:45.118,1:45.328,1:44.825,1:44.908,2:00.387,2:29.012,2:47.248,2:37.294,2:29.869,1:47.276,1:43.989,1:44.366,1:43.948,1:43.408,1:43.784,1:43.267,1:43.329,1:43.571,1:43.207,1:43.088,1:42.547,1:44.478,1:43.265,1:42.878,1:43.369,1:43.330,1:47.832,2:06.083,1:43.909,1:43.861,1:43.577,1:42.104,1:42.558,1:42.186,1:41.649,1:41.837,1:41.598,1:43.022,1:43.492,1:42.366,1:42.876,1:42.808,1:42.825,1:42.277,1:41.507,1:43.016
Max Verstappen (VER),3:19.317,2:44.188,1:49.022,1:45.850,1:45.217,1:45.509,1:45.950,1:45.267,1:45.246,1:44.759,1:44.733,2:06.401,2:15.579,2:43.016,2:37.843,2:26.900,1:48.996,1:46.079,1:44.882,1:45.026,1:44.450,1:44.990,1:45.759,1:48.994,2:04.805,1:43.674,1:42.912,1:42.758,1:42.639,1:42.731,1:43.093,1:43.690,1:43.178,1:42.815,1:42.884,1:42.835,1:43.054,1:42.907,1:42.932,1:43.157,1:43.988,1:43.365,1:44.031,1:44.596,1:43.899,1:43.859,1:44.097,1:44.040,1:43.987,1:44.133,1:44.930,1:44.622,1:45.864
Will Stevens (STE),2:36.999,2:36.771,2:26.054,1:50.654,1:48.801,1:48.315,1:48.902,1:48.531,1:47.963,1:48.182,1:48.107,2:11.958,2:17.503,2:27.874,2:39.926,2:23.565,1:55.314,2:09.338,1:47.854,1:47.985,1:47.788,1:47.340,1:47.557,1:47.602,1:47.297,1:46.858,1:48.138,1:46.704,1:46.458,1:46.851,1:46.559,1:49.468,1:46.642,1:48.833,1:49.092,1:49.244,1:46.950,1:49.921,1:48.233,1:50.926,1:46.603,1:46.353,1:46.165,1:45.910,1:46.015,1:46.161,1:46.028,1:45.607,1:48.493,1:44.926,1:47.384
Daniil Kvyat (KVY),2:25.599,2:38.854,2:30.776,1:45.870,1:45.306,1:44.839,1:44.414,1:44.795,1:44.443,1:44.401,1:44.349,2:01.139,2:32.984,2:46.963,2:37.801,2:30.135,1:46.848,1:43.551,1:44.150,1:43.474,1:43.370,1:43.258,1:43.134,1:43.873,1:42.814,1:42.913,1:42.877,1:43.095,1:42.745,1:42.973,1:43.036,1:44.383,1:48.657,2:03.848,1:42.044,1:42.557,1:42.211,1:43.195,1:43.708,1:42.415,1:41.975,1:41.691,1:44.308,1:42.522,1:43.299,1:42.438,1:42.023,1:42.129,1:42.457,1:42.752,1:41.588,1:41.372,1:42.239
Valtteri Bottas (BOT),2:20.480,2:40.876,2:32.433,1:43.807,1:43.643,1:43.240,1:43.714,1:42.905,1:42.738,1:42.762,1:42.665,1:53.554,2:51.556,2:46.627,2:38.469,2:31.350,1:42.981,1:42.169,1:42.629,1:42.701,1:42.350,1:42.435,1:42.909,1:42.845,1:43.212,1:48.119,2:04.420,1:42.367,1:42.941,1:42.820,1:43.009,1:43.410,1:42.792,1:42.638,1:42.566,1:44.521,1:42.087,1:41.873,1:41.919,1:42.173,1:41.663,1:41.833,1:41.962,1:41.994,1:41.134,1:41.144,1:41.647,1:41.856,1:41.892,1:41.977,1:41.659,1:42.138
Daniel Ricciardo (RIC),2:27.788,2:37.174,2:30.687,1:45.978,1:45.298,1:45.194,1:44.521,1:44.946,1:44.335,1:44.170,1:44.308,2:06.565,2:33.308,2:44.767,2:37.647,2:27.649,1:48.836,1:45.080,1:44.121,1:43.971,1:43.945,1:43.711,1:44.359,1:44.138,1:43.703,1:43.840,1:44.154,1:43.738,1:43.339,1:43.455,1:43.200,1:43.179,1:42.899,1:42.664,1:42.743,1:43.284,1:42.340,1:42.110,1:42.191,1:41.921,1:41.996,1:42.040,1:41.888,1:42.411,1:42.816,1:42.838,1:43.182
Sergio Pérez (PER),2:23.690,2:39.536,2:31.595,1:45.471,1:44.895,1:44.209,1:44.461,1:44.349,1:43.980,1:44.466,1:44.723,2:01.607,2:39.098,2:46.228,2:37.589,2:28.269,1:47.531,1:44.434,1:44.195,1:43.893,1:43.617,1:43.965,1:43.730,1:44.083,1:44.042,1:43.482,1:43.553,1:43.911,1:43.076,1:43.327,1:43.300,1:44.289,1:43.471,1:43.013,1:42.873,1:42.681,1:42.544,1:42.157,1:41.862,1:41.930,1:42.064,1:41.907,1:42.153,1:42.024,1:42.149,1:41.910,1:41.903,1:41.772,1:41.971,1:41.925,1:41.884,1:44.659,1:44.496
Pastor Maldonado (MAL),2:33.698,2:36.819,2:27.256,1:47.085,1:45.975,1:45.267,1:45.781,1:45.541,1:45.236,1:44.652,1:44.889,2:01.892,2:26.504,2:46.911,2:37.170,2:29.143,1:48.502,1:44.735,1:44.176,1:44.558,1:43.764,1:43.879,1:44.055,1:44.143,1:43.587,1:43.925,1:43.941,1:43.518,1:43.438,1:48.255,2:03.714,1:43.165,1:42.766,1:42.843,1:43.270,1:43.069,1:43.190,1:43.377,1:43.911,1:43.054,1:43.734,1:43.701,1:42.595,1:42.152,1:41.884,1:42.503,1:42.338,1:41.841,1:41.623,1:42.611,1:41.520,1:42.404,1:42.552
Romain Grosjean (GRO),2:27.768,2:48.117,2:24.697,1:46.834,1:46.229,1:45.448,1:45.266,1:45.720,1:45.443,1:45.504,1:45.656
Sebastian Vettel (VET),2:21.449,2:40.542,2:32.144,1:45.099,1:43.960,1:43.962,1:44.099,1:43.650,1:43.535,1:43.261,1:43.168,1:56.223,2:45.782,2:46.619,2:38.153,2:30.570,1:44.432,1:42.641,1:42.352,1:42.189,1:42.199,1:42.099,1:42.437,1:42.572,1:42.715,1:43.149,1:42.326,1:42.283,1:42.510,1:47.618,2:01.849,1:41.509,1:41.637,1:41.936,1:41.706,1:41.380,1:41.548,1:41.437,1:41.113,1:40.853,1:41.068,1:40.532,1:41.154,1:40.923,1:40.810,1:40.890,1:41.849,1:41.514,1:42.018,1:42.917,1:40.071,1:41.856,1:42.669
Jenson Button (BUT),2:30.176,2:37.119,2:28.895,1:47.020,1:45.861,1:45.438,1:46.405,1:45.561,1:46.810,1:45.814,1:46.673,2:07.650,2:34.186,2:35.245,2:39.132,2:23.630,1:48.599,1:46.303,1:44.873,1:45.114,1:45.335,1:44.922,1:45.371,1:44.979,1:44.509,1:44.418,1:44.229,1:44.252,1:44.016,1:44.306,1:44.401,1:43.923,1:43.656,1:44.565,1:44.943,1:44.177,1:44.299,1:43.994,1:44.706,1:44.060,1:43.951,1:43.595,1:45.190,1:43.623,1:43.751,1:44.169,1:44.181,1:44.219,1:43.787,1:43.897,1:43.808,1:43.687,1:43.068
Felipe Massa (MAS),2:32.826,2:36.359,2:28.058,1:46.866,1:45.699,1:45.504,1:44.731,1:44.721,1:45.482,1:44.864,1:45.070,2:02.239,2:27.454,2:46.936,2:37.329,2:29.247,1:47.751,1:44.282,1:44.265,1:43.731,1:43.695,1:44.005,1:43.594,1:43.704,1:43.493,1:43.444,1:43.384,1:43.433,1:43.667,1:47.974,2:03.765,1:42.096,1:42.127,1:43.527,1:41.976,1:41.740,1:41.378,1:42.026,1:44.155,1:42.058,1:42.034,1:41.945,1:42.129,1:40.996,1:41.663,1:40.897,1:42.194,1:40.881,1:41.056,1:41.385,1:40.997,1:41.209,1:43.814
