Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Esteban Ocon (OCO),2:07.380,2:10.034,2:03.251,1:57.964,1:56.946,2:26.359,2:40.966,2:47.305,3:08.401,19:02.210,1:59.140,1:58.089,1:57.044,1:56.448,1:56.835,1:56.687,1:56.971,1:56.577,1:56.867,1:57.248,1:57.928,1:58.045,1:57.626,2:02.185,2:10.489,1:55.734,1:56.264,1:56.247,1:56.442,1:56.162,1:56.325,1:56.413,1:56.912,1:56.831,1:56.790,1:56.815,1:56.756,1:57.075,1:57.671,1:58.750,1:57.465,1:57.384,1:57.350
Jolyon Palmer (PAL),2:05.776,2:05.771,2:03.789,1:56.643,1:56.542,2:23.811,2:34.718,2:55.511,3:04.370,19:11.853,1:55.904,1:56.645,1:56.655,1:57.356,1:57.294,1:56.456,1:56.645,1:57.543,1:56.622,1:56.475,1:56.802,2:01.126,2:08.846,1:55.548,1:55.212,1:55.219,1:55.766,1:55.685,1:55.858,1:56.451,1:56.734,1:55.797,1:56.144,2:00.375,2:07.402,1:53.722,1:54.387,1:54.355,1:54.417,1:53.758,1:53.251,1:53.451,1:54.079,1:53.459
Carlos Sainz (SAI),2:05.072
Felipe Nasr (NAS),2:15.622,2:29.286,2:00.488,1:57.415,1:57.576,2:31.768,2:11.871,2:47.509,3:09.123,19:00.457,1:58.125,1:58.305,1:56.780,1:56.289,1:56.719,1:56.599,1:56.638,1:56.437,1:56.735,1:56.524,1:56.876,1:57.611,2:01.852,2:17.802,1:56.259,1:56.246,1:56.455,1:56.457,1:56.221,1:56.523,1:56.152,1:56.217,1:56.509,1:56.865,1:56.942,1:56.797,1:56.935,1:56.905,1:56.939,1:58.471,1:57.555,1:57.257,1:57.425
Max Verstappen (VER),2:09.574,2:30.845,1:57.129,1:54.904,1:54.972,2:27.818,2:26.733,2:46.766,3:07.129,19:04.667,1:57.782,1:58.331,1:55.941,1:55.679,1:55.972,1:59.999,2:06.676,1:53.564,1:54.151,1:54.490,1:54.589,1:54.630,1:55.522,1:54.727,1:56.363,1:54.988,2:01.822,2:06.368,1:54.571,1:53.855,1:54.440,1:53.281,1:53.476,1:54.119,1:54.108,1:53.588,1:54.039,1:54.441,1:54.545,1:54.424,1:54.693,1:54.983,1:55.371,1:56.131
Marcus Ericsson (ERI),2:10.752,2:15.255,2:36.352
Daniil Kvyat (KVY),2:07.841,2:11.872,2:05.073,1:57.012,1:56.701,2:25.126,2:22.353,2:55.383,3:03.943,19:13.018,1:54.949,1:56.693,1:55.949,1:56.032,1:56.516,1:56.758,1:56.875,1:56.424,1:57.593,1:56.124,2:00.285,2:09.072,1:55.734,1:57.007,1:55.951,1:56.731,1:55.765,1:55.665,1:55.403,1:55.225,1:55.272,1:56.041,1:55.343,1:55.108,2:00.371,2:08.185,1:52.081,1:52.992,1:53.675,1:53.210,1:53.292,1:54.030,1:54.461,1:55.021
Kevin Magnussen (MAG),2:06.104,2:06.106,2:03.835,1:56.588,1:56.807
Valtteri Bottas (BOT),2:04.020,2:02.893,2:06.123,1:55.864,1:55.649,2:20.256,2:35.454,3:06.343,3:05.824,19:07.366,1:56.419,1:56.266,1:55.975,1:55.729,1:56.103,1:56.430,1:55.945,1:56.380,1:54.987,1:55.222,1:55.270,1:55.451,1:59.816,2:06.482,1:54.218,1:54.864,1:55.779,1:54.524,1:54.141,1:54.278,1:54.120,1:54.287,1:55.462,1:54.859,1:54.663,1:54.943,1:55.473,1:55.066,1:55.126,1:54.958,1:54.352,1:54.936,1:54.304,1:54.589
Esteban Gutiérrez (GUT),2:06.661,2:08.524,2:01.655,1:56.697,1:56.658,2:22.156,2:29.951,3:04.937,3:07.339,19:05.519,1:56.669,1:56.248,1:56.183,1:56.653,1:55.452,1:56.118,1:56.838,1:56.219,1:56.327,1:56.368,1:56.871,2:01.851,2:08.358,1:54.721,1:55.888,1:54.335,1:54.641,1:54.815,1:54.693,1:54.744,1:55.221,1:54.583,1:54.635,1:54.915,1:55.802,1:56.178,1:54.914,1:55.288,1:55.271,1:54.712,1:54.604,1:54.687,1:54.919,1:55.117
Daniel Ricciardo (RIC),2:01.542,2:01.246,2:09.631,1:55.286,1:55.440,2:19.378,2:34.649,2:56.069,3:02.307,19:20.040,1:52.461,1:53.644,1:53.809,1:54.190,1:54.403,1:54.506,1:54.668,1:54.395,1:54.408,1:54.536,1:54.701,1:55.257,1:55.296,1:55.182,1:59.645,2:06.046,1:53.051,1:52.951,1:52.922,1:53.209,1:53.327,1:53.609,1:53.360,1:53.248,1:53.127,1:53.263,1:53.221,1:53.437,1:53.326,1:53.468,1:53.492,1:53.233,1:53.674,1:56.518
Sergio Pérez (PER),2:05.346,2:04.605,2:04.301,1:55.375,1:55.546,2:23.131,2:35.958,2:55.984,3:03.030,19:14.576,1:55.866,1:55.048,1:55.157,1:55.064,1:55.273,1:55.484,1:55.515,1:55.539,1:55.802,1:55.795,1:56.149,1:55.960,1:55.367,1:59.600,2:06.017,1:54.456,1:54.712,1:54.699,1:54.140,1:53.839,1:53.740,1:53.882,1:53.542,1:53.414,1:53.826,1:53.853,1:53.668,1:54.010,1:53.902,1:53.880,1:53.959,1:53.811,1:53.998,1:54.899
Nico Hülkenberg (HUL),2:00.111,1:58.104,2:08.998,1:54.360,1:55.453,2:20.286,2:40.723,2:55.897,3:02.791,19:19.446,1:53.876,1:54.302,1:54.573,1:54.815,1:54.927,1:55.097,1:55.361,1:56.994,1:55.621,1:55.669,1:55.606,1:56.067,2:00.297,2:08.333,1:53.615,1:54.704,1:54.254,1:54.313,1:54.466,1:54.192,1:53.769,1:53.997,1:53.811,1:54.639,1:53.671,1:53.691,1:53.551,1:53.911,1:53.760,1:53.724,1:53.530,1:53.778,1:53.887,1:53.995
Romain Grosjean (GRO),2:03.445,2:05.283,2:05.044,1:57.014,1:56.413,2:24.466,2:36.458,2:55.997,3:04.657,19:10.508,1:55.863,1:55.322,1:55.909,1:56.112,1:56.505,1:57.265,1:57.324,1:57.597,1:56.541,1:57.179,1:56.473,1:57.864,2:05.887,2:08.461,1:53.803,1:54.543,1:54.939,1:54.818,1:55.790,1:55.909,1:54.150,1:54.612,1:54.773,1:54.854,1:55.839,1:53.803,1:54.595,1:54.264,1:54.258,1:54.251,1:54.217,1:54.636,1:54.690,1:55.201
Sebastian Vettel (VET),2:16.688,2:20.875,1:56.879,1:54.656,1:54.537,2:25.987,2:19.847,2:56.470,3:04.611,19:09.160,1:56.014,1:56.179,1:55.130,1:56.007,1:56.500,1:56.112,1:54.827,1:54.978,1:55.009,1:54.902,1:55.219,1:56.059,2:00.101,2:06.865,1:55.466,1:55.418,1:53.532,1:53.827,1:54.484,1:54.508,1:54.717,1:54.949,1:56.264,1:53.718,1:52.728,1:53.880,1:53.475,1:53.575,1:53.499,1:53.488,1:53.873,1:53.533,1:53.751,1:54.155
Jenson Button (BUT),2:21.859
