Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Esteban Ocon (OCO),2:47.487,2:01.571,2:00.797,2:01.357,1:59.021,1:58.841,1:44.781,1:35.815,1:30.809,1:30.763,1:29.279,1:29.889,1:44.891,1:51.976,1:51.273,2:05.575,2:05.964,2:03.237,1:59.263,2:05.797,35:21.063,2:00.748,1:59.887,2:01.426,1:58.683,2:02.386,1:59.404,2:18.628,26:35.438,2:02.415,1:59.860,1:31.810,1:30.957,1:28.813,1:30.208,1:28.975,1:29.666,1:28.755,1:28.705,1:28.641,1:28.368,1:28.471,1:29.391,1:28.707,1:28.682,1:28.235,1:27.796,1:50.489,1:48.952,1:52.646,2:13.348,2:06.205,2:03.348,2:02.432,2:00.631,1:31.311,1:30.423,1:29.552,1:29.394,1:29.181,1:29.824,1:29.220,1:29.275,1:28.881,1:28.300,1:27.936,1:27.957,1:27.961,1:27.857,1:28.668,1:28.849
Pascal Wehrlein (WEH),2:42.985,2:01.578,2:00.506,2:01.575,1:58.407,1:58.741,1:48.121,1:38.648,1:32.903,1:34.767,1:31.493,1:31.065,1:52.422,1:50.161,1:42.746,1:59.633,2:06.523,2:02.814,1:59.138,2:06.882,35:18.880,2:01.278,1:59.893,2:00.920,1:59.881,2:01.154,2:00.126,2:18.956,26:34.249,2:02.665,2:00.771,1:34.035,1:31.061,1:31.109,1:30.190,1:32.282,1:30.263,1:30.602,1:30.114,1:30.362,1:31.816,1:29.641,1:31.674,1:30.633,1:29.258,1:29.491,1:36.072,1:55.341,1:48.421,1:44.257,1:48.403,2:09.624,2:00.865,2:01.793,1:59.389,1:32.390,1:31.433,1:30.604,1:31.616,1:31.671,1:30.112,1:29.847,1:29.021,1:30.511,1:28.550,1:28.028,1:28.744,1:28.277,1:27.919,1:28.113,1:28.420
Jolyon Palmer (PAL),2:38.597,2:00.478,2:01.150,2:00.750,2:00.387,1:57.327,1:50.030,1:36.005,1:39.725,1:54.001,1:34.334,1:34.547,1:51.718,1:49.808,1:40.651,1:49.538,2:05.199,2:01.509,1:58.585,2:21.171
Carlos Sainz (SAI),2:37.123,2:00.838,2:01.420,2:00.264,2:00.187,1:57.701,1:50.117,1:35.923,1:31.680,1:29.228,1:28.783,1:28.510,1:41.320,1:48.902,2:01.947,2:05.704,2:05.808,2:04.368,1:59.612,2:03.519,35:22.068,2:01.451,1:59.910,2:00.166,1:59.602,2:03.544,1:58.074,2:18.475,26:35.775,2:01.890,2:01.991,1:31.196,1:29.659,1:28.220,1:28.296,1:27.265,1:27.447,1:27.153,1:27.198,1:28.092,1:27.821,1:27.605,1:27.230,1:27.555,1:27.926,1:27.664,1:28.014,1:44.739,1:47.442,2:13.162,2:11.617,2:07.562,2:02.553,2:02.197,2:04.734,1:30.322,1:29.684,1:28.778,1:28.419,1:28.558,1:28.104,1:28.131,1:27.894,1:27.557,1:28.071,1:27.488,1:28.461,1:27.402,1:27.304,1:28.580,1:27.495
Felipe Nasr (NAS),2:46.666,2:00.959,2:01.055,2:01.111,1:58.722,1:58.941,1:43.922,1:33.837,1:32.376,1:30.396,1:29.416,1:29.085,1:42.393,1:49.527,1:58.448,2:04.850,2:05.770,2:04.232,2:00.003,2:02.952,35:22.939,2:00.789,1:59.263,2:01.231,1:58.772,2:03.956,1:58.554,2:17.911,26:35.728,2:03.194,2:00.505,1:32.012,1:29.228,1:28.771,1:29.182,1:28.868,1:28.282,1:27.918,1:28.041,1:28.024,1:28.508,1:28.405,1:27.583,1:28.390,1:29.606,1:28.800,1:28.671,1:46.782,1:48.684,1:59.626,2:12.416,2:07.652,2:03.483,2:00.291,2:03.106,1:31.395,1:30.010,1:29.753,1:29.566,1:30.531,1:28.678,1:30.112,1:28.754,1:29.594,1:28.252,1:27.880,1:27.729,1:27.965,1:27.933,1:27.547,1:28.424
Max Verstappen (VER),2:19.517,2:01.971,2:00.865,2:00.795,1:59.347,1:59.017,1:57.660,1:28.909,1:27.709,1:27.781,1:27.386,1:27.032,1:37.734,2:05.217,2:07.995,2:06.973,2:05.228,2:03.935,2:02.771,1:58.685,35:23.754,2:02.347,2:01.134,2:00.564,2:00.167,2:01.423,1:59.286,2:17.494,26:36.285,2:03.340,2:01.862,1:26.986,1:26.491,1:25.995,1:26.286,1:25.960,1:26.338,1:30.828,1:26.688,1:26.239,1:26.252,1:26.695,1:32.698,1:44.987,1:25.761,1:26.349,1:27.622,1:44.033,1:48.508,2:11.227,2:11.378,2:07.687,2:02.689,2:06.533,2:10.329,1:30.446,1:28.764,1:28.409,1:28.660,1:28.118,1:27.783,1:26.211,1:25.775,1:26.177,1:25.936,1:27.130,1:25.305,1:26.249,1:26.444,1:25.623,1:27.044
Marcus Ericsson (ERI),2:44.538,2:01.546,2:00.859,2:00.503,1:58.931,1:58.393,1:47.391,1:36.096,1:37.911,1:53.081,1:31.265
Daniil Kvyat (KVY),2:35.544,2:01.006,2:01.699,1:59.456,2:00.678,1:57.378,1:51.535,1:35.783,1:38.127,1:53.127,1:27.979,1:29.163,1:50.728,1:49.460,1:46.443,1:54.899,2:06.231,2:05.360,1:59.232,2:12.491,35:16.816,2:00.382,2:03.788,1:58.901,2:01.228,2:00.853,1:59.329,2:25.530,26:27.639,2:02.861,1:53.400,1:34.261,1:30.929,1:31.073,1:29.300,1:29.027,1:29.787,1:29.643,1:29.778,1:30.033,1:29.521,1:27.476,1:28.200,1:28.212,1:28.994,1:28.319,1:27.898,1:51.858,1:46.897,1:40.697,2:12.987,2:05.776,2:03.312,2:02.194,2:00.667,1:31.539,1:29.524,1:29.892,1:29.756,1:29.819,1:29.021,1:29.657,1:28.195,1:28.867,1:28.729,1:27.881,1:28.398,1:28.237,1:30.236,1:30.249,1:28.642
Kevin Magnussen (MAG),2:41.483,2:00.514,2:01.137,2:01.448,1:59.044,1:58.506,1:53.927,1:49.646,1:30.387,1:31.211,1:30.133,1:29.893,1:51.241,1:49.144,1:44.478,1:57.952,2:04.854,2:04.315,1:57.683,2:08.747,35:18.219,2:02.071,2:00.032,2:00.425,1:59.796,2:01.131,2:01.659,2:18.894,26:32.537,2:02.388,1:58.596,1:34.648,1:31.131,1:30.433,1:29.717,1:31.483,1:30.042,1:28.668,1:28.535,1:28.820,1:35.053,1:45.608,1:28.076,1:29.202,1:27.889,1:27.497,1:36.531,2:17.199,2:22.540,2:11.380,1:53.033,1:34.000,1:33.494,1:33.605,1:59.084,1:35.065,1:32.837,1:29.735,1:29.844,1:29.829,1:28.558,1:29.811,1:28.574,1:28.274,1:27.203,1:27.501,1:27.599,1:27.217,1:26.524,1:27.034,1:28.126
Valtteri Bottas (BOT),2:31.150,1:59.423,2:02.183,1:59.570,2:00.349,1:57.937,1:55.542,1:31.842,1:38.024,1:48.421,1:29.935,1:29.048,1:52.781,1:50.240,1:43.390,1:58.593,2:05.767,2:03.119,1:58.022,2:09.064,35:18.323,2:02.223,1:59.525,2:00.206,2:00.200,2:01.138,2:02.418,2:17.722,26:33.084,2:02.220,1:59.222,1:33.596,1:31.947,1:30.505,1:29.723,1:28.525,1:27.520,1:34.172,1:46.053,1:26.601,1:26.435,1:27.170,1:30.269,1:26.733,1:26.640,1:28.757,1:30.029,1:53.637,1:53.379,1:39.615,2:01.851,2:04.997,2:04.943,2:01.558,1:59.562,1:31.876,1:30.593,1:30.344,1:34.239,1:30.884,1:27.892,1:28.063,1:27.405,1:28.072,1:28.317,1:27.318,1:27.148,1:27.690,1:27.883,1:26.062,1:27.943
