Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Brendon Hartley (HAR),1:58.569,1:48.460,1:47.396,1:47.003,1:47.117,1:46.764,1:46.772,1:46.614,1:46.398,1:46.982,1:48.157,1:46.568,1:46.404,1:46.216,1:46.848,1:46.385,1:46.159,1:46.105,1:45.640,1:46.080,1:45.661,1:45.623,1:45.801,1:46.296,1:45.899,1:47.672,2:04.536,1:44.380,1:44.324,1:44.178,1:46.017,1:44.278,1:44.004,1:44.285,1:44.520,1:44.293,1:44.399,1:46.923,1:44.710,1:46.361,1:44.534,1:44.730,1:44.546,1:44.193,1:44.224,1:44.855,1:44.113,1:44.653,1:44.112,1:44.204,1:44.171,1:43.897,1:44.249,1:44.741
Pierre Gasly (GAS),1:56.701,1:48.349,1:47.680,1:46.337,1:46.497,1:46.507,1:46.565,1:46.379,1:46.073,1:45.769,1:46.614,1:45.828,1:45.332,1:45.174,1:45.273,1:58.688,1:47.041,1:45.840,1:45.661,1:45.714,1:45.677,1:46.393,1:45.340,1:45.942,1:45.900,1:45.642,1:45.071,1:44.976,1:45.065,1:46.822,2:04.998,1:44.303,1:43.844,1:44.136,1:45.706,1:47.516,1:44.441,1:44.157,1:44.071,1:44.448,1:44.436,1:44.696,1:44.388,1:44.385,1:44.919,1:44.397,1:44.749,1:44.427,1:44.176,1:43.995,1:44.264,1:44.335,1:44.011,1:44.313
Lance Stroll (STR),1:55.043,1:47.563,1:46.383,1:45.713,1:45.831,1:46.800,1:46.300,1:46.085,1:46.879,1:45.592,1:49.517,2:05.466,1:45.524,1:45.401,1:45.291,1:46.009,1:45.735,1:45.380,1:45.747,1:45.949,1:45.875,1:45.776,1:45.576,1:45.393,1:45.662,1:45.553,1:46.466,1:45.996,1:46.601,2:04.163,1:43.681,1:44.299,1:48.864,1:49.396,1:47.263,2:06.584,1:43.077,1:43.381,1:42.907,1:43.167,1:42.991,1:42.934,1:43.009,1:43.174,1:43.031,1:43.633,1:43.251,1:43.164,1:43.037,1:42.457,1:42.385,1:42.324,1:44.099,1:43.327
Esteban Ocon (OCO),1:52.913,1:46.445,1:45.546,1:45.017,1:45.020,1:44.800,1:44.811,1:44.761,1:44.692,1:44.679,1:44.790,1:44.936,1:44.711,1:44.573,1:44.690,1:45.981,1:44.841,1:44.812,1:44.510,1:44.590,1:44.606,1:44.939,1:44.233,1:44.433,1:44.437,1:44.301,1:44.710,1:44.326,1:44.537,1:44.692,1:46.717,2:04.254,1:43.510,1:42.623,1:42.922,1:43.052,1:43.337,1:43.144,1:43.064,1:43.120,1:42.796,1:42.764,1:42.922,1:42.758,1:42.798,1:42.743,1:42.609,1:42.633,1:42.744,1:42.733,1:42.865,1:42.633,1:42.976,1:43.118,1:45.806
Stoffel Vandoorne (VAN),1:55.938,1:48.599,1:47.277,1:46.186,1:46.579,1:46.319,1:46.266,1:46.200,1:46.113,1:46.008,1:46.484,1:47.899,2:06.676,1:45.792,1:45.730,1:45.930,1:45.720,1:46.041,1:45.839,1:45.994,1:45.849,1:47.870,1:45.588,1:45.013,1:44.797,1:44.663,1:44.793,1:45.026,1:47.080,1:45.057,1:44.983,1:44.784,1:44.356,1:45.102,1:47.124,1:44.647,1:44.557,1:44.677,1:44.873,1:46.292,1:45.893,1:44.571,1:44.573,1:44.252,1:44.386,1:44.991,1:44.362,1:44.221,1:44.038,1:43.986,1:44.210,1:44.264,1:44.177,1:45.046
Pascal Wehrlein (WEH),1:57.676,1:48.260,1:47.645,1:46.837,1:46.765,1:46.643,1:46.384,1:46.493,1:46.260,1:46.078,1:46.331,1:46.042,1:46.007,1:45.912,1:45.734,1:46.487,1:45.880,1:45.679,1:45.543,1:45.387,1:45.676,1:46.384,1:45.644,1:45.488,1:45.403,1:45.166,1:45.075,1:47.499,2:08.628,1:44.466,1:44.272,1:44.547,1:44.492,1:46.994,1:44.645,1:44.660,1:44.513,1:44.442,1:47.230,1:46.724,1:44.500,1:44.207,1:44.226,1:44.390,1:44.481,1:44.440,1:44.396,1:44.316,1:43.978,1:43.867,1:44.146,1:43.919,1:44.264,1:44.770
Carlos Sainz (SAI),1:54.443,1:47.292,1:45.970,1:45.613,1:45.639,1:45.507,1:45.605,1:45.460,1:45.451,1:45.088,1:45.013,1:44.929,1:45.125,1:45.087,1:44.960,1:45.312,1:45.208,1:45.305,1:44.859,1:45.127,1:44.849,1:44.508,1:43.897,1:43.554,1:43.643,1:43.378,1:43.443,1:43.421,1:43.620,1:43.565,1:45.812
Max Verstappen (VER),1:50.038,1:44.764,1:44.019,1:43.926,1:43.974,1:43.537,1:43.970,1:43.814,1:43.616,1:43.302,1:43.251,1:43.540,1:43.236,1:44.929,2:03.238,1:43.259,1:43.465,1:43.427,1:43.285,1:42.830,1:43.482,1:43.480,1:42.851,1:43.091,1:43.173,1:42.913,1:43.158,1:42.978,1:43.177,1:43.263,1:43.013,1:42.794,1:43.260,1:43.056,1:42.987,1:43.011,1:43.266,1:43.252,1:42.656,1:44.326,1:43.230,1:42.133,1:42.028,1:42.526,1:42.312,1:42.549,1:42.475,1:42.529,1:42.601,1:42.457,1:42.749,1:42.458,1:42.374,1:42.481,1:42.822
Marcus Ericsson (ERI),1:59.223,1:49.292,1:47.167,1:47.085,1:47.029,1:46.905,1:48.109,1:46.987,1:46.357,1:46.589,1:46.595,1:46.827,1:46.436,1:46.114,1:46.449,1:47.134,1:47.493,1:46.330,1:46.536,1:46.062,1:46.219,1:45.953,1:45.647,1:45.571,1:45.633,1:45.598,1:45.719,1:45.402,1:44.966,1:47.442,2:05.365,1:48.176,1:44.360,1:44.991,1:43.686,1:43.567,1:43.830,1:43.616,1:43.647,1:43.953,1:44.288,1:44.318,1:44.382,1:44.748,1:44.475,1:44.372,1:44.764,1:44.660,1:44.245,1:44.361,1:44.930,1:44.313,1:44.518,1:44.092
Kevin Magnussen (MAG),2:00.490,1:48.699,1:47.403,1:46.760,1:47.197,1:46.957,1:46.344,1:46.324,1:46.243,1:46.421,1:46.297,1:45.420,1:45.653,1:45.314,1:46.773,1:45.818,1:45.491,1:45.370,1:45.296,1:45.502,1:45.653,1:48.427,2:04.783,1:44.938,1:44.785,1:44.990,1:44.948,1:47.108,1:45.242,1:44.898,1:45.060,1:44.541,1:44.706,1:47.157,1:44.641,1:44.755,1:44.395,1:44.497,1:46.834,1:47.053,1:44.368,1:44.266,1:44.196,1:44.280,1:44.781,1:44.348,1:44.038,1:44.303,1:44.171,1:43.928,1:44.138,1:43.934,1:44.164,1:44.285
Valtteri Bottas (BOT),1:45.087,1:43.166,1:43.353,1:43.360,1:43.011,1:42.826,1:42.825,1:42.861,1:42.988,1:42.770,1:42.522,1:42.634,1:42.947,1:42.706,1:42.822,1:42.457,1:42.547,1:42.475,1:42.439,1:42.559,1:44.816,2:02.180,1:43.054,1:42.204,1:42.296,1:42.448,1:42.091,1:42.229,1:42.852,1:42.676,1:42.394,1:42.236,1:42.317,1:42.790,1:42.142,1:42.043,1:41.867,1:41.942,1:42.218,1:41.811,1:41.577,1:41.406,1:41.965,1:42.316,1:41.576,1:41.766,1:41.533,1:41.907,1:42.396,1:41.522,1:40.750,1:40.650,1:41.007,1:42.045,1:44.685
Daniel Ricciardo (RIC),1:48.493,1:44.414,1:43.736,1:43.442,1:43.432,1:43.216,1:43.242,1:43.176,1:43.091,1:43.362,1:43.245,1:43.337,1:42.757,1:42.984,1:42.975,1:42.839,1:43.204,1:43.096,1:45.339,2:04.766
