Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Pierre Gasly (GAS),1:44.498,2:08.572,2:24.010,1:40.645,1:37.879,1:37.715,1:37.714,1:37.852,2:04.294,1:53.858,1:37.137,1:37.217,1:37.407,1:37.383,1:37.524,1:37.205,1:37.701,1:37.130,1:37.206,1:37.333,1:37.405,1:39.864,1:55.223,1:35.826,1:35.906,1:35.914,1:35.918,1:35.836,1:36.086,1:35.913,1:35.660,1:35.935,1:36.027,1:36.411,1:36.543,1:36.954,1:36.825,1:36.556,1:40.038,1:55.930,1:34.812,1:34.872,1:34.820,1:34.659,1:34.533,1:39.575,2:06.447,2:08.497,1:35.043,1:34.575,1:35.280,1:34.836
Lance Stroll (STR),1:43.639,2:07.476,2:25.243,1:46.020,1:55.671,1:37.333,1:37.782,1:41.389,2:09.459,1:46.017,1:37.294,1:37.429,1:37.496,1:37.611,1:37.833,1:37.691,1:37.633,1:37.441,1:37.514,1:37.268,1:37.133,1:37.173,1:37.199,1:36.966,1:36.981,1:36.823,1:36.572,1:36.649,1:36.840,1:37.027,1:37.044,1:36.645,1:36.535,1:36.637,1:38.930,1:54.403,1:34.548,1:34.915,1:34.964,1:35.334,1:35.050,1:35.190,1:34.925,1:35.032,1:35.084
Esteban Ocon (OCO),1:39.728,2:02.656,2:30.778,1:36.564,1:36.551,1:36.102,1:36.171,1:36.378,1:59.411,1:59.274,1:37.221,1:37.850,1:36.667,1:36.275,1:36.585,1:36.827,1:36.631,1:36.646,1:37.053,1:39.397,1:56.694,1:36.664,1:36.809,1:35.801,1:35.452,1:35.902,1:36.107,1:35.960,1:36.976,1:36.218,1:35.967,1:35.856,1:35.982,1:36.066,1:35.922,1:35.862,1:35.646,1:36.122,1:35.342,1:35.410,1:35.247,1:35.960,1:35.918,1:35.585,1:35.687,1:35.640,1:59.653,2:09.086,1:49.476,1:34.843,1:35.515,1:35.951,1:34.898
Stoffel Vandoorne (VAN),1:47.114,2:14.157,2:18.252,1:40.571,1:39.402,1:41.301,1:37.795,1:37.838,2:08.814,2:05.365,1:37.530,1:37.516,1:37.567,1:37.486,1:37.783,1:37.686,1:37.654,1:37.322,1:37.687,1:37.202,1:37.669,1:37.353,1:37.513,1:36.793,1:37.158,1:36.704,1:36.583,1:38.311,1:36.848,1:36.818,1:36.956,1:36.935,1:36.594,1:38.927,1:53.905,1:34.695,1:34.819,1:35.380,1:35.033,1:35.297,1:35.319,1:35.656,1:36.950,1:35.263,1:37.332,1:43.887,2:08.026,2:03.810,1:33.724,1:35.238,1:36.824,1:33.870
Pascal Wehrlein (WEH),1:49.340,2:15.431,2:18.222,1:59.086,1:38.629,1:37.939,1:38.362,1:45.306,2:08.880,1:45.219,1:37.761,1:38.128,1:38.299,1:38.250,1:38.841,1:38.548,1:38.607,1:38.669,1:38.367,1:38.536,1:38.580,1:38.772,1:38.525,1:38.544,1:41.295,2:06.005,1:36.430,1:36.581,1:37.010,1:39.610,1:37.572,1:41.113,1:39.235,1:41.082,1:37.770,1:37.580,1:37.438,1:37.421,1:37.579,1:37.416,1:37.078,1:37.486,1:37.179,1:44.200,1:55.618,2:08.067,2:06.407,1:40.988,1:39.957,1:37.265,1:37.208
Jolyon Palmer (PAL),1:45.565,2:09.907,2:22.651,1:40.164,1:38.524,1:38.192,1:37.733,1:38.064,2:04.351,1:53.447,1:37.393,1:37.448,1:37.536,1:37.597,1:37.369,1:37.343,1:37.514,1:37.482,1:37.340,1:37.267,1:37.439,1:37.229,1:37.100,1:38.912,1:38.346,1:36.913,1:36.998,1:36.914,1:36.993,1:36.775,1:36.910,1:36.886,1:36.718,1:36.944,1:36.750,1:36.732,1:36.526,1:36.707,1:39.433,2:00.451,1:34.561,1:34.747,1:34.490,1:34.378,1:34.455,1:38.988,2:06.908,2:08.308,1:35.520,1:34.095,1:34.613,1:34.774
Max Verstappen (VER),1:37.851,2:03.044,2:31.657,1:35.883,1:35.215,1:35.252,1:35.353,1:35.551,1:57.679,2:00.451,1:35.162,1:35.371,1:35.245,1:35.445,1:35.412,1:35.442,1:35.525,1:35.744,1:35.812,1:35.961,1:38.366,1:52.663,1:33.813,1:34.648,1:34.426,1:34.466,1:34.346,1:35.196,1:35.559,1:35.743,1:34.239,1:34.616,1:34.340,1:34.353,1:34.366,1:34.427,1:34.290,1:34.048,1:34.101,1:33.954,1:34.690,1:34.067,1:33.971,1:34.230,1:34.200,1:34.018,1:34.445,2:11.086,2:06.743,1:35.983,1:33.730,1:35.329,1:34.898
Marcus Ericsson (ERI),1:46.217,2:11.625,2:20.889,1:39.777,1:39.466,1:38.788,1:38.596
Kevin Magnussen (MAG),1:42.901,2:06.955,2:26.149,1:38.998,1:38.362,1:37.750,1:37.729,1:37.435,2:03.141,1:55.093,1:36.641,1:36.997,1:37.229,1:37.120,1:37.269,1:37.402,1:37.457,1:37.192,1:39.494,1:54.582,1:35.591,1:36.311,1:36.460,1:36.559,1:36.177,1:36.042,1:36.431,1:36.320,1:36.576,1:36.581,1:36.623,1:37.007,1:36.874,1:36.857,1:36.916,1:36.878,1:36.756,1:36.815,1:36.494,1:36.928,1:36.286,1:35.931,1:35.910,1:35.605,1:35.983,1:35.601,2:07.270,2:07.623,1:40.953,1:35.338,1:35.479,1:35.562,1:35.514
Valtteri Bottas (BOT),1:40.299,2:03.974,2:29.707,1:37.029,1:37.000,1:36.217,1:36.481,1:36.806,1:59.465,1:57.444,1:36.944,1:35.695,1:36.009,1:35.632,1:36.100,1:35.998,1:36.023,1:35.912,1:36.200,1:35.920,1:35.917,1:35.924,1:35.603,1:35.399,1:35.458,1:34.945,1:35.179,1:37.095,1:35.585,1:38.109,1:52.991,1:33.688,1:33.912,1:34.101,1:34.355,1:34.115,1:34.025,1:33.709,1:33.860,1:33.763,1:33.742,1:33.424,1:33.871,1:33.810,1:33.594,1:34.155,1:43.009,2:04.387,2:05.239,1:33.144,1:33.577,1:33.656,1:33.578
Daniel Ricciardo (RIC),1:39.898,2:03.040,2:30.697,1:36.660,1:36.725,1:36.275,1:36.147,1:36.234,1:59.753,1:58.478,1:35.152,1:35.637,1:35.579,1:35.548,1:35.865,1:36.299,1:35.751,1:35.894,1:35.777,1:35.646,1:35.554,1:35.630,1:35.738,1:35.510,1:37.926,1:54.002,1:34.114,1:34.256,1:34.382,1:34.558,1:34.151,1:34.066,1:33.945,1:34.078,1:34.212,1:34.024,1:34.050,1:34.475,1:34.210,1:34.153,1:34.473,1:34.626,1:34.913,1:34.494,1:34.704,1:34.398,1:43.582,2:04.555,2:05.790,1:34.064,1:33.753,1:33.694,1:33.738
Sergio Pérez (PER),1:40.992,2:05.792,2:28.188,1:36.811,1:37.078,1:36.685,1:36.581,1:36.649,2:00.142,1:57.039,1:36.686,1:36.901,1:36.889,1:36.613,1:37.003,1:36.725,1:36.920,1:36.869,1:37.078,1:38.475,1:39.614,1:55.424,1:34.744,1:38.091,1:35.299,1:35.098,1:35.616,1:35.675,1:36.527,1:36.763,1:35.809,1:35.858,1:35.775,1:35.805,1:36.028,1:35.742,1:35.632,1:36.099,1:35.732,1:35.895,1:35.555,1:35.555,1:35.612,1:35.553,1:35.862,1:35.676,2:01.609,2:08.015,1:48.126,1:35.615,1:36.182,1:36.057,1:35.859
