Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Charles Leclerc (LEC),2:40.388,3:07.364,2:36.593,2:33.825,2:52.296,1:58.924,1:52.532,1:51.255,1:49.719,1:49.191,1:49.538,1:50.193,1:49.369,1:48.443,1:49.027,1:48.667,1:49.798,1:48.727,1:48.288,1:47.956,1:48.211,1:48.392,1:48.041,1:52.685,2:05.091,1:47.749,1:47.629,1:47.814,1:47.419,1:47.655,1:47.403,1:48.694,1:47.737,1:47.857,1:47.530,1:47.645,1:47.920,1:47.533,1:47.574,2:26.860,2:42.805,2:02.689,2:37.471,2:49.002,2:46.138,2:40.287,2:39.713,1:51.089,1:49.087,1:48.004,1:47.632
Brendon Hartley (HAR),2:54.272,2:56.908,2:37.598,2:33.402,2:49.192,2:00.876,1:54.711,1:53.215,1:51.878,1:51.480,1:53.064,1:51.340,1:51.125,1:51.598,1:51.494,1:51.049,1:51.075,1:51.100,1:50.758,1:50.915,1:51.148,1:54.983,2:08.731,1:49.538,1:49.250,1:50.532,1:49.304,1:49.119,1:49.676,1:49.260,1:48.577,1:49.560,1:50.875,1:49.097,1:48.554,1:48.521,1:48.564,1:48.394,2:13.044,2:39.803,2:11.733,1:52.725,1:57.235,2:33.916,2:46.376,2:40.205,2:34.636,1:53.282,1:51.140,1:49.205,1:48.288
Pierre Gasly (GAS),2:39.485,3:06.705,2:36.381,2:32.283,2:55.384,1:57.629,1:53.074,1:52.328,1:53.125,1:52.542,1:53.062,1:55.851,2:08.728,1:50.971,1:51.209,1:51.018,1:50.839,1:51.709,1:50.368,1:50.041,1:49.623,1:49.563,1:49.420,1:51.067,1:51.183,1:49.425,1:48.739,1:48.595,1:50.878,1:48.849,1:48.463,1:48.678,1:49.778,1:48.346,1:50.238,1:49.082,1:50.229,1:48.035,2:10.628,2:38.503,2:21.291,1:53.652,1:57.453,2:32.039,2:46.292,2:40.372,2:36.551,1:52.992,1:52.263,1:52.559,1:51.493
Lance Stroll (STR),2:36.169,3:08.133,2:35.179,2:32.321,2:58.350,1:59.204,1:52.571,1:51.020,1:49.098,1:49.422,1:50.159,1:50.529,1:49.499,1:49.029,1:49.954,1:49.009,1:48.845,1:48.970,1:48.549,1:48.488,1:50.315,1:48.868,1:54.215,2:03.791,1:48.049,1:48.504,1:47.814,1:47.913,1:47.435,1:47.228,1:47.164,1:47.118,1:47.070,1:47.193,1:47.467,1:47.375,1:47.179,1:47.003,1:47.552,2:28.672,2:40.667,2:03.431,2:36.995,2:48.722,2:46.734,2:40.070,2:38.856,1:53.037,1:49.037,1:46.815,1:50.050
Stoffel Vandoorne (VAN),2:41.149,3:07.320,2:37.142,2:33.749,2:51.167,2:00.462,1:54.305,1:53.192,1:50.922,1:51.272,1:51.993,1:50.959,1:50.245,1:49.672,1:49.870,1:50.279,1:54.173,2:07.675,1:49.301,1:48.728,1:50.181,1:49.227,1:49.041,1:49.440,1:58.878,2:06.509,1:49.087,1:48.773,1:48.991,1:51.025,1:52.840,1:49.046,1:49.369,1:49.446,1:49.145,1:48.739,1:52.176,1:51.743,2:19.187,2:39.260,2:08.439,1:54.094,2:00.438,2:12.863,2:45.492,2:42.529,2:31.195,1:51.957,1:49.873,1:47.666,1:48.219
Carlos Sainz (SAI),2:35.191,3:08.524,2:35.117,2:32.449,2:58.031,1:56.553,1:51.984,1:51.502,1:49.162,1:49.108,1:49.304,1:49.438,1:49.801,1:49.868,1:55.203,2:06.581,1:48.387,1:48.187,1:47.963,1:47.940,1:47.842,1:47.806,1:48.607,1:48.389,1:47.729,1:47.863,1:47.611,1:47.529,1:47.477,1:48.352,1:47.449,1:47.505,1:47.327,1:47.220,1:47.208,1:47.212,1:47.260,1:47.243,1:46.967,2:22.488,2:39.121,2:01.745,2:52.511,2:48.432,2:46.643,2:39.757,2:41.983,1:51.344,1:48.854,1:46.856,1:47.183
Max Verstappen (VER),2:33.345,3:08.783,2:34.170,2:33.142,2:59.765,1:56.751,1:51.881,1:51.469,1:50.941,1:50.080,1:49.606,1:50.108,1:48.634,1:47.796,1:50.284,1:47.560,1:47.494,1:47.150,1:46.911,1:46.884,1:46.484,1:46.221,1:46.702,1:47.536,1:46.984,1:46.909,1:48.393,1:46.352,1:46.519,1:45.904,1:45.771,1:46.070,1:46.533,1:46.471,1:47.139,1:46.642,1:46.151,1:49.815,2:01.646
Marcus Ericsson (ERI),3:36.382,2:50.852,2:09.002,2:34.546,2:42.234,2:02.407,1:54.873,1:52.166,1:52.089,1:51.113,1:51.071,1:51.485,1:50.347,1:50.643,1:50.741,1:51.088,1:50.218,2:16.714,2:12.841,1:51.650,1:49.886,1:49.513,1:49.665,1:49.530,1:49.642,1:53.324,1:49.494,1:48.801,1:48.885,1:49.460,1:49.239,1:52.432,1:49.143,1:49.308,1:49.850,1:59.730,2:18.240,2:02.333,2:28.577,2:16.806,1:55.803,2:06.365,2:01.246,1:58.912,2:09.834,2:39.500,2:32.640,1:54.448,1:50.531,1:49.279,1:47.925
Kevin Magnussen (MAG),3:31.147,2:38.024,2:23.300,2:34.545,2:45.026,2:01.793,1:54.742,1:53.417,1:51.776,1:51.571,1:53.420,1:52.033,1:52.069,1:51.718,1:52.022,1:51.488,1:50.919,1:51.019,1:49.715,1:49.696,1:50.193,1:50.064,1:49.943,1:49.966,1:49.311,1:49.312,1:49.135,1:49.608,1:49.240,1:49.220,1:49.066,1:48.348,1:50.569,1:49.202,1:48.155,1:48.201,1:48.658,1:50.105,2:07.833,2:50.740,2:24.036,1:54.492,1:57.521,2:32.764,2:46.569,2:40.846,2:37.054,2:01.693,1:52.037,1:50.340,1:51.293
Valtteri Bottas (BOT),2:31.366,3:08.426,2:33.939,2:33.943,3:01.014,1:54.555,1:51.139,1:48.805,1:48.192,1:47.846,1:47.741,1:48.078,1:47.782,1:47.729,1:47.035,1:47.094,1:47.292,1:47.023,1:46.732,1:47.077,1:47.063,1:47.019,1:46.605,1:46.496,1:46.492,1:46.184,1:46.937,1:46.291,1:45.827,1:45.945,1:46.012,1:45.907,1:45.595,1:47.441,1:46.120,1:45.831,1:45.149,1:45.547,1:45.454,1:56.537,3:16.153,2:51.190,2:55.497,2:48.085,2:46.857,2:42.182,2:48.387,1:46.833
