Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Sergey Sirotkin (SIR),2:42.542,2:59.551,2:50.082,2:54.486,1:53.109,1:53.601,1:53.385,1:52.627,1:52.140,1:52.031,1:51.722,1:52.994,1:53.170,1:52.143,1:51.527,1:51.617,1:51.284,1:52.122,1:51.590,1:51.300,1:51.407,1:51.538,1:51.415,1:55.243,2:03.550,1:49.403,1:49.212,1:49.884,1:49.817,1:50.337,1:50.931,1:51.363,1:50.217,1:50.854,1:49.353,1:49.300,1:50.392,1:49.586,1:49.462,1:49.792,1:49.538,1:49.113,1:49.604
Brendon Hartley (HAR),2:47.144,2:58.161,2:50.744,2:51.434,1:54.076,1:55.067,1:54.865,1:52.764,1:53.028,1:52.798,1:52.281,1:52.454,1:52.485,1:51.956,1:51.876,1:51.533,1:51.552,1:51.791,1:51.769,1:51.835,1:51.178,1:51.454,1:51.240,1:50.818,1:50.624,1:54.222,1:50.476,1:51.381,1:51.701,1:51.039,1:55.360,2:10.130,1:48.756,1:49.199,1:49.236,1:49.260,1:49.336,1:49.031,1:49.549,1:50.969,1:49.604,1:49.219,1:49.123
Pierre Gasly (GAS),2:39.935,2:59.739,2:49.094,2:56.747,1:53.513,1:52.869,1:52.240,1:52.186,1:52.421,1:51.866,1:51.360,1:51.232,1:51.171,1:51.225,1:50.672,1:51.106,1:51.162,1:52.419,1:51.081,1:52.237,1:50.697,1:50.766,1:50.823,1:50.822,1:55.530,2:03.514,1:48.823,1:48.842,1:49.169,1:48.897,1:49.136,1:49.215,1:48.937,1:49.122,1:48.940,1:48.588,1:48.971,1:48.900,1:49.402,1:49.397,1:49.253,1:49.293,1:49.363,1:49.693
Lance Stroll (STR),2:43.592,2:59.634,2:49.807,2:53.848,1:54.092,1:53.723,1:52.748,1:53.039,1:52.224,1:51.976,1:52.992,1:53.092,1:52.069,1:52.270,1:51.713,1:51.672,1:51.983,1:51.818,1:51.748,1:51.366,1:51.286,1:51.323,1:55.687,2:04.658,1:50.365,1:51.321,1:49.855,1:49.753,1:49.794,1:49.964,1:49.934,1:49.916,1:49.937,1:50.907,1:50.206,1:49.522,1:49.365,1:49.309,1:49.287,1:49.434,1:49.586,1:49.661,1:50.068
Esteban Ocon (OCO),2:33.245,3:00.424,2:51.130,2:58.955,1:51.951,1:51.736,1:52.679,1:51.224,1:51.016,1:51.054,1:50.855,1:50.569,1:50.581,1:50.667,1:50.403,1:50.714,1:50.658,1:50.400,1:50.452,1:50.339,1:50.199,1:50.448,1:50.439,1:54.416,2:03.773,1:49.058,1:48.917,1:48.722,1:48.883,1:49.011,1:48.848,1:49.619,1:48.710,1:48.436,1:48.078,1:48.211,1:48.667,1:48.621,1:48.861,1:48.564,1:48.592,1:48.842,1:48.582,1:48.447
Stoffel Vandoorne (VAN),2:52.517,2:59.683,2:48.187,2:48.188,1:56.000,1:54.695,1:55.481,1:53.370,1:52.810,1:52.639,1:52.448,1:52.442,1:52.370,1:52.899,1:52.424,1:52.384,1:52.134,1:52.198,1:52.122,1:51.846,1:51.764,1:52.023,1:51.752,1:51.897,1:52.523,1:53.896,1:52.515,1:56.001,2:04.389,1:49.677,1:50.036,1:49.750,1:49.891,1:49.462,1:49.361,1:49.754,1:51.052,1:48.956,1:49.391,1:49.772,1:49.569,1:49.320,1:49.179
Carlos Sainz (SAI),2:48.471,2:58.158,2:50.661,2:50.282,1:54.514,1:53.367,1:52.928,1:53.182,1:53.535,1:53.191,1:52.305,1:52.045,1:51.817,1:52.215,1:51.696,1:51.537,1:51.853,1:51.968,1:51.578,1:51.617,1:51.654,1:56.155,2:03.971,1:48.771,1:50.137,1:49.531,1:49.983,1:50.328,1:49.822,1:49.819,1:49.620,1:48.670,1:49.518,1:49.358,1:49.892,1:50.485,1:49.339,1:50.679,1:49.614,1:49.467,1:49.422,1:49.356,1:49.384
Max Verstappen (VER),2:34.928,3:00.335,2:50.364,2:58.620,1:52.189,1:51.619,1:50.140,1:49.993,1:50.445,1:48.932,1:49.575,1:49.224,1:49.253,1:49.377,1:49.043,1:49.219,1:49.287,1:48.879,1:48.936,1:48.937,1:48.953,1:49.194,1:50.278,1:48.756,1:48.536,1:53.013,2:00.763,1:47.347,1:47.273,1:47.477,1:47.492,1:47.371,1:47.211,1:47.141,1:47.255,1:46.946,1:47.776,1:47.468,1:47.281,1:47.780,1:47.396,1:47.826,1:47.640,1:48.380
Marcus Ericsson (ERI),2:41.049,2:59.994,2:50.041,2:55.129,1:53.960,1:53.691,1:51.231,1:52.196,1:52.210,1:51.923,1:51.669,1:51.212,1:51.360,1:51.343,1:50.874,1:50.834,1:52.135,1:52.484,1:51.074,1:51.232,1:51.130,1:51.024,1:50.757,1:50.998,1:50.997,1:54.739,2:04.533,1:51.594,1:49.011,1:49.383,1:49.951,1:49.072,1:49.183,1:48.878,1:48.694,1:48.737,1:48.719,1:49.020,1:48.894,1:50.817,1:49.359,1:49.330,1:48.986
Kevin Magnussen (MAG),2:37.550,3:00.342,2:49.928,2:57.322,1:53.366,1:52.386,1:52.503,1:52.057,1:52.055,1:51.421,1:51.117,1:51.002,1:51.115,1:51.039,1:50.729,1:50.750,1:51.070,1:50.849,1:50.754,1:50.487,1:50.403,1:52.533,1:50.732,1:52.078,1:50.858,1:55.135,2:03.618,1:48.244,1:48.225,1:48.352,1:48.532,1:48.291,1:48.187,1:48.221,1:47.976,1:47.937,1:48.103,1:47.966,1:48.114,1:48.139,1:47.940,1:48.308,1:48.041,1:48.340
