Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Sergey Sirotkin (SIR),1:35.808,1:26.893,1:24.854,1:26.956,1:41.863,1:24.254,1:24.033,1:24.385,1:24.640,1:25.317,1:29.982,1:43.491,1:23.374,1:23.177,1:23.435,1:23.728,1:23.857,1:24.024,1:24.339,1:24.301,1:24.561,1:25.309,1:26.521,1:24.717,1:25.845,1:27.664,1:24.567,1:26.260,1:29.859,1:50.352,1:40.584,1:27.661,1:25.730,1:24.359,1:24.271,1:25.078,1:24.697,1:24.692,1:24.598,1:24.504,1:24.855,1:24.574,1:24.383,1:24.297,1:27.061,1:24.313,1:24.025,1:25.666,1:26.849,1:24.781,1:26.340,1:24.252,1:24.193,1:25.773,1:23.497,1:23.734,1:24.332,1:24.333,1:24.719,1:47.915,1:40.169,1:23.669,1:23.827,1:24.072,1:23.242,1:22.640,1:22.895,1:23.209,1:23.487
Charles Leclerc (LEC),1:31.389,1:23.965,1:23.624,1:23.359,1:41.425,1:23.341,1:23.750,1:23.531,1:24.493,1:25.654,1:25.372,1:25.636,1:28.335,1:41.537,1:24.322,1:24.135,1:24.030,1:25.279,1:25.319,1:25.191,1:24.548,1:24.356,1:24.040,1:23.640,1:24.417,1:26.436,1:24.924,1:24.632,1:24.453,1:47.478,1:47.364,1:26.220,1:27.017,1:26.456,1:25.798,1:24.637,1:25.014,1:24.171,1:24.747,1:25.269,1:25.124,1:24.714,1:24.662,1:24.591,1:24.312,1:25.003,1:24.692,1:24.791,1:24.204,1:24.758,1:24.437,1:24.291,1:23.864,1:24.619,1:23.253,1:23.063,1:26.671,1:22.679,1:22.923,1:39.350,1:48.788,1:21.733,1:21.138,1:21.250,1:22.077,1:20.951,1:20.537,1:20.684,1:21.879
Brendon Hartley (HAR),1:39.180,1:41.496,1:23.310,1:29.459,1:35.404,1:22.528,1:22.847,1:23.083,1:23.403,1:23.851,1:24.449,1:24.741,1:24.708,1:24.674,1:25.106,1:25.350,1:26.038,1:25.603,1:25.623,1:25.396,1:25.108,1:24.913,1:25.038,1:28.589,1:42.988,1:22.438,1:22.473,1:22.901,1:28.753,1:49.665,1:39.034,1:24.550,1:23.839,1:24.276,1:23.877,1:24.217,1:24.628,1:26.617,1:24.330,1:24.492,1:24.604,1:24.599,1:24.785,1:25.392,1:23.405,1:24.355,1:24.483,1:24.450,1:24.205,1:24.390,1:24.407,1:25.419,1:24.390,1:27.737,1:24.421,1:24.694,1:25.391,1:24.960,1:24.390,1:45.982,1:43.588,1:25.399,1:23.746,1:23.454,1:23.560,1:23.525,1:23.523,1:23.473,1:23.694
Pierre Gasly (GAS),1:36.516,1:26.566,1:24.876,1:27.707,1:44.408,1:42.148,1:23.375,1:23.413,1:22.896,1:23.010,1:23.113,1:23.483,1:23.583,1:23.961,1:23.974,1:23.699,1:24.426,1:25.302,1:25.667,1:25.310,1:25.359,1:25.494,1:24.973,1:26.412,1:25.709,1:28.164,1:43.917,1:24.063,1:32.433,1:50.969,1:35.224,1:23.926,1:24.473,1:24.586,1:23.969,1:25.491,1:23.728,1:23.923,1:23.475,1:23.890,1:23.922,1:24.069,1:24.014,1:23.421,1:24.742,1:23.893,1:23.698,1:23.098,1:23.630,1:23.553,1:25.826,1:24.083,1:23.320,1:25.232,1:24.203,1:24.110,1:23.970,1:26.600,1:24.248,1:45.680,1:43.710,1:24.262,1:23.515,1:23.181,1:23.509,1:23.467,1:23.004,1:22.756,1:22.755
Lance Stroll (STR),1:35.073,1:25.715,1:24.314,1:24.567,1:41.542,1:23.290,1:23.678,1:24.210,1:24.958,1:30.579,1:44.755,1:23.632,1:23.573,1:24.297,1:24.544,1:23.852,1:23.822,1:23.940,1:24.290,1:24.684,1:25.330,1:25.058,1:28.653,1:42.627,1:23.276,1:23.001,1:22.983,1:24.845,1:28.689,1:49.564,1:37.997,1:24.618,1:23.822,1:23.664,1:23.556,1:23.944,1:24.511,1:25.993,1:25.477,1:24.785,1:24.469,1:24.341,1:24.845,1:24.833,1:24.396,1:25.266,1:24.150,1:24.130,1:25.598,1:24.314,1:25.903,1:25.425,1:24.460,1:24.152,1:24.328,1:26.164,1:24.383,1:24.813,1:25.113,1:47.461,1:40.656,1:24.493,1:23.956,1:24.086,1:23.671,1:23.204,1:23.233,1:23.525,1:23.745
Esteban Ocon (OCO),1:36.270,1:46.839,1:22.749,1:32.107,1:32.097,1:22.629,1:22.890,1:23.142,1:23.359,1:23.641,1:24.130,1:24.912,1:24.827,1:24.849,1:24.839,1:25.986,1:25.247,1:25.347,1:25.790,1:25.349,1:25.146,1:25.106,1:25.075,1:25.407,1:24.765,1:24.221,1:24.247,1:25.734,1:26.403,1:54.369,1:52.390,1:23.785,1:23.701,1:24.463,1:23.648,1:24.634,1:24.496,1:25.991,1:24.646,1:24.602,1:24.550,1:24.828,1:24.684,1:24.982,1:23.801,1:25.649,1:24.051,1:23.842,1:24.500,1:24.451,1:24.884,1:25.161,1:27.029,1:24.703,1:24.634,1:26.172,1:24.332,1:24.705,1:24.930,1:47.031,1:40.705,1:24.040,1:23.523,1:23.358,1:23.544,1:23.500,1:23.433,1:23.382,1:23.390
Stoffel Vandoorne (VAN),1:37.424,1:26.274,1:24.867,1:24.427,1:42.308,1:23.545,1:23.549,1:23.756,1:23.988,1:25.109,1:24.899,1:29.055,1:41.020,1:21.921,1:23.366,1:22.873,1:23.650,1:24.827,1:25.672,1:25.530,1:25.261,1:25.224,1:25.424,1:25.963,1:23.626,1:23.976,1:24.337,1:27.095,1:24.817,1:52.135,1:43.764,1:26.036,1:23.412,1:23.730,1:24.955,1:24.793,1:25.081,1:25.153,1:24.558,1:24.654,1:24.832,1:24.918,1:25.161,1:24.113,1:24.033,1:24.412,1:24.440,1:24.612,1:24.462,1:24.419,1:24.457,1:24.266,1:23.820,1:25.131,1:23.821,1:26.220,1:23.475,1:23.549,1:23.449,1:42.486,1:47.251,1:23.399,1:22.567,1:22.435,1:22.780,1:23.054,1:22.790,1:25.723,1:23.036
Carlos Sainz (SAI),1:28.610,1:23.830,1:23.398,1:22.891,1:41.334,1:22.386,1:23.136,1:23.611,1:23.850,1:24.052,1:27.476,1:42.416,1:24.847,1:25.705,1:23.846,1:23.750,1:24.139,1:24.302,1:24.410,1:24.557,1:23.819,1:24.985,1:24.205,1:24.793,1:24.983,1:25.192,1:24.577,1:24.139
Max Verstappen (VER),1:23.044,1:20.959,1:21.091,1:21.162,1:38.701,1:23.465,1:21.177,1:20.923,1:21.249,1:21.634,1:22.291,1:22.692,1:25.704,1:40.948,1:20.299,1:20.919,1:20.660,1:20.431,1:21.373,1:21.607,1:21.403,1:21.265,1:21.170,1:21.612,1:22.346,1:21.065,1:20.870,1:20.898,1:21.680,1:22.083,1:44.739,1:48.215,1:22.946,1:21.459,1:21.495,1:21.137,1:21.655,1:21.316,1:20.641,1:21.025,1:20.851,1:20.768,1:20.863,1:20.386,1:20.572,1:21.023,1:21.391,1:24.301,1:38.058,1:20.173,1:20.690,1:20.434,1:21.256,1:21.657,1:19.738,1:20.786,1:19.564,1:19.747,1:19.749,1:19.795,1:20.099,1:31.178,1:51.497,1:25.065,1:19.527,1:19.186,1:20.081,1:19.796,1:19.983,1:20.242,1:21.046
Marcus Ericsson (ERI),1:33.592,1:24.159,1:24.123,1:23.708,1:40.775,1:23.925,1:24.167,1:24.898,1:24.855,1:25.817,1:27.202,1:26.626,1:26.561,1:26.826,1:26.754,1:30.320,1:49.978,1:22.440,1:24.597,1:23.468,1:22.891,1:23.535,1:23.763,1:27.166,1:23.461,1:23.879,1:25.643,1:23.624,1:28.789,1:49.910,1:39.231,1:25.545,1:23.724,1:24.279,1:23.683,1:24.351,1:24.412,1:26.516,1:24.293,1:24.514,1:24.597,1:24.688,1:24.555,1:24.085,1:24.545,1:24.463,1:24.478,1:24.230,1:24.414,1:24.177,1:24.350,1:24.786,1:25.209,1:24.466,1:25.675,1:24.560,1:24.501,1:24.804,1:25.498,1:46.430,1:43.467,1:24.187,1:23.194,1:23.002,1:23.364,1:23.355,1:23.097,1:22.823,1:22.895
