Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Sergey Sirotkin (SIR),2:47.905,2:45.374,2:49.650,2:24.950,1:51.949,1:51.332,1:51.603,1:51.133,1:50.045,1:50.146,1:49.778,1:49.621,1:49.917,1:49.411,1:49.281,1:49.194,1:49.310,1:49.406,1:49.072,1:49.174,1:49.384,1:49.179,1:49.089,1:48.841,1:49.057,1:48.803,1:48.752,1:49.312,1:49.452,1:48.335,1:48.581,1:48.538,1:50.971,1:53.907,1:50.176,1:51.359,2:00.503,1:51.949,1:53.066,1:49.746,1:51.017,1:49.972,1:53.881,1:52.026,1:59.983,2:11.650,1:46.030,1:45.902,1:46.194,1:51.055,1:47.392,1:48.387,1:51.838,1:51.581,1:50.037,1:56.032,1:48.406,1:55.409,1:56.698
Charles Leclerc (LEC),2:41.729,2:45.443,2:40.338,2:36.109,1:51.484,1:51.002,1:50.030,1:49.733,1:49.371,1:49.383,1:49.001,1:48.819,1:48.787,1:50.038,1:49.305,1:50.000,1:49.714,1:48.602,1:48.562,1:48.590,1:49.039,1:48.556,1:48.860,1:49.312,1:48.854,1:50.972,1:47.219,1:47.149,1:46.697,1:46.438,1:46.461,1:46.963,1:47.114,1:47.219,1:46.813,1:46.855,1:47.123,1:55.224,2:05.530,1:46.373,1:45.903,1:47.192,1:48.412,1:46.351,1:45.853,1:46.276,1:46.248,1:48.450,1:48.198,1:45.957,1:46.086,1:46.669,1:47.214,1:47.301,1:46.136,1:46.065,1:45.203,1:46.464,1:46.355,1:46.184
Brendon Hartley (HAR),2:46.773,2:45.293,2:41.654,2:32.023,1:51.553,1:51.150,1:50.199,1:49.755,1:50.273,1:49.616,1:49.847,1:49.054,1:49.408,1:55.999,2:07.120,1:46.657,1:48.422,1:48.774,1:48.800,1:48.475,1:48.490,1:48.566,1:48.278,1:48.209,1:48.003,1:48.158,1:48.200,1:48.429,1:48.552,1:48.186,1:48.023,1:48.706,1:50.510,1:51.139,1:51.433,1:58.232,2:05.987,1:44.889,1:46.303,1:48.540,1:51.266,1:50.824,1:53.545,1:49.055,1:47.188,1:45.613,1:45.273,1:45.155,1:45.568,1:46.075,1:46.701,1:46.228,1:46.643,1:46.915,1:46.979,1:46.840,1:46.852,1:48.266,1:52.626,1:58.462
Pierre Gasly (GAS),2:38.072,2:47.217,2:41.204,2:36.721,1:51.186,1:50.994,1:50.018,1:49.401,1:49.377,1:49.143,1:48.879,1:49.044,1:49.276,1:49.454,1:49.727,1:50.199,1:49.290,1:48.741,1:48.363,1:48.922,1:48.783,1:48.681,1:48.900,1:49.448,1:48.986,2:01.260,2:05.254,1:46.624,1:46.627,1:47.156,1:47.076,1:47.541,1:48.304,1:51.721,1:50.756,1:51.636,1:55.138,1:52.065,1:48.408,1:49.528,1:47.670,1:47.238,1:46.926,1:46.543,1:46.498,1:46.750,1:46.910,1:46.507,1:46.502,1:46.726,1:46.169,1:46.544,1:46.674,1:46.424,1:46.068,1:46.063,1:46.378,1:46.318,1:47.427,1:48.796
Lance Stroll (STR),2:51.298,2:44.852,2:43.136,2:27.976,1:51.767,1:51.380,1:51.065,1:50.309,1:50.277,1:50.058,1:49.754,1:49.445,1:49.837,1:49.641,1:49.459,1:49.131,1:49.329,1:49.374,1:49.265,1:49.302,1:49.137,1:49.330,1:49.054,1:48.774,1:48.831,1:48.893,1:48.849,1:48.710,1:48.649,1:48.897,1:48.581,1:48.881,1:48.690,1:48.712,1:48.901,1:49.015,1:49.586,1:50.912,1:48.861,1:57.200,2:06.803,1:46.934,1:46.365,1:46.766,1:46.946,1:46.812,1:47.072,1:46.590,1:46.496,1:46.308,1:46.462,1:46.219,1:46.033,1:46.268,1:46.359,1:46.731,1:46.770,1:46.713,1:46.895,1:46.594
Stoffel Vandoorne (VAN),2:49.751,2:44.799,2:42.133,2:29.971,1:51.556,1:51.187,1:50.543,1:50.103,1:50.030,1:49.710,1:49.665,1:49.884,1:49.426,1:48.949,1:48.931,1:49.283,1:49.736,1:49.765,1:49.361,1:49.076,1:48.766,1:49.154,1:48.813,1:48.908,1:48.668,1:49.303,1:48.204,1:48.224,1:48.159,1:48.475,1:47.800,1:47.884,1:47.883,1:47.836,1:47.753,1:47.747,1:48.412,1:48.287,1:47.895,1:48.283,1:48.081,1:48.576,1:56.766,2:06.948,1:46.389,1:45.840,1:46.423,1:46.121,1:45.895,1:45.555,1:45.764,1:45.934,1:46.340,1:47.303,1:46.719,1:47.069,1:47.252,1:47.808,1:47.720,1:46.793
Carlos Sainz (SAI),2:34.075,2:47.777,2:40.589,2:39.630,1:50.637,1:50.337,1:49.504,1:49.200,1:48.924,1:48.878,1:49.383,1:49.674,1:49.266,1:49.302,1:50.555,1:51.296,1:48.000,1:47.803,1:47.468,1:47.433,1:47.410,1:47.254,1:47.257,1:47.172,1:47.232,1:47.314,1:47.158,1:47.027,1:46.912,1:47.105,1:47.051,1:47.023,1:47.305,1:46.667,1:46.931,1:47.164,1:55.341,2:06.917,1:47.124,1:47.627,1:48.200,1:48.055,1:51.173,1:46.722,1:45.810,1:46.272,1:45.402,1:45.480,1:45.327,1:45.211,1:45.377,1:45.381,1:46.426,1:47.951,1:48.180,1:45.621,1:45.673,1:46.327,1:46.514,1:47.255
Max Verstappen (VER),2:25.361,2:48.840,2:38.146,2:43.709,1:48.360,1:48.359,1:47.717,1:47.186,1:47.348,1:47.706,1:47.754,1:46.826,1:45.962,1:45.767,1:45.283,1:45.216,1:52.508,2:05.658,1:45.893,1:45.753,1:45.991,1:45.741,1:45.630,1:46.004,1:45.862,1:45.590,1:45.505,1:45.251,1:45.609,1:45.239,1:45.542,1:45.234,1:45.102,1:45.184,1:45.649,1:45.702,1:46.900,1:50.394,1:45.978,1:44.868,1:45.213,1:45.175,1:44.696,1:44.892,1:45.248,1:45.154,1:44.251,1:44.721,1:44.697,1:43.852,1:43.533,1:44.780,1:43.610,1:43.345,1:45.322,1:43.691,1:43.905,1:44.030,1:43.916,1:45.179,1:45.035
Marcus Ericsson (ERI),2:43.605,2:44.965,2:42.208,2:33.403,1:51.588,1:50.943,1:50.033,1:49.884,1:49.574,1:50.085,1:49.095,1:49.406,1:48.691,1:49.609,1:49.837,1:50.348,1:49.963,1:49.473,1:48.812,1:48.617,1:48.886,1:49.071,1:48.527,1:49.091,1:49.179,1:49.387,1:47.903,1:47.878,1:47.343,1:47.467,1:47.013,1:47.790,1:47.298,1:47.176,1:46.937,1:47.620,1:47.790,1:47.404,1:48.397,1:47.844,1:48.012,1:48.125,1:53.450,1:57.940,2:05.409,1:45.441,1:47.377,1:45.797,1:45.326,1:45.169,1:45.782,1:46.814,1:48.340,1:47.792,1:46.911,1:47.283,1:47.228,1:47.781,1:47.329,1:47.382
Kevin Magnussen (MAG),2:45.644,2:43.962,2:42.436,2:32.703,1:51.813,1:50.974,1:50.318,1:50.004,1:49.933,1:49.966,1:49.155,1:49.076,1:49.364,1:49.047,1:49.946,1:49.818,1:50.086,1:49.779,1:48.915,1:48.951,1:48.858,1:49.130,1:48.667,1:48.568,1:48.777,1:57.382,2:05.653,1:46.613,1:46.309,1:46.569,1:46.770,1:47.449,1:49.343,1:50.764,1:53.543,1:57.993,2:07.022,1:44.703,1:45.097,1:47.425,1:50.771,1:49.533,1:46.050,1:45.697,1:46.358,1:46.958,1:46.534,1:54.585,2:04.527,1:41.905,1:46.121,1:46.645,1:47.907,1:50.278,1:46.485,1:47.907,1:50.498,1:47.436,1:54.270
